# PORT_M1B_SPEC.md S4 confirm fits (spec_sha16=d31f48b59877e44d)
# params_hash=b4613c6a0b2f4d0efe95c25907dff9b192a23771c9e34093d850cb977a84128e
# per-fold HP search over 32 configs, selected on an inner 20% split of each training block and scored on the untouched validation block
# EXPLORATORY_NONCERTIFYING - no promotion claims
asset	label	family	selection_reason	n_rows	screen_align	confirm_align	confirm_rho_median	confirm_dollar_recall_at3	confirm_dollar_recall_at10	delta_align_vs_screen	configs_per_fold	chosen_depths	chosen_etas	fit_secs
SI	retg|e15|h30|rank@phase	ratio	top25_economic_alignment	26004	0.054602	0.049526	0.056827	0.223210	0.258573	-0.005076	32	4,6,6,8	0.08,0.04,0.04,0.08	9.355388
SI	retg|e30|h30|z@session	ratio	top25_economic_alignment	7550	0.055220	0.048146	0.042292	0.419346	0.610494	-0.007074	32	8,6,10,4	0.04,0.04,0.04,0.04	4.024092
SI	retg|e30|h30|rank@phase	ratio	top25_economic_alignment	7472	0.087809	0.071240	0.044038	0.485442	0.638124	-0.016569	32	6,4,4,10	0.08,0.08,0.08,0.08	3.680543
SI	retg|e30|h30|rank@session	ratio	top25_economic_alignment	7557	0.054676	0.077313	0.057198	0.459836	0.610644	0.022637	32	4,8,6,10	0.08,0.08,0.08,0.04	3.569085
SI	retg|e15|h60|rank@phase	ratio	top25_economic_alignment	37648	0.063652	0.061570	0.058069	0.276146	0.313873	-0.002082	32	6,4,8,4	0.04,0.04,0.04,0.04	9.888301
SI	retg|e30|h60|z@phase	ratio	top25_economic_alignment	14393	0.065758	0.058159	0.057809	0.464751	0.583647	-0.007599	32	10,6,4,4	0.04,0.08,0.04,0.08	2.874426
SI	retg|e30|h60|z@session	ratio	top25_economic_alignment	14549	0.061191	0.064947	0.074719	0.406167	0.534193	0.003756	32	8,4,4,4	0.04,0.04,0.04,0.08	3.164391
SI	retg|e30|h60|rank@phase	ratio	top25_economic_alignment	14416	0.086440	0.089449	0.050939	0.471725	0.604826	0.003009	32	4,6,4,4	0.08,0.04,0.08,0.08	4.601979
SI	retg|e30|h60|rank@session	ratio	top25_economic_alignment	14561	0.077030	0.080253	0.057714	0.394064	0.525864	0.003223	32	8,4,4,10	0.08,0.08,0.04,0.08	4.751343
SI	retg|e15|h120|rank@phase	ratio	top25_economic_alignment	48736	0.076912	0.076776	0.059562	0.244614	0.301660	-0.000136	32	4,4,4,4	0.08,0.04,0.04,0.08	14.285731
SI	retg|e30|h120|z@phase	ratio	top25_economic_alignment	23073	0.058176	0.025332	0.051449	0.481273	0.551351	-0.032844	32	4,6,8,4	0.08,0.08,0.08,0.04	5.343436
SI	retg|e30|h120|rank@phase	ratio	top25_economic_alignment	23092	0.089176	0.112329	0.064534	0.507588	0.595841	0.023153	32	4,4,4,4	0.08,0.04,0.08,0.08	7.859908
SI	retg|e5|phase_close|rank@phase	ratio	top25_economic_alignment	83011	0.059796	0.056155	0.061853	-0.050518	-0.107127	-0.003641	32	8,4,6,4	0.08,0.08,0.04,0.08	22.647724
SI	retg|e15|phase_close|rank@phase	ratio	top25_economic_alignment	55683	0.110483	0.119152	0.106078	0.308669	0.307906	0.008669	32	4,6,4,4	0.08,0.08,0.04,0.08	16.792856
SI	retg|e30|phase_close|rank@phase	ratio	top25_economic_alignment	31649	0.123677	0.131672	0.105283	0.510219	0.583213	0.007995	32	4,6,4,4	0.08,0.04,0.08,0.08	9.107495
SI	retg|e30|phase_close|rank@session	ratio	top25_economic_alignment	31827	0.085007	0.081688	0.078895	0.387847	0.460629	-0.003319	32	6,8,8,4	0.08,0.04,0.08,0.08	8.625360
SI	retg|e15|sess_close|raw	ratio	top25_economic_alignment	68896	0.131460	0.140935	0.069741	0.103168	0.111637	0.009475	32	6,6,4,4	0.08,0.08,0.04,0.08	19.881165
SI	retg|e15|sess_close|z@session	ratio	top25_economic_alignment	68896	0.077306	0.079046	0.022569	0.107087	0.099634	0.001740	32	10,8,10,4	0.04,0.08,0.04,0.04	15.855531
SI	retg|e15|sess_close|rank@phase	ratio	top25_economic_alignment	68873	0.090098	0.101429	0.095682	0.084296	0.096753	0.011331	32	6,4,4,6	0.08,0.08,0.08,0.08	19.886189
SI	retg|e15|sess_close|rank@session	ratio	top25_economic_alignment	68896	0.066190	0.068163	0.060452	0.060744	0.093496	0.001973	32	4,6,4,4	0.04,0.04,0.08,0.04	15.947540
SI	retg|e15|sess_close|winsor@session	ratio	top25_economic_alignment	68896	0.130616	0.148800	0.068379	0.112241	0.118130	0.018184	32	4,4,4,4	0.04,0.08,0.04,0.04	20.684842
SI	retg|e30|sess_close|raw	ratio	top25_economic_alignment	46505	0.256420	0.281222	0.096965	0.293780	0.362835	0.024802	32	4,8,4,8	0.08,0.08,0.04,0.04	16.088474
SI	retg|e30|sess_close|z@session	ratio	top25_economic_alignment	46503	0.191655	0.173323	0.029292	0.303011	0.349669	-0.018332	32	8,8,8,4	0.08,0.08,0.04,0.08	9.518406
SI	retg|e30|sess_close|rank@phase	ratio	top25_economic_alignment	46453	0.129652	0.143857	0.138129	0.301029	0.421749	0.014205	32	4,6,4,4	0.08,0.04,0.04,0.04	15.804658
SI	retg|e30|sess_close|winsor@session	ratio	top25_economic_alignment	46505	0.252801	0.275757	0.099378	0.295386	0.358852	0.022956	32	4,8,4,8	0.08,0.08,0.08,0.04	15.818371
HG	retg|e15|h60|z@phase	ratio	top25_economic_alignment	29242	0.057867	0.045533	0.059830	0.105717	0.173036	-0.012334	32	8,6,4,4	0.08,0.08,0.04,0.08	8.556397
HG	retg|e15|h60|rank@phase	ratio	top25_economic_alignment	29265	0.067588	0.065896	0.055108	0.108372	0.162796	-0.001692	32	6,4,6,4	0.08,0.08,0.08,0.08	10.503834
HG	retg|e30|h60|rank@phase	ratio	top25_economic_alignment	7347	0.101348	0.064991	0.020677	0.554036	0.698743	-0.036357	32	10,8,4,8	0.04,0.08,0.08,0.04	4.058014
HG	retg|e30|h60|winsor@phase	ratio	top25_economic_alignment	7689	0.066573	0.060344	0.102024	0.562845	0.721447	-0.006229	32	4,10,6,8	0.08,0.04,0.08,0.08	4.937753
HG	retg|e15|h120|rank@phase	ratio	top25_economic_alignment	42124	0.093038	0.081415	0.070828	0.122545	0.150940	-0.011623	32	10,10,6,6	0.08,0.08,0.08,0.04	11.692136
HG	retg|e15|h120|rank@session	ratio	top25_economic_alignment	42241	0.069169	0.062305	0.091195	0.103631	0.095737	-0.006864	32	4,6,6,8	0.08,0.04,0.08,0.08	13.503481
HG	retg|e15|h120|winsor@phase	ratio	top25_economic_alignment	42244	0.057431	0.082696	0.102858	0.145530	0.159090	0.025265	32	4,6,4,6	0.08,0.04,0.08,0.08	12.684722
HG	retg|e30|h120|rank@phase	ratio	top25_economic_alignment	15358	0.105764	0.101424	0.064273	0.524590	0.696655	-0.004340	32	4,6,6,6	0.04,0.08,0.08,0.04	5.179861
HG	retg|e5|phase_close|rank@phase	ratio	top25_economic_alignment	81238	0.077722	0.084001	0.080689	-0.314141	-0.692114	0.006279	32	4,6,4,4	0.04,0.08,0.08,0.04	26.518754
HG	retg|e15|phase_close|rank@phase	ratio	top25_economic_alignment	49683	0.141676	0.142852	0.135782	0.205104	0.241991	0.001176	32	4,6,4,4	0.04,0.08,0.08,0.08	21.625127
HG	retg|e15|phase_close|rank@session	ratio	top25_economic_alignment	49768	0.108044	0.108255	0.135543	0.181169	0.163920	0.000211	32	4,8,8,4	0.08,0.04,0.08,0.04	18.933122
HG	retg|e30|phase_close|raw	ratio	top25_economic_alignment	24284	0.057520	0.066736	0.166002	0.439274	0.554846	0.009216	32	6,4,10,10	0.08,0.04,0.04,0.08	10.362353
HG	retg|e30|phase_close|rank@phase	ratio	top25_economic_alignment	24045	0.151009	0.166223	0.158234	0.577862	0.705941	0.015214	32	4,6,10,4	0.04,0.08,0.04,0.08	11.750859
HG	retg|e30|phase_close|rank@session	ratio	top25_economic_alignment	24273	0.122576	0.120407	0.173337	0.444719	0.553882	-0.002169	32	10,4,6,4	0.08,0.08,0.08,0.08	11.398552
HG	retg|e30|phase_close|winsor@session	ratio	top25_economic_alignment	24284	0.061981	0.056841	0.156180	0.411979	0.530379	-0.005140	32	8,4,8,10	0.08,0.04,0.04,0.08	10.224637
HG	retg|e5|sess_close|rank@phase	ratio	top25_economic_alignment	89389	0.058312	0.063684	0.075743	-0.432769	-0.965463	0.005372	32	10,4,4,4	0.08,0.04,0.08,0.08	24.154503
HG	retg|e15|sess_close|raw	ratio	top25_economic_alignment	65831	0.156125	0.168646	0.098893	0.053439	0.050531	0.012521	32	4,4,4,4	0.08,0.04,0.08,0.08	16.089698
HG	retg|e15|sess_close|z@session	ratio	top25_economic_alignment	65831	0.112093	0.115885	0.023030	0.070917	0.041973	0.003792	32	8,8,8,4	0.04,0.08,0.04,0.08	12.289015
HG	retg|e15|sess_close|rank@phase	ratio	top25_economic_alignment	65822	0.109155	0.118923	0.116853	-0.069305	-0.237442	0.009768	32	4,4,4,4	0.08,0.04,0.08,0.08	24.947595
HG	retg|e15|sess_close|rank@session	ratio	top25_economic_alignment	65831	0.064423	0.071900	0.069997	-0.004546	-0.025162	0.007477	32	8,6,4,4	0.08,0.08,0.04,0.04	19.059449
HG	retg|e15|sess_close|winsor@session	ratio	top25_economic_alignment	65831	0.158012	0.169074	0.092293	0.052673	0.054495	0.011062	32	6,4,4,4	0.08,0.04,0.08,0.08	16.284824
HG	retg|e30|sess_close|raw	ratio	top25_economic_alignment	41602	0.237909	0.236643	0.085468	0.274584	0.343656	-0.001266	32	6,4,8,8	0.04,0.04,0.04,0.04	12.823510
HG	retg|e30|sess_close|z@session	ratio	top25_economic_alignment	41593	0.148078	0.166091	-0.011885	0.201355	0.272535	0.018013	32	6,10,10,6	0.08,0.08,0.08,0.08	8.477836
HG	retg|e30|sess_close|rank@phase	ratio	top25_economic_alignment	41543	0.169743	0.166638	0.147776	0.253913	0.361401	-0.003105	32	8,8,6,6	0.08,0.04,0.08,0.04	20.856571
HG	retg|e30|sess_close|winsor@session	ratio	top25_economic_alignment	41602	0.237723	0.260900	0.097808	0.286424	0.358907	0.023177	32	4,4,4,10	0.08,0.04,0.08,0.04	13.007226
NKD	retg|e30|h60|raw	ratio	top25_economic_alignment	2064	0.049430	0.006628	-0.003550	0.584528	0.602777	-0.042802	32	10,8	0.08,0.08	3.017168
NKD	retg|e30|h60|z@session	ratio	top25_economic_alignment	1980	0.076900	-0.023707	0.006552	0.627218	0.652584	-0.100607	32	10,6	0.08,0.08	3.191140
NKD	retg|e30|h60|winsor@phase	ratio	top25_economic_alignment	2064	0.064180	-0.012184	-0.021228	0.617977	0.707365	-0.076364	32	10,8	0.08,0.04	3.004443
NKD	retg|e30|h60|winsor@session	ratio	top25_economic_alignment	2064	0.065493	0.013530	-0.006914	0.607257	0.740818	-0.051963	32	10,8	0.08,0.04	2.589242
NKD	retg|e5|h120|rank@phase	ratio	top25_economic_alignment	59986	0.046190	0.046113	0.027576	-0.115156	-0.203829	-0.000077	32	4,8,4,8	0.04,0.08,0.08,0.08	12.585079
NKD	retg|e15|h120|rank@phase	ratio	top25_economic_alignment	20804	0.061376	0.066550	0.016770	0.401313	0.515808	0.005174	32	4,6,10,4	0.08,0.04,0.04,0.08	4.886838
NKD	retg|e15|h120|rank@session	ratio	top25_economic_alignment	21006	0.046910	0.044837	0.049848	0.263448	0.367420	-0.002073	32	4,10,4,4	0.08,0.04,0.08,0.08	5.521063
NKD	retg|e5|phase_close|rank@phase	ratio	top25_economic_alignment	67175	0.084105	0.085628	0.071394	-0.102682	-0.176335	0.001523	32	6,8,4,4	0.08,0.08,0.08,0.04	20.455186
NKD	retg|e15|phase_close|rank@phase	ratio	top25_economic_alignment	31485	0.125611	0.117875	0.100411	0.376148	0.497170	-0.007736	32	4,10,4,6	0.08,0.08,0.08,0.04	12.014064
NKD	retg|e15|phase_close|rank@session	ratio	top25_economic_alignment	31652	0.082591	0.069619	0.071879	0.252763	0.317847	-0.012972	32	4,10,4,6	0.04,0.04,0.08,0.04	8.488575
NKD	retg|e30|phase_close|rank@phase	ratio	top25_economic_alignment	10620	0.088008	0.073608	0.064329	0.667346	0.766291	-0.014400	32	10,4,4,6	0.04,0.08,0.08,0.04	3.587052
NKD	retg|e30|phase_close|rank@session	ratio	top25_economic_alignment	10694	0.073184	0.083772	0.067418	0.566514	0.695412	0.010588	32	10,4,4,4	0.08,0.04,0.04,0.04	3.215528
NKD	retg|e5|sess_close|raw	ratio	top25_economic_alignment	78607	0.064150	0.068412	0.054304	-0.091504	-0.155681	0.004262	32	6,4,10,8	0.04,0.08,0.04,0.04	20.074665
NKD	retg|e5|sess_close|rank@phase	ratio	top25_economic_alignment	78560	0.063984	0.069320	0.070677	-0.238037	-0.395862	0.005336	32	6,6,4,6	0.04,0.08,0.08,0.04	23.720438
NKD	retg|e5|sess_close|rank@session	ratio	top25_economic_alignment	78607	0.047585	0.055774	0.049651	-0.070983	-0.135775	0.008189	32	6,4,4,6	0.08,0.08,0.04,0.04	21.368729
NKD	retg|e5|sess_close|winsor@session	ratio	top25_economic_alignment	78607	0.065108	0.073076	0.059301	-0.102131	-0.150877	0.007968	32	6,4,6,8	0.04,0.08,0.08,0.04	20.202287
NKD	retg|e15|sess_close|raw	ratio	top25_economic_alignment	48203	0.095720	0.084366	0.087885	0.093209	0.110352	-0.011354	32	8,10,6,4	0.08,0.08,0.08,0.08	14.219040
NKD	retg|e15|sess_close|z@session	ratio	top25_economic_alignment	48191	0.066359	0.024848	-0.007442	0.123086	0.128984	-0.041511	32	10,10,8,10	0.08,0.08,0.04,0.08	7.373951
NKD	retg|e15|sess_close|rank@phase	ratio	top25_economic_alignment	48081	0.103481	0.102989	0.093385	0.143317	0.223296	-0.000492	32	4,10,4,6	0.08,0.04,0.04,0.08	16.466955
