# PORT_M1B_SPEC.md S4 atlas screen (spec_sha16=d31f48b59877e44d)
# params_hash=c50dfd164e2fc778844a6f8f6681f8050964cec3ff1e017904a18798e50957c3
# the enumerated compose() grid after prunes P1-P10
asset	label	family	base	kind	horizon	truncation	penalty	transform	ranking_unit	occupancy_derived	shuffled_twin	params
SI	ret|e1|h30|raw	ratio	ret|e1	ratio	h30			raw		0	0	eps=e1
SI	ret|e1|h30|z@phase	ratio	ret|e1	ratio	h30			z	phase	0	0	eps=e1
SI	ret|e1|h30|z@session	ratio	ret|e1	ratio	h30			z	session	0	0	eps=e1
SI	ret|e1|h30|rank@phase	ratio	ret|e1	ratio	h30			rank	phase	0	0	eps=e1
SI	ret|e1|h30|rank@session	ratio	ret|e1	ratio	h30			rank	session	0	0	eps=e1
SI	ret|e1|h30|winsor@phase	ratio	ret|e1	ratio	h30			winsor	phase	0	0	eps=e1
SI	ret|e1|h30|winsor@session	ratio	ret|e1	ratio	h30			winsor	session	0	0	eps=e1
SI	retg|e1|h30|raw	ratio	retg|e1	ratio	h30			raw		0	0	eps=e1
SI	retg|e1|h30|z@phase	ratio	retg|e1	ratio	h30			z	phase	0	0	eps=e1
SI	retg|e1|h30|z@session	ratio	retg|e1	ratio	h30			z	session	0	0	eps=e1
SI	retg|e1|h30|rank@phase	ratio	retg|e1	ratio	h30			rank	phase	0	0	eps=e1
SI	retg|e1|h30|rank@session	ratio	retg|e1	ratio	h30			rank	session	0	0	eps=e1
SI	retg|e1|h30|winsor@phase	ratio	retg|e1	ratio	h30			winsor	phase	0	0	eps=e1
SI	retg|e1|h30|winsor@session	ratio	retg|e1	ratio	h30			winsor	session	0	0	eps=e1
SI	ret|e5|h30|raw	ratio	ret|e5	ratio	h30			raw		0	0	eps=e5
SI	ret|e5|h30|z@phase	ratio	ret|e5	ratio	h30			z	phase	0	0	eps=e5
SI	ret|e5|h30|z@session	ratio	ret|e5	ratio	h30			z	session	0	0	eps=e5
SI	ret|e5|h30|rank@phase	ratio	ret|e5	ratio	h30			rank	phase	0	0	eps=e5
SI	ret|e5|h30|rank@session	ratio	ret|e5	ratio	h30			rank	session	0	0	eps=e5
SI	ret|e5|h30|winsor@phase	ratio	ret|e5	ratio	h30			winsor	phase	0	0	eps=e5
SI	ret|e5|h30|winsor@session	ratio	ret|e5	ratio	h30			winsor	session	0	0	eps=e5
SI	retg|e5|h30|raw	ratio	retg|e5	ratio	h30			raw		0	0	eps=e5
SI	retg|e5|h30|z@phase	ratio	retg|e5	ratio	h30			z	phase	0	0	eps=e5
SI	retg|e5|h30|z@session	ratio	retg|e5	ratio	h30			z	session	0	0	eps=e5
SI	retg|e5|h30|rank@phase	ratio	retg|e5	ratio	h30			rank	phase	0	0	eps=e5
SI	retg|e5|h30|rank@session	ratio	retg|e5	ratio	h30			rank	session	0	0	eps=e5
SI	retg|e5|h30|winsor@phase	ratio	retg|e5	ratio	h30			winsor	phase	0	0	eps=e5
SI	retg|e5|h30|winsor@session	ratio	retg|e5	ratio	h30			winsor	session	0	0	eps=e5
SI	ret|e15|h30|raw	ratio	ret|e15	ratio	h30			raw		0	0	eps=e15
SI	ret|e15|h30|z@phase	ratio	ret|e15	ratio	h30			z	phase	0	0	eps=e15
SI	ret|e15|h30|z@session	ratio	ret|e15	ratio	h30			z	session	0	0	eps=e15
SI	ret|e15|h30|rank@phase	ratio	ret|e15	ratio	h30			rank	phase	0	0	eps=e15
SI	ret|e15|h30|rank@session	ratio	ret|e15	ratio	h30			rank	session	0	0	eps=e15
SI	ret|e15|h30|winsor@phase	ratio	ret|e15	ratio	h30			winsor	phase	0	0	eps=e15
SI	ret|e15|h30|winsor@session	ratio	ret|e15	ratio	h30			winsor	session	0	0	eps=e15
SI	retg|e15|h30|raw	ratio	retg|e15	ratio	h30			raw		0	0	eps=e15
SI	retg|e15|h30|z@phase	ratio	retg|e15	ratio	h30			z	phase	0	0	eps=e15
SI	retg|e15|h30|z@session	ratio	retg|e15	ratio	h30			z	session	0	0	eps=e15
SI	retg|e15|h30|rank@phase	ratio	retg|e15	ratio	h30			rank	phase	0	0	eps=e15
SI	retg|e15|h30|rank@session	ratio	retg|e15	ratio	h30			rank	session	0	0	eps=e15
SI	retg|e15|h30|winsor@phase	ratio	retg|e15	ratio	h30			winsor	phase	0	0	eps=e15
SI	retg|e15|h30|winsor@session	ratio	retg|e15	ratio	h30			winsor	session	0	0	eps=e15
SI	ret|e30|h30|raw	ratio	ret|e30	ratio	h30			raw		0	0	eps=e30
SI	ret|e30|h30|z@phase	ratio	ret|e30	ratio	h30			z	phase	0	0	eps=e30
SI	ret|e30|h30|z@session	ratio	ret|e30	ratio	h30			z	session	0	0	eps=e30
SI	ret|e30|h30|rank@phase	ratio	ret|e30	ratio	h30			rank	phase	0	0	eps=e30
SI	ret|e30|h30|rank@session	ratio	ret|e30	ratio	h30			rank	session	0	0	eps=e30
SI	ret|e30|h30|winsor@phase	ratio	ret|e30	ratio	h30			winsor	phase	0	0	eps=e30
SI	ret|e30|h30|winsor@session	ratio	ret|e30	ratio	h30			winsor	session	0	0	eps=e30
SI	retg|e30|h30|raw	ratio	retg|e30	ratio	h30			raw		0	0	eps=e30
SI	retg|e30|h30|z@phase	ratio	retg|e30	ratio	h30			z	phase	0	0	eps=e30
SI	retg|e30|h30|z@session	ratio	retg|e30	ratio	h30			z	session	0	0	eps=e30
SI	retg|e30|h30|rank@phase	ratio	retg|e30	ratio	h30			rank	phase	0	0	eps=e30
SI	retg|e30|h30|rank@session	ratio	retg|e30	ratio	h30			rank	session	0	0	eps=e30
SI	retg|e30|h30|winsor@phase	ratio	retg|e30	ratio	h30			winsor	phase	0	0	eps=e30
SI	retg|e30|h30|winsor@session	ratio	retg|e30	ratio	h30			winsor	session	0	0	eps=e30
SI	ret|e1|h60|raw	ratio	ret|e1	ratio	h60			raw		0	0	eps=e1
SI	ret|e1|h60|z@phase	ratio	ret|e1	ratio	h60			z	phase	0	0	eps=e1
SI	ret|e1|h60|z@session	ratio	ret|e1	ratio	h60			z	session	0	0	eps=e1
SI	ret|e1|h60|rank@phase	ratio	ret|e1	ratio	h60			rank	phase	0	0	eps=e1
SI	ret|e1|h60|rank@session	ratio	ret|e1	ratio	h60			rank	session	0	0	eps=e1
SI	ret|e1|h60|winsor@phase	ratio	ret|e1	ratio	h60			winsor	phase	0	0	eps=e1
SI	ret|e1|h60|winsor@session	ratio	ret|e1	ratio	h60			winsor	session	0	0	eps=e1
SI	retg|e1|h60|raw	ratio	retg|e1	ratio	h60			raw		0	0	eps=e1
SI	retg|e1|h60|z@phase	ratio	retg|e1	ratio	h60			z	phase	0	0	eps=e1
SI	retg|e1|h60|z@session	ratio	retg|e1	ratio	h60			z	session	0	0	eps=e1
SI	retg|e1|h60|rank@phase	ratio	retg|e1	ratio	h60			rank	phase	0	0	eps=e1
SI	retg|e1|h60|rank@session	ratio	retg|e1	ratio	h60			rank	session	0	0	eps=e1
SI	retg|e1|h60|winsor@phase	ratio	retg|e1	ratio	h60			winsor	phase	0	0	eps=e1
SI	retg|e1|h60|winsor@session	ratio	retg|e1	ratio	h60			winsor	session	0	0	eps=e1
SI	ret|e5|h60|raw	ratio	ret|e5	ratio	h60			raw		0	0	eps=e5
SI	ret|e5|h60|z@phase	ratio	ret|e5	ratio	h60			z	phase	0	0	eps=e5
SI	ret|e5|h60|z@session	ratio	ret|e5	ratio	h60			z	session	0	0	eps=e5
SI	ret|e5|h60|rank@phase	ratio	ret|e5	ratio	h60			rank	phase	0	0	eps=e5
SI	ret|e5|h60|rank@session	ratio	ret|e5	ratio	h60			rank	session	0	0	eps=e5
SI	ret|e5|h60|winsor@phase	ratio	ret|e5	ratio	h60			winsor	phase	0	0	eps=e5
SI	ret|e5|h60|winsor@session	ratio	ret|e5	ratio	h60			winsor	session	0	0	eps=e5
SI	retg|e5|h60|raw	ratio	retg|e5	ratio	h60			raw		0	0	eps=e5
SI	retg|e5|h60|z@phase	ratio	retg|e5	ratio	h60			z	phase	0	0	eps=e5
SI	retg|e5|h60|z@session	ratio	retg|e5	ratio	h60			z	session	0	0	eps=e5
SI	retg|e5|h60|rank@phase	ratio	retg|e5	ratio	h60			rank	phase	0	0	eps=e5
SI	retg|e5|h60|rank@session	ratio	retg|e5	ratio	h60			rank	session	0	0	eps=e5
SI	retg|e5|h60|winsor@phase	ratio	retg|e5	ratio	h60			winsor	phase	0	0	eps=e5
SI	retg|e5|h60|winsor@session	ratio	retg|e5	ratio	h60			winsor	session	0	0	eps=e5
SI	ret|e15|h60|raw	ratio	ret|e15	ratio	h60			raw		0	0	eps=e15
SI	ret|e15|h60|z@phase	ratio	ret|e15	ratio	h60			z	phase	0	0	eps=e15
SI	ret|e15|h60|z@session	ratio	ret|e15	ratio	h60			z	session	0	0	eps=e15
SI	ret|e15|h60|rank@phase	ratio	ret|e15	ratio	h60			rank	phase	0	0	eps=e15
SI	ret|e15|h60|rank@session	ratio	ret|e15	ratio	h60			rank	session	0	0	eps=e15
SI	ret|e15|h60|winsor@phase	ratio	ret|e15	ratio	h60			winsor	phase	0	0	eps=e15
SI	ret|e15|h60|winsor@session	ratio	ret|e15	ratio	h60			winsor	session	0	0	eps=e15
SI	retg|e15|h60|raw	ratio	retg|e15	ratio	h60			raw		0	0	eps=e15
SI	retg|e15|h60|z@phase	ratio	retg|e15	ratio	h60			z	phase	0	0	eps=e15
SI	retg|e15|h60|z@session	ratio	retg|e15	ratio	h60			z	session	0	0	eps=e15
SI	retg|e15|h60|rank@phase	ratio	retg|e15	ratio	h60			rank	phase	0	0	eps=e15
SI	retg|e15|h60|rank@session	ratio	retg|e15	ratio	h60			rank	session	0	0	eps=e15
SI	retg|e15|h60|winsor@phase	ratio	retg|e15	ratio	h60			winsor	phase	0	0	eps=e15
SI	retg|e15|h60|winsor@session	ratio	retg|e15	ratio	h60			winsor	session	0	0	eps=e15
SI	ret|e30|h60|raw	ratio	ret|e30	ratio	h60			raw		0	0	eps=e30
SI	ret|e30|h60|z@phase	ratio	ret|e30	ratio	h60			z	phase	0	0	eps=e30
SI	ret|e30|h60|z@session	ratio	ret|e30	ratio	h60			z	session	0	0	eps=e30
SI	ret|e30|h60|rank@phase	ratio	ret|e30	ratio	h60			rank	phase	0	0	eps=e30
SI	ret|e30|h60|rank@session	ratio	ret|e30	ratio	h60			rank	session	0	0	eps=e30
SI	ret|e30|h60|winsor@phase	ratio	ret|e30	ratio	h60			winsor	phase	0	0	eps=e30
SI	ret|e30|h60|winsor@session	ratio	ret|e30	ratio	h60			winsor	session	0	0	eps=e30
SI	retg|e30|h60|raw	ratio	retg|e30	ratio	h60			raw		0	0	eps=e30
SI	retg|e30|h60|z@phase	ratio	retg|e30	ratio	h60			z	phase	0	0	eps=e30
SI	retg|e30|h60|z@session	ratio	retg|e30	ratio	h60			z	session	0	0	eps=e30
SI	retg|e30|h60|rank@phase	ratio	retg|e30	ratio	h60			rank	phase	0	0	eps=e30
SI	retg|e30|h60|rank@session	ratio	retg|e30	ratio	h60			rank	session	0	0	eps=e30
SI	retg|e30|h60|winsor@phase	ratio	retg|e30	ratio	h60			winsor	phase	0	0	eps=e30
SI	retg|e30|h60|winsor@session	ratio	retg|e30	ratio	h60			winsor	session	0	0	eps=e30
SI	ret|e1|h120|raw	ratio	ret|e1	ratio	h120			raw		0	0	eps=e1
SI	ret|e1|h120|z@phase	ratio	ret|e1	ratio	h120			z	phase	0	0	eps=e1
SI	ret|e1|h120|z@session	ratio	ret|e1	ratio	h120			z	session	0	0	eps=e1
SI	ret|e1|h120|rank@phase	ratio	ret|e1	ratio	h120			rank	phase	0	0	eps=e1
SI	ret|e1|h120|rank@session	ratio	ret|e1	ratio	h120			rank	session	0	0	eps=e1
SI	ret|e1|h120|winsor@phase	ratio	ret|e1	ratio	h120			winsor	phase	0	0	eps=e1
SI	ret|e1|h120|winsor@session	ratio	ret|e1	ratio	h120			winsor	session	0	0	eps=e1
SI	retg|e1|h120|raw	ratio	retg|e1	ratio	h120			raw		0	0	eps=e1
SI	retg|e1|h120|z@phase	ratio	retg|e1	ratio	h120			z	phase	0	0	eps=e1
SI	retg|e1|h120|z@session	ratio	retg|e1	ratio	h120			z	session	0	0	eps=e1
SI	retg|e1|h120|rank@phase	ratio	retg|e1	ratio	h120			rank	phase	0	0	eps=e1
SI	retg|e1|h120|rank@session	ratio	retg|e1	ratio	h120			rank	session	0	0	eps=e1
SI	retg|e1|h120|winsor@phase	ratio	retg|e1	ratio	h120			winsor	phase	0	0	eps=e1
SI	retg|e1|h120|winsor@session	ratio	retg|e1	ratio	h120			winsor	session	0	0	eps=e1
SI	ret|e5|h120|raw	ratio	ret|e5	ratio	h120			raw		0	0	eps=e5
SI	ret|e5|h120|z@phase	ratio	ret|e5	ratio	h120			z	phase	0	0	eps=e5
SI	ret|e5|h120|z@session	ratio	ret|e5	ratio	h120			z	session	0	0	eps=e5
SI	ret|e5|h120|rank@phase	ratio	ret|e5	ratio	h120			rank	phase	0	0	eps=e5
SI	ret|e5|h120|rank@session	ratio	ret|e5	ratio	h120			rank	session	0	0	eps=e5
SI	ret|e5|h120|winsor@phase	ratio	ret|e5	ratio	h120			winsor	phase	0	0	eps=e5
SI	ret|e5|h120|winsor@session	ratio	ret|e5	ratio	h120			winsor	session	0	0	eps=e5
SI	retg|e5|h120|raw	ratio	retg|e5	ratio	h120			raw		0	0	eps=e5
SI	retg|e5|h120|z@phase	ratio	retg|e5	ratio	h120			z	phase	0	0	eps=e5
SI	retg|e5|h120|z@session	ratio	retg|e5	ratio	h120			z	session	0	0	eps=e5
SI	retg|e5|h120|rank@phase	ratio	retg|e5	ratio	h120			rank	phase	0	0	eps=e5
SI	retg|e5|h120|rank@session	ratio	retg|e5	ratio	h120			rank	session	0	0	eps=e5
SI	retg|e5|h120|winsor@phase	ratio	retg|e5	ratio	h120			winsor	phase	0	0	eps=e5
SI	retg|e5|h120|winsor@session	ratio	retg|e5	ratio	h120			winsor	session	0	0	eps=e5
SI	ret|e15|h120|raw	ratio	ret|e15	ratio	h120			raw		0	0	eps=e15
SI	ret|e15|h120|z@phase	ratio	ret|e15	ratio	h120			z	phase	0	0	eps=e15
SI	ret|e15|h120|z@session	ratio	ret|e15	ratio	h120			z	session	0	0	eps=e15
SI	ret|e15|h120|rank@phase	ratio	ret|e15	ratio	h120			rank	phase	0	0	eps=e15
SI	ret|e15|h120|rank@session	ratio	ret|e15	ratio	h120			rank	session	0	0	eps=e15
SI	ret|e15|h120|winsor@phase	ratio	ret|e15	ratio	h120			winsor	phase	0	0	eps=e15
SI	ret|e15|h120|winsor@session	ratio	ret|e15	ratio	h120			winsor	session	0	0	eps=e15
SI	retg|e15|h120|raw	ratio	retg|e15	ratio	h120			raw		0	0	eps=e15
SI	retg|e15|h120|z@phase	ratio	retg|e15	ratio	h120			z	phase	0	0	eps=e15
SI	retg|e15|h120|z@session	ratio	retg|e15	ratio	h120			z	session	0	0	eps=e15
SI	retg|e15|h120|rank@phase	ratio	retg|e15	ratio	h120			rank	phase	0	0	eps=e15
SI	retg|e15|h120|rank@session	ratio	retg|e15	ratio	h120			rank	session	0	0	eps=e15
SI	retg|e15|h120|winsor@phase	ratio	retg|e15	ratio	h120			winsor	phase	0	0	eps=e15
SI	retg|e15|h120|winsor@session	ratio	retg|e15	ratio	h120			winsor	session	0	0	eps=e15
SI	ret|e30|h120|raw	ratio	ret|e30	ratio	h120			raw		0	0	eps=e30
SI	ret|e30|h120|z@phase	ratio	ret|e30	ratio	h120			z	phase	0	0	eps=e30
SI	ret|e30|h120|z@session	ratio	ret|e30	ratio	h120			z	session	0	0	eps=e30
SI	ret|e30|h120|rank@phase	ratio	ret|e30	ratio	h120			rank	phase	0	0	eps=e30
SI	ret|e30|h120|rank@session	ratio	ret|e30	ratio	h120			rank	session	0	0	eps=e30
SI	ret|e30|h120|winsor@phase	ratio	ret|e30	ratio	h120			winsor	phase	0	0	eps=e30
SI	ret|e30|h120|winsor@session	ratio	ret|e30	ratio	h120			winsor	session	0	0	eps=e30
SI	retg|e30|h120|raw	ratio	retg|e30	ratio	h120			raw		0	0	eps=e30
SI	retg|e30|h120|z@phase	ratio	retg|e30	ratio	h120			z	phase	0	0	eps=e30
SI	retg|e30|h120|z@session	ratio	retg|e30	ratio	h120			z	session	0	0	eps=e30
SI	retg|e30|h120|rank@phase	ratio	retg|e30	ratio	h120			rank	phase	0	0	eps=e30
SI	retg|e30|h120|rank@session	ratio	retg|e30	ratio	h120			rank	session	0	0	eps=e30
SI	retg|e30|h120|winsor@phase	ratio	retg|e30	ratio	h120			winsor	phase	0	0	eps=e30
SI	retg|e30|h120|winsor@session	ratio	retg|e30	ratio	h120			winsor	session	0	0	eps=e30
SI	ret|e1|phase_close|raw	ratio	ret|e1	ratio	phase_close			raw		0	0	eps=e1
SI	ret|e1|phase_close|z@phase	ratio	ret|e1	ratio	phase_close			z	phase	0	0	eps=e1
SI	ret|e1|phase_close|z@session	ratio	ret|e1	ratio	phase_close			z	session	0	0	eps=e1
SI	ret|e1|phase_close|rank@phase	ratio	ret|e1	ratio	phase_close			rank	phase	0	0	eps=e1
SI	ret|e1|phase_close|rank@session	ratio	ret|e1	ratio	phase_close			rank	session	0	0	eps=e1
SI	ret|e1|phase_close|winsor@phase	ratio	ret|e1	ratio	phase_close			winsor	phase	0	0	eps=e1
SI	ret|e1|phase_close|winsor@session	ratio	ret|e1	ratio	phase_close			winsor	session	0	0	eps=e1
SI	retg|e1|phase_close|raw	ratio	retg|e1	ratio	phase_close			raw		0	0	eps=e1
SI	retg|e1|phase_close|z@phase	ratio	retg|e1	ratio	phase_close			z	phase	0	0	eps=e1
SI	retg|e1|phase_close|z@session	ratio	retg|e1	ratio	phase_close			z	session	0	0	eps=e1
SI	retg|e1|phase_close|rank@phase	ratio	retg|e1	ratio	phase_close			rank	phase	0	0	eps=e1
SI	retg|e1|phase_close|rank@session	ratio	retg|e1	ratio	phase_close			rank	session	0	0	eps=e1
