# PORT_M1B_SPEC.md S4 atlas screen (spec_sha16=d31f48b59877e44d)
# params_hash=c50dfd164e2fc778844a6f8f6681f8050964cec3ff1e017904a18798e50957c3
# P1-P8 structural (LABEL_ATLAS_V2 §1B), P9 degenerate, P10 byte-identical collapse
asset	prune	n
SI	P1	0
SI	P10	388
SI	P2	0
SI	P3	0
SI	P4	60
SI	P5	10
SI	P6	40
SI	P7	135
SI	P8	0
SI	P9	0
SI	KEPT	326
SI	UNIVERSE_ROWS	101192
HG	P1	0
HG	P10	388
HG	P2	0
HG	P3	0
HG	P4	60
HG	P5	10
HG	P6	40
HG	P7	135
HG	P8	0
HG	P9	0
HG	KEPT	326
HG	UNIVERSE_ROWS	104168
NKD	P1	0
NKD	P10	388
NKD	P2	0
NKD	P3	0
NKD	P4	60
NKD	P5	10
NKD	P6	40
NKD	P7	135
NKD	P8	0
NKD	P9	0
NKD	KEPT	326
NKD	UNIVERSE_ROWS	99691
