# PORT_M1B_SPEC.md D-065 EPISODE CENSUS (episode-grain generation quality) (spec_sha16=d31f48b59877e44d)
# params_hash=b275c684b91d617686d714eb547ad3d01d6ae0cf00a335173192b4c0e8bc0aaf
# primary gap 900s; FIT and the 2025 echo
asset	era	members	n_episodes	share_episodes	n_candidates	share_candidates	n_1k_close	epi_base_rate_close	n_1k_peak	epi_base_rate_peak
SI	FIT_2021_2024	1	10030	0.265766	10030	0.024736	252	0.025125	2512	0.250449
SI	FIT_2021_2024	2	6828	0.180922	13656	0.033679	188	0.027534	1798	0.263327
SI	FIT_2021_2024	3	4138	0.109645	12414	0.030616	157	0.037941	1230	0.297245
SI	FIT_2021_2024	4-5	4742	0.125649	20823	0.051354	215	0.045340	1569	0.330873
SI	FIT_2021_2024	6-10	4529	0.120005	33994	0.083837	306	0.067565	1783	0.393685
SI	FIT_2021_2024	11-20	2366	0.062692	34363	0.084747	338	0.142857	1182	0.499577
SI	FIT_2021_2024	21-50	2889	0.076550	96289	0.237471	909	0.314642	1919	0.664244
SI	FIT_2021_2024	51+	2218	0.058771	183908	0.453560	906	0.408476	1650	0.743913
SI	GATE_2025	1	2456	0.242448	2456	0.018370	113	0.046010	596	0.242671
SI	GATE_2025	2	1527	0.150740	3054	0.022843	79	0.051735	473	0.309758
SI	GATE_2025	3	942	0.092991	2826	0.021137	67	0.071125	315	0.334395
SI	GATE_2025	4-5	1216	0.120039	5396	0.040360	110	0.090461	505	0.415296
SI	GATE_2025	6-10	1330	0.131293	10035	0.075058	178	0.133835	692	0.520301
SI	GATE_2025	11-20	870	0.085884	12724	0.095170	217	0.249425	571	0.656322
SI	GATE_2025	21-50	1071	0.105726	36022	0.269430	460	0.429505	880	0.821662
SI	GATE_2025	51+	718	0.070879	61184	0.457632	362	0.504178	636	0.885794
HG	FIT_2021_2024	1	11624	0.272142	11624	0.027858	224	0.019270	2300	0.197866
HG	FIT_2021_2024	2	6778	0.158687	13556	0.032488	162	0.023901	1458	0.215108
HG	FIT_2021_2024	3	4300	0.100672	12900	0.030916	122	0.028372	962	0.223721
HG	FIT_2021_2024	4-5	5353	0.125325	23681	0.056753	195	0.036428	1428	0.266766
HG	FIT_2021_2024	6-10	5924	0.138693	44951	0.107728	267	0.045071	1740	0.293720
HG	FIT_2021_2024	11-20	3536	0.082785	51189	0.122677	225	0.063631	1173	0.331731
HG	FIT_2021_2024	21-50	3308	0.077447	108310	0.259571	584	0.176542	1574	0.475816
HG	FIT_2021_2024	51+	1890	0.044249	151054	0.362010	537	0.284127	1019	0.539153
HG	GATE_2025	1	2801	0.269405	2801	0.024958	91	0.032488	627	0.223849
HG	GATE_2025	2	1574	0.151390	3148	0.028050	51	0.032402	345	0.219187
HG	GATE_2025	3	1076	0.103491	3228	0.028763	41	0.038104	275	0.255576
HG	GATE_2025	4-5	1388	0.133500	6143	0.054737	75	0.054035	449	0.323487
HG	GATE_2025	6-10	1327	0.127633	10009	0.089185	90	0.067822	469	0.353429
HG	GATE_2025	11-20	830	0.079831	12303	0.109626	112	0.134940	364	0.438554
HG	GATE_2025	21-50	897	0.086275	29810	0.265622	256	0.285396	558	0.622074
HG	GATE_2025	51+	504	0.048476	44785	0.399057	181	0.359127	354	0.702381
NKD	FIT_2021_2024	1	10828	0.264110	10828	0.027102	300	0.027706	1598	0.147580
NKD	FIT_2021_2024	2	7145	0.174277	14290	0.035767	238	0.033310	1280	0.179146
NKD	FIT_2021_2024	3	4307	0.105054	12921	0.032341	149	0.034595	795	0.184583
NKD	FIT_2021_2024	4-5	5308	0.129470	23373	0.058502	249	0.046910	1152	0.217031
NKD	FIT_2021_2024	6-10	5003	0.122030	37659	0.094259	286	0.057166	1378	0.275435
NKD	FIT_2021_2024	11-20	3079	0.075101	45045	0.112746	340	0.110425	1151	0.373823
NKD	FIT_2021_2024	21-50	3590	0.087565	119280	0.298554	838	0.233426	2020	0.562674
NKD	FIT_2021_2024	51+	1738	0.042392	136130	0.340729	631	0.363061	1212	0.697353
NKD	GATE_2025	1	2270	0.251719	2270	0.020238	90	0.039648	422	0.185903
NKD	GATE_2025	2	1426	0.158128	2852	0.025426	78	0.054698	340	0.238429
NKD	GATE_2025	3	891	0.098802	2673	0.023830	36	0.040404	221	0.248036
NKD	GATE_2025	4-5	1042	0.115547	4597	0.040983	79	0.075816	359	0.344530
NKD	GATE_2025	6-10	1124	0.124640	8503	0.075806	122	0.108541	439	0.390569
NKD	GATE_2025	11-20	750	0.083167	11123	0.099164	127	0.169333	393	0.524000
NKD	GATE_2025	21-50	1013	0.112331	33375	0.297545	348	0.343534	718	0.708786
NKD	GATE_2025	51+	502	0.055666	46775	0.417008	233	0.464143	397	0.790837
