# PORT_M1B_SPEC.md D-065 EPISODE CENSUS (episode-grain generation quality) (spec_sha16=d31f48b59877e44d)
# params_hash=b275c684b91d617686d714eb547ad3d01d6ae0cf00a335173192b4c0e8bc0aaf
# rules: EARLIEST, BEST_SPREAD, HIGHEST_RUNG, FAMILY_PRIORITY, CLOSEST_LEVEL, BEST_MEMBER
# (dec_sec, iid, roster_row)
# min |entry_mid - level_price| x mult over the G2 confirmations at dec_sec - tau* (m1/levels_v4 touches); the rule abstains when no member has a level; the DP probe falls back to EARLIEST on abstention
# multi-member episodes only; episodes whose best member certificate is <= 0 are not scored
asset	era	cert_metric	rule	n_episodes_scored	n_abstained	capture_of_best	mean_per_episode_ratio	vs_mean_member	argmax_hit_rate
SI	2021	close	BEST_MEMBER	2220	0	1.000000	1.000000	1.976421	1.000000
SI	2021	close	BEST_SPREAD	2220	0	0.575977	-0.001437	1.138374	0.463063
SI	2021	close	CLOSEST_LEVEL	1322	898	0.561215	-0.270841	1.327932	0.204992
SI	2021	close	EARLIEST	2220	0	0.580108	0.061744	1.146538	0.511261
SI	2021	close	FAMILY_PRIORITY	2220	0	0.579878	-0.190189	1.146083	0.389189
SI	2021	close	HIGHEST_RUNG	2220	0	0.472628	-0.506605	0.934112	0.145495
SI	2021	peak	BEST_MEMBER	3986	0	1.000000	1.000000	1.245858	1.000000
SI	2021	peak	BEST_SPREAD	3986	0	0.856415	0.732273	1.066971	0.507777
SI	2021	peak	CLOSEST_LEVEL	2186	1800	0.811716	0.732994	1.094116	0.231930
SI	2021	peak	EARLIEST	3986	0	0.859136	0.719203	1.070361	0.551681
SI	2021	peak	FAMILY_PRIORITY	3986	0	0.841073	0.757630	1.047857	0.435524
SI	2021	peak	HIGHEST_RUNG	3986	0	0.790301	0.618215	0.984603	0.179629
SI	2022	close	BEST_MEMBER	4390	0	1.000000	1.000000	2.069720	1.000000
SI	2022	close	BEST_SPREAD	4390	0	0.562593	0.035597	1.164410	0.408884
SI	2022	close	CLOSEST_LEVEL	2859	1531	0.559649	-0.258836	1.382836	0.188178
SI	2022	close	EARLIEST	4390	0	0.576124	0.157423	1.192415	0.477677
SI	2022	close	FAMILY_PRIORITY	4390	0	0.546066	-0.057086	1.130204	0.344647
