# PORT_M1_SPEC.md §10 FAMILY DISCOVERY CENSUS (D-055) (spec_sha16=81ea7f84a085e4bb)
# params_hash=48d590fc8f22ad4b70be3be0c7152295dcf8e670cba41bb8dd436b5a76560484
# CC-M1-3.2: survive on ANY of (i) value >= G1 - $100, (ii) marginal union recall >= +0.2pp, (iii) DP seat share >= 5%; ADOPT_UNSTABLE = survives but a FIT year breaks
asset	family	n_candidates_fit	conditional_value_usd	g1_conditional_value_usd	value_minus_g1_usd	marginal_recall_pp	dp_seat_share	crit_value	crit_recall	crit_seat_share	fit_year_stable	value_2025_echo	peak_exit_value_usd	peak_exit_value_minus_g1_usd	verdict
HG	FD1_CLOSE_15	14048	120.426362	496.085672	-375.659311	0.000000	0.006776	0	0	0	0	185.310714	817.959115	43.826373	RETIRE
HG	FD1_CLOSE_60	13998	130.624780	496.085672	-365.460893	0.000000	0.007422	0	0	0	0	188.191581	822.524863	48.392121	RETIRE
HG	FD2_MICRO_OPEN	4323	580.423918	496.085672	84.338246	0.000000	0.002351	1	0	0	1	889.706880	693.368131	-80.764612	ADOPT
HG	FD3_NEWS_15	13831	680.471657	496.085672	184.385985	0.103199	0.009671	1	0	0	1	1006.746819	671.243524	-102.889218	ADOPT
HG	FD3_NEWS_60	13832	676.782869	496.085672	180.697196	0.000000	0.009026	1	0	0	1	984.503745	666.758373	-107.374370	ADOPT
HG	FD4_POST_SHOCK	111	871.442308	496.085672	375.356635		0.011236	1	0	0	1	1844.698795	1136.990291	362.857549	ADOPT
HG	FD5_FIRST_TEST	5095	488.176416	496.085672	-7.909256		0.017713	1	0	0	1	623.631052	962.306030	188.173288	ADOPT
HG	FD5_FIRST_TEST_VIRGIN	3715	501.566189	496.085672	5.480517		0.013592	1	0	0	1	643.069853	981.735298	207.602556	ADOPT
HG	FD6_EXHAUSTION	0		496.085672				0	0	0	0				RETIRE
HG	FD6_EXHAUSTION_ANY	170844	451.028116	496.085672	-45.057556		0.269841	1	0	1	0	700.599947	713.197930	-60.934812	ADOPT_UNSTABLE
NKD	FD1_CLOSE_15	14598	194.582137	649.893856	-455.311719	0.000000	0.006540	0	0	0	0	349.599271	824.981436	-98.953167	RETIRE
NKD	FD1_CLOSE_60	14428	203.204334	649.893856	-446.689522	0.000000	0.006867	0	0	0	0	343.948245	832.436650	-91.497952	RETIRE
NKD	FD2_MICRO_OPEN	5651	729.442300	649.893856	79.548444	0.000000	0.004387	1	0	0	1	1247.629382	920.876401	-3.058201	ADOPT
NKD	FD3_NEWS_15	9467	871.574120	649.893856	221.680264	0.000000	0.015782	1	0	0	1	1127.007159	792.606232	-131.328370	ADOPT
NKD	FD3_NEWS_60	9472	875.300868	649.893856	225.407012	0.000000	0.012424	1	0	0	1	1093.617257	792.631237	-131.303366	ADOPT
NKD	FD4_POST_SHOCK	911	1398.684211	649.893856	748.790354		0.013788	1	0	0	1	1895.745033	1449.984375	526.049772	ADOPT
NKD	FD5_FIRST_TEST	4912	782.916081	649.893856	133.022224		0.020561	1	0	0	1	1084.324458	1091.694487	167.759884	ADOPT
NKD	FD5_FIRST_TEST_VIRGIN	3906	815.383481	649.893856	165.489625		0.018967	1	0	0	1	1143.942786	1113.820807	189.886204	ADOPT
NKD	FD6_EXHAUSTION	17312	281.534319	649.893856	-368.359537		0.082162	0	0	1	0	523.464173	912.885281	-11.049322	ADOPT_UNSTABLE
NKD	FD6_EXHAUSTION_ANY	194482	581.136163	649.893856	-68.757693		0.299672	1	0	1	0	969.549940	874.813889	-49.120714	ADOPT_UNSTABLE
SI	FD1_CLOSE_15	9316	150.305276	817.065636	-666.760361	0.068120	0.016961	0	0	0	0	432.926509	1061.904634	21.509338	RETIRE
SI	FD1_CLOSE_60	9264	168.594786	817.065636	-648.470850	0.000000	0.009551	0	0	0	0	452.313333	1068.025920	27.630624	RETIRE
SI	FD2_MICRO_OPEN	6076	1111.038110	817.065636	293.972474	0.000000	0.006071	1	0	0	1	1991.220930	1051.976795	11.581499	ADOPT
SI	FD3_NEWS_15	21229	1277.200704	817.065636	460.135068	0.068120	0.015515	1	0	0	1	2230.497874	1069.564430	29.169134	ADOPT
SI	FD3_NEWS_60	21229	1270.252302	817.065636	453.186665	0.068120	0.014810	1	0	0	1	2212.184192	1062.541865	22.146569	ADOPT
SI	FD4_POST_SHOCK	464	1560.943114	817.065636	743.877477		0.000000	1	0	0	1	3434.285714	1463.851981	423.456685	ADOPT
SI	FD5_FIRST_TEST	4533	631.660079	817.065636	-185.405557		0.027151	0	0	0	0	1348.792939	1248.771452	208.376156	RETIRE
SI	FD5_FIRST_TEST_VIRGIN	3061	643.822329	817.065636	-173.243307		0.019517	0	0	0	0	1465.748082	1280.453292	240.057996	RETIRE
SI	FD6_EXHAUSTION	189953	824.516253	817.065636	7.450616		0.314428	1	0	1	1	1230.380570	977.251867	-63.143429	ADOPT
SI	FD6_EXHAUSTION_ANY	189953	824.516253	817.065636	7.450616		0.314428	1	0	1	1	1230.380570	977.251867	-63.143429	ADOPT
