# PORT_M1_SPEC.md §10 FAMILY DISCOVERY CENSUS (D-055) (spec_sha16=81ea7f84a085e4bb)
# params_hash=48d590fc8f22ad4b70be3be0c7152295dcf8e670cba41bb8dd436b5a76560484
# conditional_value_usd = the CC-M1-3.2 metric (mean walled phase-close certificate over candidates with value > 0)
# conditional_value_peak_usd = the same statistic on the walled PEAK-exit certificate: the fair comparator for families that fire near a phase close, whose close certificate has almost no horizon left (F-D1)
# era rows 2021..2024 are the per-FIT-year stability panel
asset	family	era	n_candidates	n_positive	conditional_value_usd	mean_cert_usd	positive_frac	n_positive_peak	conditional_value_peak_usd
SI	FD1_CLOSE_15	FIT_2021_2024	9316	3374	150.305276	-35.768302	0.362173	8352	1061.904634
SI	FD1_CLOSE_15	GATE_2025	4708	1905	432.926509	-30.992991	0.404630	4231	1537.280194
SI	FD1_CLOSE_15	ALL	14024	5279	252.293048	-34.165181	0.376426	12583	1221.748391
SI	FD1_CLOSE_15	2021	1032	332	113.411145	-39.084302	0.321705	905	890.870166
SI	FD1_CLOSE_15	2022	2867	1060	148.089623	-27.876700	0.369724	2561	1010.477353
SI	FD1_CLOSE_15	2023	2065	696	102.040230	-37.009685	0.337046	1838	935.070729
SI	FD1_CLOSE_15	2024	3352	1286	187.777994	-40.732399	0.383652	3048	1232.381070
SI	FD1_CLOSE_60	FIT_2021_2024	9264	3318	168.594786	-34.911485	0.358161	8314	1068.025920
SI	FD1_CLOSE_60	GATE_2025	4690	1875	452.313333	-28.584755	0.399787	4223	1574.135094
SI	FD1_CLOSE_60	ALL	13954	5193	271.035047	-32.785044	0.372151	12537	1238.505225
SI	FD1_CLOSE_60	2021	1023	337	170.964392	-22.118768	0.329423	894	900.788591
SI	FD1_CLOSE_60	2022	2846	1031	169.260427	-27.434996	0.362263	2535	1020.404339
SI	FD1_CLOSE_60	2023	2056	675	123.333333	-37.909776	0.328307	1842	929.765201
SI	FD1_CLOSE_60	2024	3339	1275	191.392157	-43.357293	0.381851	3043	1240.522511
SI	FD2_MICRO_OPEN	FIT_2021_2024	6076	2519	1111.038110	14.023618	0.414582	5753	1051.976795
SI	FD2_MICRO_OPEN	GATE_2025	1755	559	1991.220930	32.393162	0.318519	1655	1658.421450
SI	FD2_MICRO_OPEN	ALL	7831	3078	1270.889376	18.140404	0.393053	7408	1187.460853
SI	FD2_MICRO_OPEN	2021	1003	431	896.305104	-13.973081	0.429711	949	898.306112
SI	FD2_MICRO_OPEN	2022	1602	665	1149.736842	38.344257	0.415106	1511	1049.276969
SI	FD2_MICRO_OPEN	2023	1684	723	1048.336791	28.261580	0.429335	1593	1005.310734
SI	FD2_MICRO_OPEN	2024	1787	700	1271.250000	-5.482652	0.391718	1700	1183.889706
SI	FD3_NEWS_15	FIT_2021_2024	21229	8520	1277.200704	26.232041	0.401338	20146	1069.564430
SI	FD3_NEWS_15	GATE_2025	4620	1411	2230.497874	62.513528	0.305411	4330	1555.484988
SI	FD3_NEWS_15	ALL	25849	9931	1412.645504	32.716643	0.384193	24476	1155.527660
SI	FD3_NEWS_15	2021	2925	1294	1104.563369	57.764957	0.442393	2748	1007.381732
SI	FD3_NEWS_15	2022	5512	2211	1221.300317	2.454191	0.401125	5243	1029.243277
SI	FD3_NEWS_15	2023	6966	2977	1185.493786	52.577878	0.427361	6624	1007.741546
SI	FD3_NEWS_15	2024	5826	2038	1581.420510	1.395898	0.349811	5531	1212.720575
SI	FD3_NEWS_60	FIT_2021_2024	21229	8472	1270.252302	19.762118	0.399077	20124	1062.541865
SI	FD3_NEWS_60	GATE_2025	4620	1417	2212.184192	61.737013	0.306710	4318	1557.123668
SI	FD3_NEWS_60	ALL	25849	9889	1405.222217	27.264304	0.382568	24442	1149.916230
SI	FD3_NEWS_60	2021	2925	1272	1099.884041	46.572650	0.434872	2740	992.942518
SI	FD3_NEWS_60	2022	5512	2195	1216.685649	-4.308327	0.398222	5230	1025.007170
SI	FD3_NEWS_60	2023	6966	2942	1180.269375	41.316035	0.422337	6627	995.654519
SI	FD3_NEWS_60	2024	5826	2063	1560.614397	3.303296	0.354102	5527	1212.762801
SI	FD4_POST_SHOCK	FIT_2021_2024	464	167	1560.943114	2.085129	0.359914	429	1463.851981
SI	FD4_POST_SHOCK	GATE_2025	2633	504	3434.285714	-111.541967	0.191417	2354	2369.628292
SI	FD4_POST_SHOCK	ALL	3097	671	2968.043964	-94.518082	0.216661	2783	2230.002695
SI	FD4_POST_SHOCK	2021	37	13	1042.115385	-91.148649	0.351351	35	1112.500000
SI	FD4_POST_SHOCK	2022	97	34	1307.500000	-132.577320	0.350515	87	1276.896552
SI	FD4_POST_SHOCK	2023	64	33	1115.833333	188.554687	0.515625	59	1305.381356
SI	FD4_POST_SHOCK	2024	266	87	1906.350575	19.295113	0.327068	248	1616.723790
SI	FD5_FIRST_TEST	FIT_2021_2024	4533	2024	631.660079	-27.027355	0.446503	4312	1248.771452
SI	FD5_FIRST_TEST	GATE_2025	1283	524	1348.792939	101.878410	0.408418	1213	1962.456719
SI	FD5_FIRST_TEST	ALL	5816	2548	779.139521	1.409044	0.438102	5525	1405.459276
SI	FD5_FIRST_TEST	2021	686	307	530.708469	-43.119534	0.447522	653	1053.996937
