# PORT_M1_SPEC.md §10 FAMILY DISCOVERY CENSUS (D-055) (spec_sha16=a7b18471e6eaefe4)
# params_hash=48d590fc8f22ad4b70be3be0c7152295dcf8e670cba41bb8dd436b5a76560484
# SANE ANCHORED oracle; BASE = the frozen S1-v2 union roster, every other variant = BASE + that family's candidates, so the marginal union recall is the difference
asset	variant	era	n_legs	n_gate_legs	n_news_untradeable	recall_gate_1000	recall_gate_1000_screened	recall_all_1000
SI	BASE	FIT_2021_2024	1470	1468	2	0.996594	0.996594	0.995918
SI	BASE	GATE_2025	503	502	1	1.000000	1.000000	0.998012
SI	BASE	ALL	1973	1970	3	0.997462	0.997462	0.996452
SI	FD1_CLOSE_15	FIT_2021_2024	1470	1468	2	0.997275	0.997275	0.996599
SI	FD1_CLOSE_15	GATE_2025	503	502	1	1.000000	1.000000	0.998012
SI	FD1_CLOSE_15	ALL	1973	1970	3	0.997970	0.997970	0.996959
SI	FD1_CLOSE_60	FIT_2021_2024	1470	1468	2	0.996594	0.996594	0.995918
SI	FD1_CLOSE_60	GATE_2025	503	502	1	1.000000	1.000000	0.998012
SI	FD1_CLOSE_60	ALL	1973	1970	3	0.997462	0.997462	0.996452
SI	FD2_MICRO_OPEN	FIT_2021_2024	1470	1468	2	0.996594	0.996594	0.995918
SI	FD2_MICRO_OPEN	GATE_2025	503	502	1	1.000000	1.000000	0.998012
SI	FD2_MICRO_OPEN	ALL	1973	1970	3	0.997462	0.997462	0.996452
SI	FD3_NEWS_15	FIT_2021_2024	1470	1468	2	0.997275	0.997275	0.996599
SI	FD3_NEWS_15	GATE_2025	503	502	1	1.000000	1.000000	0.998012
SI	FD3_NEWS_15	ALL	1973	1970	3	0.997970	0.997970	0.996959
SI	FD3_NEWS_60	FIT_2021_2024	1470	1468	2	0.997275	0.997275	0.996599
SI	FD3_NEWS_60	GATE_2025	503	502	1	1.000000	1.000000	0.998012
SI	FD3_NEWS_60	ALL	1973	1970	3	0.997970	0.997970	0.996959
SI	ALL_ADDING	FIT_2021_2024	1470	1468	2	0.997956	0.997956	0.997279
SI	ALL_ADDING	GATE_2025	503	502	1	1.000000	1.000000	0.998012
SI	ALL_ADDING	ALL	1973	1970	3	0.998477	0.998477	0.997466
HG	BASE	FIT_2021_2024	972	969	3	0.997936	0.997936	0.996914
HG	BASE	GATE_2025	360	355	5	0.994366	0.994366	0.983333
HG	BASE	ALL	1332	1324	8	0.996979	0.996979	0.993243
HG	FD1_CLOSE_15	FIT_2021_2024	972	969	3	0.997936	0.997936	0.996914
HG	FD1_CLOSE_15	GATE_2025	360	355	5	0.994366	0.994366	0.983333
HG	FD1_CLOSE_15	ALL	1332	1324	8	0.996979	0.996979	0.993243
HG	FD1_CLOSE_60	FIT_2021_2024	972	969	3	0.997936	0.997936	0.996914
HG	FD1_CLOSE_60	GATE_2025	360	355	5	0.994366	0.994366	0.983333
HG	FD1_CLOSE_60	ALL	1332	1324	8	0.996979	0.996979	0.993243
HG	FD2_MICRO_OPEN	FIT_2021_2024	972	969	3	0.997936	0.997936	0.996914
HG	FD2_MICRO_OPEN	GATE_2025	360	355	5	0.994366	0.994366	0.983333
HG	FD2_MICRO_OPEN	ALL	1332	1324	8	0.996979	0.996979	0.993243
HG	FD3_NEWS_15	FIT_2021_2024	972	969	3	0.998968	0.997936	0.997942
HG	FD3_NEWS_15	GATE_2025	360	355	5	1.000000	0.997183	0.988889
HG	FD3_NEWS_15	ALL	1332	1324	8	0.999245	0.997734	0.995495
HG	FD3_NEWS_60	FIT_2021_2024	972	969	3	0.997936	0.997936	0.996914
HG	FD3_NEWS_60	GATE_2025	360	355	5	0.997183	0.997183	0.986111
HG	FD3_NEWS_60	ALL	1332	1324	8	0.997734	0.997734	0.993994
HG	ALL_ADDING	FIT_2021_2024	972	969	3	0.998968	0.997936	0.997942
HG	ALL_ADDING	GATE_2025	360	355	5	1.000000	1.000000	0.988889
HG	ALL_ADDING	ALL	1332	1324	8	0.999245	0.998489	0.995495
NKD	BASE	FIT_2021_2024	1275	1272	3	0.996855	0.996069	0.996078
NKD	BASE	GATE_2025	468	467	1	0.997859	0.991435	0.997863
NKD	BASE	ALL	1743	1739	4	0.997125	0.994825	0.996558
NKD	FD1_CLOSE_15	FIT_2021_2024	1275	1272	3	0.996855	0.996069	0.996078
NKD	FD1_CLOSE_15	GATE_2025	468	467	1	0.997859	0.991435	0.997863
NKD	FD1_CLOSE_15	ALL	1743	1739	4	0.997125	0.994825	0.996558
NKD	FD1_CLOSE_60	FIT_2021_2024	1275	1272	3	0.996855	0.996069	0.996078
NKD	FD1_CLOSE_60	GATE_2025	468	467	1	0.997859	0.991435	0.997863
NKD	FD1_CLOSE_60	ALL	1743	1739	4	0.997125	0.994825	0.996558
NKD	FD2_MICRO_OPEN	FIT_2021_2024	1275	1272	3	0.996855	0.996069	0.996078
NKD	FD2_MICRO_OPEN	GATE_2025	468	467	1	0.997859	0.991435	0.997863
NKD	FD2_MICRO_OPEN	ALL	1743	1739	4	0.997125	0.994825	0.996558
NKD	FD3_NEWS_15	FIT_2021_2024	1275	1272	3	0.996855	0.996069	0.996078
NKD	FD3_NEWS_15	GATE_2025	468	467	1	0.997859	0.991435	0.997863
NKD	FD3_NEWS_15	ALL	1743	1739	4	0.997125	0.994825	0.996558
NKD	FD3_NEWS_60	FIT_2021_2024	1275	1272	3	0.996855	0.996069	0.996078
NKD	FD3_NEWS_60	GATE_2025	468	467	1	0.997859	0.991435	0.997863
NKD	FD3_NEWS_60	ALL	1743	1739	4	0.997125	0.994825	0.996558
NKD	ALL_ADDING	FIT_2021_2024	1275	1272	3	0.996855	0.996069	0.996078
NKD	ALL_ADDING	GATE_2025	468	467	1	0.997859	0.991435	0.997863
NKD	ALL_ADDING	ALL	1743	1739	4	0.997125	0.994825	0.996558
