# PORT_M1_SPEC.md §10 FAMILY DISCOVERY CENSUS (D-055) (spec_sha16=81ea7f84a085e4bb)
# params_hash=48d590fc8f22ad4b70be3be0c7152295dcf8e670cba41bb8dd436b5a76560484
# every tested cell (marginal + 2-way, n_fit >= 500); Holm family size = every row of that asset
# promotion = holm_reject AND value >= G1_asset + $150 AND per-FIT-year sign stability; 2025 is an eval-only echo
# value_peak_exit_usd is the HORIZON-FREE comparator: the walled PEAK-exit certificate of the same candidates. A clock slice whose phase-close value is high only because its horizon is long shows no edge here (median_horizon_to_phase_close_sec is the diagnostic)
asset	rank_by_value	axes	levels	n_fit	n_positive_fit	conditional_value_usd	conditional_value_complement_usd	value_minus_g1_usd	welch_z	p_raw	p_holm	holm_reject	fit_year_sign_stable	value_2021	value_2022	value_2023	value_2024	n_2025_echo	value_2025_echo	promoted	is_2way	value_peak_exit_usd	value_peak_minus_g1_peak_usd	median_horizon_to_phase_close_sec
SI	1	clock30+dow	UTC12:30|FRI	5233	1993	1809.563472	811.240225	992.497836	30.717272	0.000000	0.000000	1	1	1588.824405	1497.076271	1430.056543	2911.015625	1013	2818.790323	1	1	1317.255110	276.859814	30005.000000
SI	2	clock30+dow	UTC11:30|FRI	1160	423	1790.419622	821.287323	973.353985	13.512202	0.000000	0.000000	1	1	1550.854430	1609.361702	1498.571429	2638.131868	567	6442.661290	1	1	1281.027458	240.632162	33753.000000
SI	3	clock30+dow	UTC11:30|THU	1383	490	1769.234694	820.939288	952.169058	13.913382	0.000000	0.000000	1	1	1234.802632	1799.525862	1631.000000	2450.392157	445	1623.289474	1	1	1297.712443	257.317147	33582.000000
SI	4	clock30+dow	UTC13:00|FRI	5117	1992	1719.767821	812.398898	902.702185	28.227219	0.000000	0.000000	1	1	1188.897059	1486.302448	1579.584087	2462.765655	1307	2565.020891	1	1	1252.153799	211.758503	28306.000000
SI	5	vol_regime+spread_state	MID|WIDE	682	211	1696.362559	822.722185	879.296923	9.486537	0.000000	0.000000	1	1	2026.388889	1120.892857	876.250000	1385.625000	20	2022.500000	1	1	1450.589431	410.194135	20704.500000
SI	6	clock30+dow	UTC12:00|FRI	2205	824	1689.432646	819.334669	872.367009	18.687122	0.000000	0.000000	1	1	1600.468750	1664.256757	1379.960159	2425.827068	770	3375.497925	1	1	1252.751196	212.355900	31608.000000
SI	7	clock30+vol_regime	UTC12:30|HIGH	6041	2187	1654.070645	812.184396	837.005008	29.937869	0.000000	0.000000	1	1	1138.472222	1326.322674	1522.197099	2341.442457	1795	3244.861878	1	1	1238.572177	198.176881	30015.000000
SI	8	clock30+dow	UTC11:00|THU	1824	677	1652.976366	820.309318	835.910730	14.561479	0.000000	0.000000	1	1	1301.018519	1861.930380	1388.083756	2117.569444	659	1529.469697	1	1	1262.873367	222.478071	35676.000000
SI	9	clock30+dow	UTC11:00|FRI	1673	588	1646.743197	820.805813	829.677561	14.373521	0.000000	0.000000	1	1	1684.795918	1515.735981	1565.787293	2056.842105	709	4113.617021	1	1	1233.415207	193.019911	35628.000000
SI	10	clock30+vol_regime	UTC11:30|HIGH	2157	669	1646.737668	820.378524	829.672032	15.574219	0.000000	0.000000	1	1	1257.808642	1496.170412	1394.652778	2256.935028	1024	5755.046729	1	1	1198.376402	157.981106	33727.000000
