# PORT_M1_SPEC.md §3 vol layer V1/V2 + CC-M1-1(A) + D-054 SANE mids (spec_sha16=b84832556267e703)
# params_hash=9249e6e164e637222cf009ebe366844717b544b4e33876e84bf42e7c45150767
# the LAST row with is_frozen_candidate=1 per (asset,segment,target) is the FROZEN coefficient vector exported to M1.B (fit through 2024-12-31)
# beta_log_context is empty for HG (no context series)
asset	segment	target	refit_month	n_train	n_predict	mean_log_target	cal_persistence_log	cal_atr_log	is_frozen_candidate	beta_const	beta_log_rv1	beta_log_rv5	beta_log_rv22	beta_log_parkinson1	beta_log_gk1	beta_log_rs1	beta_log1p_jump1	beta_log_context	beta_dow_TUE	beta_dow_WED	beta_dow_THU	beta_dow_FRI
SI	SESSION	RANGE	2022-07	260	21	7.934989	0.003206	0.108867	1	6.551400	0.364867	-0.169065	-0.149696	-0.433758	0.715909	-0.589916	0.000077	1.020799	0.148098	0.064092	0.106689	0.127220
SI	SESSION	RANGE	2022-08	281	23	7.930295	0.002279	0.108189	1	5.200724	0.363984	-0.116495	-0.050380	-0.198585	0.267868	-0.384087	0.001131	0.695713	0.179641	0.103721	0.155344	0.158875
SI	SESSION	RANGE	2022-09	304	22	7.922601	0.002508	0.106847	1	5.074873	0.316173	-0.081589	-0.041041	-0.090177	0.075849	-0.270265	0.001557	0.685639	0.142452	0.071433	0.115253	0.154135
SI	SESSION	RANGE	2022-10	326	21	7.926853	0.002159	0.114978	1	5.186910	0.289247	-0.068951	-0.039209	-0.039326	0.002118	-0.237232	0.000395	0.692477	0.131101	0.077092	0.095258	0.141412
SI	SESSION	RANGE	2022-11	347	22	7.939110	0.000749	0.115875	1	5.043926	0.308357	-0.081786	-0.038310	-0.086934	0.004451	-0.200134	-0.000170	0.734819	0.099787	0.056026	0.076376	0.139146
SI	SESSION	RANGE	2022-12	369	21	7.952345	0.003579	0.117455	1	3.860180	0.303714	-0.064274	0.041722	-0.072404	-0.056616	-0.123734	-0.000114	0.582994	0.111595	0.065292	0.063549	0.133440
SI	SESSION	RANGE	2023-01	390	21	7.963901	0.002229	0.117991	1	2.602807	0.314335	0.002137	0.105416	-0.139931	0.067584	-0.182902	-0.000053	0.284305	0.124720	0.061150	0.070353	0.133213
SI	SESSION	RANGE	2023-02	411	20	7.971715	0.002645	0.115192	1	2.310229	0.346872	-0.017060	0.133861	-0.209216	0.152656	-0.229628	-0.000213	0.246921	0.117599	0.070264	0.080699	0.125149
SI	SESSION	RANGE	2023-03	431	23	7.965837	0.001923	0.105037	1	2.590412	0.337949	-0.016567	0.090583	-0.158400	0.045748	-0.137867	-0.000527	0.324690	0.126322	0.080913	0.105267	0.158231
SI	SESSION	RANGE	2023-04	454	19	7.963319	0.001269	0.105603	1	2.829734	0.330008	-0.012800	0.076325	-0.235758	0.170370	-0.175484	-0.000070	0.311980	0.118482	0.071872	0.088281	0.159102
SI	SESSION	RANGE	2023-05	473	23	7.962878	0.000659	0.106770	1	2.961014	0.311526	-0.014338	0.080027	-0.171966	0.063239	-0.121906	0.000679	0.324348	0.118758	0.071753	0.077724	0.151767
SI	SESSION	RANGE	2023-06	496	22	7.958632	0.001440	0.103908	1	3.019731	0.311999	-0.015012	0.063367	-0.228770	0.112985	-0.089776	0.000596	0.320339	0.131429	0.084568	0.101820	0.174928
SI	SESSION	RANGE	2023-07	518	21	7.955519	0.001250	0.103562	1	3.092832	0.308522	-0.011333	0.064703	-0.253734	0.171284	-0.121463	-0.000241	0.282768	0.141339	0.093562	0.118870	0.168712
SI	SESSION	RANGE	2023-08	539	23	7.948327	0.001663	0.102413	1	3.130595	0.302383	-0.008250	0.061368	-0.258827	0.165490	-0.116442	0.000907	0.316253	0.124068	0.095038	0.130655	0.153991
SI	SESSION	RANGE	2023-09	562	21	7.939179	0.000302	0.100377	1	3.053113	0.285456	0.009857	0.063823	-0.255379	0.141354	-0.100814	0.002265	0.334515	0.119563	0.096322	0.118621	0.140133
