# PORT_M1_SPEC.md §3 vol layer V1/V2 + CC-M1-1(A) + D-054 SANE mids (spec_sha16=b84832556267e703)
# params_hash=9249e6e164e637222cf009ebe366844717b544b4e33876e84bf42e7c45150767
# §3 substitution rule: the level layer consumes the source with the lowest FIT-era walk-forward MAE
asset	segment	target	selected_source	fit_mae_FVOL	fit_mae_PERSISTENCE	fit_mae_ATR14_CAL	fit_mae_ATR14_RAW	note
SI	SESSION	SIGMA	FVOL	352.919612	425.748319	377.269873	739.453327	fvol
SI	SESSION	RANGE	ATR14_RAW	1089.552269	1511.138548	1077.332173	1055.708280	BENCHMARK SUBSTITUTION (§3)
SI	TOKYO	SIGMA	FVOL	443.596205	577.817201	482.990648	1720.470055	fvol
SI	TOKYO	RANGE	FVOL	681.246665	891.974113	706.370471	1380.609089	fvol
SI	LONDON	SIGMA	FVOL	139.859042	176.559348	184.184919	1936.073334	fvol
SI	LONDON	RANGE	FVOL	375.504413	525.294819	434.821702	1493.259700	fvol
SI	NY	SIGMA	FVOL	348.247986	469.406527	381.097016	1103.147876	fvol
SI	NY	RANGE	ATR14_RAW	949.261125	1313.373814	952.272624	947.282297	BENCHMARK SUBSTITUTION (§3)
HG	SESSION	SIGMA	FVOL	188.824057	211.831445	207.603920	534.340280	fvol
HG	SESSION	RANGE	FVOL	622.010674	830.579887	647.684752	683.082284	fvol
HG	TOKYO	SIGMA	FVOL	154.503152	202.066408	184.864943	1168.379474	fvol
HG	TOKYO	RANGE	FVOL	372.975452	487.888391	398.942272	827.424687	fvol
HG	LONDON	SIGMA	FVOL	113.953532	142.838569	131.228177	1281.713302	fvol
HG	LONDON	RANGE	FVOL	308.849383	416.185390	325.825299	916.005827	fvol
HG	NY	SIGMA	FVOL	175.562998	213.138870	195.947248	933.734325	fvol
HG	NY	RANGE	FVOL	463.430571	607.987745	476.066339	617.204976	fvol
NKD	SESSION	SIGMA	FVOL	308.368956	357.739487	365.228020	756.268167	fvol
NKD	SESSION	RANGE	FVOL	843.525718	1102.394557	885.674095	874.085110	fvol
NKD	TOKYO	SIGMA	FVOL	259.887164	326.775723	301.215551	1216.938009	fvol
NKD	TOKYO	RANGE	FVOL	612.032029	797.042809	647.353092	843.057214	fvol
NKD	LONDON	SIGMA	FVOL	154.558320	187.081213	179.307036	1777.009046	fvol
NKD	LONDON	RANGE	FVOL	347.712013	454.318304	372.017773	1449.119098	fvol
NKD	NY	SIGMA	FVOL	226.503319	283.937783	272.700772	1368.015532	fvol
NKD	NY	RANGE	FVOL	539.468610	742.745905	593.752677	940.021788	fvol
