# PORT_M1_SPEC.md §3 vol layer V1/V2 + CC-M1-1(A) (m1_spec_sha16=ce0a8ca16e342cd7)
# params_hash=0afca9ff4e70de361d1f3e896166c413a6bc164c16cd22d8380181ac46434a09
# §7-B2 gate: fvol must beat BOTH benchmarks on FIT-era walk-forward MAE; ATR14 taken at its stronger variant
asset	segment	target	era	n_forecasts	mae_fvol	mae_fvol_frozen2024	mae_persistence	mae_atr14_raw	mae_atr14_cal	mae_atr14_best	gain_vs_persistence	gain_vs_atr14_best	beats_persistence	beats_atr14	verdict
SI	SESSION	RANGE	FIT_2021_2024	646	1089.822400	1089.822400	1511.325817	1055.776512	1077.426139	1055.776512	0.278896	-0.032247	1	0	FAIL
SI	SESSION	RANGE	GATE_2025	258	2100.505413	2179.382882	2843.492320	2427.938468	2307.845242	2307.845242	0.261294	0.089841	1	1	PASS
SI	SESSION	RANGE	ALL	904	1378.269543	1400.781033	1882.490998	1357.324880	1420.242692	1357.324880	0.267848	-0.015431	1	0	FAIL
SI	SESSION	SIGMA	FIT_2021_2024	646	352.975412	352.975412	425.820971	739.332690	377.241181	377.241181	0.171071	0.064324	1	1	PASS
SI	SESSION	SIGMA	GATE_2025	258	828.022669	899.429865	924.667974	1269.436678	948.156620	948.156620	0.104519	0.126703	1	1	PASS
SI	SESSION	SIGMA	ALL	904	488.553058	508.932545	564.808581	855.829138	536.308334	536.308334	0.135011	0.089044	1	1	PASS
SI	TOKYO	RANGE	FIT_2021_2024	646	681.811634	681.811634	891.861777	1378.689529	706.284951	706.284951	0.235519	0.034651	1	1	PASS
SI	TOKYO	RANGE	GATE_2025	258	1759.146704	1881.297144	2213.991925	2273.189853	2096.983243	2096.983243	0.205441	0.161106	1	1	PASS
SI	TOKYO	RANGE	ALL	904	989.281156	1024.142675	1260.230652	1575.266261	1093.758125	1093.758125	0.215000	0.095521	1	1	PASS
SI	TOKYO	SIGMA	FIT_2021_2024	646	444.421322	444.421322	577.353319	1718.142545	483.053798	483.053798	0.230244	0.079976	1	1	PASS
SI	TOKYO	SIGMA	GATE_2025	258	1043.931405	1097.632203	1298.464155	2519.474773	1313.000593	1313.000593	0.196026	0.204927	1	1	PASS
SI	TOKYO	SIGMA	ALL	904	615.520438	630.846551	778.267569	1894.244517	714.291674	714.291674	0.209115	0.138279	1	1	PASS
SI	LONDON	RANGE	FIT_2021_2024	646	375.506064	375.506064	525.294819	1493.259700	434.821702	434.821702	0.285152	0.136414	1	1	PASS
SI	LONDON	RANGE	GATE_2025	257	843.107434	903.923001	1193.102432	2535.195522	809.489501	809.489501	0.293349	-0.041530	1	0	FAIL
SI	LONDON	RANGE	ALL	903	508.588624	525.897152	710.837042	1721.544019	538.918593	538.918593	0.284521	0.056279	1	1	PASS
SI	LONDON	SIGMA	FIT_2021_2024	646	139.852802	139.852802	176.559348	1936.073334	184.184919	184.184919	0.207899	0.240694	1	1	PASS
SI	LONDON	SIGMA	GATE_2025	257	385.268707	404.633169	517.107831	3261.508947	369.439026	369.439026	0.254955	-0.042848	1	0	FAIL
SI	LONDON	SIGMA	ALL	903	209.699854	215.211112	271.176602	2226.471418	235.655519	235.655519	0.226704	0.110142	1	1	PASS
SI	NY	RANGE	FIT_2021_2024	646	949.420261	949.420261	1313.561112	947.350529	952.366962	947.350529	0.277217	-0.002185	1	0	FAIL
SI	NY	RANGE	GATE_2025	258	1588.400310	1647.582193	2044.141945	1657.742564	1600.024308	1600.024308	0.222950	0.007265	1	1	PASS
SI	NY	RANGE	ALL	904	1131.784036	1148.674441	1517.113871	1103.467348	1132.815769	1103.467348	0.253989	-0.025662	1	0	FAIL
SI	NY	SIGMA	FIT_2021_2024	646	348.275768	348.275768	469.635714	1102.896170	381.109375	381.109375	0.258413	0.086153	1	1	PASS
SI	NY	SIGMA	GATE_2025	258	695.657233	761.475118	775.945317	1868.285866	731.203801	731.203801	0.103471	0.048614	1	1	PASS
SI	NY	SIGMA	ALL	904	447.417823	466.202131	554.978994	1271.099357	478.651882	478.651882	0.193811	0.065254	1	1	PASS
HG	SESSION	RANGE	FIT_2021_2024	753	621.101817	621.101817	830.289056	684.208631	647.840943	647.840943	0.251945	0.041274	1	1	PASS
HG	SESSION	RANGE	GATE_2025	258	1301.316570	1286.975396	1638.126567	1334.030435	1354.230153	1334.030435	0.205607	0.024523	1	1	PASS
HG	SESSION	RANGE	ALL	1011	794.687778	791.028012	1032.248434	815.290746	824.438246	815.290746	0.230139	0.025271	1	1	PASS
HG	SESSION	SIGMA	FIT_2021_2024	753	189.091316	189.091316	212.342139	533.280605	208.126324	208.126324	0.109497	0.091459	1	1	PASS
HG	SESSION	SIGMA	GATE_2025	258	614.706094	604.400873	690.428537	1012.905176	674.769719	674.769719	0.109675	0.089014	1	1	PASS
HG	SESSION	SIGMA	ALL	1011	297.705176	295.075357	331.863738	630.030519	324.787173	324.787173	0.102929	0.083384	1	1	PASS
HG	TOKYO	RANGE	FIT_2021_2024	753	373.836026	373.836026	488.534407	829.935832	399.230024	399.230024	0.234781	0.063607	1	1	PASS
HG	TOKYO	RANGE	GATE_2025	258	718.023259	719.509698	946.202655	1256.647859	834.707682	834.707682	0.241153	0.139791	1	1	PASS
HG	TOKYO	RANGE	ALL	1011	461.670156	462.049485	602.951469	916.012222	508.099438	508.099438	0.234316	0.091378	1	1	PASS
HG	TOKYO	SIGMA	FIT_2021_2024	753	155.474089	155.474089	202.439136	1167.200202	185.229385	185.229385	0.231996	0.160640	1	1	PASS
HG	TOKYO	SIGMA	GATE_2025	258	426.592280	425.692992	550.049205	1530.911536	529.027336	529.027336	0.224447	0.193629	1	1	PASS
HG	TOKYO	SIGMA	ALL	1011	224.661521	224.432029	289.341653	1240.568086	271.178872	271.178872	0.223542	0.171538	1	1	PASS
HG	LONDON	RANGE	FIT_2021_2024	753	308.809472	308.809472	416.136956	915.987463	325.806586	325.806586	0.257914	0.052169	1	1	PASS
HG	LONDON	RANGE	GATE_2025	257	416.278329	416.770609	535.120855	1396.853465	495.812267	495.812267	0.222085	0.160411	1	1	PASS
HG	LONDON	RANGE	ALL	1010	336.155508	336.280771	445.796376	1012.687434	368.184336	368.184336	0.245944	0.086991	1	1	PASS
HG	LONDON	SIGMA	FIT_2021_2024	753	113.939694	113.939694	142.838569	1281.713302	131.228177	131.228177	0.202318	0.131744	1	1	PASS
HG	LONDON	SIGMA	GATE_2025	257	186.326935	187.296103	238.297526	1799.672780	231.663089	231.663089	0.218091	0.195699	1	1	PASS
HG	LONDON	SIGMA	ALL	1010	132.359022	132.605632	166.633866	1385.872602	156.263844	156.263844	0.205690	0.152977	1	1	PASS
HG	NY	RANGE	FIT_2021_2024	753	462.922915	462.922915	607.988054	617.413105	475.879054	475.879054	0.238599	0.027226	1	1	PASS
HG	NY	RANGE	GATE_2025	258	1075.325174	1059.946945	1347.776239	1232.096014	1040.077234	1040.077234	0.202149	-0.033890	1	0	FAIL
HG	NY	RANGE	ALL	1011	619.203610	615.279196	792.935100	741.406999	616.928599	616.928599	0.219099	-0.003688	1	0	FAIL
HG	NY	SIGMA	FIT_2021_2024	753	175.478060	175.478060	212.937854	932.457535	196.348296	196.348296	0.175919	0.106292	1	1	PASS
HG	NY	SIGMA	GATE_2025	258	569.166458	562.606958	663.497800	1442.391210	563.077472	563.077472	0.142173	-0.010814	1	0	FAIL
HG	NY	SIGMA	ALL	1011	275.944536	274.270598	325.577841	1035.321404	288.030590	288.030590	0.152447	0.041961	1	1	PASS
NKD	SESSION	RANGE	FIT_2021_2024	754	868.279544	868.279544	1134.874208	890.089148	904.484420	890.089148	0.234911	0.024503	1	1	PASS
NKD	SESSION	RANGE	GATE_2025	258	1293.257223	1295.017512	1663.516460	1486.122893	1496.938967	1486.122893	0.222576	0.129778	1	1	PASS
NKD	SESSION	RANGE	ALL	1012	976.623656	977.072425	1266.906832	1010.133415	1052.454674	1010.133415	0.229127	0.033174	1	1	PASS
NKD	SESSION	SIGMA	FIT_2021_2024	754	328.573274	328.573274	388.153393	758.869071	381.458606	381.458606	0.153496	0.138640	1	1	PASS
NKD	SESSION	SIGMA	GATE_2025	258	550.593719	552.256679	622.159779	1165.994462	667.573459	667.573459	0.115028	0.175231	1	1	PASS
NKD	SESSION	SIGMA	ALL	1012	385.175324	385.599280	446.598357	840.866223	452.918075	452.918075	0.137535	0.149570	1	1	PASS
NKD	TOKYO	RANGE	FIT_2021_2024	754	625.141293	625.141293	824.152026	838.075840	655.766500	655.766500	0.241473	0.046701	1	1	PASS
NKD	TOKYO	RANGE	GATE_2025	258	908.799094	906.654396	1226.160940	1228.839338	978.109064	978.109064	0.258826	0.070861	1	1	PASS
NKD	TOKYO	RANGE	ALL	1012	697.457215	696.910444	924.556963	916.777622	736.274130	736.274130	0.245631	0.052721	1	1	PASS
NKD	TOKYO	SIGMA	FIT_2021_2024	754	266.586237	266.586237	336.218949	1204.153974	305.789259	305.789259	0.207105	0.128203	1	1	PASS
NKD	TOKYO	SIGMA	GATE_2025	258	397.916231	398.859237	473.723632	1726.006257	474.455573	474.455573	0.160025	0.161320	1	1	PASS
NKD	TOKYO	SIGMA	ALL	1012	300.067599	300.308010	370.561842	1309.257713	347.915018	347.915018	0.190236	0.137526	1	1	PASS
NKD	LONDON	RANGE	FIT_2021_2024	754	347.997954	347.997954	454.318304	1449.119098	372.017773	372.017773	0.234022	0.064566	1	1	PASS
NKD	LONDON	RANGE	GATE_2025	257	457.709433	457.889865	579.651935	2182.197272	497.312837	497.312837	0.210372	0.079635	1	1	PASS
NKD	LONDON	RANGE	ALL	1011	375.887024	375.932891	485.530264	1596.307450	403.220129	403.220129	0.225822	0.067787	1	1	PASS
NKD	LONDON	SIGMA	FIT_2021_2024	754	155.076696	155.076696	187.172138	1777.043467	179.352522	179.352522	0.171476	0.135353	1	1	PASS
NKD	LONDON	SIGMA	GATE_2025	257	199.956660	200.171708	246.522645	2630.319954	245.331039	245.331039	0.188891	0.184952	1	1	PASS
NKD	LONDON	SIGMA	ALL	1011	166.485351	166.540018	201.952254	1948.365387	195.783219	195.783219	0.175620	0.149644	1	1	PASS
NKD	NY	RANGE	FIT_2021_2024	754	565.342181	565.342181	762.603003	946.769079	608.890738	608.890738	0.258668	0.071521	1	1	PASS
NKD	NY	RANGE	GATE_2025	258	840.403113	844.544708	1039.573258	1535.635621	944.138504	944.138504	0.191588	0.109873	1	1	PASS
NKD	NY	RANGE	ALL	1012	635.466411	636.522272	831.778536	1065.369835	692.621545	692.621545	0.236015	0.082520	1	1	PASS
NKD	NY	SIGMA	FIT_2021_2024	754	251.999234	251.999234	315.097564	1372.319551	289.780546	289.780546	0.200250	0.130379	1	1	PASS
NKD	NY	SIGMA	GATE_2025	258	437.506580	439.017146	518.015426	1973.707613	522.331665	522.331665	0.155418	0.162397	1	1	PASS
NKD	NY	SIGMA	ALL	1012	299.292609	299.677714	365.777920	1493.442205	347.862045	347.862045	0.181764	0.139623	1	1	PASS
