# PORT_M1_SPEC.md §11 generation truth audit (D-069) (spec_sha16=12f0a849107b2d3f)
# params_hash=0c87f9b2ed7fd81e9552b75d62fdae069364b96ff083afce46b8e8bfbba46778
# §11.A progress-decile matrix + the dollars still ahead at each decile boundary (leg-middle density verdict)
asset	era	decile	n_legs	n_candidates	cands_per_leg	share_of_candidates	frac_legs_with_candidate	remaining_at_decile_start_median_usd	remaining_at_decile_start_mean_usd
HG	2021	0	2044	8957	4.382094	0.190150	0.833170	925.000000	1085.766267
HG	2021	1	2044	5827	2.850783	0.123702	0.847847	700.000000	839.273483
HG	2021	2	2044	4464	2.183953	0.094767	0.769080	625.000000	755.482510
HG	2021	3	2044	3921	1.918297	0.083240	0.739726	575.000000	693.453400
HG	2021	4	2044	3591	1.756849	0.076234	0.688845	518.750000	635.916096
HG	2021	5	2044	3657	1.789139	0.077635	0.685910	475.000000	580.017735
HG	2021	6	2044	3658	1.789628	0.077656	0.673679	425.000000	523.501712
HG	2021	7	2044	3863	1.889922	0.082008	0.692759	375.000000	467.566659
HG	2021	8	2044	4194	2.051859	0.089035	0.706458	318.750000	399.574976
HG	2021	9	2044	4973	2.432975	0.105573	0.717221	240.625000	302.660225
HG	2022	0	2320	10376	4.472414	0.184982	0.815517	950.000000	1118.316272
HG	2022	1	2320	6684	2.881034	0.119161	0.839655	712.500000	867.497306
HG	2022	2	2320	5333	2.298707	0.095076	0.774569	637.500000	782.548491
HG	2022	3	2320	4908	2.115517	0.087499	0.737931	581.250000	714.938039
HG	2022	4	2320	4501	1.940086	0.080243	0.718966	537.500000	653.750000
HG	2022	5	2320	4555	1.963362	0.081206	0.712500	481.250000	598.636853
HG	2022	6	2320	4397	1.895259	0.078389	0.685776	437.500000	533.448276
HG	2022	7	2320	4668	2.012069	0.083220	0.709052	387.500000	470.334052
HG	2022	8	2320	4796	2.067241	0.085502	0.690517	318.750000	392.653556
HG	2022	9	2320	5874	2.531897	0.104721	0.711207	243.750000	299.183728
HG	2023	0	1752	8708	4.970320	0.185648	0.844749	781.250000	903.660103
HG	2023	1	1752	5551	3.168379	0.118343	0.865868	600.000000	704.819492
HG	2023	2	1752	4459	2.545091	0.095062	0.820776	543.750000	632.487871
HG	2023	3	1752	4099	2.339612	0.087388	0.766553	493.750000	572.363727
HG	2023	4	1752	3762	2.147260	0.080203	0.737443	443.750000	513.177797
HG	2023	5	1752	3623	2.067922	0.077240	0.718607	400.000000	465.403824
HG	2023	6	1752	3806	2.172374	0.081141	0.719178	356.250000	414.982877
HG	2023	7	1752	3929	2.242580	0.083763	0.708904	306.250000	360.744863
HG	2023	8	1752	4188	2.390411	0.089285	0.728881	250.000000	300.121290
HG	2023	9	1752	4781	2.728881	0.101927	0.743151	187.500000	222.895263
HG	2024	0	1899	8991	4.734597	0.184264	0.828331	850.000000	1011.473144
HG	2024	1	1899	5538	2.916272	0.113498	0.844128	643.750000	785.515403
HG	2024	2	1899	4606	2.425487	0.094397	0.777778	575.000000	704.587941
HG	2024	3	1899	4306	2.267509	0.088249	0.762507	525.000000	636.502765
HG	2024	4	1899	3875	2.040548	0.079416	0.718799	475.000000	581.839126
HG	2024	5	1899	3970	2.090574	0.081362	0.723012	437.500000	525.961032
HG	2024	6	1899	3814	2.008425	0.078165	0.697736	381.250000	469.869010
HG	2024	7	1899	4203	2.213270	0.086138	0.695629	331.250000	408.214850
HG	2024	8	1899	4371	2.301738	0.089581	0.718273	275.000000	337.230121
HG	2024	9	1899	5120	2.696156	0.104931	0.744602	200.000000	251.843075
HG	2025	0	2551	10150	3.978832	0.180573	0.754214	1100.000000	1347.398079
HG	2025	1	2551	6763	2.651117	0.120317	0.785182	825.000000	1045.151411
HG	2025	2	2551	5575	2.185417	0.099182	0.739710	737.500000	934.929929
HG	2025	3	2551	4909	1.924343	0.087333	0.703254	675.000000	854.980890
HG	2025	4	2551	4620	1.811054	0.082192	0.680125	606.250000	776.825265
HG	2025	5	2551	4592	1.800078	0.081694	0.675421	550.000000	706.041748
HG	2025	6	2551	4518	1.771070	0.080377	0.671109	487.500000	635.380733
HG	2025	7	2551	4661	1.827127	0.082921	0.667189	431.250000	568.426597
HG	2025	8	2551	4738	1.857311	0.084291	0.663661	356.250000	474.404645
HG	2025	9	2551	5684	2.228146	0.101121	0.693846	262.500000	355.571345
HG	ALL	0	10566	47182	4.465455	0.184950	0.811281	925.000000	1112.531942
HG	ALL	1	10566	30363	2.873651	0.119021	0.833239	700.000000	863.220471
HG	ALL	2	10566	24437	2.312796	0.095791	0.773330	625.000000	775.208807
HG	ALL	3	10566	22143	2.095684	0.086799	0.739069	568.750000	706.855125
HG	ALL	4	10566	20349	1.925894	0.079767	0.706795	518.750000	643.781351
HG	ALL	5	10566	20397	1.930437	0.079955	0.701306	468.750000	585.812394
HG	ALL	6	10566	20193	1.911130	0.079155	0.687583	418.750000	525.063884
HG	ALL	7	10566	21324	2.018171	0.083588	0.693356	368.750000	464.145609
HG	ALL	8	10566	22287	2.109313	0.087363	0.698467	306.250000	388.425729
HG	ALL	9	10566	26432	2.501609	0.103611	0.719478	225.000000	292.312015
HG	FIT_2021_2024	0	8015	37032	4.620337	0.186187	0.829445	875.000000	1037.779164
HG	FIT_2021_2024	1	8015	23600	2.944479	0.118654	0.848534	662.500000	805.315814
HG	FIT_2021_2024	2	8015	18862	2.353337	0.094833	0.784030	593.750000	724.373051
HG	FIT_2021_2024	3	8015	17234	2.150218	0.086648	0.750468	543.750000	659.709919
HG	FIT_2021_2024	4	8015	15729	1.962445	0.079081	0.715284	493.750000	601.436369
HG	FIT_2021_2024	5	8015	15805	1.971928	0.079463	0.709545	450.000000	547.546007
