# PORT_M1_SPEC.md §11 generation truth audit (D-069) (spec_sha16=12f0a849107b2d3f)
# params_hash=0c87f9b2ed7fd81e9552b75d62fdae069364b96ff083afce46b8e8bfbba46778
# deterministic by construction: the cell's MEDIAN-offer session (seed 20260814 declared, never consulted)
asset	year	offer_quartile	n_sessions_in_cell	offer_lo_usd	offer_hi_usd	trade_date	offer_usd	plot
SI	2021	1	35	900.000000	2100.000000	2021-08-02	1625.000000	SI_20210802.png
SI	2021	2	36	2125.000000	2475.000000	2021-08-20	2300.000000	SI_20210820.png
SI	2021	3	35	2475.000000	3425.000000	2021-08-18	2837.500000	SI_20210818.png
SI	2021	4	36	3475.000000	10037.500000	2021-07-06	4025.000000	SI_20210706.png
SI	2022	1	64	1200.000000	2300.000000	2022-02-02	2012.500000	SI_20220202.png
SI	2022	2	65	2312.500000	2975.000000	2022-04-26	2650.000000	SI_20220426.png
SI	2022	3	64	3012.500000	3825.000000	2022-03-18	3312.500000	SI_20220318.png
SI	2022	4	65	3825.000000	9687.500000	2022-02-15	4687.500000	SI_20220215.png
SI	2023	1	64	937.500000	1962.500000	2023-06-09	1675.000000	SI_20230609.png
SI	2023	2	64	1975.000000	2537.500000	2023-03-23	2312.500000	SI_20230323.png
SI	2023	3	64	2550.000000	3375.000000	2023-04-13	2950.000000	SI_20230413.png
SI	2023	4	65	3387.500000	7650.000000	2023-06-13	4150.000000	SI_20230613.png
SI	2024	1	64	1112.500000	2650.000000	2024-02-21	2112.500000	SI_20240221.png
SI	2024	2	65	2650.000000	3700.000000	2024-09-02	3225.000000	SI_20240902.png
SI	2024	3	65	3725.000000	4962.500000	2024-11-08	4337.500000	SI_20241108.png
SI	2024	4	65	4987.500000	12212.500000	2024-08-02	6475.000000	SI_20240802.png
SI	2025	1	64	1587.500000	3500.000000	2025-07-23	2800.000000	SI_20250723.png
SI	2025	2	65	3500.000000	4700.000000	2025-05-27	4000.000000	SI_20250527.png
SI	2025	3	64	4725.000000	7262.500000	2025-07-07	5512.500000	SI_20250707.png
SI	2025	4	65	7337.500000	62112.500000	2025-11-10	11125.000000	SI_20251110.png
HG	2021	1	61	962.500000	1868.750000	2021-02-01	1525.000000	HG_20210201.png
HG	2021	2	62	1875.000000	2312.500000	2021-04-23	2100.000000	HG_20210423.png
HG	2021	3	62	2318.750000	3112.500000	2021-05-14	2656.250000	HG_20210514.png
HG	2021	4	62	3118.750000	7531.250000	2021-10-14	3806.250000	HG_20211014.png
HG	2022	1	64	968.750000	1943.750000	2022-12-16	1775.000000	HG_20221216.png
HG	2022	2	65	1950.000000	2418.750000	2022-07-25	2168.750000	HG_20220725.png
HG	2022	3	64	2431.250000	3162.500000	2022-06-10	2706.250000	HG_20220610.png
HG	2022	4	65	3181.250000	9218.750000	2022-01-24	3775.000000	HG_20220124.png
HG	2023	1	64	662.500000	1412.500000	2023-06-16	1212.500000	HG_20230616.png
HG	2023	2	64	1418.750000	1837.500000	2023-11-07	1606.250000	HG_20231107.png
HG	2023	3	64	1856.250000	2331.250000	2023-05-04	2037.500000	HG_20230504.png
HG	2023	4	65	2331.250000	4687.500000	2023-03-08	2768.750000	HG_20230308.png
HG	2024	1	64	643.750000	1462.500000	2024-12-19	1187.500000	HG_20241219.png
HG	2024	2	65	1468.750000	1981.250000	2024-09-20	1687.500000	HG_20240920.png
