# PORT_M1_SPEC.md §6 G2/G3 generation + census (m1_spec_sha16=ce0a8ca16e342cd7)
# params_hash=c75dfe7800a15afedcb612e374c664951cb4c3ebb8798a6254e55c4d1c8e4fbc
# ANCHORED oracle (CC-M0-2.1); union gate = recall@$1,000 >= 0.99
asset	dropped_exclusive_family	era	n_legs	recall_900	recall_1000	recall_1100	recall_1000_screened	gate_ge_99
SI	NONE	FIT_2021_2024	1470	0.995238	0.994558	0.990476	0.994558	PASS
SI	NONE	GATE_2025	503	0.998012	0.998012	0.998012	0.998012	PASS
SI	NONE	ALL	1973	0.995945	0.995438	0.992397	0.995438	PASS
SI	G1	FIT_2021_2024	1470	0.992517	0.989116	0.982993	0.988435	
SI	G1	GATE_2025	503	0.998012	0.998012	0.998012	0.998012	
SI	G1	ALL	1973	0.993918	0.991384	0.986822	0.990877	
SI	G2_REJECT	FIT_2021_2024	1470	0.994558	0.993878	0.990476	0.993878	
SI	G2_REJECT	GATE_2025	503	0.998012	0.998012	0.998012	0.998012	
SI	G2_REJECT	ALL	1973	0.995438	0.994932	0.992397	0.994932	
SI	G2_RECLAIM	FIT_2021_2024	1470	0.995238	0.994558	0.990476	0.994558	
SI	G2_RECLAIM	GATE_2025	503	0.998012	0.998012	0.998012	0.998012	
SI	G2_RECLAIM	ALL	1973	0.995945	0.995438	0.992397	0.995438	
SI	G3_RATE	FIT_2021_2024	1470	0.995238	0.994558	0.990476	0.994558	
SI	G3_RATE	GATE_2025	503	0.998012	0.998012	0.998012	0.998012	
SI	G3_RATE	ALL	1973	0.995945	0.995438	0.992397	0.995438	
SI	G3_FLOW	FIT_2021_2024	1470	0.995238	0.994558	0.989796	0.994558	
SI	G3_FLOW	GATE_2025	503	0.998012	0.998012	0.998012	0.998012	
SI	G3_FLOW	ALL	1973	0.995945	0.995438	0.991891	0.995438	
HG	NONE	FIT_2021_2024	972	0.994856	0.994856	0.994856	0.994856	PASS
HG	NONE	GATE_2025	360	0.988889	0.988889	0.988889	0.980556	
HG	NONE	ALL	1332	0.993243	0.993243	0.993243	0.990991	PASS
HG	G1	FIT_2021_2024	972	0.991770	0.991770	0.990741	0.991770	
HG	G1	GATE_2025	360	0.983333	0.980556	0.980556	0.975000	
HG	G1	ALL	1332	0.989489	0.988739	0.987988	0.987237	
HG	G2_REJECT	FIT_2021_2024	972	0.994856	0.994856	0.994856	0.994856	
HG	G2_REJECT	GATE_2025	360	0.988889	0.988889	0.988889	0.980556	
HG	G2_REJECT	ALL	1332	0.993243	0.993243	0.993243	0.990991	
HG	G2_RECLAIM	FIT_2021_2024	972	0.994856	0.994856	0.994856	0.994856	
HG	G2_RECLAIM	GATE_2025	360	0.988889	0.988889	0.988889	0.980556	
HG	G2_RECLAIM	ALL	1332	0.993243	0.993243	0.993243	0.990991	
HG	G3_RATE	FIT_2021_2024	972	0.994856	0.994856	0.994856	0.994856	
HG	G3_RATE	GATE_2025	360	0.988889	0.988889	0.988889	0.980556	
HG	G3_RATE	ALL	1332	0.993243	0.993243	0.993243	0.990991	
HG	G3_FLOW	FIT_2021_2024	972	0.994856	0.993827	0.992798	0.993827	
HG	G3_FLOW	GATE_2025	360	0.988889	0.988889	0.988889	0.980556	
HG	G3_FLOW	ALL	1332	0.993243	0.992492	0.991742	0.990240	
NKD	NONE	FIT_2021_2024	1287	0.988345	0.986014	0.984460	0.979798	
NKD	NONE	GATE_2025	468	0.987179	0.985043	0.982906	0.980769	
NKD	NONE	ALL	1755	0.988034	0.985755	0.984046	0.980057	
NKD	G1	FIT_2021_2024	1287	0.984460	0.979798	0.976690	0.972805	
NKD	G1	GATE_2025	468	0.980769	0.976496	0.972222	0.972222	
NKD	G1	ALL	1755	0.983476	0.978917	0.975499	0.972650	
NKD	G2_REJECT	FIT_2021_2024	1287	0.988345	0.986014	0.984460	0.979798	
NKD	G2_REJECT	GATE_2025	468	0.987179	0.985043	0.982906	0.980769	
NKD	G2_REJECT	ALL	1755	0.988034	0.985755	0.984046	0.980057	
NKD	G2_RECLAIM	FIT_2021_2024	1287	0.988345	0.986014	0.984460	0.979798	
NKD	G2_RECLAIM	GATE_2025	468	0.987179	0.985043	0.982906	0.980769	
NKD	G2_RECLAIM	ALL	1755	0.988034	0.985755	0.984046	0.980057	
NKD	G3_RATE	FIT_2021_2024	1287	0.987568	0.985237	0.983683	0.979798	
NKD	G3_RATE	GATE_2025	468	0.987179	0.985043	0.982906	0.980769	
NKD	G3_RATE	ALL	1755	0.987464	0.985185	0.983476	0.980057	
NKD	G3_FLOW	FIT_2021_2024	1287	0.988345	0.986014	0.983683	0.979798	
NKD	G3_FLOW	GATE_2025	468	0.987179	0.985043	0.982906	0.980769	
NKD	G3_FLOW	ALL	1755	0.988034	0.985755	0.983476	0.980057	
