# PORT_M1_SPEC.md §6b level relevance (CC-M1-1 B) (m1_spec_sha16=ce0a8ca16e342cd7)
# params_hash=26533ead43a7ec32391653a10e9e4aacaacbcb3ded4d1dfe9fa9e6776315343a
# family levels displaced by +0.5 x ATR14 / mult, sign alternating by level index within the family (deterministic)
# lift < 1.5 AND exclusive union-DP add < $150/day
asset	level_family	era	n_oracle_extremes	n_hit	capture	n_hit_null	null_capture	lift	n_g2_candidates	mean_cert_usd	median_cert_usd	exclusive_dp_add_median_usd	decision
SI	DEV_POC	ALL	3946	145	0.036746	148	0.037506	0.979730	4993	-17.637693	-180.000000	0.000000	
SI	DEV_POC	FIT_2021_2024	2940	95	0.032313	113	0.038435	0.840708	4993	-17.637693	-180.000000	0.000000	RETIRE
SI	DEV_POC	GATE_2025	1006	50	0.049702	35	0.034791	1.428571	4993	-17.637693	-180.000000	0.000000	
SI	FVOL_BAND	ALL	3946	2406	0.609731	1113	0.282058	2.161725	33374	-4.462156	-255.000000	0.000000	
SI	FVOL_BAND	FIT_2021_2024	2940	1775	0.603741	804	0.273469	2.207711	33374	-4.462156	-255.000000	0.000000	KEEP
SI	FVOL_BAND	GATE_2025	1006	631	0.627237	309	0.307157	2.042071	33374	-4.462156	-255.000000	0.000000	
SI	FVOL_LADDER	ALL	3854	2636	0.683965	1100	0.285418	2.396364	37367	-8.605789	-230.000000	0.000000	
SI	FVOL_LADDER	FIT_2021_2024	2848	2031	0.713132	855	0.300211	2.375439	37367	-8.605789	-230.000000	0.000000	KEEP
SI	FVOL_LADDER	GATE_2025	1006	605	0.601392	245	0.243539	2.469388	37367	-8.605789	-230.000000	0.000000	
SI	FVOL_LADDER_RS	ALL	3854	2627	0.681629	1121	0.290867	2.343443	37384	-7.974869	-230.000000	0.000000	
SI	FVOL_LADDER_RS	FIT_2021_2024	2848	2006	0.704354	867	0.304424	2.313725	37384	-7.974869	-230.000000	0.000000	KEEP
SI	FVOL_LADDER_RS	GATE_2025	1006	621	0.617296	254	0.252485	2.444882	37384	-7.974869	-230.000000	0.000000	
SI	NDAY	ALL	3946	265	0.067157	156	0.039534	1.698718	3061	-18.684254	-192.500000	0.000000	
SI	NDAY	FIT_2021_2024	2940	198	0.067347	112	0.038095	1.767857	3061	-18.684254	-192.500000	0.000000	KEEP
SI	NDAY	GATE_2025	1006	67	0.066600	44	0.043738	1.522727	3061	-18.684254	-192.500000	0.000000	
SI	PHASE_HL	ALL	3946	1288	0.326406	858	0.217435	1.501166	15774	-29.933435	-180.000000	0.000000	
SI	PHASE_HL	FIT_2021_2024	2940	960	0.326531	641	0.218027	1.497660	15774	-29.933435	-180.000000	0.000000	RETIRE
SI	PHASE_HL	GATE_2025	1006	328	0.326044	217	0.215706	1.511521	15774	-29.933435	-180.000000	0.000000	
SI	PRIOR_DAY	ALL	3946	543	0.137608	325	0.082362	1.670769	5437	-23.912084	-167.500000	0.000000	
SI	PRIOR_DAY	FIT_2021_2024	2940	406	0.138095	238	0.080952	1.705882	5437	-23.912084	-167.500000	0.000000	KEEP
SI	PRIOR_DAY	GATE_2025	1006	137	0.136183	87	0.086481	1.574713	5437	-23.912084	-167.500000	0.000000	
SI	PRIOR_WEEK	ALL	3946	112	0.028383	115	0.029143	0.973913	1301	-34.150653	-255.000000	0.000000	
SI	PRIOR_WEEK	FIT_2021_2024	2940	83	0.028231	87	0.029592	0.954023	1301	-34.150653	-255.000000	0.000000	RETIRE
SI	PRIOR_WEEK	GATE_2025	1006	29	0.028827	28	0.027833	1.035714	1301	-34.150653	-255.000000	0.000000	
SI	PROFILE	ALL	3946	1821	0.461480	2102	0.532691	0.866318	33247	-28.034409	-242.500000	0.000000	
SI	PROFILE	FIT_2021_2024	2940	1349	0.458844	1505	0.511905	0.896346	33247	-28.034409	-242.500000	0.000000	RETIRE
SI	PROFILE	GATE_2025	1006	472	0.469185	597	0.593439	0.790620	33247	-28.034409	-242.500000	0.000000	
SI	ROUND	ALL	3946	972	0.246325	1125	0.285099	0.864000	9281	-10.181284	-367.500000	0.000000	
SI	ROUND	FIT_2021_2024	2940	635	0.215986	742	0.252381	0.855795	9281	-10.181284	-367.500000	0.000000	RETIRE
SI	ROUND	GATE_2025	1006	337	0.334990	383	0.380716	0.879896	9281	-10.181284	-367.500000	0.000000	
SI	VWAP	ALL	3946	2963	0.750887	1978	0.501267	1.497978	44860	-13.984897	-217.500000	0.000000	
