# PORT_M1B_SPEC.md S1.1+S1.2 enriched generation v3 (CC-M1-6.1 + CC-M1-7.1) (spec_sha16=d31f48b59877e44d)
# params_hash=e5e8d8aed7cf4e0fab91f11b0726a76ab8195a74284c2ef6eeed37daa33b42f2
asset	family	era	n_sessions	exclusive_dp_add_median_usd	exclusive_dp_add_mean_usd	n_exclusive_median	n_exclusive_total
SI	G1	FIT_2021_2024	916	0.000000	15.534934	123.000000	123437
SI	G1	GATE_2025	258	0.000000	40.455426	140.500000	40913
SI	G1	ALL	1174	0.000000	21.011499	126.000000	164350
SI	G1_FINE	FIT_2021_2024	916	112.500000	135.308406	158.000000	155839
SI	G1_FINE	GATE_2025	258	150.000000	213.575581	184.000000	51934
SI	G1_FINE	ALL	1174	112.500000	152.508518	165.000000	207773
SI	G1_FAST_OPEN	FIT_2021_2024	916	0.000000	7.063319	2.500000	3148
SI	G1_FAST_OPEN	GATE_2025	258	0.000000	27.713178	5.000000	1589
SI	G1_FAST_OPEN	ALL	1174	0.000000	11.601363	3.000000	4737
SI	G2_REJECT	FIT_2021_2024	916	0.000000	8.646288	58.000000	55965
SI	G2_REJECT	GATE_2025	258	0.000000	19.040698	70.000000	18993
SI	G2_REJECT	ALL	1174	0.000000	10.930579	60.000000	74958
SI	G2_RECLAIM	FIT_2021_2024	916	0.000000	5.633188	17.000000	17828
SI	G2_RECLAIM	GATE_2025	258	0.000000	7.732558	19.000000	5789
SI	G2_RECLAIM	ALL	1174	0.000000	6.094549	17.000000	23617
SI	NEWS_WINDOW	FIT_2021_2024	916	0.000000	6.782205	19.000000	20888
SI	NEWS_WINDOW	GATE_2025	258	0.000000	10.465116	16.000000	4573
SI	NEWS_WINDOW	ALL	1174	0.000000	7.591567	18.000000	25461
SI	MICRO_OPEN	FIT_2021_2024	916	0.000000	1.460153	6.000000	6009
SI	MICRO_OPEN	GATE_2025	258	0.000000	2.180233	6.000000	1740
SI	MICRO_OPEN	ALL	1174	0.000000	1.618399	6.000000	7749
SI	POST_SHOCK	FIT_2021_2024	916	0.000000	0.000000	0.000000	0
SI	POST_SHOCK	GATE_2025	258	0.000000	0.000000	0.000000	0
SI	POST_SHOCK	ALL	1174	0.000000	0.000000	0.000000	0
SI	FIRST_TEST	FIT_2021_2024	916	0.000000	0.000000	0.000000	0
SI	FIRST_TEST	GATE_2025	258	0.000000	0.000000	0.000000	0
SI	FIRST_TEST	ALL	1174	0.000000	0.000000	0.000000	0
HG	G1	FIT_2021_2024	1021	0.000000	10.353820	123.000000	134524
HG	G1	GATE_2025	258	0.000000	12.209302	127.000000	36964
HG	G1	ALL	1279	0.000000	10.728108	123.000000	171488
HG	G1_FINE	FIT_2021_2024	1021	81.250000	105.100392	158.000000	174683
HG	G1_FINE	GATE_2025	258	112.500000	128.609496	165.000000	46791
HG	G1_FINE	ALL	1279	87.500000	109.842651	159.000000	221474
HG	G1_FAST_OPEN	FIT_2021_2024	1021	0.000000	9.697600	4.000000	5058
HG	G1_FAST_OPEN	GATE_2025	258	0.000000	19.040698	5.000000	1678
HG	G1_FAST_OPEN	ALL	1279	0.000000	11.582291	4.000000	6736
HG	G2_REJECT	FIT_2021_2024	1021	0.000000	6.464251	49.000000	51978
HG	G2_REJECT	GATE_2025	258	0.000000	10.949612	50.000000	13103
HG	G2_REJECT	ALL	1279	0.000000	7.369038	49.000000	65081
HG	G2_RECLAIM	FIT_2021_2024	1021	0.000000	3.166014	13.000000	15529
HG	G2_RECLAIM	GATE_2025	258	0.000000	4.219961	13.000000	3889
HG	G2_RECLAIM	ALL	1279	0.000000	3.378616	13.000000	19418
HG	NEWS_WINDOW	FIT_2021_2024	1021	0.000000	1.665034	11.000000	13701
HG	NEWS_WINDOW	GATE_2025	258	0.000000	49.200581	9.000000	3119
