# PORT_M1B_SPEC.md S1.1+S1.2 enriched generation v3 (CC-M1-6.1 + CC-M1-7.1) (spec_sha16=d31f48b59877e44d)
# params_hash=e5e8d8aed7cf4e0fab91f11b0726a76ab8195a74284c2ef6eeed37daa33b42f2
# CC-M1-7.3: conditional value is the operative metric; marginal = union minus the roster with that family's EXCLUSIVE candidates removed
asset	family	era	n_candidates	n_positive	conditional_value_usd	conditional_value_peak_usd	cond_value_minus_g1_usd	cond_value_peak_minus_g1_usd	seat_share	n_exclusive_total	exclusive_dp_add_median_usd	recall_gate_1000_union	recall_gate_1000_without	marginal_recall_gate_pp	recall_all_1000_union	recall_all_1000_without	marginal_recall_all_pp
SI	G1	FIT_2021_2024	143085	60980	817.065636	1040.395296	0.000000	0.000000	0.157148	123437	0.000000	0.997275	0.997275	0.000000	0.996599	0.996599	0.000000
SI	G1	GATE_2025	46594	16287	1451.382391	1681.893481	0.000000	0.000000	0.184729	40913	0.000000	1.000000	1.000000	0.000000	0.998012	0.998012	0.000000
SI	G1	ALL	189679	77267	950.772354	1195.969317	0.000000	0.000000	0.163316	164350	0.000000	0.997970	0.997970	0.000000	0.996959	0.996959	0.000000
SI	G1_FINE	FIT_2021_2024	160435	68861	814.335872	1045.631085	-2.729764	5.235789	0.648457	155839	112.500000	0.997275	0.997275	0.000000	0.996599	0.996599	0.000000
SI	G1_FINE	GATE_2025	54614	19181	1356.662583	1615.443658	-94.719808	-66.449823	0.570197	51934	150.000000	1.000000	1.000000	0.000000	0.998012	0.998012	0.000000
SI	G1_FINE	ALL	215049	88042	932.488216	1188.348697	-18.284138	-7.620619	0.630956	207773	112.500000	0.997970	0.997970	0.000000	0.996959	0.996959	0.000000
SI	G1_FAST_OPEN	FIT_2021_2024	3163	1235	1001.072874	1302.198104	184.007238	261.802808	0.049016	3148	0.000000	0.997275	0.996594	0.068120	0.996599	0.995238	0.136054
SI	G1_FAST_OPEN	GATE_2025	1599	508	1750.241142	1880.204778	298.858751	198.311297	0.079794	1589	0.000000	1.000000	1.000000	0.000000	0.998012	0.998012	0.000000
SI	G1_FAST_OPEN	ALL	4762	1743	1219.419105	1491.591926	268.646751	295.622609	0.056338	4737	0.000000	0.997970	0.997462	0.050761	0.996959	0.995945	0.101368
SI	G2_REJECT	FIT_2021_2024	75943	32218	840.421814	1017.441659	23.356178	-22.953636	0.136928	55965	0.000000	0.997275	0.996594	0.068120	0.996599	0.995918	0.068027
SI	G2_REJECT	GATE_2025	24232	8791	1429.229610	1564.516944	-22.152781	-117.376537	0.151478	18993	0.000000	1.000000	1.000000	0.000000	0.998012	0.998012	0.000000
SI	G2_REJECT	ALL	100175	41009	966.643115	1148.368375	15.870761	-47.600942	0.140182	74958	0.000000	0.997970	0.997462	0.050761	0.996959	0.996452	0.050684
SI	G2_RECLAIM	FIT_2021_2024	18045	7664	880.304671	989.711482	63.239035	-50.683814	0.039714	17828	0.000000	0.997275	0.997275	0.000000	0.996599	0.996599	0.000000
SI	G2_RECLAIM	GATE_2025	6008	2081	1568.618453	1554.214286	117.236062	-127.679196	0.033375	5789	0.000000	1.000000	1.000000	0.000000	0.998012	0.998012	0.000000
SI	G2_RECLAIM	ALL	24053	9745	1027.290918	1129.316486	76.518564	-66.652831	0.038291	23617	0.000000	0.997970	0.997970	0.000000	0.996959	0.996959	0.000000
SI	NEWS_WINDOW	FIT_2021_2024	21229	8520	1277.200704	1069.564430	460.135068	29.169134	0.019865	20888	0.000000	0.997275	0.996594	0.068120	0.996599	0.995918	0.068027
SI	NEWS_WINDOW	GATE_2025	4620	1411	2230.497874	1555.484988	779.115483	-126.408493	0.021014	4573	0.000000	1.000000	1.000000	0.000000	0.998012	0.998012	0.000000
SI	NEWS_WINDOW	ALL	25849	9931	1412.645504	1155.527660	461.873150	-40.441657	0.020121	25461	0.000000	0.997970	0.997462	0.050761	0.996959	0.996452	0.050684
SI	MICRO_OPEN	FIT_2021_2024	6076	2519	1111.038110	1051.976795	293.972474	11.581499	0.006109	6009	0.000000	0.997275	0.997275	0.000000	0.996599	0.996599	0.000000
SI	MICRO_OPEN	GATE_2025	1755	559	1991.220930	1658.421450	539.838539	-23.472031	0.008653	1740	0.000000	1.000000	1.000000	0.000000	0.998012	0.998012	0.000000
SI	MICRO_OPEN	ALL	7831	3078	1270.889376	1187.460853	320.117022	-8.508464	0.006682	7749	0.000000	0.997970	0.997970	0.000000	0.996959	0.996959	0.000000
SI	POST_SHOCK	FIT_2021_2024	465	168	1562.559524	1472.161215	745.493888	431.765919	0.000000	0	0.000000	0.997275	0.997275	0.000000	0.996599	0.996599	0.000000
SI	POST_SHOCK	GATE_2025	2637	503	3429.865805	2352.344214	1978.483414	670.450732	0.018561	0	0.000000	1.000000	1.000000	0.000000	0.998012	0.998012	0.000000
SI	POST_SHOCK	ALL	3102	671	2962.343517	2217.174381	2011.571163	1021.205064	0.007333	0	0.000000	0.997970	0.997970	0.000000	0.996959	0.996959	0.000000
SI	FIRST_TEST	FIT_2021_2024	0	0						0	0.000000	0.997275	0.997275	0.000000	0.996599	0.996599	0.000000
SI	FIRST_TEST	GATE_2025	0	0						0	0.000000	1.000000	1.000000	0.000000	0.998012	0.998012	0.000000
SI	FIRST_TEST	ALL	0	0						0	0.000000	0.997970	0.997970	0.000000	0.996959	0.996959	0.000000
HG	G1	FIT_2021_2024	150280	69404	496.085672	774.132743	0.000000	0.000000	0.158489	134524	0.000000	0.998968	0.998968	0.000000	0.997942	0.997942	0.000000
HG	G1	GATE_2025	41843	18094	717.833536	1029.051877	0.000000	0.000000	0.146465	36964	0.000000	1.000000	1.000000	0.000000	0.988889	0.988889	0.000000
HG	G1	ALL	192123	87498	541.941644	829.258565	0.000000	0.000000	0.156041	171488	0.000000	0.999245	0.999245	0.000000	0.995495	0.995495	0.000000
HG	G1_FINE	FIT_2021_2024	177981	82323	491.706646	773.110288	-4.379026	-1.022455	0.653648	174683	81.250000	0.998968	0.998968	0.000000	0.997942	0.997942	0.000000
HG	G1_FINE	GATE_2025	48517	21149	710.042969	1016.291365	-7.790567	-12.760512	0.640152	46791	112.500000	1.000000	1.000000	0.000000	0.988889	0.988889	0.000000
HG	G1_FINE	ALL	226498	103472	536.333163	824.750308	-5.608482	-4.508256	0.650900	221474	87.500000	0.999245	0.999245	0.000000	0.995495	0.995495	0.000000
HG	G1_FAST_OPEN	FIT_2021_2024	5081	2388	635.159129	979.017451	139.073457	204.884709	0.067831	5058	0.000000	0.998968	0.998968	0.000000	0.997942	0.995885	0.205761
HG	G1_FAST_OPEN	GATE_2025	1689	736	868.819633	1249.575189	150.986097	220.523312	0.066062	1678	0.000000	1.000000	1.000000	0.000000	0.988889	0.988889	0.000000
HG	G1_FAST_OPEN	ALL	6770	3124	690.208467	1045.772985	148.266822	216.514421	0.067461	6736	0.000000	0.999245	0.999245	0.000000	0.995495	0.993994	0.150150
HG	G2_REJECT	FIT_2021_2024	67853	31328	523.284801	733.758052	27.199129	-40.374690	0.118786	51978	0.000000	0.998968	0.998968	0.000000	0.997942	0.997942	0.000000
HG	G2_REJECT	GATE_2025	17459	7708	739.731124	959.535436	21.897588	-69.516440	0.142677	13103	0.000000	1.000000	1.000000	0.000000	0.988889	0.988889	0.000000
HG	G2_REJECT	ALL	85312	39036	566.024023	779.690151	24.082378	-49.568414	0.123650	65081	0.000000	0.999245	0.999245	0.000000	0.995495	0.995495	0.000000
HG	G2_RECLAIM	FIT_2021_2024	15660	7225	535.251730	716.260263	39.166058	-57.872480	0.028664	15529	0.000000	0.998968	0.998968	0.000000	0.997942	0.997942	0.000000
HG	G2_RECLAIM	GATE_2025	3923	1767	766.052632	1010.613308	48.219096	-18.438568	0.027344	3889	0.000000	1.000000	1.000000	0.000000	0.988889	0.988889	0.000000
HG	G2_RECLAIM	ALL	19583	8992	580.605955	775.089996	38.664311	-54.168568	0.028400	19418	0.000000	0.999245	0.999245	0.000000	0.995495	0.995495	0.000000
HG	NEWS_WINDOW	FIT_2021_2024	13831	6289	680.471657	671.243524	184.385985	-102.889218	0.012278	13701	0.000000	0.998968	0.997936	0.103199	0.997942	0.996914	0.102881
HG	NEWS_WINDOW	GATE_2025	3152	1336	1006.746819	918.615786	288.913283	-110.436091	0.016477	3119	0.000000	1.000000	0.994366	0.563380	0.988889	0.983333	0.555556
HG	NEWS_WINDOW	ALL	16983	7625	737.639344	716.359730	195.697700	-112.898835	0.013131	16820	0.000000	0.999245	0.996979	0.226586	0.995495	0.993243	0.225225
HG	MICRO_OPEN	FIT_2021_2024	4323	2011	580.423918	693.368131	84.338246	-80.764612	0.002357	4294	0.000000	0.998968	0.998968	0.000000	0.997942	0.997942	0.000000
HG	MICRO_OPEN	GATE_2025	1157	516	889.706880	988.052405	171.873344	-40.999472	0.002688	1154	0.000000	1.000000	1.000000	0.000000	0.988889	0.988889	0.000000
HG	MICRO_OPEN	ALL	5480	2527	643.577859	755.000712	101.636215	-74.257853	0.002423	5448	0.000000	0.999245	0.999245	0.000000	0.995495	0.995495	0.000000
HG	POST_SHOCK	FIT_2021_2024	111	39	871.442308	1136.990291	375.356635	362.857549	0.011236	0	0.000000	0.998968	0.998968	0.000000	0.997942	0.997942	0.000000
HG	POST_SHOCK	GATE_2025	244	83	1844.698795	1724.814189	1126.865259	695.762313	0.006494	0	0.000000	1.000000	1.000000	0.000000	0.988889	0.988889	0.000000
HG	POST_SHOCK	ALL	355	122	1533.575820	1538.519231	991.634175	709.260666	0.009036	0	0.000000	0.999245	0.999245	0.000000	0.995495	0.995495	0.000000
HG	FIRST_TEST	FIT_2021_2024	0	0						0	0.000000	0.998968	0.998968	0.000000	0.997942	0.997942	0.000000
HG	FIRST_TEST	GATE_2025	0	0						0	0.000000	1.000000	1.000000	0.000000	0.988889	0.988889	0.000000
HG	FIRST_TEST	ALL	0	0						0	0.000000	0.999245	0.999245	0.000000	0.995495	0.995495	0.000000
