# PORT_HL_CENSUS_SPEC.md PORT_HL_CENSUS_SPEC §2-§4 (H/L prediction census) (c) calibration (hl_spec_sha16=ff35394b9f87b891, m1_spec_sha16=62ce5c5edb7857cc)
# params_hash=d11a0a8c9f71645d7ffaa741b2d96bf1e1b8df2dd2f7caf234f01cea3bcd3d36
asset	family	target	side	q	era	n	coverage	nominal	abs_err
SI	P1_SIDE_SETTLE	SESSION_HL	UP	0.50	2021	112	0.535714	0.500000	0.035714
SI	P1_SIDE_SETTLE	SESSION_HL	UP	0.50	2022	258	0.414729	0.500000	0.085271
SI	P1_SIDE_SETTLE	SESSION_HL	UP	0.50	2023	257	0.501946	0.500000	0.001946
SI	P1_SIDE_SETTLE	SESSION_HL	UP	0.50	2024	259	0.478764	0.500000	0.021236
SI	P1_SIDE_SETTLE	SESSION_HL	UP	0.50	2025	258	0.441860	0.500000	0.058140
SI	P1_SIDE_SETTLE	SESSION_HL	UP	0.50	FIT_2021_2024	886	0.474041	0.500000	0.025959
SI	P1_SIDE_SETTLE	SESSION_HL	UP	0.50	GATE_2025	258	0.441860	0.500000	0.058140
SI	P1_SIDE_SETTLE	SESSION_HL	DN	0.50	2021	112	0.482143	0.500000	0.017857
SI	P1_SIDE_SETTLE	SESSION_HL	DN	0.50	2022	258	0.426357	0.500000	0.073643
SI	P1_SIDE_SETTLE	SESSION_HL	DN	0.50	2023	257	0.529183	0.500000	0.029183
SI	P1_SIDE_SETTLE	SESSION_HL	DN	0.50	2024	259	0.498069	0.500000	0.001931
SI	P1_SIDE_SETTLE	SESSION_HL	DN	0.50	2025	258	0.515504	0.500000	0.015504
SI	P1_SIDE_SETTLE	SESSION_HL	DN	0.50	FIT_2021_2024	886	0.484199	0.500000	0.015801
SI	P1_SIDE_SETTLE	SESSION_HL	DN	0.50	GATE_2025	258	0.515504	0.500000	0.015504
SI	P1_SIDE_SETTLE	SESSION_HL	UP	0.75	2021	112	0.723214	0.750000	0.026786
SI	P1_SIDE_SETTLE	SESSION_HL	UP	0.75	2022	258	0.662791	0.750000	0.087209
SI	P1_SIDE_SETTLE	SESSION_HL	UP	0.75	2023	257	0.747082	0.750000	0.002918
SI	P1_SIDE_SETTLE	SESSION_HL	UP	0.75	2024	259	0.729730	0.750000	0.020270
SI	P1_SIDE_SETTLE	SESSION_HL	UP	0.75	2025	258	0.697674	0.750000	0.052326
SI	P1_SIDE_SETTLE	SESSION_HL	UP	0.75	FIT_2021_2024	886	0.714447	0.750000	0.035553
SI	P1_SIDE_SETTLE	SESSION_HL	UP	0.75	GATE_2025	258	0.697674	0.750000	0.052326
SI	P1_SIDE_SETTLE	SESSION_HL	DN	0.75	2021	112	0.741071	0.750000	0.008929
SI	P1_SIDE_SETTLE	SESSION_HL	DN	0.75	2022	258	0.670543	0.750000	0.079457
SI	P1_SIDE_SETTLE	SESSION_HL	DN	0.75	2023	257	0.778210	0.750000	0.028210
SI	P1_SIDE_SETTLE	SESSION_HL	DN	0.75	2024	259	0.718147	0.750000	0.031853
SI	P1_SIDE_SETTLE	SESSION_HL	DN	0.75	2025	258	0.759690	0.750000	0.009690
SI	P1_SIDE_SETTLE	SESSION_HL	DN	0.75	FIT_2021_2024	886	0.724605	0.750000	0.025395
SI	P1_SIDE_SETTLE	SESSION_HL	DN	0.75	GATE_2025	258	0.759690	0.750000	0.009690
SI	P1_SIDE_SETTLE	SESSION_HL	UP	0.90	2021	112	0.875000	0.900000	0.025000
SI	P1_SIDE_SETTLE	SESSION_HL	UP	0.90	2022	258	0.837209	0.900000	0.062791
SI	P1_SIDE_SETTLE	SESSION_HL	UP	0.90	2023	257	0.887160	0.900000	0.012840
SI	P1_SIDE_SETTLE	SESSION_HL	UP	0.90	2024	259	0.888031	0.900000	0.011969
SI	P1_SIDE_SETTLE	SESSION_HL	UP	0.90	2025	258	0.872093	0.900000	0.027907
SI	P1_SIDE_SETTLE	SESSION_HL	UP	0.90	FIT_2021_2024	886	0.871332	0.900000	0.028668
