# PORT_HL_CENSUS_SPEC.md PORT_HL_CENSUS_SPEC §2-§4 (H/L prediction census) P7 confluence (hl_spec_sha16=ff35394b9f87b891, m1_spec_sha16=ed126c64eee71c41)
# params_hash=0bfcf7e30aa61b66f82fe08b1f33b845c9bebe172ff2e266362eaca9d5013750
# score(p) = number of distinct (family, tick-rounded price) levels within tol of p over KEPT ledger families + P1..P6; zones = local maxima of the score (plateau-deduplicated, merged within tol); top-k by score then price; null = zone centres displaced +0.5 x ATR14 alternating by rank
asset	era	topk	n_extremes	n_hit	capture	n_hit_null	null_capture	lift	mean_top_zone_score
SI	2021	1	284	7	0.024648	9	0.031690	0.777778	10.161972
SI	2021	3	284	26	0.091549	15	0.052817	1.733333	10.161972
SI	2021	5	284	51	0.179577	30	0.105634	1.700000	10.161972
SI	2022	1	516	20	0.038760	28	0.054264	0.714286	14.127907
SI	2022	3	516	61	0.118217	64	0.124031	0.953125	14.127907
SI	2022	5	516	98	0.189922	83	0.160853	1.180723	14.127907
SI	2023	1	514	18	0.035019	14	0.027237	1.285714	14.140078
SI	2023	3	514	56	0.108949	38	0.073930	1.473684	14.140078
SI	2023	5	514	89	0.173152	62	0.120623	1.435484	14.140078
SI	2024	1	518	33	0.063707	16	0.030888	2.062500	14.779923
SI	2024	3	518	70	0.135135	48	0.092664	1.458333	14.779923
SI	2024	5	518	115	0.222008	78	0.150579	1.474359	14.779923
SI	FIT_2021_2024	1	1832	78	0.042576	67	0.036572	1.164179	13.700873
SI	FIT_2021_2024	3	1832	213	0.116266	165	0.090066	1.290909	13.700873
SI	FIT_2021_2024	5	1832	353	0.192686	253	0.138100	1.395257	13.700873
SI	GATE_2025	1	516	22	0.042636	7	0.013566	3.142857	14.480620
SI	GATE_2025	3	516	53	0.102713	37	0.071705	1.432432	14.480620
SI	GATE_2025	5	516	85	0.164729	71	0.137597	1.197183	14.480620
HG	2021	1	494	16	0.032389	16	0.032389	1.000000	12.388664
HG	2021	3	494	49	0.099190	47	0.095142	1.042553	12.388664
HG	2021	5	494	82	0.165992	66	0.133603	1.242424	12.388664
HG	2022	1	516	18	0.034884	15	0.029070	1.200000	16.131783
HG	2022	3	516	68	0.131783	45	0.087209	1.511111	16.131783
HG	2022	5	516	111	0.215116	81	0.156977	1.370370	16.131783
HG	2023	1	514	18	0.035019	15	0.029183	1.200000	15.365759
HG	2023	3	514	57	0.110895	50	0.097276	1.140000	15.365759
HG	2023	5	514	87	0.169261	87	0.169261	1.000000	15.365759
HG	2024	1	518	21	0.040541	18	0.034749	1.166667	15.579151
HG	2024	3	518	66	0.127413	42	0.081081	1.571429	15.579151
HG	2024	5	518	102	0.196911	67	0.129344	1.522388	15.579151
HG	FIT_2021_2024	1	2042	73	0.035749	64	0.031342	1.140625	14.893242
HG	FIT_2021_2024	3	2042	240	0.117532	184	0.090108	1.304348	14.893242
HG	FIT_2021_2024	5	2042	382	0.187071	301	0.147405	1.269103	14.893242
HG	GATE_2025	1	516	26	0.050388	15	0.029070	1.733333	15.992248
HG	GATE_2025	3	516	65	0.125969	46	0.089147	1.413043	15.992248
HG	GATE_2025	5	516	107	0.207364	70	0.135659	1.528571	15.992248
NKD	2021	1	496	24	0.048387	11	0.022177	2.181818	12.350806
NKD	2021	3	496	60	0.120968	38	0.076613	1.578947	12.350806
NKD	2021	5	496	94	0.189516	69	0.139113	1.362319	12.350806
NKD	2022	1	516	24	0.046512	25	0.048450	0.960000	16.651163
NKD	2022	3	516	70	0.135659	72	0.139535	0.972222	16.651163
NKD	2022	5	516	118	0.228682	100	0.193798	1.180000	16.651163
NKD	2023	1	516	23	0.044574	17	0.032946	1.352941	15.728682
NKD	2023	3	516	79	0.153101	49	0.094961	1.612245	15.728682
NKD	2023	5	516	128	0.248062	77	0.149225	1.662338	15.728682
NKD	2024	1	518	37	0.071429	14	0.027027	2.642857	15.876448
NKD	2024	3	518	78	0.150579	40	0.077220	1.950000	15.876448
NKD	2024	5	518	126	0.243243	70	0.135135	1.800000	15.876448
NKD	FIT_2021_2024	1	2046	108	0.052786	67	0.032747	1.611940	15.179863
NKD	FIT_2021_2024	3	2046	287	0.140274	199	0.097263	1.442211	15.179863
NKD	FIT_2021_2024	5	2046	466	0.227761	316	0.154448	1.474684	15.179863
NKD	GATE_2025	1	516	27	0.052326	21	0.040698	1.285714	15.957364
NKD	GATE_2025	3	516	81	0.156977	55	0.106589	1.472727	15.957364
NKD	GATE_2025	5	516	113	0.218992	87	0.168605	1.298851	15.957364
