# PORT_HL_CENSUS_SPEC.md PORT_HL_CENSUS_SPEC §2-§4 (H/L prediction census) (f) marginal value (hl_spec_sha16=ff35394b9f87b891, m1_spec_sha16=62ce5c5edb7857cc)
# params_hash=d11a0a8c9f71645d7ffaa741b2d96bf1e1b8df2dd2f7caf234f01cea3bcd3d36
asset	family	target	era	n_extremes	n_uncovered_by_kept	n_uncovered_hit	marginal_pp	kept_ledger_cover	union_cover_after
SI	P1_BASE	PHASE_HL	2021	852	240	0	0.000000	0.718310	0.718310
SI	P1_BASE	PHASE_HL	2022	1548	104	0	0.000000	0.932817	0.932817
SI	P1_BASE	PHASE_HL	2023	1542	88	0	0.000000	0.942931	0.942931
SI	P1_BASE	PHASE_HL	2024	1554	86	0	0.000000	0.944659	0.944659
SI	P1_BASE	PHASE_HL	FIT_2021_2024	5496	518	0	0.000000	0.905750	0.905750
SI	P1_BASE	PHASE_HL	GATE_2025	1548	100	0	0.000000	0.935401	0.935401
SI	P1_BASE	SESSION_HL	2021	284	61	0	0.000000	0.785211	0.785211
SI	P1_BASE	SESSION_HL	2022	516	23	0	0.000000	0.955426	0.955426
SI	P1_BASE	SESSION_HL	2023	514	41	0	0.000000	0.920233	0.920233
SI	P1_BASE	SESSION_HL	2024	518	23	0	0.000000	0.955598	0.955598
SI	P1_BASE	SESSION_HL	FIT_2021_2024	1832	148	0	0.000000	0.919214	0.919214
SI	P1_BASE	SESSION_HL	GATE_2025	516	38	0	0.000000	0.926357	0.926357
SI	P1_BASE_RS	PHASE_HL	2021	852	240	0	0.000000	0.718310	0.718310
SI	P1_BASE_RS	PHASE_HL	2022	1548	104	0	0.000000	0.932817	0.932817
SI	P1_BASE_RS	PHASE_HL	2023	1542	88	0	0.000000	0.942931	0.942931
SI	P1_BASE_RS	PHASE_HL	2024	1554	86	0	0.000000	0.944659	0.944659
SI	P1_BASE_RS	PHASE_HL	FIT_2021_2024	5496	518	0	0.000000	0.905750	0.905750
SI	P1_BASE_RS	PHASE_HL	GATE_2025	1548	100	0	0.000000	0.935401	0.935401
SI	P1_BASE_RS	SESSION_HL	2021	284	61	0	0.000000	0.785211	0.785211
SI	P1_BASE_RS	SESSION_HL	2022	516	23	0	0.000000	0.955426	0.955426
SI	P1_BASE_RS	SESSION_HL	2023	514	41	0	0.000000	0.920233	0.920233
SI	P1_BASE_RS	SESSION_HL	2024	518	23	0	0.000000	0.955598	0.955598
SI	P1_BASE_RS	SESSION_HL	FIT_2021_2024	1832	148	0	0.000000	0.919214	0.919214
SI	P1_BASE_RS	SESSION_HL	GATE_2025	516	38	0	0.000000	0.926357	0.926357
SI	P1_SIDE_POPEN	PHASE_HL	2021	852	240	68	0.079812	0.718310	0.798122
SI	P1_SIDE_POPEN	PHASE_HL	2022	1548	104	41	0.026486	0.932817	0.959302
SI	P1_SIDE_POPEN	PHASE_HL	2023	1542	88	27	0.017510	0.942931	0.960441
SI	P1_SIDE_POPEN	PHASE_HL	2024	1554	86	19	0.012227	0.944659	0.956885
SI	P1_SIDE_POPEN	PHASE_HL	FIT_2021_2024	5496	518	155	0.028202	0.905750	0.933952
SI	P1_SIDE_POPEN	PHASE_HL	GATE_2025	1548	100	28	0.018088	0.935401	0.953488
SI	P1_SIDE_SETTLE	SESSION_HL	2021	284	61	4	0.014085	0.785211	0.799296
SI	P1_SIDE_SETTLE	SESSION_HL	2022	516	23	1	0.001938	0.955426	0.957364
