# PORT_HL_CENSUS_SPEC.md PORT_HL_CENSUS_SPEC §2-§4 (H/L prediction census) D-054 mask accounting (hl_spec_sha16=ff35394b9f87b891, m1_spec_sha16=62ce5c5edb7857cc)
# params_hash=d11a0a8c9f71645d7ffaa741b2d96bf1e1b8df2dd2f7caf234f01cea3bcd3d36
# D-054/CC-M1-4 via the port's canonical implementation engine/port_m1/b7_sane.py: TWO_SIDED and spread_$ <= min(10 x trailing-phase-median spread_$, $500), the trailing median being the EXACT pooled median over the same phase of the trailing 60 STRICTLY PRIOR sessions; warm-up falls back to the cap alone.  Thresholds read from m1/sane/sane_thresholds.tsv, so every port lane measures the same SANE seconds; insane seconds typed-excluded, never interpolated
asset	era	n_receipts	mean_insane_frac	median_insane_frac	n_receipts_zero_sane	n_receipts_degenerate	median_threshold_usd	median_kept_ledger_levels
SI	2021	182	0.105209	0.000000	19	28	250.000000	125.000000
SI	2022	309	0.084472	0.000000	26	51	250.000000	125.000000
SI	2023	305	0.114755	0.000000	35	48	250.000000	125.000000
SI	2024	311	0.064773	0.000000	20	52	250.000000	125.000000
SI	FIT_2021_2024	1107	0.090691	0.000000	100	179	250.000000	125.000000
SI	GATE_2025	310	0.094405	0.000000	29	52	250.000000	125.000000
HG	2021	310	0.049514	0.000000	15	52	250.000000	172.000000
HG	2022	310	0.033467	0.000000	10	52	250.000000	172.000000
HG	2023	310	0.009951	0.000000	3	53	250.000000	172.000000
HG	2024	311	0.016557	0.000000	5	52	250.000000	172.000000
HG	FIT_2021_2024	1241	0.027364	0.000000	33	209	250.000000	172.000000
HG	GATE_2025	310	0.059645	0.000000	18	52	250.000000	172.000000
NKD	2021	311	0.169844	0.000000	52	52	500.000000	157.000000
NKD	2022	310	0.168370	0.000519	51	52	500.000000	157.000000
NKD	2023	311	0.174783	0.000177	53	53	250.000000	157.000000
NKD	2024	311	0.166378	0.000362	51	52	500.000000	157.000000
NKD	FIT_2021_2024	1243	0.169845	0.000193	207	209	500.000000	157.000000
NKD	GATE_2025	310	0.079789	0.000000	24	52	500.000000	157.000000
