# PORT_HL_CENSUS_SPEC.md PORT_HL_CENSUS_SPEC §2-§4 (H/L prediction census) P2 conditional split (hl_spec_sha16=ff35394b9f87b891, m1_spec_sha16=ed126c64eee71c41)
# params_hash=0bfcf7e30aa61b66f82fe08b1f33b845c9bebe172ff2e266362eaca9d5013750
# [1, sign(overnight ret), |gap|/ATR14, prior up_share, RV5/RV66, DOW dummies Tue..Fri]; expanding-window monthly refit, >= 250 training sessions; coefficients FROZEN at the last FIT-era refit for the 2025 echo (b2 era law)
# unconditional split = trailing median up_share (same walk-forward window)
asset	era	model	n	pinball_q50	pinball_q50_uncond	improvement	beats_uncond
SI	2021	OLS	0				0
SI	2021	LOGIT	0				0
SI	2022	OLS	130	0.143378	0.143700	0.000322	1
SI	2022	LOGIT	130	0.143565	0.143700	0.000134	1
SI	2023	OLS	257	0.128368	0.130381	0.002013	1
SI	2023	LOGIT	257	0.128851	0.130381	0.001530	1
SI	2024	OLS	259	0.136007	0.134662	-0.001345	0
SI	2024	LOGIT	259	0.138534	0.134662	-0.003872	0
SI	FIT_2021_2024	OLS	646	0.134451	0.134778	0.000326	1
SI	FIT_2021_2024	LOGIT	646	0.135694	0.134778	-0.000917	0
SI	GATE_2025	OLS	258	0.141836	0.142691	0.000855	1
SI	GATE_2025	LOGIT	258	0.142605	0.142691	0.000085	1
HG	2021	OLS	0				0
HG	2021	LOGIT	0				0
HG	2022	OLS	237	0.135659	0.134885	-0.000774	0
HG	2022	LOGIT	237	0.138114	0.134885	-0.003229	0
HG	2023	OLS	257	0.133260	0.132806	-0.000454	0
HG	2023	LOGIT	257	0.134750	0.132806	-0.001945	0
HG	2024	OLS	259	0.136030	0.135557	-0.000473	0
HG	2024	LOGIT	259	0.136508	0.135557	-0.000951	0
HG	FIT_2021_2024	OLS	753	0.134968	0.134406	-0.000562	0
HG	FIT_2021_2024	LOGIT	753	0.136413	0.134406	-0.002007	0
HG	GATE_2025	OLS	258	0.138230	0.136519	-0.001712	0
HG	GATE_2025	LOGIT	258	0.138709	0.136519	-0.002190	0
NKD	2021	OLS	0				0
NKD	2021	LOGIT	0				0
NKD	2022	OLS	237	0.130223	0.127014	-0.003208	0
NKD	2022	LOGIT	237	0.133013	0.127014	-0.005998	0
NKD	2023	OLS	258	0.140351	0.135607	-0.004744	0
NKD	2023	LOGIT	258	0.142458	0.135607	-0.006851	0
NKD	2024	OLS	259	0.143621	0.144065	0.000444	1
NKD	2024	LOGIT	259	0.143293	0.144065	0.000772	1
NKD	FIT_2021_2024	OLS	754	0.138291	0.135812	-0.002479	0
NKD	FIT_2021_2024	LOGIT	754	0.139776	0.135812	-0.003965	0
NKD	GATE_2025	OLS	258	0.139541	0.140899	0.001358	1
NKD	GATE_2025	LOGIT	258	0.138812	0.140899	0.002088	1
