# PORT_M1_SPEC.md §4 level ledger (spec_sha16=767bc16e1f11bb4f)
# params_hash=52303c6af30d106e5ee29b99e61cc0fb2c74a6fc0d4ab8faafcf536265c594dd
# touch outcomes per level family (§4 last_test_outcome)
asset	family	outcome	n_touches
HG	DEV_POC	BREAK	44
HG	DEV_POC	NONE	4966
HG	DEV_POC	RECLAIM	2559
HG	DEV_POC	REJECT	3081
HG	FVOL_BAND	BREAK	1504
HG	FVOL_BAND	NONE	20125
HG	FVOL_BAND	RECLAIM	9207
HG	FVOL_BAND	REJECT	22563
HG	FVOL_LADDER	BREAK	1640
HG	FVOL_LADDER	NONE	20160
HG	FVOL_LADDER	RECLAIM	9426
HG	FVOL_LADDER	REJECT	23037
HG	FVOL_LADDER_RS	BREAK	1666
HG	FVOL_LADDER_RS	NONE	20133
HG	FVOL_LADDER_RS	RECLAIM	9399
HG	FVOL_LADDER_RS	REJECT	22920
HG	NDAY	BREAK	393
HG	NDAY	NONE	4785
HG	NDAY	RECLAIM	2421
HG	NDAY	REJECT	5082
HG	PHASE_HL	BREAK	1737
HG	PHASE_HL	NONE	28696
HG	PHASE_HL	RECLAIM	11438
HG	PHASE_HL	REJECT	27205
HG	PRIOR_DAY	BREAK	257
HG	PRIOR_DAY	NONE	4418
HG	PRIOR_DAY	RECLAIM	1734
HG	PRIOR_DAY	REJECT	4001
HG	PRIOR_WEEK	BREAK	58
HG	PRIOR_WEEK	NONE	946
HG	PRIOR_WEEK	RECLAIM	427
HG	PRIOR_WEEK	REJECT	972
HG	PROFILE	BREAK	1939
HG	PROFILE	NONE	39783
HG	PROFILE	RECLAIM	13611
HG	PROFILE	REJECT	35231
HG	ROUND	BREAK	374
HG	ROUND	NONE	6125
HG	ROUND	RECLAIM	2751
HG	ROUND	REJECT	6523
HG	VWAP	BREAK	1020
HG	VWAP	NONE	33446
HG	VWAP	RECLAIM	8237
HG	VWAP	REJECT	39739
NKD	DEV_POC	BREAK	62
NKD	DEV_POC	NONE	4968
NKD	DEV_POC	RECLAIM	2260
NKD	DEV_POC	REJECT	2644
NKD	FVOL_BAND	BREAK	1209
NKD	FVOL_BAND	NONE	24039
NKD	FVOL_BAND	RECLAIM	6770
NKD	FVOL_BAND	REJECT	19001
NKD	FVOL_LADDER	BREAK	1357
NKD	FVOL_LADDER	NONE	24604
NKD	FVOL_LADDER	RECLAIM	7327
NKD	FVOL_LADDER	REJECT	19859
NKD	FVOL_LADDER_RS	BREAK	1299
NKD	FVOL_LADDER_RS	NONE	24608
NKD	FVOL_LADDER_RS	RECLAIM	7181
NKD	FVOL_LADDER_RS	REJECT	19684
NKD	NDAY	BREAK	357
NKD	NDAY	NONE	5243
NKD	NDAY	RECLAIM	2136
NKD	NDAY	REJECT	4724
