# PORT_M1B_SPEC.md S1.1 OR_EXT ledger (CC-M1-6.1) (spec_sha16=d31f48b59877e44d)
# params_hash=c0fd01c82cf4831599c021524d8cdabcf7a0af758ef8b6b9047750390b514b38
# S1.1 differential vs m1/levels_v3 over EVERY session: adding the OR_EXT family may not perturb any other level, and every new touch must belong to OR_EXT
asset	date8	n_non_orext_rows	n_non_orext_mismatch	n_orext_rows	n_orext_unexpected_keys	n_touches_v3	n_touches_v4	n_orext_touches	verdict
SI	20210616	131	0	40	0	290	349	59	PASS
SI	20210617	135	0	40	0	168	191	23	PASS
SI	20210618	148	0	40	0	192	214	22	PASS
SI	20210621	134	0	40	0	258	286	28	PASS
SI	20210622	130	0	40	0	257	281	24	PASS
SI	20210623	128	0	40	0	236	271	35	PASS
SI	20210624	136	0	40	0	224	268	44	PASS
SI	20210625	135	0	40	0	182	213	31	PASS
SI	20210628	133	0	40	0	293	331	38	PASS
SI	20210629	130	0	40	0	273	297	24	PASS
SI	20210630	134	0	40	0	230	268	38	PASS
SI	20210701	136	0	40	0	233	270	37	PASS
SI	20210702	133	0	40	0	242	288	46	PASS
SI	20210705	137	0	40	0	163	195	32	PASS
SI	20210706	129	0	40	0	429	466	37	PASS
SI	20210707	140	0	40	0	161	176	15	PASS
SI	20210708	136	0	40	0	327	361	34	PASS
SI	20210709	129	0	40	0	296	349	53	PASS
SI	20210712	134	0	40	0	217	268	51	PASS
SI	20210713	133	0	40	0	277	339	62	PASS
SI	20210714	133	0	40	0	274	329	55	PASS
SI	20210715	140	0	40	0	217	258	41	PASS
SI	20210716	126	0	40	0	248	293	45	PASS
SI	20210719	139	0	40	0	163	220	57	PASS
SI	20210720	139	0	40	0	270	333	63	PASS
SI	20210721	130	0	40	0	248	292	44	PASS
SI	20210722	134	0	40	0	227	274	47	PASS
SI	20210723	135	0	40	0	245	283	38	PASS
SI	20210726	128	0	40	0	185	231	46	PASS
SI	20210727	126	0	40	0	261	299	38	PASS
SI	20210728	212	0	40	0	304	365	61	PASS
SI	20210729	210	0	40	0	220	250	30	PASS
SI	20210730	220	0	40	0	287	341	54	PASS
SI	20210802	205	0	40	0	324	371	47	PASS
SI	20210803	206	0	40	0	294	339	45	PASS
SI	20210804	207	0	40	0	377	417	40	PASS
SI	20210805	215	0	40	0	296	336	40	PASS
SI	20210806	212	0	40	0	257	282	25	PASS
SI	20210809	214	0	40	0	348	369	21	PASS
SI	20210810	243	0	40	0	245	295	50	PASS
SI	20210811	215	0	40	0	301	359	58	PASS
SI	20210812	212	0	40	0	317	336	19	PASS
SI	20210813	213	0	40	0	281	314	33	PASS
SI	20210816	214	0	40	0	246	278	32	PASS
SI	20210817	215	0	40	0	293	335	42	PASS
SI	20210818	211	0	40	0	242	270	28	PASS
SI	20210819	221	0	40	0	328	363	35	PASS
SI	20210820	212	0	40	0	384	438	54	PASS
SI	20210823	212	0	40	0	259	302	43	PASS
SI	20210824	220	0	40	0	231	274	43	PASS
SI	20210825	212	0	40	0	281	316	35	PASS
SI	20210826	212	0	40	0	366	408	42	PASS
SI	20210827	211	0	40	0	399	435	36	PASS
SI	20210830	216	0	40	0	217	251	34	PASS
SI	20210831	209	0	40	0	385	431	46	PASS
SI	20210901	212	0	40	0	350	375	25	PASS
SI	20210902	211	0	40	0	253	276	23	PASS
SI	20210903	208	0	40	0	229	259	30	PASS
SI	20210906	217	0	40	0	124	144	20	PASS
SI	20210907	208	0	40	0	249	296	47	PASS
SI	20210908	213	0	40	0	262	305	43	PASS
SI	20210909	206	0	40	0	299	342	43	PASS
SI	20210910	214	0	40	0	350	391	41	PASS
SI	20210913	216	0	40	0	282	333	51	PASS
SI	20210914	210	0	40	0	396	427	31	PASS
SI	20210915	211	0	40	0	275	315	40	PASS
SI	20210916	209	0	40	0	258	287	29	PASS
SI	20210917	229	0	40	0	244	288	44	PASS
SI	20210920	218	0	40	0	408	447	39	PASS
SI	20210921	213	0	40	0	314	355	41	PASS
SI	20210922	207	0	40	0	392	444	52	PASS
SI	20210923	216	0	40	0	334	379	45	PASS
SI	20210924	211	0	40	0	323	361	38	PASS
SI	20210927	215	0	40	0	321	370	49	PASS
SI	20210928	210	0	40	0	446	498	52	PASS
SI	20210929	212	0	40	0	321	380	59	PASS
SI	20210930	221	0	40	0	286	317	31	PASS
SI	20211001	215	0	40	0	264	312	48	PASS
SI	20211004	220	0	40	0	344	368	24	PASS
SI	20211005	214	0	40	0	236	266	30	PASS
SI	20211006	211	0	40	0	402	442	40	PASS
SI	20211007	216	0	40	0	348	389	41	PASS
SI	20211008	213	0	40	0	360	405	45	PASS
SI	20211011	216	0	40	0	265	284	19	PASS
SI	20211012	213	0	40	0	363	411	48	PASS
SI	20211013	213	0	40	0	309	357	48	PASS
SI	20211014	221	0	40	0	322	348	26	PASS
SI	20211015	220	0	40	0	332	386	54	PASS
SI	20211018	211	0	40	0	281	356	75	PASS
SI	20211019	207	0	40	0	266	298	32	PASS
SI	20211020	214	0	40	0	333	372	39	PASS
SI	20211021	217	0	40	0	329	370	41	PASS
SI	20211022	212	0	40	0	385	433	48	PASS
SI	20211025	220	0	40	0	276	309	33	PASS
SI	20211026	209	0	40	0	323	355	32	PASS
SI	20211027	211	0	40	0	284	335	51	PASS
SI	20211028	210	0	40	0	316	378	62	PASS
SI	20211029	207	0	40	0	427	479	52	PASS
SI	20211101	209	0	40	0	309	337	28	PASS
SI	20211102	209	0	40	0	285	319	34	PASS
SI	20211103	217	0	40	0	389	439	50	PASS
SI	20211104	215	0	40	0	280	317	37	PASS
SI	20211105	221	0	40	0	344	388	44	PASS
SI	20211108	212	0	40	0	231	278	47	PASS
SI	20211109	215	0	40	0	415	477	62	PASS
SI	20211110	218	0	40	0	405	443	38	PASS
SI	20211111	223	0	40	0	304	342	38	PASS
SI	20211112	213	0	40	0	420	466	46	PASS
SI	20211115	213	0	40	0	332	363	31	PASS
SI	20211116	210	0	40	0	424	476	52	PASS
SI	20211117	225	0	40	0	291	334	43	PASS
SI	20211118	209	0	40	0	393	469	76	PASS
SI	20211119	218	0	40	0	421	471	50	PASS
SI	20211122	213	0	40	0	458	503	45	PASS
SI	20211123	224	0	40	0	270	298	28	PASS
SI	20211124	222	0	40	0	207	239	32	PASS
SI	20211125	209	0	40	0	162	203	41	PASS
SI	20211126	208	0	40	0	505	571	66	PASS
SI	20211129	221	0	40	0	298	320	22	PASS
SI	20211130	220	0	40	0	561	613	52	PASS
SI	20211201	215	0	40	0	403	447	44	PASS
SI	20211202	225	0	40	0	200	255	55	PASS
SI	20211203	210	0	40	0	458	510	52	PASS
SI	20211206	211	0	40	0	349	397	48	PASS
SI	20211207	215	0	40	0	259	292	33	PASS
SI	20211208	212	0	40	0	273	318	45	PASS
SI	20211209	205	0	40	0	314	337	23	PASS
SI	20211210	210	0	40	0	253	283	30	PASS
SI	20211213	212	0	40	0	165	211	46	PASS
SI	20211214	206	0	40	0	287	313	26	PASS
SI	20211215	213	0	40	0	449	505	56	PASS
SI	20211216	212	0	40	0	257	287	30	PASS
SI	20211217	213	0	40	0	270	300	30	PASS
SI	20211220	210	0	40	0	179	227	48	PASS
SI	20211221	208	0	40	0	315	337	22	PASS
SI	20211222	213	0	40	0	279	326	47	PASS
SI	20211223	210	0	40	0	286	345	59	PASS
SI	20211227	207	0	40	0	416	443	27	PASS
SI	20211228	214	0	40	0	342	398	56	PASS
SI	20211229	212	0	40	0	251	288	37	PASS
SI	20211230	211	0	40	0	313	347	34	PASS
SI	20211231	213	0	40	0	357	407	50	PASS
SI	20220103	209	0	40	0	347	375	28	PASS
SI	20220104	214	0	40	0	331	379	48	PASS
SI	20220105	210	0	40	0	365	408	43	PASS
SI	20220106	213	0	40	0	311	367	56	PASS
SI	20220107	217	0	40	0	445	507	62	PASS
SI	20220110	212	0	40	0	316	371	55	PASS
SI	20220111	209	0	40	0	315	373	58	PASS
SI	20220112	211	0	40	0	320	352	32	PASS
SI	20220113	216	0	40	0	298	347	49	PASS
SI	20220114	205	0	40	0	395	461	66	PASS
SI	20220117	212	0	40	0	151	184	33	PASS
SI	20220118	206	0	40	0	498	542	44	PASS
SI	20220119	211	0	40	0	268	304	36	PASS
SI	20220120	214	0	40	0	369	405	36	PASS
SI	20220121	214	0	40	0	408	460	52	PASS
SI	20220124	212	0	40	0	414	458	44	PASS
SI	20220125	210	0	40	0	337	405	68	PASS
SI	20220126	212	0	40	0	523	574	51	PASS
SI	20220127	211	0	40	0	341	380	39	PASS
SI	20220128	215	0	40	0	441	485	44	PASS
SI	20220131	217	0	40	0	423	471	48	PASS
SI	20220201	208	0	40	0	346	393	47	PASS
SI	20220202	219	0	40	0	281	335	54	PASS
SI	20220203	209	0	40	0	334	383	49	PASS
SI	20220204	213	0	40	0	359	426	67	PASS
SI	20220207	211	0	40	0	289	344	55	PASS
SI	20220208	211	0	40	0	237	255	18	PASS
SI	20220209	211	0	40	0	298	338	40	PASS
SI	20220210	207	0	40	0	488	559	71	PASS
SI	20220211	213	0	40	0	417	470	53	PASS
SI	20220214	221	0	40	0	376	418	42	PASS
SI	20220215	211	0	40	0	277	319	42	PASS
SI	20220216	215	0	40	0	248	293	45	PASS
SI	20220217	214	0	40	0	326	385	59	PASS
SI	20220218	212	0	40	0	459	496	37	PASS
SI	20220221	204	0	40	0	205	251	46	PASS
SI	20220222	208	0	40	0	444	492	48	PASS
SI	20220223	210	0	40	0	306	327	21	PASS
SI	20220224	214	0	40	0	603	643	40	PASS
SI	20220225	224	0	40	0	293	345	52	PASS
SI	20220228	217	0	40	0	358	407	49	PASS
SI	20220301	221	0	40	0	337	365	28	PASS
SI	20220302	235	0	40	0	441	490	49	PASS
SI	20220303	218	0	40	0	353	400	47	PASS
SI	20220304	220	0	40	0	468	512	44	PASS
SI	20220307	218	0	40	0	589	621	32	PASS
SI	20220308	222	0	40	0	647	711	64	PASS
SI	20220309	234	0	40	0	545	594	49	PASS
SI	20220310	238	0	40	0	381	438	57	PASS
SI	20220311	215	0	40	0	257	295	38	PASS
SI	20220314	218	0	40	0	339	362	23	PASS
SI	20220315	225	0	40	0	271	323	52	PASS
SI	20220316	221	0	40	0	372	418	46	PASS
SI	20220317	230	0	40	0	198	245	47	PASS
SI	20220318	218	0	40	0	279	306	27	PASS
SI	20220321	219	0	40	0	258	303	45	PASS
SI	20220322	214	0	40	0	253	289	36	PASS
SI	20220323	221	0	40	0	243	269	26	PASS
SI	20220324	218	0	40	0	232	270	38	PASS
SI	20220325	230	0	40	0	219	251	32	PASS
SI	20220328	213	0	40	0	252	278	26	PASS
SI	20220329	212	0	40	0	256	301	45	PASS
SI	20220330	226	0	40	0	282	325	43	PASS
SI	20220331	217	0	40	0	259	288	29	PASS
SI	20220401	220	0	40	0	416	447	31	PASS
SI	20220404	215	0	40	0	403	441	38	PASS
SI	20220405	218	0	40	0	345	375	30	PASS
SI	20220406	223	0	40	0	453	504	51	PASS
SI	20220407	217	0	40	0	277	317	40	PASS
SI	20220408	214	0	40	0	293	325	32	PASS
SI	20220411	211	0	40	0	311	346	35	PASS
SI	20220412	218	0	40	0	393	430	37	PASS
SI	20220413	222	0	40	0	331	384	53	PASS
SI	20220414	217	0	40	0	361	410	49	PASS
SI	20220418	217	0	40	0	468	513	45	PASS
SI	20220419	223	0	40	0	370	420	50	PASS
SI	20220420	224	0	40	0	281	336	55	PASS
SI	20220421	208	0	40	0	329	373	44	PASS
SI	20220422	222	0	40	0	307	349	42	PASS
SI	20220425	210	0	40	0	326	359	33	PASS
SI	20220426	214	0	40	0	376	423	47	PASS
SI	20220427	213	0	40	0	393	449	56	PASS
SI	20220428	218	0	40	0	473	537	64	PASS
SI	20220429	210	0	40	0	427	461	34	PASS
SI	20220502	214	0	40	0	386	433	47	PASS
SI	20220503	216	0	40	0	521	576	55	PASS
SI	20220504	211	0	40	0	458	498	40	PASS
SI	20220505	217	0	40	0	448	502	54	PASS
SI	20220506	229	0	40	0	294	351	57	PASS
SI	20220509	214	0	40	0	383	427	44	PASS
SI	20220510	218	0	40	0	418	467	49	PASS
SI	20220511	224	0	40	0	391	429	38	PASS
SI	20220512	220	0	40	0	380	436	56	PASS
SI	20220513	223	0	40	0	387	446	59	PASS
SI	20220516	217	0	40	0	285	322	37	PASS
SI	20220517	225	0	40	0	224	262	38	PASS
SI	20220518	212	0	40	0	269	317	48	PASS
SI	20220519	211	0	40	0	303	359	56	PASS
SI	20220520	218	0	40	0	321	345	24	PASS
SI	20220523	215	0	40	0	353	374	21	PASS
SI	20220524	216	0	40	0	337	384	47	PASS
SI	20220525	217	0	40	0	287	317	30	PASS
SI	20220526	216	0	40	0	255	298	43	PASS
SI	20220527	217	0	40	0	297	329	32	PASS
SI	20220530	213	0	40	0	242	287	45	PASS
SI	20220531	208	0	40	0	343	384	41	PASS
SI	20220601	215	0	40	0	511	560	49	PASS
SI	20220602	210	0	40	0	259	300	41	PASS
SI	20220603	212	0	40	0	507	549	42	PASS
SI	20220606	210	0	40	0	389	419	30	PASS
SI	20220607	211	0	40	0	427	475	48	PASS
SI	20220608	205	0	40	0	425	456	31	PASS
SI	20220609	218	0	40	0	478	521	43	PASS
SI	20220610	213	0	40	0	656	698	42	PASS
SI	20220613	214	0	40	0	383	412	29	PASS
SI	20220614	225	0	40	0	550	602	52	PASS
SI	20220615	210	0	40	0	356	397	41	PASS
SI	20220616	214	0	40	0	469	512	43	PASS
SI	20220617	216	0	40	0	401	440	39	PASS
SI	20220620	206	0	40	0	317	361	44	PASS
SI	20220621	206	0	40	0	459	501	42	PASS
SI	20220622	215	0	40	0	466	492	26	PASS
SI	20220623	207	0	40	0	494	541	47	PASS
SI	20220624	219	0	40	0	600	657	57	PASS
SI	20220627	211	0	40	0	323	355	32	PASS
SI	20220628	209	0	40	0	331	385	54	PASS
SI	20220629	211	0	40	0	486	551	65	PASS
SI	20220630	209	0	40	0	450	503	53	PASS
SI	20220701	212	0	40	0	280	317	37	PASS
