# PORT_M2_SHEETS_SPEC.md D-071 candidate-class census (P-M2b) (spec_sha16=19fedc9231ba9f0e)
# params_hash=b06bf2bc959dd30a995294063c92148aeaa9739e41db382805954746fbaee30d
# classes PARTITION the roster (one class per candidate, CC-M1-11.4 priority)
# conditional_value_usd = CC-M1-7.3 metric; peak column = the CC-M1-8 companion reading
# D-058 (R58): the pre-exam holdout (d8 >= 20250701) is EXCLUDED from GATE / ALL / the calendar-year blocks and appears ONLY under HOLDOUT_2025H2 (is_holdout_block=1), which is a quarantine tag and not a card any sheet may cite
# fires_per_session ships with its session-level dispersion (R55): sd / median / p10 / p90 and the count of sessions in which the class never fired
asset	class	era	n_sessions	n_candidates	n_positive	conditional_value_usd	mean_cert_usd	positive_frac	n_positive_peak	conditional_value_peak_usd	fires_per_session	n_winners	winner_frac	fires_per_session_sd	fires_per_session_median	fires_per_session_p10	fires_per_session_p90	n_sessions_with_zero_fires	is_holdout_block
HG	ALL_CLASSES	2021	247	93993	43633	555.527009	-19.849577	0.464215	89611	832.578185	380.538462	4802	0.051089	159.488759	355.000000	232.000000	535.600000	0	0
HG	ALL_CLASSES	2022	258	110802	49901	586.443809	-39.844136	0.450362	105288	859.594018	429.465116	5970	0.053880	141.167177	395.500000	303.800000	588.800000	0	0
HG	ALL_CLASSES	2023	257	105361	49727	415.031623	-22.036368	0.471968	101189	625.251991	409.964981	3376	0.032042	95.968148	399.000000	310.000000	529.000000	0	0
HG	ALL_CLASSES	2024	259	107109	49561	478.383734	-27.984646	0.462716	102477	744.228058	413.548263	4466	0.041696	164.729849	369.000000	264.800000	581.600000	0	0
HG	ALL_CLASSES	2025	127	57177	25271	713.326837	-21.762313	0.441978	54220	995.757216	450.212598	3666	0.064117	222.440241	424.000000	250.000000	662.600000	0	0
HG	ALL_CLASSES	ALL	1148	474442	218093	531.320945	-27.071836	0.459683	452785	792.071154	413.277003	22280	0.046960	154.786012	385.000000	265.000000	573.600000	0	0
HG	ALL_CLASSES	E1	131	47647	22073	525.315317	-33.398430	0.463261	45242	829.820659	363.717557	2250	0.047222	109.960851	355.000000	240.000000	491.000000	0	0
HG	ALL_CLASSES	E2	128	56299	25164	610.716152	-46.715439	0.446971	53311	915.867176	439.835938	3185	0.056573	172.649332	391.000000	294.700000	627.300000	0	0
HG	ALL_CLASSES	E3	130	54503	24737	561.752486	-32.746408	0.453865	51977	801.876599	419.253846	2785	0.051098	100.719452	400.500000	306.900000	553.700000	0	0
HG	ALL_CLASSES	E4	128	54812	25508	477.478046	-27.079107	0.465373	52499	708.886217	428.218750	2241	0.040885	109.201247	414.000000	308.800000	559.800000	0	0
HG	ALL_CLASSES	E5	129	50549	24219	349.261633	-16.568354	0.479119	48690	535.075092	391.852713	1135	0.022453	76.968855	380.000000	312.000000	475.600000	0	0
HG	ALL_CLASSES	E6	128	56798	26381	476.820960	-28.020067	0.464471	54510	736.669648	443.734375	2202	0.038769	196.361369	388.500000	266.500000	646.300000	0	0
HG	ALL_CLASSES	E7	131	50311	23180	480.162317	-27.944659	0.460734	47967	752.817484	384.053435	2264	0.045000	120.052316	354.000000	265.000000	497.000000	0	0
HG	ALL_CLASSES	E8	127	57177	25271	713.326837	-21.762313	0.441978	54220	995.757216	450.212598	3666	0.064117	222.440241	424.000000	250.000000	662.600000	0	0
HG	ALL_CLASSES	FIT	1021	417265	192822	507.467489	-27.799390	0.462109	398565	764.362102	408.682664	18614	0.044610	143.661480	384.000000	266.000000	561.000000	0	0
HG	ALL_CLASSES	GATE	127	57177	25271	713.326837	-21.762313	0.441978	54220	995.757216	450.212598	3666	0.064117	222.440241	424.000000	250.000000	662.600000	0	0
HG	ALL_CLASSES	HOLDOUT_2025H2	131	55050	23736	735.764029	-30.039510	0.431172	51953	1024.202476	420.229008	3021	0.054877	269.454879	359.000000	117.000000	705.000000	0	1
HG	ALL_CLASSES	PRE_E1	116	46346	21560	586.457560	-5.920387	0.465197	44369	835.389968	399.534483	2552	0.055064	200.143750	352.000000	217.500000	664.500000	0	0
HG	NEWS-WINDOW	2021	247	2985	1394	745.479735	-8.517588	0.467002	2861	730.844110	12.085020	219	0.073367	7.798065	10.000000	5.000000	23.400000	0	0
HG	NEWS-WINDOW	2022	258	3307	1400	811.669643	-77.374887	0.423344	3163	787.437954	12.817829	256	0.077412	8.536130	10.000000	5.000000	24.300000	0	0
HG	NEWS-WINDOW	2023	257	3936	1861	582.251478	-20.963224	0.472815	3799	572.666820	15.315175	257	0.065295	9.906491	13.000000	5.600000	28.400000	0	0
HG	NEWS-WINDOW	2024	259	3602	1634	624.467564	-35.522973	0.453637	3495	624.506438	13.907336	243	0.067463	10.090247	11.000000	5.000000	28.000000	1	0
HG	NEWS-WINDOW	2025	127	1654	714	1016.542367	-2.642080	0.431681	1573	882.952956	13.023622	184	0.111245	10.338297	10.000000	4.000000	25.000000	0	0
HG	NEWS-WINDOW	ALL	1148	15484	7003	714.736184	-32.042027	0.452273	14891	693.620811	13.487805	1159	0.074851	9.340821	11.000000	5.000000	26.000000	1	0
HG	NEWS-WINDOW	E1	131	1609	760	704.597039	-23.346022	0.472343	1538	730.053641	12.282443	105	0.065258	6.986002	10.000000	5.000000	22.000000	0	0
HG	NEWS-WINDOW	E2	128	1471	613	820.173328	-112.664854	0.416723	1392	843.437500	11.492188	118	0.080218	7.012920	10.000000	4.000000	19.300000	0	0
HG	NEWS-WINDOW	E3	130	1836	787	805.046061	-49.100626	0.428649	1771	743.422501	14.123077	138	0.075163	9.658523	11.000000	5.900000	26.100000	0	0
