# PORT_M2_SHEETS_SPEC.md DISCRETIONARY_METHOD §4.2 name->count census — batch 2 (CC-M2-10.2) (spec_sha16=552d21d7a848efe2)
# params_hash=00c21776223b82281297cb2b32ca2d3a786d1f1abda99aeb43d935f37bf8819a
# CC-M2-10.2 census batch 2 — P020/P021/P022, strictly causal detectors over the frozen v3 roster
# BOTH CC-M1-8 certificate readings are reported on every row
# Holm-Bonferroni is applied over the WHOLE batch, not per pattern
reading	asset	era	phase	side	group	n_sessions	n_candidates	per_session	mean_close	cond_close	posfrac_close	mean_peak	cond_peak	posfrac_peak	n_winners	winner_frac
P020	ALL	FIT	ALL	ALL	FIRE	2960	669979	226.344257	-25.013090	771.368422	0.433199	667.734136	728.463381	0.936085	48010	0.071659
P020	ALL	FIT	ALL	ALL	NOFIRE	2960	552289	186.584122	-33.177480	534.652314	0.446880	1035.455574	1110.818704	0.947046	21670	0.039237
P020	ALL	GATE_2025	ALL	ALL	FIRE	774	193767	250.344961	-17.998279	1240.062610	0.374326	999.225339	1097.022442	0.930014	15279	0.078852
P020	ALL	GATE_2025	ALL	ALL	NOFIRE	774	164325	212.306202	-39.196904	867.705568	0.407972	1446.773239	1569.737734	0.935828	7906	0.048112
P020	ALL	2021	ALL	ALL	FIRE	637	122400	192.150706	-24.604371	687.519285	0.445351	607.206138	666.583225	0.930327	8448	0.069020
P020	ALL	2021	ALL	ALL	NOFIRE	637	119527	187.640502	-35.449972	509.707323	0.446326	976.950835	1053.804282	0.942682	4626	0.038703
P020	ALL	2022	ALL	ALL	FIRE	774	191433	247.329457	-32.591246	802.276932	0.428751	686.020912	749.482623	0.934708	14808	0.077353
P020	ALL	2022	ALL	ALL	NOFIRE	774	142411	183.993540	-36.139536	502.886566	0.453146	1033.011679	1110.414311	0.945278	5371	0.037715
P020	ALL	2023	ALL	ALL	FIRE	772	176759	228.962435	-16.373148	679.296346	0.448203	590.965198	642.053073	0.940399	11150	0.063080
P020	ALL	2023	ALL	ALL	NOFIRE	772	137038	177.510363	-32.138276	434.946052	0.456684	903.112394	959.688817	0.955968	4423	0.032276
P020	ALL	2024	ALL	ALL	FIRE	777	179387	230.871300	-25.718300	896.709592	0.414868	765.163355	833.436569	0.937231	13604	0.075836
P020	ALL	2024	ALL	ALL	NOFIRE	777	153313	197.314028	-29.583246	679.665677	0.432729	1201.631817	1292.360142	0.944114	7250	0.047289
P020	ALL	FIT	TOKYO	ALL	FIRE	2960	0	0.000000							0	
P020	ALL	FIT	TOKYO	ALL	NOFIRE	2960	337513	114.024662	-34.723540	607.708668	0.442116	1080.234069	1163.427144	0.943854	15754	0.046677
P020	ALL	FIT	LONDON	ALL	FIRE	2960	0	0.000000							0	
P020	ALL	FIT	LONDON	ALL	NOFIRE	2960	214776	72.559459	-30.747901	422.942054	0.454366	965.087731	1028.859088	0.952062	5916	0.027545
P020	ALL	FIT	NY	ALL	FIRE	2960	669979	226.344257	-25.013090	771.368422	0.433199	667.734136	728.463381	0.936085	48010	0.071659
P020	ALL	FIT	NY	ALL	NOFIRE	2960	0	0.000000							0	
P020	ALL	FIT	ALL	LONG	FIRE	2960	337169	113.908446	-14.083260	762.285818	0.447307	651.357494	709.667705	0.937838	24343	0.072198
P020	ALL	FIT	ALL	LONG	NOFIRE	2960	277211	93.652365	-43.033777	519.885539	0.447331	998.943093	1072.548327	0.946687	10108	0.036463
P020	ALL	FIT	ALL	SHORT	FIRE	2960	332810	112.435811	-36.086074	781.193837	0.418906	684.325272	747.577188	0.934308	23667	0.071113
P020	ALL	FIT	ALL	SHORT	NOFIRE	2960	275078	92.931757	-23.244757	549.563749	0.446426	1072.251180	1149.356493	0.947408	11562	0.042032
P020	SI	FIT	ALL	ALL	FIRE	916	274474	299.644105	-3.789685	1013.631263	0.414619	833.787371	903.783263	0.942792	24583	0.089564
P020	SI	FIT	ALL	ALL	NOFIRE	916	131003	143.016376	-29.235609	525.518761	0.449203	1249.107253	1325.421582	0.954444	4329	0.033045
P020	SI	GATE_2025	ALL	ALL	FIRE	258	79877	309.600775	-8.646075	1690.409760	0.330045	1246.508413	1366.474062	0.931282	6798	0.085106
P020	SI	GATE_2025	ALL	ALL	NOFIRE	258	53820	208.604651	-32.548774	1117.797965	0.379915	1846.126208	2014.989061	0.929915	2293	0.042605
P020	SI	2021	ALL	ALL	FIRE	142	37722	265.647887	-12.727255	845.519944	0.434654	735.567176	799.808586	0.941069	3115	0.082578
P020	SI	2021	ALL	ALL	NOFIRE	142	17773	125.161972	-24.984668	416.828428	0.453047	1136.787402	1202.337866	0.957801	429	0.024138
P020	SI	2022	ALL	ALL	FIRE	258	77065	298.701550	-4.910952	1001.703437	0.419062	821.632064	891.087932	0.942672	7103	0.092169
