# PORT_M2_SHEETS_SPEC.md DISCRETIONARY_METHOD §4.2 name->count census — batch 3 (CC-M2-12.4) (spec_sha16=18d12ab86a4ee6b0)
# params_hash=4a425ed1c08530a32b70ca198ac70719f94dcc3a706dee8eb1caeaaad81b811b
# CC-M2-12.4 census batch 3 — P025/P023/P024/P007-as-entry, strictly causal detectors over the frozen v3 roster
# BOTH CC-M1-8 certificate readings are reported on every row
# Holm-Bonferroni is applied over the WHOLE batch, not per pattern
# S7 c2f / S7 erosion / S8 through-book side are NOT censusable at era scale (MBP-1 event cache covers 488 of 3,734 sessions)
reading	asset	scope	term	n_candidates	per_session	mean_close	cond_close	posfrac_close	mean_peak	cond_peak	n_winners	winner_frac
P025_A_nominal	ALL	TERM_ALONE	T1_runway_ge_3h	901997	304.728716	-27.410627	769.306505	0.439667	841.218162	906.638547	63577	0.070485
P025_A_nominal	ALL	DETECTOR_MINUS_TERM	T1_runway_ge_3h	1222268	412.928378	-28.702218	662.581211	0.439381	833.891235	902.335990	69680	0.057009
P025_A_nominal	ALL	NEAR_MISS_ONLY_THIS_TERM_FAILS	T1_runway_ge_3h	320271	108.199662	-32.339796	361.256995	0.438575	813.256004	890.006272	6103	0.019056
P025_A_nominal	SI	TERM_ALONE	T1_runway_ge_3h	322925	352.538210	-9.089417	962.904766	0.422312	964.995626	1035.997473	26922	0.083369
P025_A_nominal	SI	DETECTOR_MINUS_TERM	T1_runway_ge_3h	405477	442.660480	-12.010848	847.259280	0.425792	967.970446	1041.142788	28912	0.071304
P025_A_nominal	SI	NEAR_MISS_ONLY_THIS_TERM_FAILS	T1_runway_ge_3h	82552	90.122271	-23.438832	412.480840	0.439408	979.607278	1061.553057	1990	0.024106
P025_A_nominal	HG	TERM_ALONE	T1_runway_ge_3h	300230	294.054848	-29.419757	588.622913	0.463401	700.015093	741.923474	17028	0.056717
P025_A_nominal	HG	DETECTOR_MINUS_TERM	T1_runway_ge_3h	417265	408.682664	-27.799390	507.467489	0.462109	719.747373	764.362102	18614	0.044610
P025_A_nominal	HG	NEAR_MISS_ONLY_THIS_TERM_FAILS	T1_runway_ge_3h	117035	114.627816	-23.642660	297.188868	0.458794	770.366610	822.419342	1586	0.013552
P025_A_nominal	NKD	TERM_ALONE	T1_runway_ge_3h	278842	272.572825	-46.465059	758.866807	0.434210	849.906094	936.394788	19627	0.070388
P025_A_nominal	NKD	DETECTOR_MINUS_TERM	T1_runway_ge_3h	399526	390.543500	-46.585122	651.069024	0.429434	817.026758	907.002689	22154	0.055451
P025_A_nominal	NKD	NEAR_MISS_ONLY_THIS_TERM_FAILS	T1_runway_ge_3h	120684	117.970674	-46.862529	392.588327	0.418398	741.058612	837.359044	2527	0.020939
P025_B_observed	ALL	TERM_ALONE	T1_runway_ge_3h	901810	304.665541	-27.407429	769.425901	0.439674	841.364319	906.774810	63577	0.070499
P025_B_observed	ALL	DETECTOR_MINUS_TERM	T1_runway_ge_3h	1222268	412.928378	-28.702218	662.581211	0.439381	833.891235	902.335990	69680	0.057009
P025_B_observed	ALL	NEAR_MISS_ONLY_THIS_TERM_FAILS	T1_runway_ge_3h	320458	108.262838	-32.345920	361.140804	0.438557	812.861018	889.624835	6103	0.019045
P025_B_observed	SI	TERM_ALONE	T1_runway_ge_3h	322857	352.463974	-9.076302	963.051838	0.422320	965.171701	1036.174695	26922	0.083387
P025_B_observed	SI	DETECTOR_MINUS_TERM	T1_runway_ge_3h	405477	442.660480	-12.010848	847.259280	0.425792	967.970446	1041.142788	28912	0.071304
P025_B_observed	SI	NEAR_MISS_ONLY_THIS_TERM_FAILS	T1_runway_ge_3h	82620	90.196507	-23.478274	412.322658	0.439361	978.907196	1060.830596	1990	0.024086
P025_B_observed	HG	TERM_ALONE	T1_runway_ge_3h	300134	293.960823	-29.423153	588.768874	0.463403	700.189578	742.080106	17028	0.056735
P025_B_observed	HG	DETECTOR_MINUS_TERM	T1_runway_ge_3h	417265	408.682664	-27.799390	507.467489	0.462109	719.747373	764.362102	18614	0.044610
P025_B_observed	HG	NEAR_MISS_ONLY_THIS_TERM_FAILS	T1_runway_ge_3h	117131	114.721841	-23.638693	297.049722	0.458794	769.861853	821.955841	1586	0.013540
P025_B_observed	NKD	TERM_ALONE	T1_runway_ge_3h	278819	272.550342	-46.464041	758.899913	0.434224	849.969398	936.440539	19627	0.070393
P025_B_observed	NKD	DETECTOR_MINUS_TERM	T1_runway_ge_3h	399526	390.543500	-46.585122	651.069024	0.429434	817.026758	907.002689	22154	0.055451
P025_B_observed	NKD	NEAR_MISS_ONLY_THIS_TERM_FAILS	T1_runway_ge_3h	120707	117.993157	-46.864805	392.552475	0.418368	740.933127	837.264265	2527	0.020935
P023_ABS	ALL	TERM_ALONE	T1_opposed_5m	359312	121.389189	-32.140393	676.546171	0.437661	836.832603	906.227021	21390	0.059530
P023_ABS	ALL	DETECTOR_MINUS_TERM	T1_opposed_5m	272889	92.192230	-14.546762	897.414791	0.428661	840.025931	901.621044	22604	0.082832
P023_ABS	ALL	NEAR_MISS_ONLY_THIS_TERM_FAILS	T1_opposed_5m	195093	65.909797	-13.940960	902.216008	0.428370	839.165026	902.008449	16082	0.082432
P023_ABS	ALL	TERM_ALONE	T2_vol_abs_500	288805	97.569257	-14.727195	906.281608	0.427226	845.948283	908.137990	24006	0.083122
P023_ABS	ALL	DETECTOR_MINUS_TERM	T2_vol_abs_500	292363	98.771284	-30.012784	687.499396	0.438985	844.582924	910.760808	17838	0.061013
P023_ABS	ALL	NEAR_MISS_ONLY_THIS_TERM_FAILS	T2_vol_abs_500	214567	72.488851	-35.069512	617.864725	0.442463	845.452394	914.475038	11316	0.052739
P023_ABS	ALL	TERM_ALONE	T3_live_book	1074796	363.106757	-26.075261	683.928030	0.440498	848.239010	914.190632	63830	0.059388
P023_ABS	ALL	DETECTOR_MINUS_TERM	T3_live_book	77798	26.283108	-16.069533	885.389264	0.429394	842.190239	900.656853	6522	0.083832
P023_ABS	ALL	NEAR_MISS_ONLY_THIS_TERM_FAILS	T3_live_book	2	0.000676	-155.000000	420.000000	0.500000	1051.250000	1051.250000	0	0.000000
P023_ABS	ALL	TERM_ALONE	T4_price_failure	1188230	401.429054	-28.543753	655.754910	0.439960	830.361878	898.556057	67021	0.056404
P023_ABS	ALL	DETECTOR_MINUS_TERM	T4_price_failure	87198	29.458784	-15.815042	905.118599	0.426191	856.152779	916.223252	7375	0.084578
P023_ABS	ALL	NEAR_MISS_ONLY_THIS_TERM_FAILS	T4_price_failure	9402	3.176351	-13.738832	1080.369545	0.399702	971.729020	1045.673972	853	0.090725
P023_ABS	SI	TERM_ALONE	T1_opposed_5m	106285	116.031659	-11.687444	885.624513	0.422628	979.167686	1050.194602	8120	0.076398
P023_ABS	SI	DETECTOR_MINUS_TERM	T1_opposed_5m	153116	167.157205	2.997450	1136.890270	0.406842	959.563550	1036.345218	15235	0.099500
P023_ABS	SI	NEAR_MISS_ONLY_THIS_TERM_FAILS	T1_opposed_5m	109939	120.020742	3.490731	1142.376353	0.405889	959.333744	1037.836354	10826	0.098473
P023_ABS	SI	TERM_ALONE	T2_vol_abs_500	162656	177.572052	2.183565	1148.053590	0.404910	964.751423	1042.321336	16174	0.099437
P023_ABS	SI	DETECTOR_MINUS_TERM	T2_vol_abs_500	98074	107.067686	-12.283403	868.510027	0.425057	970.015422	1039.961052	7420	0.075657
P023_ABS	SI	NEAR_MISS_ONLY_THIS_TERM_FAILS	T2_vol_abs_500	54897	59.931223	-23.314070	681.228972	0.437474	977.775698	1045.778073	3011	0.054848
P023_ABS	SI	TERM_ALONE	T3_live_book	399247	435.859170	-11.628478	854.179835	0.425761	967.312002	1040.235380	28762	0.072041
P023_ABS	SI	DETECTOR_MINUS_TERM	T3_live_book	43178	47.137555	1.751123	1122.996973	0.409283	960.136470	1032.550907	4409	0.102112
P023_ABS	SI	NEAR_MISS_ONLY_THIS_TERM_FAILS	T3_live_book	1	0.001092	420.000000	420.000000	1.000000	432.500000	432.500000	0	0.000000
P023_ABS	SI	TERM_ALONE	T4_price_failure	392940	428.973799	-11.780075	836.163267	0.427144	964.555117	1037.317704	27754	0.070632
P023_ABS	SI	DETECTOR_MINUS_TERM	T4_price_failure	48760	53.231441	2.211085	1149.101553	0.405517	974.954881	1049.205113	4991	0.102358
P023_ABS	SI	NEAR_MISS_ONLY_THIS_TERM_FAILS	T4_price_failure	5583	6.094978	5.843185	1368.221931	0.376500	1089.460863	1178.625759	582	0.104245
P023_ABS	HG	TERM_ALONE	T1_opposed_5m	110473	108.200784	-26.533146	516.953933	0.462303	726.411012	768.894039	5204	0.047107
P023_ABS	HG	DETECTOR_MINUS_TERM	T1_opposed_5m	118242	115.809990	-34.340833	621.364085	0.458407	679.897128	722.549218	7279	0.061560
P023_ABS	HG	NEAR_MISS_ONLY_THIS_TERM_FAILS	T1_opposed_5m	84089	82.359452	-33.590467	623.729072	0.459561	677.735554	721.124862	5182	0.061625
P023_ABS	HG	TERM_ALONE	T2_vol_abs_500	124438	121.878550	-33.225904	626.168884	0.458196	685.443383	728.224863	7738	0.062184
P023_ABS	HG	DETECTOR_MINUS_TERM	T2_vol_abs_500	102792	100.677767	-26.446951	510.367604	0.462993	719.961208	761.612734	4785	0.046550
P023_ABS	HG	NEAR_MISS_ONLY_THIS_TERM_FAILS	T2_vol_abs_500	68639	67.227228	-21.599892	459.307706	0.466688	737.247938	779.336671	2688	0.039161
P023_ABS	HG	TERM_ALONE	T3_live_book	410326	401.886386	-27.789029	509.058729	0.462437	719.804302	764.115163	18404	0.044852
