# PORT_M2_SHEETS_SPEC.md DISCRETIONARY_METHOD §4.2 name->count census — P001 (spec_sha16=e6443a43e898dd86)
# params_hash=f8d2e2eef007828e5d81c51f4c82166ffb88932cf6c0edb03aeefc970874056e
# P001 PHASE_ROLLOVER_UNDERMOVED — five strictly-causal terms; readings A/B differ ONLY in the T4 age field (see the report)
# BOTH CC-M1-8 certificate readings are reported on every row
reading	asset	neutralised_term	n_fires_mean	n_fires_sd	mean_close_mean	mean_close_sd	edge_close_mean	edge_close_sd	cond_close_mean	mean_peak_mean	edge_peak_mean	intact_n_fires	intact_mean_close	intact_edge_close	intact_cond_close	intact_edge_peak	edge_retention_close	edge_retention_peak	verdict
A	ALL	T1_coverage	5241.500000	49.711166	-42.956723	10.967279	-14.315997	11.014728	897.376042	798.928622	-35.113239	10455	-46.055715	-17.503216	1036.975845	25.020175	0.817907	-1.403397	VOID_no_intact_edge
A	SI	T1_coverage	2371.925000	32.777574	-52.361750	19.924074	-40.588482	20.042259	1099.084692	963.486069	-4.510741	4750	-61.626316	-50.203583	1305.720486	47.147659	0.808478	-0.095673	VOID_no_intact_edge
A	HG	T1_coverage	1909.675000	26.447483	-31.882574	12.797701	-4.102054	12.857027	713.766296	648.094898	-71.981877	3655	-39.312585	-11.614936	804.930688	-15.169234	0.353171	4.745255	VOID_no_intact_edge
A	NKD	T1_coverage	959.900000	22.397321	-41.769741	19.054479	4.826973	19.100187	811.906684	692.198955	-125.128200	2050	-22.000000	24.711921	922.202517	-45.173179	0.195330	2.769967	TERM_LOAD_BEARING
A	ALL	T2_ladder	5642.750000	43.055052	-43.597699	8.524620	-14.964567	8.564055	891.919807	800.005682	-34.042675	10455	-46.055715	-17.503216	1036.975845	25.020175	0.854961	-1.360609	VOID_no_intact_edge
A	SI	T2_ladder	2552.400000	26.431799	-63.423942	14.442144	-51.738830	14.533676	1089.858590	957.866132	-10.168291	4750	-61.626316	-50.203583	1305.720486	47.147659	1.030580	-0.215669	VOID_no_intact_edge
A	HG	T2_ladder	2031.925000	26.840629	-23.849135	11.116363	3.969607	11.170567	704.712711	652.828126	-67.246587	3655	-39.312585	-11.614936	804.930688	-15.169234	-0.341767	4.433090	VOID_no_intact_edge
A	NKD	T2_ladder	1058.425000	19.776106	-33.707100	18.363890	12.912278	18.412508	829.004775	701.797854	-115.534824	2050	-22.000000	24.711921	922.202517	-45.173179	0.522512	2.557598	PARTIAL
A	ALL	T3_runway	4919.325000	56.948831	-36.111965	10.985456	-7.439615	11.029699	858.365535	931.075739	97.577264	10455	-46.055715	-17.503216	1036.975845	25.020175	0.425043	3.899943	VOID_no_intact_edge
A	SI	T3_runway	1996.075000	30.115932	-60.731396	19.312082	-48.961339	19.407021	1126.102725	1039.662217	72.046894	4750	-61.626316	-50.203583	1305.720486	47.147659	0.975256	1.528112	VOID_no_intact_edge
A	HG	T3_runway	2091.025000	41.055138	-16.271796	14.157498	11.585457	14.228950	644.174808	826.593012	107.383604	3655	-39.312585	-11.614936	804.930688	-15.169234	-0.997462	-7.079039	VOID_no_intact_edge
A	NKD	T3_runway	832.225000	27.774527	-26.857486	35.479294	19.768894	35.553821	861.354103	933.031466	116.246931	2050	-22.000000	24.711921	922.202517	-45.173179	0.799974	-2.573362	PARTIAL
A	ALL	T4_age	5638.775000	60.760796	-10.565505	10.418269	18.220688	10.466414	1061.266112	871.325431	37.607664	10455	-46.055715	-17.503216	1036.975845	25.020175	-1.040991	1.503094	VOID_no_intact_edge
A	SI	T4_age	2300.600000	39.195535	-8.119309	18.843733	3.913723	18.951697	1467.620314	1071.816199	104.438157	4750	-61.626316	-50.203583	1305.720486	47.147659	-0.077957	2.215129	VOID_no_intact_edge
A	HG	T4_age	2204.425000	41.098593	-3.862214	18.246646	24.064156	18.343361	796.938967	722.850084	3.119165	3655	-39.312585	-11.614936	804.930688	-15.169234	-2.071829	-0.205624	VOID_no_intact_edge
A	NKD	T4_age	1133.750000	28.829455	-28.608734	21.485264	18.027602	21.545816	914.311750	753.150663	-64.057692	2050	-22.000000	24.711921	922.202517	-45.173179	0.729510	1.418047	PARTIAL
A	ALL	T5_slope	7466.100000	68.239944	-23.025549	8.539243	5.711434	8.591523	1080.322695	898.455177	64.960631	10455	-46.055715	-17.503216	1036.975845	25.020175	-0.326308	2.596330	VOID_no_intact_edge
A	SI	T5_slope	3446.150000	47.608061	-27.706769	15.891271	-15.830921	16.028155	1373.373203	1058.863132	91.671552	4750	-61.626316	-50.203583	1305.720486	47.147659	0.315334	1.944350	VOID_no_intact_edge
A	HG	T5_slope	2692.275000	41.843152	-16.808741	11.419029	11.061787	11.492764	832.358182	737.326721	17.693373	3655	-39.312585	-11.614936	804.930688	-15.169234	-0.952376	-1.166399	VOID_no_intact_edge
A	NKD	T5_slope	1327.675000	31.081657	-23.366631	23.335408	23.295853	23.413325	940.891577	808.916976	-8.137059	2050	-22.000000	24.711921	922.202517	-45.173179	0.942697	0.180130	TERM_NOT_LOAD_BEARING
B	ALL	T1_coverage	16981.675000	64.436941	-44.246315	4.634624	-15.763092	4.699876	897.004022	783.532900	-51.067848	31534	-30.101676	-1.436520	1015.228919	18.313462	10.973113	-2.788541	VOID_no_intact_edge
B	SI	T1_coverage	7955.750000	50.018372	-53.318334	7.083956	-42.134049	7.224880	1152.910765	937.281608	-31.302793	14649	-35.240972	-24.100835	1322.629763	45.658940	1.748240	-0.685579	VOID_no_intact_edge
B	HG	T1_coverage	6525.350000	46.816423	-19.852425	5.770683	8.073216	5.862311	674.561438	638.028109	-83.017559	11801	-6.519469	21.899272	759.610151	-18.939812	0.368652	4.383230	TERM_LOAD_BEARING
B	NKD	T1_coverage	2500.575000	31.681925	-79.062482	13.026228	-32.681874	13.108172	787.482574	674.030663	-143.896656	5084	-70.032455	-23.749548	882.060152	-78.951963	1.376105	1.822585	VOID_no_intact_edge
B	ALL	T2_ladder	17972.250000	75.945951	-49.602126	5.253165	-21.211850	5.331796	887.356874	781.486187	-53.187127	31534	-30.101676	-1.436520	1015.228919	18.313462	14.766140	-2.904264	VOID_no_intact_edge
B	SI	T2_ladder	8322.150000	46.826034	-65.611953	8.289797	-54.724349	8.463911	1140.508358	932.082256	-36.640093	14649	-35.240972	-24.100835	1322.629763	45.658940	2.270641	-0.802474	VOID_no_intact_edge
B	HG	T2_ladder	6903.050000	44.626758	-19.881597	6.180715	8.050952	6.284559	667.622366	638.555849	-82.557185	11801	-6.519469	21.899272	759.610151	-18.939812	0.367636	4.358923	TERM_LOAD_BEARING
