# PORT_M2_SHEETS_SPEC.md DISCRETIONARY_METHOD §4.2 name->count census — batch 3 (CC-M2-12.4) (spec_sha16=18d12ab86a4ee6b0)
# params_hash=4a425ed1c08530a32b70ca198ac70719f94dcc3a706dee8eb1caeaaad81b811b
# phase_dec as a CONTROL: the phase breakdown INSIDE each runway band, which is where P020's 86/86 has to survive if it is a phase fact
reading	asset	era	band	phase	n_candidates	cand_share_in_band	n_winners	winner_share_in_band	conc_ratio_in_band	winner_rate	band_winner_rate	mean_close	cond_close	mean_peak
A_nominal	ALL	FIT	b0_lt15m	TOKYO	7897	0.468859	5	0.714286	1.523454	0.000633	0.000416	-38.780233	98.457190	981.084114
A_nominal	ALL	FIT	b0_lt15m	LONDON	6880	0.408478	2	0.285714	0.699460	0.000291	0.000416	-35.212573	82.826160	895.176235
A_nominal	ALL	FIT	b0_lt15m	NY	2066	0.122662	0	0.000000	0.000000	0.000000	0.000416	-44.372580	77.671026	34.850557
A_nominal	ALL	FIT	b1_15-30m	TOKYO	11793	0.554991	12	0.387097	0.697483	0.001018	0.001459	-35.566862	191.364970	987.386373
A_nominal	ALL	FIT	b1_15-30m	LONDON	7531	0.354417	18	0.580645	1.638312	0.002390	0.001459	-32.010025	139.979968	943.338534
A_nominal	ALL	FIT	b1_15-30m	NY	1925	0.090592	1	0.032258	0.356079	0.000519	0.001459	-37.438312	111.145833	84.883117
A_nominal	ALL	FIT	b2_30-60m	TOKYO	20041	0.457129	195	0.617089	1.349922	0.009730	0.007208	-42.985879	286.477273	1003.058792
A_nominal	ALL	FIT	b2_30-60m	LONDON	15889	0.362423	88	0.278481	0.768386	0.005538	0.007208	-36.157562	210.561800	929.115190
A_nominal	ALL	FIT	b2_30-60m	NY	7911	0.180448	33	0.104430	0.578730	0.004171	0.007208	-42.231387	162.073817	119.272374
A_nominal	ALL	FIT	b3_1-2h	TOKYO	33285	0.320082	580	0.350665	1.095548	0.017425	0.015906	-15.304379	402.734662	1058.009051
A_nominal	ALL	FIT	b3_1-2h	LONDON	39971	0.384377	450	0.272068	0.707814	0.011258	0.015906	-36.377749	291.076000	900.290554
A_nominal	ALL	FIT	b3_1-2h	NY	30733	0.295541	624	0.377267	1.276531	0.020304	0.015906	-39.387710	323.526799	264.003392
A_nominal	ALL	FIT	b4_2-3h	TOKYO	36103	0.268725	923	0.225397	0.838762	0.025566	0.030480	-36.466222	469.478214	1053.870454
A_nominal	ALL	FIT	b4_2-3h	LONDON	59968	0.446360	1317	0.321612	0.720521	0.021962	0.030480	-29.618025	407.483258	933.214548
A_nominal	ALL	FIT	b4_2-3h	NY	38278	0.284915	1855	0.452991	1.589920	0.048461	0.030480	-24.766739	569.390407	481.673971
A_nominal	ALL	FIT	b5_3-4h	TOKYO	41190	0.321332	1166	0.259284	0.806903	0.028308	0.035082	-37.189700	495.658364	1101.489439
A_nominal	ALL	FIT	b5_3-4h	LONDON	52055	0.406093	2093	0.465421	1.146096	0.040207	0.035082	-30.980573	530.930029	1009.355730
A_nominal	ALL	FIT	b5_3-4h	NY	34940	0.272575	1238	0.275295	1.009978	0.035432	0.035082	-35.428055	427.449614	387.399828
A_nominal	ALL	FIT	b6_4-6h	TOKYO	113109	0.434989	6966	0.475073	1.092149	0.061587	0.056390	-41.662368	698.366657	1081.939589
A_nominal	ALL	FIT	b6_4-6h	LONDON	32480	0.124910	1948	0.132851	1.063576	0.059975	0.056390	-21.622729	642.130657	1070.200893
A_nominal	ALL	FIT	b6_4-6h	NY	114438	0.440100	5749	0.392075	0.890877	0.050237	0.056390	-26.846163	559.757992	505.149765
A_nominal	ALL	FIT	b7_6-8h	TOKYO	65893	0.186424	5231	0.180094	0.966044	0.079386	0.082177	-27.184735	878.730012	1119.848998
A_nominal	ALL	FIT	b7_6-8h	LONDON	2	0.000006	0	0.000000	0.000000	0.000000	0.082177	-442.500000	45.000000	607.500000
A_nominal	ALL	FIT	b7_6-8h	NY	287563	0.813570	23815	0.819906	1.007788	0.082817	0.082177	-24.424309	842.631902	733.984023
A_nominal	ALL	FIT	b8_ge8h	TOKYO	8202	0.051158	676	0.043979	0.859669	0.082419	0.095873	-33.042703	1008.269887	1255.485248
A_nominal	ALL	FIT	b8_ge8h	NY	152125	0.948842	14695	0.956021	1.007566	0.096598	0.095873	-18.197412	1087.552211	902.067543
A_nominal	ALL	GATE_2025	b0_lt15m	TOKYO	2893	0.467593	10	0.357143	0.763789	0.003457	0.004526	-45.375475	201.901042	1423.223298
A_nominal	ALL	GATE_2025	b0_lt15m	LONDON	2256	0.364636	0	0.000000	0.000000	0.000000	0.004526	-41.763076	155.457706	1197.244016
A_nominal	ALL	GATE_2025	b0_lt15m	NY	1038	0.167771	18	0.642857	3.831751	0.017341	0.004526	-45.625000	271.482733	214.460501
A_nominal	ALL	GATE_2025	b1_15-30m	TOKYO	4096	0.531603	23	0.237113	0.446035	0.005615	0.012589	-31.954651	346.142511	1284.103699
A_nominal	ALL	GATE_2025	b1_15-30m	LONDON	2319	0.300973	13	0.134021	0.445291	0.005606	0.012589	-24.518111	323.624002	1314.755282
A_nominal	ALL	GATE_2025	b1_15-30m	NY	1290	0.167424	61	0.628866	3.756134	0.047287	0.012589	2.218992	562.227723	411.429264
A_nominal	ALL	GATE_2025	b2_30-60m	TOKYO	6876	0.457881	131	0.417197	0.911148	0.019052	0.020910	-30.463569	517.643339	1548.328607
A_nominal	ALL	GATE_2025	b2_30-60m	LONDON	4913	0.327163	37	0.117834	0.360171	0.007531	0.020910	-63.492774	326.533434	1221.490942
A_nominal	ALL	GATE_2025	b2_30-60m	NY	3228	0.214956	146	0.464968	2.163081	0.045229	0.020910	73.080468	695.937038	482.666512
A_nominal	ALL	GATE_2025	b3_1-2h	TOKYO	10387	0.332853	301	0.312565	0.939049	0.028979	0.030859	-9.974367	677.286038	1500.444907
A_nominal	ALL	GATE_2025	b3_1-2h	LONDON	11672	0.374031	274	0.284528	0.760706	0.023475	0.030859	-34.593257	517.867842	1264.744902
A_nominal	ALL	GATE_2025	b3_1-2h	NY	9147	0.293117	388	0.402908	1.374564	0.042418	0.030859	-39.485350	569.493927	509.530037
A_nominal	ALL	GATE_2025	b4_2-3h	TOKYO	6881	0.205103	329	0.205754	1.003172	0.047813	0.047662	-51.248728	771.107082	1459.325679
A_nominal	ALL	GATE_2025	b4_2-3h	LONDON	16004	0.477034	676	0.422764	0.886236	0.042239	0.047662	-51.196654	647.199123	1243.400790
A_nominal	ALL	GATE_2025	b4_2-3h	NY	10664	0.317863	594	0.371482	1.168685	0.055701	0.047662	-82.953863	773.982470	729.925919
A_nominal	ALL	GATE_2025	b5_3-4h	TOKYO	10701	0.265949	493	0.227084	0.853863	0.046070	0.053955	-55.226030	872.401728	1462.514718
A_nominal	ALL	GATE_2025	b5_3-4h	LONDON	16988	0.422198	981	0.451865	1.070268	0.057747	0.053955	-25.389025	890.492508	1376.392380
A_nominal	ALL	GATE_2025	b5_3-4h	NY	12548	0.311852	697	0.321050	1.029495	0.055547	0.053955	-4.583599	945.548030	774.324394
A_nominal	ALL	GATE_2025	b6_4-6h	TOKYO	32305	0.458039	1810	0.419759	0.916427	0.056028	0.061138	-51.283857	1007.163313	1507.258938
A_nominal	ALL	GATE_2025	b6_4-6h	LONDON	5	0.000071	0	0.000000	0.000000	0.000000	0.061138	-272.500000	326.250000	646.250000
A_nominal	ALL	GATE_2025	b6_4-6h	NY	38219	0.541891	2502	0.580241	1.070772	0.065465	0.061138	-17.350369	1047.233345	888.097837
A_nominal	ALL	GATE_2025	b7_6-8h	TOKYO	29619	0.276971	2273	0.235520	0.850340	0.076741	0.090248	-18.179040	1461.150235	1620.647389
A_nominal	ALL	GATE_2025	b7_6-8h	NY	77320	0.723029	7378	0.764480	1.057330	0.095422	0.090248	-3.699884	1397.989529	1113.750808
A_nominal	ALL	GATE_2025	b8_ge8h	TOKYO	6410	0.137192	555	0.137037	0.998874	0.086583	0.086681	-94.883970	1448.075810	1552.044657
A_nominal	ALL	GATE_2025	b8_ge8h	NY	40313	0.862808	3495	0.862963	1.000179	0.086697	0.086681	-35.382724	1690.618230	1217.653052
A_nominal	SI	FIT	b0_lt15m	TOKYO	1610	0.349696	0	0.000000	0.000000	0.000000	0.000434	-38.827640	92.627551	1128.369565
A_nominal	SI	FIT	b0_lt15m	LONDON	2321	0.504127	2	1.000000	1.983628	0.000862	0.000434	-29.870745	110.687500	1138.650366
A_nominal	SI	FIT	b0_lt15m	NY	673	0.146177	0	0.000000	0.000000	0.000000	0.000434	-30.037147	81.524390	66.192422
A_nominal	SI	FIT	b1_15-30m	TOKYO	1996	0.390072	2	0.117647	0.301603	0.001002	0.003322	-46.451653	169.389098	1300.360721
A_nominal	SI	FIT	b1_15-30m	LONDON	2469	0.482509	14	0.823529	1.706764	0.005670	0.003322	-30.035439	166.253637	1194.179830
A_nominal	SI	FIT	b1_15-30m	NY	652	0.127418	1	0.058824	0.461656	0.001534	0.003322	-28.945552	131.862745	118.025307
A_nominal	SI	FIT	b2_30-60m	TOKYO	3473	0.336108	37	0.440476	1.310521	0.010654	0.008129	-31.893176	313.664047	1382.482004
A_nominal	SI	FIT	b2_30-60m	LONDON	4708	0.455628	39	0.464286	1.019003	0.008284	0.008129	-31.038127	251.323668	1216.991822
A_nominal	SI	FIT	b2_30-60m	NY	2152	0.208265	8	0.095238	0.457293	0.003717	0.008129	-32.648699	191.702982	160.642426
A_nominal	SI	FIT	b3_1-2h	TOKYO	7158	0.268432	127	0.212375	0.791168	0.017742	0.022426	-15.097094	368.582981	1310.135163
A_nominal	SI	FIT	b3_1-2h	LONDON	10954	0.410785	168	0.280936	0.683901	0.015337	0.022426	-34.666104	342.415890	1150.440935
A_nominal	SI	FIT	b3_1-2h	NY	8554	0.320783	303	0.506689	1.579538	0.035422	0.022426	-22.427519	435.315345	361.483516
A_nominal	SI	FIT	b4_2-3h	TOKYO	6978	0.194742	106	0.082234	0.422273	0.015191	0.035973	-23.662224	358.815382	1247.642233
A_nominal	SI	FIT	b4_2-3h	LONDON	15139	0.422499	376	0.291699	0.690413	0.024837	0.035973	-21.518594	451.686743	1164.052612
A_nominal	SI	FIT	b4_2-3h	NY	13715	0.382758	807	0.626067	1.635671	0.058841	0.035973	-7.250273	748.324106	617.302224
A_nominal	SI	FIT	b5_3-4h	TOKYO	15308	0.357789	301	0.217172	0.606983	0.019663	0.032395	-31.813594	453.261998	1224.168572
A_nominal	SI	FIT	b5_3-4h	LONDON	15413	0.360243	594	0.428571	1.189673	0.038539	0.032395	-23.438980	558.367578	1191.785181
A_nominal	SI	FIT	b5_3-4h	NY	12064	0.281968	491	0.354257	1.256373	0.040700	0.032395	-24.668021	492.765515	443.160850
A_nominal	SI	FIT	b6_4-6h	TOKYO	20089	0.256542	1162	0.240580	0.937781	0.057843	0.061680	-24.488277	840.172758	1407.836627
