# PORT_M2_SHEETS_SPEC.md DISCRETIONARY_METHOD §4.2 name->count census — P001 (spec_sha16=e6443a43e898dd86)
# params_hash=f8d2e2eef007828e5d81c51f4c82166ffb88932cf6c0edb03aeefc970874056e
# CC-M2-8.4 — the size of the fvol ladder-refusal hole
# row grain = m1/fvol/fvol_forecasts.tsv (session x segment); candidate grain = the decision views
asset	era	n_fvol_rows	n_rows_no_quantiles	frac_rows_no_quantiles	n_rows_atr_fallback	frac_rows_atr_fallback	n_sessions	n_sessions_any_segment_refused	frac_sessions_any_refused	n_candidates	n_candidates_ladder_refused	frac_ladder_refused	n_candidates_coverage_refused	frac_coverage_refused
ALL	2021	2548	360	0.141287	2548	1.000000	637	90	0.141287	241927	36807	0.152141	36807	0.152141
ALL	2022	3096	0	0.000000	680	0.219638	774	0	0.000000	333844	7	0.000021	7	0.000021
ALL	2023	3088	0	0.000000	0	0.000000	772	0	0.000000	313797	5	0.000016	5	0.000016
ALL	2024	3108	0	0.000000	0	0.000000	777	0	0.000000	332700	10	0.000030	10	0.000030
ALL	2025	3093	0	0.000000	0	0.000000	774	0	0.000000	358092	9	0.000025	9	0.000025
ALL	ALL	29866	720	0.024108	6456	0.216166	3734	90	0.024103	1580360	36838	0.023310	36838	0.023310
ALL	E1	1572	76	0.048346	1572	1.000000	393	19	0.048346	0	0		0	
ALL	E2	1536	0	0.000000	680	0.442708	384	0	0.000000	0	0		0	
ALL	E3	1560	0	0.000000	0	0.000000	390	0	0.000000	0	0		0	
ALL	E4	1540	0	0.000000	0	0.000000	385	0	0.000000	0	0		0	
ALL	E5	1548	0	0.000000	0	0.000000	387	0	0.000000	0	0		0	
ALL	E6	1536	0	0.000000	0	0.000000	384	0	0.000000	0	0		0	
ALL	E7	1572	0	0.000000	0	0.000000	393	0	0.000000	0	0		0	
ALL	E8	1524	0	0.000000	0	0.000000	381	0	0.000000	0	0		0	
ALL	FIT	11840	360	0.030405	3228	0.272635	2960	90	0.030405	1222268	36829	0.030132	36829	0.030132
ALL	GATE_2025	3093	0	0.000000	0	0.000000	774	0	0.000000	358092	9	0.000025	9	0.000025
ALL	HOLDOUT_2025H2	1569	0	0.000000	0	0.000000	393	0	0.000000	0	0		0	
ALL	PRE_E1	976	284	0.290984	976	1.000000	244	71	0.290984	0	0		0	
HG	2021	988	120	0.121457	988	1.000000	247	30	0.121457	93993	14270	0.151820	14270	0.151820
HG	2022	1032	0	0.000000	84	0.081395	258	0	0.000000	110802	4	0.000036	4	0.000036
HG	2023	1028	0	0.000000	0	0.000000	257	0	0.000000	105361	2	0.000019	2	0.000019
HG	2024	1036	0	0.000000	0	0.000000	259	0	0.000000	107109	3	0.000028	3	0.000028
HG	2025	1031	0	0.000000	0	0.000000	258	0	0.000000	112227	4	0.000036	4	0.000036
HG	ALL	10230	240	0.023460	2144	0.209580	1279	30	0.023456	529492	14283	0.026975	14283	0.026975
HG	E1	524	0	0.000000	524	1.000000	131	0	0.000000	0	0		0	
HG	E2	512	0	0.000000	84	0.164062	128	0	0.000000	0	0		0	
HG	E3	520	0	0.000000	0	0.000000	130	0	0.000000	0	0		0	
HG	E4	512	0	0.000000	0	0.000000	128	0	0.000000	0	0		0	
HG	E5	516	0	0.000000	0	0.000000	129	0	0.000000	0	0		0	
HG	E6	512	0	0.000000	0	0.000000	128	0	0.000000	0	0		0	
HG	E7	524	0	0.000000	0	0.000000	131	0	0.000000	0	0		0	
