# PORT_M2_SHEETS_SPEC.md §4 [P-M2a] 30-sheet pilot (spec_sha16=c45371dbd6ad2995)
# params_hash=6d0cd928cd3f06ba5610256aa1362694d2bf621ae524495ba1e8e890eee290e8
# one row per pilot sheet; tokens are the M2-PROXY-2 proxy (no BPE tokenizer on this host)
cid	asset	era	phase	family	trade_date	decision_ts	certified	n_failed_sections	n_leak_refusals	tokens_proxy	chars	lines	appendix_tokens	sheet_sha256	appendix_sha256	wall_sec	tok_S1	tok_S2	tok_S3	tok_S4	tok_S5	tok_S6	tok_S7	tok_S8	tok_S9	tok_S10	tok_S11	tok_S12	tok_S13	rows_S1	rows_S2	rows_S3	rows_S4	rows_S5	rows_S6	rows_S7	rows_S8	rows_S9	rows_S10	rows_S11	rows_S12	rows_S13
SI-20210920-012788-L	SI	E1	TOKYO	G1	2021-09-20	1632101588	1	0	0	7474	18657	265	506	b89929d4452d9ceed927a6ff1ebb60359e9760b6c5f2cc0a2fb2432a424874f1	e7af9c55b0724da1c6271eb6362ad2c851b5b195da21390a7e991ba5e00e51b9	4.42	554	212	649	879	293	2951	201	331	242	143	141	599	267	24	6	19	25	10	102	6	15	9	6	5	18	8
SI-20220322-037333-L	SI	E2	LONDON	G1_FINE	2022-03-22	1647937333	1	0	0	7560	18515	264	435	284e6ddb4308f630c4b539560264be395e95fbb52e7dace79fea2aa26624e625	aa133b1af23e4fc9063fea19e5138ce0312555b1182787b4b02af4eb4a89201e	4.06	568	213	634	949	291	2799	202	427	245	208	139	599	274	24	6	19	25	10	94	6	21	9	7	5	18	8
SI-20220920-046967-S	SI	E3	NY	G1_FAST_OPEN	2022-09-20	1663671767	1	0	0	7605	19027	271	451	c84a5dae3cc1647b7195aa88999160a18572714aabfeb93ca3d7e045cc3509d0	5959d0e729cd5f1d46c8f58fb732bf7e92b904fd6826a87704fb67acd92e8110	4.27	558	213	666	895	295	2897	203	363	239	242	141	600	281	24	6	19	25	10	102	6	19	9	8	5	18	8
SI-20230403-005357-L	SI	E4	TOKYO	G2_REJECT	2023-04-03	1680478157	1	0	0	7634	19000	272	471	19118ab7682a785d71f6878707a4bbf8bfa010096bd779dd775029a239219237	2285226f75a5f33c73492d04876fcd033ef6a11270eeca44413094be93c51405	4.43	556	211	671	902	294	2934	200	450	242	143	139	605	275	24	6	19	25	10	102	6	22	9	6	5	18	8
SI-20230927-029926-S	SI	E5	LONDON	G2_RECLAIM	2023-09-27	1695795526	1	0	0	7547	18927	267	457	c1dbe870a4a464030cc76baf641f948050283949e308c1728a1315060acae2f7	74db83cd79868ac25088820a1e6818228616367c6a32952bd21bbf18f1eac8e9	4.16	570	213	640	914	297	2886	203	343	242	208	140	603	276	24	6	19	25	10	102	6	16	9	7	5	18	8
SI-20240326-052625-L	SI	E6	NY	NEWS_WINDOW	2024-03-26	1711456625	1	0	0	7691	19095	273	505	198443f46dd8049455cc8093b3f0d308b47194544ef82aae174bfa9d46326d03	d2a3c76029d154e01cac66e960de4ae564c95231dd46be15d231fcd379ba9de5	4.53	556	213	630	900	292	2961	202	432	240	240	140	599	274	24	6	19	25	10	102	6	21	9	8	5	18	8
SI-20241031-020087-L	SI	E7	TOKYO	MICRO_OPEN	2024-10-31	1730345687	1	0	0	7501	18434	262	504	55094040b682baa5af57e1e011a7c193fe84ab3b59286e9c6282f0f52b9d927a	930c62112f45deeeb87394569897ca719c9cd5616ba1878f95aad57408bdd2d8	4.21	555	213	659	922	296	2783	203	415	245	189	140	598	271	24	6	19	25	10	94	6	20	9	6	5	18	8
SI-20250611-040278-S	SI	E8	LONDON	POST_SHOCK	2025-06-11	1749633078	1	0	0	7802	19290	274	457	210b46945327dfb34d221b8fb7219fdef0552c480783f6b9fa4dc93c8f549a35	402e72bc869835b98a00bce954e3818e36c93dd94acf9087295cd279a6128f60	4.19	572	213	630	932	294	2953	205	495	246	234	141	598	277	24	6	19	25	10	102	6	23	9	7	5	18	8
SI-20210928-057341-L	SI	E1	NY	G1	2021-09-28	1632837341	1	0	0	7797	19400	278	389	9e5247c762702ec0c3a326faedc518b69de2c6f7e0f9ad91824b91ef6584af74	fbb93535364806e98965f8198b2c29c1eaa3242312401181236f99763a977cff	1.04	554	212	654	963	295	2896	205	494	245	250	142	608	267	24	6	19	25	10	105	6	23	9	8	5	18	8
SI-20220317-014448-L	SI	E2	TOKYO	G1_FINE	2022-03-17	1647482448	1	0	0	7615	18891	267	496	aa058d99f64b594d7dbfbde6addb4f6415c29b81372599968e73db582a2c26ba	bf19932f755477f75a1fd9191c88b7f8b53e0fb7a6a88bd017a281ba677f9b4c	0.76	556	212	641	955	294	2930	203	330	244	191	140	633	274	24	6	19	25	10	102	6	16	9	6	5	19	8
