# PORT_M2_SHEETS_SPEC.md CC-M2-13.3 SESSION-SIDE STATE probe (ceiling census + causal day-side estimators, mirror-law tested) (spec_sha16=18d12ab86a4ee6b0)
# params_hash=432a395322b7915a4d95cb3349754cf5b66c84e4587366d2464b253ea51bcfd9
# CC-M2-13.3 session-side state probe
# capture = realised / one-position DP ceiling over every candidate of the session
# the ORACLE arms are HINDSIGHT by construction — they are the concept's ceiling, never a rule
arm	asset	era	release_day	n_sessions	n_takes	n_seated	n_forfeited	realised_usd	per_session_usd	dp_ceiling_usd	capture	n_winner_seated	precision	takes_per_session
CORE	ALL	FIT	ALL	2960	55566	5549	50017	-125588.750000	-42.428632	9228282.500000	-0.013609	423	0.076230	18.772297
CORE	ALL	FIT	RELEASE	350	10184	691	9493	-886.250000	-2.532143	1191931.250000	-0.000744	51	0.073806	29.097143
CORE	ALL	FIT	NO_RELEASE	2610	45382	4858	40524	-124702.500000	-47.778736	8036351.250000	-0.015517	372	0.076575	17.387739
CORE	ALL	GATE_2025	ALL	774	14975	1685	13290	105450.000000	136.240310	3932115.000000	0.026818	133	0.078932	19.347545
CORE	ALL	GATE_2025	RELEASE	99	2041	214	1827	-14145.000000	-142.878788	513907.500000	-0.027524	12	0.056075	20.616162
CORE	ALL	GATE_2025	NO_RELEASE	675	12934	1471	11463	119595.000000	177.177778	3418207.500000	0.034988	121	0.082257	19.161481
CORE	SI	FIT	ALL	916	29324	2536	26788	-11755.000000	-12.832969	3357817.500000	-0.003501	206	0.081230	32.013100
CORE	SI	FIT	RELEASE	108	5523	307	5216	7677.500000	71.087963	439402.500000	0.017473	23	0.074919	51.138889
CORE	SI	FIT	NO_RELEASE	808	23801	2229	21572	-19432.500000	-24.050124	2918415.000000	-0.006659	183	0.082100	29.456683
CORE	SI	GATE_2025	ALL	258	9182	998	8184	141447.500000	548.246124	1864727.500000	0.075854	82	0.082164	35.589147
CORE	SI	GATE_2025	RELEASE	33	1268	124	1144	-157.500000	-4.772727	221370.000000	-0.000711	8	0.064516	38.424242
CORE	SI	GATE_2025	NO_RELEASE	225	7914	874	7040	141605.000000	629.355556	1643357.500000	0.086168	74	0.084668	35.173333
CORE	HG	FIT	ALL	1021	24040	2615	21425	-103131.250000	-101.010039	2751560.000000	-0.037481	180	0.068834	23.545544
CORE	HG	FIT	RELEASE	120	3946	308	3638	-12721.250000	-106.010417	352748.750000	-0.036063	20	0.064935	32.883333
CORE	HG	FIT	NO_RELEASE	901	20094	2307	17787	-90410.000000	-100.344062	2398811.250000	-0.037690	160	0.069354	22.301887
CORE	HG	GATE_2025	ALL	258	5040	591	4449	-39530.000000	-153.217054	933965.000000	-0.042325	44	0.074450	19.534884
CORE	HG	GATE_2025	RELEASE	33	689	78	611	-14702.500000	-445.530303	135320.000000	-0.108650	3	0.038462	20.878788
CORE	HG	GATE_2025	NO_RELEASE	225	4351	513	3838	-24827.500000	-110.344444	798645.000000	-0.031087	41	0.079922	19.337778
CORE	NKD	FIT	ALL	1023	2202	398	1804	-10702.500000	-10.461877	3118905.000000	-0.003431	37	0.092965	2.152493
CORE	NKD	FIT	RELEASE	122	715	76	639	4157.500000	34.077869	399780.000000	0.010399	8	0.105263	5.860656
CORE	NKD	FIT	NO_RELEASE	901	1487	322	1165	-14860.000000	-16.492786	2719125.000000	-0.005465	29	0.090062	1.650388
CORE	NKD	GATE_2025	ALL	258	753	96	657	3532.500000	13.691860	1133422.500000	0.003117	7	0.072917	2.918605
CORE	NKD	GATE_2025	RELEASE	33	84	12	72	715.000000	21.666667	157217.500000	0.004548	1	0.083333	2.545455
CORE	NKD	GATE_2025	NO_RELEASE	225	669	84	585	2817.500000	12.522222	976205.000000	0.002886	6	0.071429	2.973333
CORE_E1_FIRST_OUTCOME	ALL	FIT	ALL	2960	26171	3408	22763	-116965.000000	-39.515203	9228282.500000	-0.012675	300	0.088028	8.841554
CORE_E1_FIRST_OUTCOME	ALL	FIT	RELEASE	350	5084	444	4640	-2563.750000	-7.325000	1191931.250000	-0.002151	44	0.099099	14.525714
CORE_E1_FIRST_OUTCOME	ALL	FIT	NO_RELEASE	2610	21087	2964	18123	-114401.250000	-43.831897	8036351.250000	-0.014235	256	0.086370	8.079310
CORE_E1_FIRST_OUTCOME	ALL	GATE_2025	ALL	774	6842	1135	5707	24050.000000	31.072351	3932115.000000	0.006116	94	0.082819	8.839793
CORE_E1_FIRST_OUTCOME	ALL	GATE_2025	RELEASE	99	940	130	810	19887.500000	200.883838	513907.500000	0.038699	14	0.107692	9.494949
CORE_E1_FIRST_OUTCOME	ALL	GATE_2025	NO_RELEASE	675	5902	1005	4897	4162.500000	6.166667	3418207.500000	0.001218	80	0.079602	8.743704
CORE_E1_FIRST_OUTCOME	SI	FIT	ALL	916	14346	1702	12644	-57985.000000	-63.302402	3357817.500000	-0.017269	160	0.094007	15.661572
CORE_E1_FIRST_OUTCOME	SI	FIT	RELEASE	108	2809	219	2590	1480.000000	13.703704	439402.500000	0.003368	20	0.091324	26.009259
CORE_E1_FIRST_OUTCOME	SI	FIT	NO_RELEASE	808	11537	1483	10054	-59465.000000	-73.595297	2918415.000000	-0.020376	140	0.094403	14.278465
CORE_E1_FIRST_OUTCOME	SI	GATE_2025	ALL	258	4422	753	3669	21147.500000	81.967054	1864727.500000	0.011341	60	0.079681	17.139535
CORE_E1_FIRST_OUTCOME	SI	GATE_2025	RELEASE	33	620	89	531	12867.500000	389.924242	221370.000000	0.058127	7	0.078652	18.787879
CORE_E1_FIRST_OUTCOME	SI	GATE_2025	NO_RELEASE	225	3802	664	3138	8280.000000	36.800000	1643357.500000	0.005038	53	0.079819	16.897778
CORE_E1_FIRST_OUTCOME	HG	FIT	ALL	1021	11018	1559	9459	-69570.000000	-68.139079	2751560.000000	-0.025284	124	0.079538	10.791381
CORE_E1_FIRST_OUTCOME	HG	FIT	RELEASE	120	1977	196	1781	-4748.750000	-39.572917	352748.750000	-0.013462	22	0.112245	16.475000
CORE_E1_FIRST_OUTCOME	HG	FIT	NO_RELEASE	901	9041	1363	7678	-64821.250000	-71.943674	2398811.250000	-0.027022	102	0.074835	10.034406
CORE_E1_FIRST_OUTCOME	HG	GATE_2025	ALL	258	2061	331	1730	1732.500000	6.715116	933965.000000	0.001855	30	0.090634	7.988372
CORE_E1_FIRST_OUTCOME	HG	GATE_2025	RELEASE	33	290	36	254	9382.500000	284.318182	135320.000000	0.069336	7	0.194444	8.787879
CORE_E1_FIRST_OUTCOME	HG	GATE_2025	NO_RELEASE	225	1771	295	1476	-7650.000000	-34.000000	798645.000000	-0.009579	23	0.077966	7.871111
CORE_E1_FIRST_OUTCOME	NKD	FIT	ALL	1023	807	147	660	10590.000000	10.351906	3118905.000000	0.003395	16	0.108844	0.788856
CORE_E1_FIRST_OUTCOME	NKD	FIT	RELEASE	122	298	29	269	705.000000	5.778689	399780.000000	0.001763	2	0.068966	2.442623
CORE_E1_FIRST_OUTCOME	NKD	FIT	NO_RELEASE	901	509	118	391	9885.000000	10.971143	2719125.000000	0.003635	14	0.118644	0.564928
CORE_E1_FIRST_OUTCOME	NKD	GATE_2025	ALL	258	359	51	308	1170.000000	4.534884	1133422.500000	0.001032	4	0.078431	1.391473
CORE_E1_FIRST_OUTCOME	NKD	GATE_2025	RELEASE	33	30	5	25	-2362.500000	-71.590909	157217.500000	-0.015027	0	0.000000	0.909091
CORE_E1_FIRST_OUTCOME	NKD	GATE_2025	NO_RELEASE	225	329	46	283	3532.500000	15.700000	976205.000000	0.003619	4	0.086957	1.462222
CORE_E1_FIRST_OUTCOME_MIRROR	ALL	FIT	ALL	2960	25542	3708	21834	-35090.000000	-11.854730	9228282.500000	-0.003802	299	0.080636	8.629054
CORE_E1_FIRST_OUTCOME_MIRROR	ALL	FIT	RELEASE	350	4824	489	4335	12098.750000	34.567857	1191931.250000	0.010151	39	0.079755	13.782857
CORE_E1_FIRST_OUTCOME_MIRROR	ALL	FIT	NO_RELEASE	2610	20718	3219	17499	-47188.750000	-18.079981	8036351.250000	-0.005872	260	0.080770	7.937931
CORE_E1_FIRST_OUTCOME_MIRROR	ALL	GATE_2025	ALL	774	7441	1273	6168	-13752.500000	-17.768088	3932115.000000	-0.003497	100	0.078555	9.613695
CORE_E1_FIRST_OUTCOME_MIRROR	ALL	GATE_2025	RELEASE	99	1056	161	895	-18130.000000	-183.131313	513907.500000	-0.035279	10	0.062112	10.666667
CORE_E1_FIRST_OUTCOME_MIRROR	ALL	GATE_2025	NO_RELEASE	675	6385	1112	5273	4377.500000	6.485185	3418207.500000	0.001281	90	0.080935	9.459259
