# PORT_M2_SHEETS_SPEC.md CC-M2-13.3 SESSION-SIDE STATE probe (ceiling census + causal day-side estimators, mirror-law tested) (spec_sha16=18d12ab86a4ee6b0)
# params_hash=432a395322b7915a4d95cb3349754cf5b66c84e4587366d2464b253ea51bcfd9
# CC-M2-13.3 session-side state probe
# capture = realised / one-position DP ceiling over every candidate of the session
# the ORACLE arms are HINDSIGHT by construction — they are the concept's ceiling, never a rule
# mirror_law_holds = 1 iff the estimator loses to its mirror on ZERO sessions
estimator	asset	era	release_day	n_sessions	n_sessions_active	sessions_won	sessions_tied	sessions_lost	mirror_law_holds	mean_delta_usd	se_session	z	p	est_usd	mirror_usd	agree_with_oracle	n_oracle_sessions	holm_rank	holm_threshold	holm_verdict
E1_FIRST_OUTCOME	ALL	FIT	ALL	2960	2165	1064	804	1092	0	-37.817552	52.924412	-0.714558	0.474882	-116965.000000	-35090.000000	0.551553	2221	31	0.001190	HOLM_NOT_SIGNIFICANT
E1_FIRST_OUTCOME	ALL	FIT	RELEASE	350	281	135	71	144	0	-52.179715	168.014748	-0.310566	0.756130	-2563.750000	12098.750000	0.527397	292	48	0.002000	HOLM_NOT_SIGNIFICANT
E1_FIRST_OUTCOME	ALL	FIT	NO_RELEASE	2610	1884	929	733	948	0	-35.675425	55.434678	-0.643558	0.519862	-114401.250000	-47188.750000	0.555210	1929	34	0.001282	HOLM_NOT_SIGNIFICANT
E1_FIRST_OUTCOME	ALL	GATE_2025	ALL	774	554	264	224	286	0	68.235560	270.460346	0.252294	0.800814	24050.000000	-13752.500000	0.528634	681	54	0.002632	HOLM_NOT_SIGNIFICANT
E1_FIRST_OUTCOME	ALL	GATE_2025	RELEASE	99	76	36	25	38	0	500.230263	459.153663	1.089462	0.275950	19887.500000	-18130.000000	0.541667	96	17	0.000893	HOLM_NOT_SIGNIFICANT
E1_FIRST_OUTCOME	ALL	GATE_2025	NO_RELEASE	675	478	228	199	248	0	-0.449791	304.867893	-0.001475	0.998823	4162.500000	4377.500000	0.526496	585	72	0.050000	HOLM_NOT_SIGNIFICANT
E1_FIRST_OUTCOME	SI	FIT	ALL	916	907	445	11	460	0	-79.377067	102.493578	-0.774459	0.438659	-57985.000000	14010.000000	0.494325	793	26	0.001064	HOLM_NOT_SIGNIFICANT
E1_FIRST_OUTCOME	SI	FIT	RELEASE	108	108	55	1	52	0	-60.601852	358.373046	-0.169103	0.865716	1480.000000	8025.000000	0.432692	104	62	0.004545	HOLM_NOT_SIGNIFICANT
E1_FIRST_OUTCOME	SI	FIT	NO_RELEASE	808	799	390	10	408	0	-81.914894	105.881969	-0.773643	0.439142	-59465.000000	5985.000000	0.503628	689	27	0.001087	HOLM_NOT_SIGNIFICANT
E1_FIRST_OUTCOME	SI	GATE_2025	ALL	258	255	117	4	137	0	53.264706	562.960376	0.094615	0.924620	21147.500000	7565.000000	0.500000	252	67	0.008333	HOLM_NOT_SIGNIFICANT
E1_FIRST_OUTCOME	SI	GATE_2025	RELEASE	33	33	14	1	18	0	786.818182	902.056529	0.872249	0.383072	12867.500000	-13097.500000	0.500000	32	23	0.001000	HOLM_NOT_SIGNIFICANT
E1_FIRST_OUTCOME	SI	GATE_2025	NO_RELEASE	225	222	103	3	119	0	-55.777027	632.821561	-0.088140	0.929765	8280.000000	20662.500000	0.500000	220	68	0.010000	HOLM_NOT_SIGNIFICANT
E1_FIRST_OUTCOME	HG	FIT	ALL	1021	995	480	26	515	0	-55.208543	61.812339	-0.893164	0.371769	-69570.000000	-14637.500000	0.564065	679	21	0.000962	HOLM_NOT_SIGNIFICANT
E1_FIRST_OUTCOME	HG	FIT	RELEASE	120	120	55	0	65	0	-46.270833	202.798487	-0.228162	0.819521	-4748.750000	803.750000	0.597826	92	57	0.003125	HOLM_NOT_SIGNIFICANT
E1_FIRST_OUTCOME	HG	FIT	NO_RELEASE	901	875	425	26	450	0	-56.434286	64.601211	-0.873579	0.382347	-64821.250000	-15441.250000	0.558773	587	22	0.000980	HOLM_NOT_SIGNIFICANT
E1_FIRST_OUTCOME	HG	GATE_2025	ALL	258	237	112	22	124	0	80.453586	162.475960	0.495172	0.620479	1732.500000	-17335.000000	0.539216	204	43	0.001667	HOLM_NOT_SIGNIFICANT
E1_FIRST_OUTCOME	HG	GATE_2025	RELEASE	33	32	17	1	15	0	531.718750	509.701813	1.043196	0.296858	9382.500000	-7632.500000	0.548387	31	19	0.000926	HOLM_NOT_SIGNIFICANT
E1_FIRST_OUTCOME	HG	GATE_2025	NO_RELEASE	225	205	95	21	109	0	10.012195	170.187546	0.058830	0.953087	-7650.000000	-9702.500000	0.537572	173	71	0.025000	HOLM_NOT_SIGNIFICANT
E1_FIRST_OUTCOME	NKD	FIT	ALL	1023	263	139	767	117	0	171.302281	100.665110	1.701705	0.088811	10590.000000	-34462.500000	0.600801	749	6	0.000746	HOLM_NOT_SIGNIFICANT
E1_FIRST_OUTCOME	NKD	FIT	RELEASE	122	53	25	70	27	0	-48.396226	232.978911	-0.207728	0.835441	705.000000	3270.000000	0.562500	96	59	0.003571	HOLM_NOT_SIGNIFICANT
E1_FIRST_OUTCOME	NKD	FIT	NO_RELEASE	901	210	114	697	90	0	226.750000	111.480365	2.033990	0.041953	9885.000000	-37732.500000	0.606432	653	2	0.000704	HOLM_NOT_SIGNIFICANT
E1_FIRST_OUTCOME	NKD	GATE_2025	ALL	258	62	35	198	25	0	83.104839	327.723183	0.253582	0.799818	1170.000000	-3982.500000	0.551111	225	53	0.002500	HOLM_NOT_SIGNIFICANT
E1_FIRST_OUTCOME	NKD	GATE_2025	RELEASE	33	11	5	23	5	0	-451.136364	809.020828	-0.557633	0.577095	-2362.500000	2600.000000	0.575758	33	39	0.001471	HOLM_NOT_SIGNIFICANT
E1_FIRST_OUTCOME	NKD	GATE_2025	NO_RELEASE	225	51	30	175	20	0	198.333333	359.947094	0.551007	0.581629	3532.500000	-6582.500000	0.546875	192	40	0.001515	HOLM_NOT_SIGNIFICANT
E2_SESSION_RETURN	ALL	FIT	ALL	2960	2063	1005	902	1053	0	-32.531508	52.882609	-0.615165	0.538446	-94820.000000	-27707.500000	0.640252	2221	35	0.001316	HOLM_NOT_SIGNIFICANT
E2_SESSION_RETURN	ALL	FIT	RELEASE	350	277	137	75	138	0	-66.841155	168.817117	-0.395938	0.692151	-1522.500000	16992.500000	0.554795	292	47	0.001923	HOLM_NOT_SIGNIFICANT
E2_SESSION_RETURN	ALL	FIT	NO_RELEASE	2610	1786	868	827	915	0	-27.210246	55.208962	-0.492859	0.622112	-93297.500000	-44700.000000	0.653188	1929	44	0.001724	HOLM_NOT_SIGNIFICANT
E2_SESSION_RETURN	ALL	GATE_2025	ALL	774	537	262	244	268	0	380.896182	205.210117	1.856128	0.063435	89576.250000	-114965.000000	0.646109	681	3	0.000714	HOLM_NOT_SIGNIFICANT
E2_SESSION_RETURN	ALL	GATE_2025	RELEASE	99	75	41	25	33	0	203.616667	481.547162	0.422838	0.672413	6236.250000	-9035.000000	0.614583	96	46	0.001852	HOLM_NOT_SIGNIFICANT
E2_SESSION_RETURN	ALL	GATE_2025	NO_RELEASE	675	462	221	219	235	0	409.675325	225.510872	1.816654	0.069270	83340.000000	-105930.000000	0.651282	585	4	0.000725	HOLM_NOT_SIGNIFICANT
E2_SESSION_RETURN	SI	FIT	ALL	916	902	420	18	478	0	-144.282151	97.616368	-1.478053	0.139394	-99492.500000	30650.000000	0.538462	793	11	0.000806	HOLM_NOT_SIGNIFICANT
E2_SESSION_RETURN	SI	FIT	RELEASE	108	107	49	2	57	0	-221.144860	361.054810	-0.612497	0.540209	-6542.500000	17120.000000	0.432692	104	36	0.001351	HOLM_NOT_SIGNIFICANT
E2_SESSION_RETURN	SI	FIT	NO_RELEASE	808	795	371	16	421	0	-133.937107	99.624107	-1.344425	0.178811	-92950.000000	13530.000000	0.554427	689	13	0.000833	HOLM_NOT_SIGNIFICANT
E2_SESSION_RETURN	SI	GATE_2025	ALL	258	253	120	8	130	0	624.990119	407.007939	1.535572	0.124643	82045.000000	-76077.500000	0.571429	252	9	0.000781	HOLM_NOT_SIGNIFICANT
E2_SESSION_RETURN	SI	GATE_2025	RELEASE	33	33	15	0	18	0	-467.878788	942.992918	-0.496164	0.619779	-10857.500000	4582.500000	0.500000	32	42	0.001613	HOLM_NOT_SIGNIFICANT
E2_SESSION_RETURN	SI	GATE_2025	NO_RELEASE	225	220	105	8	112	0	788.920455	445.846352	1.769490	0.076812	92902.500000	-80660.000000	0.581818	220	5	0.000735	HOLM_NOT_SIGNIFICANT
E2_SESSION_RETURN	HG	FIT	ALL	1021	993	492	28	501	0	46.281470	60.298214	0.767543	0.442759	-8265.000000	-54222.500000	0.661267	679	28	0.001111	HOLM_NOT_SIGNIFICANT
E2_SESSION_RETURN	HG	FIT	RELEASE	120	119	61	1	58	0	-54.894958	202.067967	-0.271666	0.785879	-3375.000000	3157.500000	0.597826	92	50	0.002174	HOLM_NOT_SIGNIFICANT
E2_SESSION_RETURN	HG	FIT	NO_RELEASE	901	874	431	27	443	0	60.057208	62.775399	0.956700	0.338719	-4890.000000	-57380.000000	0.671210	587	20	0.000943	HOLM_NOT_SIGNIFICANT
E2_SESSION_RETURN	HG	GATE_2025	ALL	258	236	118	24	116	0	181.170551	152.132899	1.190870	0.233705	8591.250000	-34165.000000	0.632353	204	14	0.000847	HOLM_NOT_SIGNIFICANT
E2_SESSION_RETURN	HG	GATE_2025	RELEASE	33	32	20	1	12	0	599.648438	510.967711	1.173554	0.240574	10736.250000	-8452.500000	0.612903	31	16	0.000877	HOLM_NOT_SIGNIFICANT
E2_SESSION_RETURN	HG	GATE_2025	NO_RELEASE	225	204	98	23	104	0	115.526961	156.795518	0.736800	0.461244	-2145.000000	-25712.500000	0.635838	173	29	0.001136	HOLM_NOT_SIGNIFICANT
E2_SESSION_RETURN	NKD	FIT	ALL	1023	168	93	856	74	0	101.622024	140.032171	0.725705	0.468020	12937.500000	-4135.000000	0.728972	749	30	0.001163	HOLM_NOT_SIGNIFICANT
E2_SESSION_RETURN	NKD	FIT	RELEASE	122	51	27	72	23	0	229.019608	216.829574	1.056219	0.290868	8395.000000	-3285.000000	0.645833	96	18	0.000909	HOLM_NOT_SIGNIFICANT
E2_SESSION_RETURN	NKD	FIT	NO_RELEASE	901	117	66	784	51	0	46.089744	177.804958	0.259215	0.795469	4542.500000	-850.000000	0.741194	653	52	0.002381	HOLM_NOT_SIGNIFICANT
E2_SESSION_RETURN	NKD	GATE_2025	ALL	258	48	24	212	22	0	76.302083	330.811273	0.230651	0.817586	-1060.000000	-4722.500000	0.742222	225	56	0.002941	HOLM_NOT_SIGNIFICANT
E2_SESSION_RETURN	NKD	GATE_2025	RELEASE	33	10	6	24	3	0	1152.250000	816.813290	1.410665	0.158343	6357.500000	-5165.000000	0.727273	33	12	0.000820	HOLM_NOT_SIGNIFICANT
E2_SESSION_RETURN	NKD	GATE_2025	NO_RELEASE	225	38	18	188	19	0	-206.842105	349.982888	-0.591006	0.554516	-7417.500000	442.500000	0.744792	192	38	0.001429	HOLM_NOT_SIGNIFICANT
E3_OVERNIGHT	ALL	FIT	ALL	2960	2057	1024	913	1023	0	-45.136728	56.179966	-0.803431	0.421726	-102776.250000	-9930.000000	0.475011	2221	25	0.001042	HOLM_NOT_SIGNIFICANT
E3_OVERNIGHT	ALL	FIT	RELEASE	350	256	136	96	118	0	121.748047	184.860078	0.658596	0.510155	17093.750000	-14073.750000	0.517123	292	33	0.001250	HOLM_NOT_SIGNIFICANT
E3_OVERNIGHT	ALL	FIT	NO_RELEASE	2610	1801	888	817	905	0	-68.858273	58.539283	-1.176275	0.239485	-119870.000000	4143.750000	0.468637	1929	15	0.000862	HOLM_NOT_SIGNIFICANT
E3_OVERNIGHT	ALL	GATE_2025	ALL	774	534	264	244	266	0	-68.740637	275.853883	-0.249192	0.803212	-20572.500000	16135.000000	0.469897	681	55	0.002778	HOLM_NOT_SIGNIFICANT
E3_OVERNIGHT	ALL	GATE_2025	RELEASE	99	74	33	27	39	0	-723.293919	450.529188	-1.605432	0.108399	-29635.000000	23888.750000	0.416667	96	7	0.000758	HOLM_NOT_SIGNIFICANT
E3_OVERNIGHT	ALL	GATE_2025	NO_RELEASE	675	460	231	217	227	0	36.557065	311.786787	0.117250	0.906662	9062.500000	-7753.750000	0.478632	585	64	0.005556	HOLM_NOT_SIGNIFICANT
E3_OVERNIGHT	SI	FIT	ALL	916	843	422	75	419	0	-56.174377	109.257930	-0.514145	0.607151	-40520.000000	6835.000000	0.435057	793	41	0.001563	HOLM_NOT_SIGNIFICANT
E3_OVERNIGHT	SI	FIT	RELEASE	108	101	51	8	49	0	119.826733	389.115047	0.307947	0.758123	11922.500000	-180.000000	0.509615	104	49	0.002083	HOLM_NOT_SIGNIFICANT
E3_OVERNIGHT	SI	FIT	NO_RELEASE	808	742	371	67	370	0	-80.131402	112.351801	-0.713219	0.475710	-52442.500000	7015.000000	0.423803	689	32	0.001220	HOLM_NOT_SIGNIFICANT
E3_OVERNIGHT	SI	GATE_2025	ALL	258	239	119	20	119	0	-156.694561	589.095219	-0.265992	0.790245	-12145.000000	25305.000000	0.515873	252	51	0.002273	HOLM_NOT_SIGNIFICANT
E3_OVERNIGHT	SI	GATE_2025	RELEASE	33	31	10	3	20	0	-1984.354839	848.114591	-2.339725	0.019298	-32805.000000	28710.000000	0.375000	32	1	0.000694	HOLM_NOT_SIGNIFICANT
E3_OVERNIGHT	SI	GATE_2025	NO_RELEASE	225	208	109	17	99	0	115.697115	663.453973	0.174386	0.861562	20660.000000	-3405.000000	0.536364	220	60	0.003846	HOLM_NOT_SIGNIFICANT
E3_OVERNIGHT	HG	FIT	ALL	1021	944	475	79	467	0	-5.242320	68.071966	-0.077011	0.938614	-36661.250000	-31712.500000	0.506627	679	69	0.012500	HOLM_NOT_SIGNIFICANT
E3_OVERNIGHT	HG	FIT	RELEASE	120	107	60	13	47	0	191.261682	220.906484	0.865804	0.386598	5733.750000	-14731.250000	0.521739	92	24	0.001020	HOLM_NOT_SIGNIFICANT
E3_OVERNIGHT	HG	FIT	NO_RELEASE	901	837	415	66	420	0	-30.362903	71.396132	-0.425274	0.670637	-42395.000000	-16981.250000	0.504259	587	45	0.001786	HOLM_NOT_SIGNIFICANT
E3_OVERNIGHT	HG	GATE_2025	ALL	258	231	111	28	119	0	17.564935	166.447094	0.105529	0.915956	-8115.000000	-12172.500000	0.450980	204	66	0.007143	HOLM_NOT_SIGNIFICANT
E3_OVERNIGHT	HG	GATE_2025	RELEASE	33	32	17	1	15	0	311.367188	518.644219	0.600348	0.548274	4037.500000	-5926.250000	0.516129	31	37	0.001389	HOLM_NOT_SIGNIFICANT
E3_OVERNIGHT	HG	GATE_2025	NO_RELEASE	225	199	94	27	104	0	-29.679648	174.652662	-0.169935	0.865061	-12152.500000	-6246.250000	0.439306	173	61	0.004167	HOLM_NOT_SIGNIFICANT
E3_OVERNIGHT	NKD	FIT	ALL	1023	270	127	759	137	0	-150.157407	101.307410	-1.482196	0.138288	-25595.000000	14947.500000	0.488652	749	10	0.000794	HOLM_NOT_SIGNIFICANT
E3_OVERNIGHT	NKD	FIT	RELEASE	122	48	25	75	22	0	-29.166667	254.817821	-0.114461	0.908872	-562.500000	837.500000	0.520833	96	65	0.006250	HOLM_NOT_SIGNIFICANT
E3_OVERNIGHT	NKD	FIT	NO_RELEASE	901	222	102	684	115	0	-176.317568	110.409104	-1.596948	0.110277	-25032.500000	14110.000000	0.483920	653	8	0.000769	HOLM_NOT_SIGNIFICANT
E3_OVERNIGHT	NKD	GATE_2025	ALL	258	64	34	196	28	0	-51.796875	331.444998	-0.156276	0.875816	-312.500000	3002.500000	0.435556	225	63	0.005000	HOLM_NOT_SIGNIFICANT
E3_OVERNIGHT	NKD	GATE_2025	RELEASE	33	11	6	23	4	0	-179.318182	819.543532	-0.218803	0.826804	-867.500000	1105.000000	0.363636	33	58	0.003333	HOLM_NOT_SIGNIFICANT
E3_OVERNIGHT	NKD	GATE_2025	NO_RELEASE	225	53	28	173	24	0	-25.330189	365.830492	-0.069240	0.944798	555.000000	1897.500000	0.447917	192	70	0.016667	HOLM_NOT_SIGNIFICANT
