release_name,reference_month,date,time_et,status,wayback_snapshot_date
Employment Situation,October 2020,2020-11-06,08:30,actual,2021-06-05
CPI,October 2020,2020-11-12,08:30,actual,2021-06-07
Employment Situation,November 2020,2020-12-04,08:30,actual,2021-06-05
CPI,November 2020,2020-12-10,08:30,actual,2021-06-07
Employment Situation,December 2020,2021-01-08,08:30,actual,2021-06-05
CPI,December 2020,2021-01-13,08:30,actual,2021-06-07
Employment Situation,January 2021,2021-02-05,08:30,actual,2021-06-05
CPI,January 2021,2021-02-10,08:30,actual,2021-06-07
Employment Situation,February 2021,2021-03-05,08:30,actual,2021-06-05
CPI,February 2021,2021-03-10,08:30,actual,2021-06-07
Employment Situation,March 2021,2021-04-02,08:30,actual,2021-06-05
CPI,March 2021,2021-04-13,08:30,actual,2021-06-07
Employment Situation,April 2021,2021-05-07,08:30,actual,2021-06-05
CPI,April 2021,2021-05-12,08:30,actual,2021-06-07
Employment Situation,May 2021,2021-06-04,08:30,actual,2021-06-05
CPI,May 2021,2021-06-10,08:30,scheduled_at_capture,2021-06-07
Employment Situation,June 2021,2021-07-02,08:30,scheduled_at_capture,2021-06-05
CPI,June 2021,2021-07-13,08:30,scheduled_at_capture,2021-06-07
Employment Situation,July 2021,2021-08-06,08:30,scheduled_at_capture,2021-06-05
CPI,July 2021,2021-08-11,08:30,scheduled_at_capture,2021-06-07
Employment Situation,August 2021,2021-09-03,08:30,scheduled_at_capture,2021-06-05
CPI,August 2021,2021-09-14,08:30,scheduled_at_capture,2021-06-07
Employment Situation,September 2021,2021-10-08,08:30,scheduled_at_capture,2021-06-05
CPI,September 2021,2021-10-13,08:30,scheduled_at_capture,2021-06-07
Employment Situation,October 2021,2021-11-05,08:30,actual,2022-06-01
CPI,October 2021,2021-11-10,08:30,actual,2022-06-05
Employment Situation,November 2021,2021-12-03,08:30,actual,2022-06-01
CPI,November 2021,2021-12-10,08:30,actual,2022-06-05
Employment Situation,December 2021,2022-01-07,08:30,actual,2022-06-01
CPI,December 2021,2022-01-12,08:30,actual,2022-06-05
Employment Situation,January 2022,2022-02-04,08:30,actual,2022-06-01
CPI,January 2022,2022-02-10,08:30,actual,2022-06-05
Employment Situation,February 2022,2022-03-04,08:30,actual,2022-06-01
CPI,February 2022,2022-03-10,08:30,actual,2022-06-05
Employment Situation,March 2022,2022-04-01,08:30,actual,2022-06-01
CPI,March 2022,2022-04-12,08:30,actual,2022-06-05
Employment Situation,April 2022,2022-05-06,08:30,actual,2022-06-01
CPI,April 2022,2022-05-11,08:30,actual,2022-06-05
Employment Situation,May 2022,2022-06-03,08:30,scheduled_at_capture,2022-06-01
CPI,May 2022,2022-06-10,08:30,scheduled_at_capture,2022-06-05
Employment Situation,June 2022,2022-07-08,08:30,scheduled_at_capture,2022-06-01
CPI,June 2022,2022-07-13,08:30,scheduled_at_capture,2022-06-05
Employment Situation,July 2022,2022-08-05,08:30,scheduled_at_capture,2022-06-01
CPI,July 2022,2022-08-10,08:30,scheduled_at_capture,2022-06-05
Employment Situation,August 2022,2022-09-02,08:30,scheduled_at_capture,2022-06-01
CPI,August 2022,2022-09-13,08:30,scheduled_at_capture,2022-06-05
Employment Situation,September 2022,2022-10-07,08:30,scheduled_at_capture,2022-06-01
CPI,September 2022,2022-10-13,08:30,scheduled_at_capture,2022-06-05
Employment Situation,October 2022,2022-11-04,08:30,actual,2023-01-01
CPI,October 2022,2022-11-10,08:30,actual,2023-06-07
Employment Situation,November 2022,2022-12-02,08:30,actual,2023-01-01
CPI,November 2022,2022-12-13,08:30,actual,2023-06-07
Employment Situation,December 2022,2023-01-06,08:30,scheduled_at_capture,2023-01-01
CPI,December 2022,2023-01-12,08:30,actual,2023-06-07
Employment Situation,January 2023,2023-02-03,08:30,scheduled_at_capture,2023-01-01
CPI,January 2023,2023-02-14,08:30,actual,2023-06-07
Employment Situation,February 2023,2023-03-10,08:30,scheduled_at_capture,2023-01-01
CPI,February 2023,2023-03-14,08:30,actual,2023-06-07
Employment Situation,March 2023,2023-04-07,08:30,scheduled_at_capture,2023-01-01
CPI,March 2023,2023-04-12,08:30,actual,2023-06-07
Employment Situation,April 2023,2023-05-05,08:30,scheduled_at_capture,2023-01-01
CPI,April 2023,2023-05-10,08:30,actual,2023-06-07
Employment Situation,May 2023,2023-06-02,08:30,scheduled_at_capture,2023-01-01
CPI,May 2023,2023-06-13,08:30,scheduled_at_capture,2023-06-07
Employment Situation,June 2023,2023-07-07,08:30,scheduled_at_capture,2023-01-01
CPI,June 2023,2023-07-12,08:30,scheduled_at_capture,2023-06-07
Employment Situation,July 2023,2023-08-04,08:30,scheduled_at_capture,2023-01-01
CPI,July 2023,2023-08-10,08:30,scheduled_at_capture,2023-06-07
Employment Situation,August 2023,2023-09-01,08:30,scheduled_at_capture,2023-01-01
CPI,August 2023,2023-09-13,08:30,scheduled_at_capture,2023-06-07
Employment Situation,September 2023,2023-10-06,08:30,scheduled_at_capture,2023-01-01
CPI,September 2023,2023-10-12,08:30,scheduled_at_capture,2023-06-07
Employment Situation,October 2023,2023-11-03,08:30,actual,2024-06-05
CPI,October 2023,2023-11-14,08:30,actual,2024-06-04
Employment Situation,November 2023,2023-12-08,08:30,actual,2024-06-05
CPI,November 2023,2023-12-12,08:30,actual,2024-06-04
Employment Situation,December 2023,2024-01-05,08:30,actual,2024-06-05
CPI,December 2023,2024-01-11,08:30,actual,2024-06-04
Employment Situation,January 2024,2024-02-02,08:30,actual,2024-06-05
