key	value
status	PENDING_RAWLS_AUDIT_NO_PAYLOAD
plan_status	PLAN_PROBE_NONPROMOTABLE_UNCOMMITTED_SOURCE
raw_payload_opened	false
payload_launched	false
card_sha256	3f7d1820f250e814f186f49ae5e830c9f250905561d73e01740794f6c637743d
reader_addendum_sha256	667ff4116338573c3ffddace170862ace8950244b58ec28f3e691dad04299226
base_commit	ab3940bcd5b188844f84f175d367e3df7ea17446
base_engine_tree	3da372c6abbd1bf0045b0961c01c60ace7df9c11
source_closure_v2_sha256	e76ad8e039034d4d4a8cfd0d1e060ff1c3f95a0624867afc8f2c9f904e523f5a
preflight_contract_sha256	a70f509dc4b09705c755282d33c336140ff1eedc8b8847e6e90eb19fb377759c
canonical_patch_sha256	8cfb722a5e75af5f20e6845d65b4bad02399c6882cc167be734a100f62267cc1
clean_replay_proof_sha256	f8f779c720fa1ec4641948ba90166091ed1c8ba063b56b9de5cfad8371a689a7
causal_reader_source_sha256	9126cc81a55c8cef45d655ce8536fee284283901a3937555da3a62334dd18b16
publisher_source_sha256	440d04e41f080a354020b2e37f7d7ad017d8e6ec59a0293433dbac3347986208
sources_mod_sha256	3d959df1569787910ffead99b3c4cfe2d88b6bfcf4cfb92e9d7a19e0853688d3
inner_binary_sha256	b8ac60db800eea8f35f947570a90f3ba0db4176bae0d51f0b1450512d75dbf43
preflight_launcher_source_sha256	dfd5868aed0a95306bb3bf6b5be898f2c660d408eb4a6a86ecf979bf18fdcbcf
preflight_launcher_binary_sha256	5668be5c2e6395bbfddf810edd81ab2a73753dc657b44df752a9dffc1024a46c
noreplace_helper_sha256	362ab0c3d52683d3a25eaca2cd61a9eeb21a6e052596dd6cc323a9e9416949d6
cargo_check	PASS
cargo_check_log_sha256	50e8fc30b254e41d7a4b7f3bbb68688cff6fce589f30d2f3e88a87066309133b
production_and_failfirst_fixtures	PASS_16_OF_16
cargo_test_log_sha256	958490693d9d84531e1e2a7e06f10c21276000b01ee8607e608496266eb532da
preflight_only	PASS_22_ARTIFACTS
preflight_only_receipt_sha256	69bd334346b1f06bd7a771be25fe1bbadfd28e5f7653a82b959f5a7ebf307bf7
preflight_failfirst	PASS_9_OF_9_REFUSED
preflight_failfirst_receipt_sha256	52c50117dd4dbda7ba0d70b3504f01324bd016e7df304bf931456312189facff
preflight_failfirst_script_sha256	310b921ce2f5d89564ae3658bab524bb1bb94eb23e111dfd1b1d65c7ee5c8d91
direct_inner_probe	PASS_REFUSED_BEFORE_OUTPUT_OR_RAW
direct_inner_refusal_stderr_sha256	f44198b9daae987c0252ef4f5ba5970b0ee78c6c774ec7dc02cb252d604dcfb2
static_smoke	PASS
static_smoke_sha256	a8f3f5c1e0780a7d03dd382e5bd2629d9a6afe7a2126c6f8bfb015c0914d3265
input_reader_policy	all_physical_rowgroups;outside_rth_typed_not_emitted;null_main_typed_emitted;rth_emitted;path_and_bound_fd_rechecked_at_eof
option_right_policy	CALL=call;PUT=put;all_other_tokens=unknown_nondirectional
field_census_policy	exact_initialized_field_state_vocabulary;zero_cells_required;per_field_emitted_denominator;attachment/right/invalid_row_closed
output_files	9_parquet_leaves;manifest.tsv;field_state_census.tsv;receipt.tsv
output_root	/workspace/artifacts/cache/episode_causal_learnability_v1/v33_rust_adapter_v1/runs/RUN_NAME
payload_api_after_external_green	/workspace/artifacts/cache/episode_causal_learnability_v1/v33_rust_adapter_v1/vendored/v33_causal_preflight --probe RUN_NAME
