# PORT_M2_SHEETS_SPEC.md §CC-M2-6 (E1 BLIND SCORING PASS — teacher-gate inputs) (spec_sha16=32196fba2065d7f9)
# params_hash=ddeb8601c5658bb136e642da38b8df24c70f821f0c528dfac2a08bf6c31ac335
# CC-M2-6 pre-registered bars, computed as registered; the VERDICT is the orchestrator's (D-075)
reading	bar	reference_arm	statistic	mean_day_margin_usd	se_cr1	z	p_normal	p_t_df11	days_positive	days_negative	p_sign	bar_value	statistic_minus_bar
SCIENCE	a_margin_over_best_mechanical	BASE_EARLIEST_CV516	-11815.000000	-984.583333	593.376285	-1.659290	0.097057	0.125267	4	8	0.387695	0.000000	-11815.000000
SCIENCE	b_lift_close											1.300000	
SCIENCE	b_lift_close_raw_ratio		2.105054									1.300000	0.805054
SCIENCE	b_mean_take_close_usd		-149.178922										
SCIENCE	b_mean_skip_close_usd		-70.867038										
SCIENCE	b_lift_peak_companion		0.830478									1.300000	-0.469522
SCIENCE	c_replay_capture		-0.007417									0.250000	-0.257417
SCIENCE	c_replay_capture_vs_full_ceiling		-0.007417									0.250000	-0.257417
SCIENCE	a2_margin_over_DECLARED_arm	DECLARED	-927.500000	-77.291667	150.279556	-0.514319	0.607029	0.617204	1	2	1.000000	0.000000	-927.500000
SCIENCE	b2_lift_close_DECLARED	DECLARED										1.300000	
SCIENCE	c2_replay_capture_DECLARED	DECLARED	0.001895									0.250000	-0.248105
DEPLOYABLE-DATED	a_margin_over_best_mechanical	E1D8	-11451.250000	-954.270833	662.274913	-1.440898	0.149613	0.177467	3	9	0.145996	0.000000	-11451.250000
DEPLOYABLE-DATED	b_lift_close											1.300000	
DEPLOYABLE-DATED	b_lift_close_raw_ratio		2.047390									1.300000	0.747390
DEPLOYABLE-DATED	b_mean_take_close_usd		-174.869403										
DEPLOYABLE-DATED	b_mean_skip_close_usd		-85.410892										
DEPLOYABLE-DATED	b_lift_peak_companion		0.820178									1.300000	-0.479822
DEPLOYABLE-DATED	c_replay_capture		-0.047582									0.250000	-0.297582
DEPLOYABLE-DATED	c_replay_capture_vs_full_ceiling		-0.046463									0.250000	-0.296463
DEPLOYABLE-DATED	a2_margin_over_DECLARED_arm	DECLARED	-927.500000	-77.291667	150.279556	-0.514319	0.607029	0.617204	1	2	1.000000	0.000000	-927.500000
DEPLOYABLE-DATED	b2_lift_close_DECLARED	DECLARED										1.300000	
DEPLOYABLE-DATED	c2_replay_capture_DECLARED	DECLARED	-0.038045									0.250000	-0.288045
DEPLOYABLE-STRICT	a_margin_over_best_mechanical	E1D8	-4670.000000	-389.166667	653.719804	-0.595311	0.551636	0.563682	4	7	0.548828	0.000000	-4670.000000
DEPLOYABLE-STRICT	b_lift_close											1.300000	
DEPLOYABLE-STRICT	b_lift_close_raw_ratio		1.163122									1.300000	-0.136878
DEPLOYABLE-STRICT	b_mean_take_close_usd		-97.537313										
DEPLOYABLE-STRICT	b_mean_skip_close_usd		-83.858219										
DEPLOYABLE-STRICT	b_lift_peak_companion		0.918701									1.300000	-0.381299
DEPLOYABLE-STRICT	c_replay_capture		0.022169									0.250000	-0.227831
DEPLOYABLE-STRICT	c_replay_capture_vs_full_ceiling		0.021625									0.250000	-0.228375
DEPLOYABLE-STRICT	a2_margin_over_DECLARED_arm	DECLARED	-1367.500000	-113.958333	121.715351	-0.936269	0.349135	0.369235	1	2	1.000000	0.000000	-1367.500000
DEPLOYABLE-STRICT	b2_lift_close_DECLARED	DECLARED										1.300000	
DEPLOYABLE-STRICT	c2_replay_capture_DECLARED	DECLARED	0.036245									0.250000	-0.213755
