# PORT_M2_SHEETS_SPEC.md §CC-M2-6 (E1 BLIND SCORING PASS — teacher-gate inputs) (spec_sha16=32196fba2065d7f9)
# params_hash=ddeb8601c5658bb136e642da38b8df24c70f821f0c528dfac2a08bf6c31ac335
# day-paired margins of the REPLAY realised dollars; GEE intercept-only, Liang-Zeger sandwich, Cameron-Miller CR1
reading	vs_arm	is_mechanical_baseline	sum_margin_usd	mean_day_margin_usd	se_cr1	z	p_normal	p_t_df11	n_day_clusters	days_positive	days_negative	p_sign	sess_mean_margin_usd	sess_se_cr1	sess_z	sess_p	sess_n	sess_clusters
SCIENCE	DECLARED	0	-927.500000	-77.291667	150.279556	-0.514319	0.607029	0.617204	12	1	2	1.000000	-25.763889	50.093185	-0.514319	0.607029	36	12
SCIENCE	BASE_EARLIEST_CV0	1	10972.500000	914.375000	960.258366	0.952218	0.340987	0.361442	12	7	5	0.774414	304.791667	320.086122	0.952218	0.340987	36	12
SCIENCE	BASE_EARLIEST_CV500	1	7861.250000	655.104167	972.217091	0.673825	0.500423	0.514332	12	6	6	1.000000	218.368056	324.072364	0.673825	0.500423	36	12
SCIENCE	BASE_EARLIEST_CV516	1	-11815.000000	-984.583333	593.376285	-1.659290	0.097057	0.125267	12	4	8	0.387695	-328.194444	197.792095	-1.659290	0.097057	36	12
SCIENCE	BASE_EARLIEST_CV639	1	-10757.500000	-896.458333	615.192921	-1.457199	0.145062	0.173009	12	4	8	0.387695	-298.819444	205.064307	-1.457199	0.145062	36	12
SCIENCE	BASE_EARLIEST_CV650	1	906.250000	75.520833	656.474248	0.115040	0.908413	0.910486	12	5	7	0.774414	25.173611	218.824749	0.115040	0.908413	36	12
SCIENCE	E1D1	1	142.500000	11.875000	517.204125	0.022960	0.981682	0.982093	12	6	6	1.000000	3.958333	172.401375	0.022960	0.981682	36	12
SCIENCE	E1D2	1	5225.000000	435.416667	619.832775	0.702474	0.482383	0.496980	12	5	7	0.774414	145.138889	206.610925	0.702474	0.482383	36	12
SCIENCE	E1D3	1	1785.000000	148.750000	718.183126	0.207120	0.835916	0.839701	12	6	6	1.000000	49.583333	239.394375	0.207120	0.835916	36	12
SCIENCE	E1D4	1	673.750000	56.145833	885.602772	0.063398	0.949449	0.950587	12	6	6	1.000000	18.715278	295.200924	0.063398	0.949449	36	12
SCIENCE	E1D5	1	4825.000000	402.083333	697.912647	0.576123	0.564532	0.576130	12	6	6	1.000000	134.027778	232.637549	0.576123	0.564532	36	12
SCIENCE	E1D6	1	-6845.000000	-570.416667	1252.456614	-0.455438	0.648794	0.657652	12	3	9	0.145996	-190.138889	417.485538	-0.455438	0.648794	36	12
SCIENCE	E1D7	1	9676.250000	806.354167	567.031671	1.422062	0.155008	0.182738	12	8	4	0.387695	268.784722	189.010557	1.422062	0.155008	36	12
SCIENCE	E1D8	1	-7882.500000	-656.875000	726.887002	-0.903682	0.366164	0.385527	12	4	8	0.387695	-218.958333	242.295667	-0.903682	0.366164	36	12
DEPLOYABLE-DATED	DECLARED	0	-927.500000	-77.291667	150.279556	-0.514319	0.607029	0.617204	12	1	2	1.000000	-25.763889	50.093185	-0.514319	0.607029	36	12
DEPLOYABLE-DATED	BASE_EARLIEST_CV0	1	12313.750000	1026.145833	1028.582183	0.997631	0.318458	0.339898	12	7	5	0.774414	342.048611	342.860728	0.997631	0.318458	36	12
DEPLOYABLE-DATED	BASE_EARLIEST_CV500	1	6972.500000	581.041667	930.288499	0.624582	0.532245	0.544982	12	6	6	1.000000	193.680556	310.096166	0.624582	0.532245	36	12
DEPLOYABLE-DATED	BASE_EARLIEST_CV516	1	-10307.500000	-858.958333	621.034176	-1.383110	0.166631	0.194060	12	5	7	0.774414	-286.319444	207.011392	-1.383110	0.166631	36	12
DEPLOYABLE-DATED	BASE_EARLIEST_CV639	1	-9250.000000	-770.833333	640.341712	-1.203784	0.228673	0.253938	12	5	7	0.774414	-256.944444	213.447237	-1.203784	0.228673	36	12
