# QRE2COMPLIANCE1
kind	interval_id	start_ts_ns	end_ts_ns	availability_ts_ns	provenance_sha256
COVERAGE	COVERAGE_ALL_2021	1609459200000000000	1640995199999999999	1602887793000000000	82e41920e983f951d0575782043377c1ca8f64642126ac1c65e440f114038ad4
PROHIBITED	EMPLOYMENT_SITUATION_December_2020_20210108T133000Z_1602869983000000000	1610112000000000000	1610113200000000000	1602869983000000000	5d7fc3ad8366bbd2fd1a3dafe142c4de37711655521a937f5e17324d4f4557c0
PROHIBITED	CPI_December_2020_20210113T133000Z_1602887793000000000	1610544000000000000	1610545200000000000	1602887793000000000	fa09ea66842d7509bfdeb6081d96b0fb43eaf101bfee306df4b432fc8bd6975f
PROHIBITED	FOMC_2021_01_27_20210127T190000Z_1593698400000000000	1611773400000000000	1611774600000000000	1593698400000000000	51091914a2b4efece5830bc8175c96675e4a5c8912d38295e6ce38b587b5d56d
PROHIBITED	EMPLOYMENT_SITUATION_January_2021_20210205T133000Z_1602869983000000000	1612531200000000000	1612532400000000000	1602869983000000000	5d7fc3ad8366bbd2fd1a3dafe142c4de37711655521a937f5e17324d4f4557c0
PROHIBITED	CPI_January_2021_20210210T133000Z_1602887793000000000	1612963200000000000	1612964400000000000	1602887793000000000	fa09ea66842d7509bfdeb6081d96b0fb43eaf101bfee306df4b432fc8bd6975f
PROHIBITED	EMPLOYMENT_SITUATION_February_2021_20210305T133000Z_1602869983000000000	1614950400000000000	1614951600000000000	1602869983000000000	5d7fc3ad8366bbd2fd1a3dafe142c4de37711655521a937f5e17324d4f4557c0
PROHIBITED	CPI_February_2021_20210310T133000Z_1602887793000000000	1615382400000000000	1615383600000000000	1602887793000000000	fa09ea66842d7509bfdeb6081d96b0fb43eaf101bfee306df4b432fc8bd6975f
PROHIBITED	FOMC_2021_03_17_20210317T180000Z_1593698400000000000	1616003400000000000	1616004600000000000	1593698400000000000	51091914a2b4efece5830bc8175c96675e4a5c8912d38295e6ce38b587b5d56d
PROHIBITED	EMPLOYMENT_SITUATION_March_2021_20210402T123000Z_1602869983000000000	1617366000000000000	1617367200000000000	1602869983000000000	5d7fc3ad8366bbd2fd1a3dafe142c4de37711655521a937f5e17324d4f4557c0
