segment	train	test	arm	n	days	auc	top3_day	top5_day	random3_day	oracle3_day	lift_random3	lift_random5	op_trades_day	op_cert_taken	op_cert_skipped	op_lift	mae_per_pick	replay_close_day
a	study_e1	study_e1b	pooled	2955	50	0.553919	1389.77	2306.77	1322.44	5165.39	1.05092	1.04811	16.26	493.283	454.245	1.08594	117.492	5.58
a	study_e1	study_e1b	regime	2955	50	0.553919	1389.77	2306.77	1322.44	5165.39	1.05092	1.04811	16.26	493.283	454.245	1.08594	117.492	5.58
a	study_e1	study_e1b	recent	2955	50	0.553919	1389.77	2306.77	1322.44	5165.39	1.05092	1.04811	16.26	493.283	454.245	1.08594	117.492	5.58
b	study_e1+study_e1b	study_e2	pooled	3902	101	0.568519	1306.87	2090.27	1136.39	3944.6	1.15002	1.09985	10.6238	422.565	395.393	1.06872	119.87	-35.2283
b	study_e1+study_e1b	study_e2	regime	3902	101	0.568374	1209.42	1997.56	1136.39	3944.6	1.06427	1.05107	10.6238	422.257	395.509	1.06763	125.404	-5.87089
b	study_e1+study_e1b	study_e2	recent	3902	101	0.57813	1355.14	2054.79	1136.39	3944.6	1.19249	1.08118	10.6238	438.596	389.312	1.12659	120.401	49.7846
c	study_e1+study_e1b+study_e2	study_e3	pooled	1861	67	0.593449	1011.19	1722.95	910.529	2666.31	1.11055	1.13248	7.64179	334.585	302.732	1.10522	113.005	-96.257
c	study_e1+study_e1b+study_e2	study_e3	regime	1861	67	0.61148	1107.94	1797.45	910.529	2666.31	1.21681	1.18145	7.64179	365.588	290.965	1.25647	109.481	-122.267
c	study_e1+study_e1b+study_e2	study_e3	recent	1861	67	0.616315	1073.29	1844.94	910.529	2666.31	1.17875	1.21267	7.64179	380.84	285.176	1.33545	116.011	-107.151
d	study_e1+study_e1b+study_e2+study_e3	study_e3b	pooled	500	30	0.69669	1006.01	1807.84	794.456	2256.62	1.26629	1.34605	4.6	404.944	233.891	1.73134	120.191	-116.783
d	study_e1+study_e1b+study_e2+study_e3	study_e3b	regime	500	30	0.702575	1170.92	1909.83	794.456	2256.62	1.47386	1.42198	4.6	437.1	221.633	1.97218	115.82	-22.8133
d	study_e1+study_e1b+study_e2+study_e3	study_e3b	recent	500	30	0.672303	1172.87	1854.47	794.456	2256.62	1.47631	1.38077	4.6	389.345	239.838	1.62337	115.213	0.433333
e	study_e1+study_e1b+study_e2+study_e3+study_e3b	blind_e3	pooled	466	20	0.646327	1459.43	2203.15	1021.02	3027.69	1.42938	1.30069	6.4	469.279	306.165	1.53276	123.535	81.05
e	study_e1+study_e1b+study_e2+study_e3+study_e3b	blind_e3	regime	466	20	0.635836	1575.35	2155.7	1021.02	3027.69	1.54291	1.27267	6.4	474.799	304.075	1.56145	104.107	71.295
e	study_e1+study_e1b+study_e2+study_e3+study_e3b	blind_e3	recent	466	20	0.627549	1534.74	2309.43	1021.02	3027.69	1.50314	1.36344	6.4	464.067	308.139	1.50603	108.773	28.07
