key	value
status	PASS_GIT_RECOVERY_SEALED
snapshot_utc	2026-08-10T14:49:00Z
source_repository	/workspace
source_head_oid	47e1ccfa6db5252e461ed9b083ae26ef97bad25b
source_head_symbolic	refs/heads/main
source_ref_count_excluding_HEAD	121
source_ref_map_sha256	0e928fcaf447f54997d971ce853edc7a76e4f06ced30687cd9b153589c44cb7d
refs_pre_post_final_equal	PASS
all_ref_bundle	archives/repository_all_refs.bundle
all_ref_bundle_bytes	1043965371
all_ref_bundle_sha256	2bc4d280183d7779f2e239633e269722b117b37818c46dcd6eebbfef870eb8b3
bundle_verify	PASS
restore_repository	/workspace/data/cleanroom_work/recovery/git_recovery_20260810T144900Z_restore/mirror.git
restore_strict_fsck	PASS_ZERO_DIAGNOSTICS
restore_ref_map_equal	PASS
restore_symbolic_HEAD_equal	PASS
restore_HEAD_oid_equal	PASS
source_strict_fsck	PASS_WITH_90_DANGLING_LINES
source_dangling_preservation	FULL_GIT_METADATA_ARCHIVE
git_metadata_archive	archives/git_metadata_exact.tar
git_metadata_archive_bytes	1617182720
git_metadata_archive_sha256	75fe8240241e7e8332b162cf0d28c2ea9aa0c23375ad773504be768bee484f99
git_metadata_members	2738
git_metadata_contains_reflogs_sequencer_hooks_linked_indexes_objects	PASS
worktree_count	4
worktree_summary_sha256	1380bebd76bc04fc430bac31dd73c950507ed1716e500f4bc2feeb26cb98ad90
staged_patch_replay_checks	PASS_ALL_OR_EMPTY
unstaged_patch_replay_checks	PASS_ALL_OR_EMPTY
combined_patch_replay_checks	PASS_ALL_OR_EMPTY
worktree_live_recheck	PASS_ALL_STATUS_UNTRACKED_AND_PATCH_BYTES
patch_restore_check_sha256	ddf05db774f68e60b1a6baa9e5bac1727af734129281b2c66e8c37de40bbcd25
worktree_recheck_sha256	7dc2a369d84d2262fb088eee2fb9f9b8b026cb9d36f503ad175b3b5e357ef8f5
main_unstaged_patch_bytes	677003683
main_unstaged_patch_sha256	e90465534e85a06695780af6b164b7aaf3701c846036da66602117bea06d9e5d
classified_untracked_paths	6648
classified_untracked_logical_bytes	1427355782
archived_authored_or_evidence_paths	5619
archived_authored_or_evidence_logical_bytes	361134106
untracked_classification_summary_sha256	dc3fe01da03e82ed894947e05053fe8f014b296570657b4814e4815cc1eb3cbc
main_untracked_archive_bytes	369469440
main_untracked_archive_sha256	bd0ad64cbf727190f51fd4e6552c27e2fa365343f98873e4bc84717fd3ae9a0b
semantic_market_payload_reads	0
transcript_payload_copies	0_SEPARATE_ENCRYPTED_LANE
nested_gitlink_path	research/review_records/session_e4296cb7/scratchpad_mirror/papers/meta-labeling-repo
nested_gitlink_oid	351ec3e947e07e3d9a0fda7d095cf2c118a15f76
nested_gitmodules_mapping	MISSING
nested_repository_state	CLEAN_SHALLOW
nested_bundle_sha256	23682c8304957fbc70675476eedb3af4ce58cb73475fd3abd50027e4a14ae324
nested_shallow_sha256	596a8a58581ca94aaa2e28260f5fc630788e8dbd978f7a035b10632f7d9781d3
nested_ordinary_clone	EXPECTED_REFUSAL_WITNESS
nested_manual_shallow_restore_fsck	PASS
nested_manual_shallow_restore_refs_equal	PASS
artifact_manifest_entries	158
artifact_manifest_sha256	8cac9a0dd675f299f4595fe0c8303da4830ca8d7bca00288ae280ce27bc25845
restore_instructions	RESTORE.md
source_repo_files_deleted	0
source_repo_files_modified_by_recovery_lane	0
raw_market_payload_files_opened	0
