coverage_kind	coverage_key	source_count	segment_count	proposition_count	evidence_link_count	unclassified_count	status
universe	cache_census	196953	196953	0	0	0	PASS
universe	claude_workspace_history	655	49900	0	0	0	PASS
universe	codex_local	5650	105285	0	0	0	PASS
universe	manual_papers	46	46	0	0	0	PASS
universe	manual_refs	2	2	0	0	0	PASS
universe	published_runs	32578	32578	0	0	0	PASS
universe	research_v2	98	98	0	0	0	PASS
universe	review_logs	10	10	0	0	0	PASS
universe	workflow_memory	1051	1051	0	0	0	PASS
universe	workspace_chat_plans	2	2	0	0	0	PASS
universe	workspace_docs	275	275	0	0	0	PASS
universe	workspace_research	1311	1311	0	0	0	PASS
universe	workspace_top_contracts	6	6	0	0	0	PASS
lineage	codex	40	99675	0	0	0	PASS
lineage	claude_recursive	655	49900	0	0	0	PASS
gate	proposition_registry	238637	387517	0	0	0	PASS_EMPTY_NOT_EXTRACTED
gate	malformed_jsonl	238637	25	0	0	0	PASS_ALL_QUARANTINED
