# PORT_M2_SHEETS_SPEC.md design/CREATOR_MECHANICS.md — creator-PDF mechanics census (spec_sha16=f6ef73a41dbf8588)
# params_hash=ea420c1fb1e2c4c03569cad8e0455c9de94c69195f7bc32d7b5ed5669c9ade12
# holm family size m=594 (MAIN+STRATA+LEDGER)
# base_rate = D-021 y_winner over E2..E6 non-refused rows
# population n=816967, winners=45953
detector	mechanic	fidelity	n	n_fire	freq	hit_rate	base_rate	lift	lift_lo95	lift_hi95	conc_ratio	cond_close_usd	cond_close_lo95	cond_close_hi95	cond_peak_usd	base_close_usd	delta_pp	z_cluster	p_cluster	null_shuffle_lift	null_shuffle_sd	null_informative_groups	null_displaced_lift	lift_vs_null	z_vs_null	p_vs_null	destruction	verdict	holm_rank	holm_threshold	holm_verdict	p_holm
AGG_PRINT_60	M-01	EXACT	816967	152035	0.186097	0.073477	0.056248	1.306289	1.256793	1.353391	1.404660	-17.563596	-33.631933	-2.317688	813.339650	-29.607481	2.116739	11.778234	0.000000	1.112681	0.009471	1915	1.236336	1.174001	20.442998	0.000000	SURVIVES	ENTRY RULE	16	0.000086	HOLM_SIGNIFICANT	0.000000
AGG_WITH_SIDE_60	M-01/M-03	EXACT	816967	98873	0.121024	0.073003	0.056248	1.297866	1.242433	1.356178	1.353371	-19.927040	-37.474991	-3.260905	814.687946	-29.607481	1.906133	9.702698	0.000000	1.114541	0.011181	1895	1.247835	1.164485	16.396525	0.000000	SURVIVES	ENTRY RULE	30	0.000088	HOLM_SIGNIFICANT	0.000000
AGG_OPP_SIDE_60	M-01	EXACT	816967	85293	0.104402	0.076349	0.056248	1.357349	1.295591	1.421209	1.416350	-13.285484	-30.995208	6.123433	825.836352	-29.607481	2.244343	10.550080	0.000000	1.130970	0.011160	1879	1.267395	1.200164	20.285478	0.000000	SURVIVES	ENTRY RULE	17	0.000087	HOLM_SIGNIFICANT	0.000000
ABSORPTION	M-02/M-03	EXACT	816967	199860	0.244637	0.070174	0.056248	1.247578	1.213979	1.282916	1.356331	-24.586117	-34.577739	-13.871131	819.542617	-29.607481	1.843593	13.536893	0.000000	1.016158	0.008266	1930	1.236389	1.227740	27.995729	0.000000	SURVIVES	ENTRY RULE	9	0.000085	HOLM_SIGNIFICANT	0.000000
BODY_REWARDED_WITH	M-04	EXACT	816967	218095	0.266957	0.061317	0.056248	1.090119	1.044604	1.136297	1.127109	-21.565258	-33.608037	-8.909273	812.759978	-29.607481	0.691504	3.917520	0.000089	1.012542	0.006710	1921	1.019472	1.076616	11.561683	0.000000	SURVIVES	ENTRY RULE	39	0.000090	HOLM_SIGNIFICANT	0.000000
WICK_ABSORBED_OPP	M-04	EXACT	816967	293782	0.359601	0.050279	0.056248	0.893872	0.860382	0.930267	0.843599	-25.519233	-35.947302	-15.986712	769.321287	-29.607481	-0.932155	-5.812227	0.000000	0.983017	0.004736	1927	0.936310	0.909315	-18.821612	0.000000	SURVIVES	VETO RULE	20	0.000087	HOLM_SIGNIFICANT	0.000000
SQUEEZE	M-20/M-21	EXACT	816967	266622	0.326356	0.070414	0.056248	1.251848	1.201526	1.302052	1.425812	-22.584305	-35.381512	-9.416927	776.833481	-29.607481	2.102891	9.421684	0.000000	1.091836	0.005291	1787	1.209875	1.146553	30.240616	0.000000	SURVIVES	ENTRY RULE	6	0.000085	HOLM_SIGNIFICANT	0.000000
SQUEEZE_CATALYST_NEAR	M-21	EXACT	816967	90363	0.110608	0.062282	0.056248	1.107271	1.041049	1.176708	1.122243	-26.558741	-41.662930	-11.151183	727.209809	-29.607481	0.678422	3.036381	0.002394	1.003893	0.013104	1775	1.111451	1.102978	7.888977	0.000000	SURVIVES	ENTRY RULE	75	0.000096	HOLM_SIGNIFICANT	0.000000
REFILL_CLOCK	M-22	EXACT	816967	56717	0.069424	0.071248	0.056248	1.266678	1.138986	1.392949	1.292390	-33.677028	-68.144328	-3.448459	757.857477	-29.607481	1.611925	4.116709	0.000038	1.098853	0.016593	1444	1.225350	1.152727	10.114146	0.000000	SURVIVES	ENTRY RULE	46	0.000091	HOLM_SIGNIFICANT	0.000000
OFM	M-23/M-24	EXACT	816967	8999	0.011015	0.079453	0.056248	1.412545	1.205313	1.626093	1.419066	-5.152795	-53.884879	57.489112	887.754751	-29.607481	2.346343	3.756712	0.000172	1.130777	0.042988	1163	1.327638	1.249181	6.554641	0.000000	SURVIVES	ENTRY RULE	102	0.000101	HOLM_SIGNIFICANT	0.000000
OFM_FAILURE_ENTRY	M-24 (the error)	EXACT	816967	162979	0.199493	0.072721	0.056248	1.292857	1.227110	1.365579	1.394642	-22.339197	-42.039160	-3.670097	791.519682	-29.607481	2.057787	8.103352	0.000000	1.103892	0.009525	1688	1.252117	1.171181	19.839530	0.000000	SURVIVES	ENTRY RULE	18	0.000087	HOLM_SIGNIFICANT	0.000000
RETEST_NOT_BREAK	M-25	EXACT	816967	72052	0.088195	0.066285	0.056248	1.178444	1.121274	1.239566	1.199141	-10.652341	-29.847750	7.998710	866.265024	-29.607481	1.100801	5.750936	0.000000	1.033742	0.016333	1925	1.220355	1.139979	8.859520	0.000000	SURVIVES	ENTRY RULE	61	0.000094	HOLM_SIGNIFICANT	0.000000
REFILL_AREA_HELD	M-26	APPROX-L1	816967	320185	0.391919	0.048172	0.056248	0.856420	0.824966	0.886937	0.783880	-32.239799	-41.099045	-24.337963	753.068129	-29.607481	-1.328136	-8.893457	0.000000	0.977984	0.004726	1917	0.934536	0.875699	-25.720113	0.000000	SURVIVES	VETO RULE	10	0.000085	HOLM_SIGNIFICANT	0.000000
IMB_350	M-27	EXACT	816967	13658	0.016718	0.054840	0.056248	0.974957	0.880015	1.075951	0.974542	-39.488487	-58.869592	-19.693056	807.829477	-29.607481	-0.143259	-0.493469	0.621681	0.984817	0.034144	1767	0.967868	0.989988	-0.288785	0.772746	DESTROYED	NULL	543	0.000962	HOLM_NOT_SIGNIFICANT	1.000000
IMB_350_AT_AGG	M-27	EXACT	816967	5058	0.006191	0.054962	0.056248	0.977140	0.825104	1.137543	0.977000	-24.686635	-56.597656	6.043048	800.364027	-29.607481	-0.129387	-0.293615	0.769052	1.038035	0.061462	1436	1.058314	0.941336	-0.990787	0.321789	DESTROYED	NULL	435	0.000313	HOLM_NOT_SIGNIFICANT	1.000000
DIV_BOX_350	M-28	EXACT	816967	13676	0.016740	0.036707	0.056248	0.652582	0.568942	0.736062	0.648745	-45.268079	-57.703589	-33.150473	736.915582	-29.607481	-1.987435	-8.008165	0.000000	0.918328	0.035262	1776	0.831182	0.710620	-7.536285	0.000000	SURVIVES	VETO RULE	84	0.000098	HOLM_SIGNIFICANT	0.000000
PASSIVE_MOVE	M-29 (the trap)	EXACT	816967	3560	0.004358	0.103371	0.056248	1.837759	1.372276	2.331540	1.844522	10.783006	-101.971605	143.570568	1006.160463	-29.607481	4.732873	3.390629	0.000697	1.228627	0.063436	601	1.769349	1.495783	9.602297	0.000000	SURVIVES	ENTRY RULE	52	0.000092	HOLM_SIGNIFICANT	0.000000
