# PORT_M2_SHEETS_SPEC.md design/CREATOR_MECHANICS.md — creator-PDF mechanics census (spec_sha16=f6ef73a41dbf8588)
# params_hash=ea420c1fb1e2c4c03569cad8e0455c9de94c69195f7bc32d7b5ed5669c9ade12
# same Holm family as MAIN and LEDGER (m=594)
detector	stratum	value	n	n_fire	hit_rate	base_rate	lift	z_cluster	p_cluster	holm_rank	holm_threshold	holm_verdict	p_holm
AGG_PRINT_60	era	E2	175562	28212	0.079044	0.064080	1.233528	5.007556	0.000001	150	0.000112	HOLM_SIGNIFICANT	0.000245
AGG_PRINT_60	era	E3	158282	28233	0.080119	0.056412	1.420248	7.844763	0.000000	78	0.000097	HOLM_SIGNIFICANT	0.000000
AGG_PRINT_60	era	E4	154742	31342	0.075713	0.051796	1.461759	6.941007	0.000000	93	0.000100	HOLM_SIGNIFICANT	0.000000
AGG_PRINT_60	era	E5	159055	28545	0.058609	0.047518	1.233407	3.265223	0.001094	238	0.000140	HOLM_NOT_SIGNIFICANT	0.390479
AGG_PRINT_60	era	E6	169326	35703	0.073747	0.060245	1.224129	4.265230	0.000020	188	0.000123	HOLM_SIGNIFICANT	0.008128
AGG_PRINT_60	asset	SI	291834	79161	0.090221	0.071589	1.260272	10.334682	0.000000	45	0.000091	HOLM_SIGNIFICANT	0.000000
AGG_PRINT_60	asset	HG	272961	63637	0.052862	0.042306	1.249511	6.168634	0.000000	120	0.000105	HOLM_SIGNIFICANT	0.000000
AGG_PRINT_60	asset	NKD	252172	9237	0.071993	0.053586	1.343494	4.338050	0.000014	183	0.000121	HOLM_SIGNIFICANT	0.005923
AGG_PRINT_60	phase	TOKYO	215623	16261	0.047906	0.044550	1.075332	1.158233	0.246769	411	0.000272	HOLM_NOT_SIGNIFICANT	1.000000
AGG_PRINT_60	phase	LONDON	140124	13120	0.028506	0.024785	1.150126	1.568976	0.116654	356	0.000209	HOLM_NOT_SIGNIFICANT	1.000000
AGG_PRINT_60	phase	NY	461220	122654	0.081677	0.071276	1.145922	6.863655	0.000000	95	0.000100	HOLM_SIGNIFICANT	0.000000
AGG_WITH_SIDE_60	era	E2	175562	17942	0.080537	0.064080	1.256826	4.247807	0.000022	189	0.000123	HOLM_SIGNIFICANT	0.008764
AGG_WITH_SIDE_60	era	E3	158282	18524	0.080328	0.056412	1.423957	6.612796	0.000000	101	0.000101	HOLM_SIGNIFICANT	0.000000
AGG_WITH_SIDE_60	era	E4	154742	20594	0.076479	0.051796	1.476538	6.297495	0.000000	112	0.000104	HOLM_SIGNIFICANT	0.000000
AGG_WITH_SIDE_60	era	E5	159055	18220	0.055653	0.047518	1.171197	2.095465	0.036130	302	0.000171	HOLM_NOT_SIGNIFICANT	1.000000
AGG_WITH_SIDE_60	era	E6	169326	23593	0.071886	0.060245	1.193228	3.142523	0.001675	246	0.000143	HOLM_NOT_SIGNIFICANT	0.584569
AGG_WITH_SIDE_60	asset	SI	291834	52274	0.089911	0.071589	1.255937	7.802867	0.000000	79	0.000097	HOLM_SIGNIFICANT	0.000000
AGG_WITH_SIDE_60	asset	HG	272961	41062	0.051507	0.042306	1.217486	4.742639	0.000002	163	0.000116	HOLM_SIGNIFICANT	0.000911
AGG_WITH_SIDE_60	asset	NKD	252172	5537	0.072783	0.053586	1.358237	3.375553	0.000737	230	0.000137	HOLM_NOT_SIGNIFICANT	0.268886
AGG_WITH_SIDE_60	phase	TOKYO	215623	10130	0.047680	0.044550	1.070262	0.867234	0.385814	453	0.000352	HOLM_NOT_SIGNIFICANT	1.000000
AGG_WITH_SIDE_60	phase	LONDON	140124	8136	0.029130	0.024785	1.175290	1.712548	0.086796	341	0.000197	HOLM_NOT_SIGNIFICANT	1.000000
AGG_WITH_SIDE_60	phase	NY	461220	80607	0.080613	0.071276	1.131000	5.006790	0.000001	151	0.000113	HOLM_SIGNIFICANT	0.000246
AGG_OPP_SIDE_60	era	E2	175562	15859	0.075667	0.064080	1.180819	3.178055	0.001483	243	0.000142	HOLM_NOT_SIGNIFICANT	0.521899
AGG_OPP_SIDE_60	era	E3	158282	15757	0.082693	0.056412	1.465884	6.383203	0.000000	109	0.000103	HOLM_SIGNIFICANT	0.000000
AGG_OPP_SIDE_60	era	E4	154742	17788	0.080391	0.051796	1.552078	6.085151	0.000000	124	0.000106	HOLM_SIGNIFICANT	0.000001
AGG_OPP_SIDE_60	era	E5	159055	15812	0.064381	0.047518	1.354882	3.850397	0.000118	203	0.000128	HOLM_SIGNIFICANT	0.046227
AGG_OPP_SIDE_60	era	E6	169326	20077	0.077751	0.060245	1.290580	4.346541	0.000014	181	0.000121	HOLM_SIGNIFICANT	0.005726
AGG_OPP_SIDE_60	asset	SI	291834	44770	0.093344	0.071589	1.303891	8.755791	0.000000	62	0.000094	HOLM_SIGNIFICANT	0.000000
AGG_OPP_SIDE_60	asset	HG	272961	35872	0.055531	0.042306	1.312585	5.249470	0.000000	141	0.000110	HOLM_SIGNIFICANT	0.000069
AGG_OPP_SIDE_60	asset	NKD	252172	4651	0.073318	0.053586	1.368211	3.457338	0.000546	226	0.000136	HOLM_NOT_SIGNIFICANT	0.201304
