# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# CONSTRAINT STRICTNESS SWEPT.  ALL = every stable sign (~110 cols); CENSUS6 = only the columns where a NAMED census fact and the stability receipt agree (the minimal proven set, run even if ALL is null because 110 constraints at once can over-constrain); TOP50 = the 50 strongest stable signs; CONFLICT_CENSUS forces the census sign on the columns the artifact left FREE because census and measurement disagreed; ALL_INTERACT adds interaction_constraints built from the matrix's own feature-group structure.
# PROMOTION: delta_minus_sd > 0 against the W_VOLMATCH 5-seed base.
variant	era	n_constrained	n_seeds	mean_usd	sd_usd	volmatch_base_mean	delta_vs_base	delta_minus_sd
ALL	E3	112	5	798.61	355.57	298.56	500.04	144.47
ALL	E4	111	5	1274.8	212.56	825.17	449.63	237.07
ALL	E5	110	5	1206.44	7.31	1105.45	101.0	93.69
ALL	E6	110	5	1059.17	455.36	903.83	155.34	-300.02
ALL	E7	111	5	1774.4	59.78	1377.16	397.24	337.45
ALL	POOLED		25	1222.68	423.45	902.03	320.65	-102.8
TOP50	E3	50	5	934.33	144.62	298.56	635.76	491.15
TOP50	E4	50	5	1202.76	59.42	825.17	377.59	318.17
TOP50	E5	50	5	1195.35	11.85	1105.45	89.91	78.06
TOP50	E6	50	5	994.65	263.87	903.83	90.82	-173.05
TOP50	E7	50	5	1758.35	29.54	1377.16	381.19	351.64
TOP50	POOLED		25	1217.09	321.92	902.03	315.05	-6.86
CENSUS6	E3	6	5	408.69	167.95	298.56	110.13	-57.82
CENSUS6	E4	6	5	818.2	172.98	825.17	-6.97	-179.95
CENSUS6	E5	6	5	993.39	228.43	1105.45	-112.06	-340.49
CENSUS6	E6	6	5	1033.62	249.73	903.83	129.79	-119.95
CENSUS6	E7	6	5	1524.72	98.16	1377.16	147.56	49.4
CENSUS6	POOLED		25	955.72	407.85	902.03	53.69	-354.16
