# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
era	config	n_seeds	inner_mean_usd
E3	{"max_depth": 3, "min_child_weight": 20}	2	866.34
E3	{"max_depth": 3, "min_child_weight": 60}	2	1092.82
E3	{"max_depth": 3, "min_child_weight": 150}	2	648.81
E3	{"max_depth": 4, "min_child_weight": 20}	2	904.22
E3	{"max_depth": 4, "min_child_weight": 60}	2	455.85
E3	{"max_depth": 4, "min_child_weight": 150}	2	1023.56
E3	{"max_depth": 6, "min_child_weight": 20}	2	340.4
E3	{"max_depth": 6, "min_child_weight": 60}	2	325.82
E3	{"max_depth": 6, "min_child_weight": 150}	2	277.83
E4	{"max_depth": 3, "min_child_weight": 20}	2	937.76
E4	{"max_depth": 3, "min_child_weight": 60}	2	950.44
E4	{"max_depth": 3, "min_child_weight": 150}	2	942.82
E4	{"max_depth": 4, "min_child_weight": 20}	2	1338.96
E4	{"max_depth": 4, "min_child_weight": 60}	2	1195.7
E4	{"max_depth": 4, "min_child_weight": 150}	2	720.14
E4	{"max_depth": 6, "min_child_weight": 20}	2	295.6
E4	{"max_depth": 6, "min_child_weight": 60}	2	282.92
E4	{"max_depth": 6, "min_child_weight": 150}	2	373.54
E5	{"max_depth": 3, "min_child_weight": 20}	2	785.67
E5	{"max_depth": 3, "min_child_weight": 60}	2	862.85
E5	{"max_depth": 3, "min_child_weight": 150}	2	883.43
E5	{"max_depth": 4, "min_child_weight": 20}	2	605.18
E5	{"max_depth": 4, "min_child_weight": 60}	2	696.75
E5	{"max_depth": 4, "min_child_weight": 150}	2	664.04
E5	{"max_depth": 6, "min_child_weight": 20}	2	155.15
E5	{"max_depth": 6, "min_child_weight": 60}	2	245.35
E5	{"max_depth": 6, "min_child_weight": 150}	2	238.71
E6	{"max_depth": 3, "min_child_weight": 20}	2	952.14
E6	{"max_depth": 3, "min_child_weight": 60}	2	690.11
E6	{"max_depth": 3, "min_child_weight": 150}	2	711.04
E6	{"max_depth": 4, "min_child_weight": 20}	2	862.11
E6	{"max_depth": 4, "min_child_weight": 60}	2	499.3
E6	{"max_depth": 4, "min_child_weight": 150}	2	594.78
E6	{"max_depth": 6, "min_child_weight": 20}	2	420.25
E6	{"max_depth": 6, "min_child_weight": 60}	2	704.39
E6	{"max_depth": 6, "min_child_weight": 150}	2	656.98
E7	{"max_depth": 3, "min_child_weight": 20}	2	673.23
E7	{"max_depth": 3, "min_child_weight": 60}	2	676.55
E7	{"max_depth": 3, "min_child_weight": 150}	2	679.72
E7	{"max_depth": 4, "min_child_weight": 20}	2	731.82
E7	{"max_depth": 4, "min_child_weight": 60}	2	790.23
E7	{"max_depth": 4, "min_child_weight": 150}	2	685.95
E7	{"max_depth": 6, "min_child_weight": 20}	2	274.21
E7	{"max_depth": 6, "min_child_weight": 60}	2	356.3
E7	{"max_depth": 6, "min_child_weight": 150}	2	831.68
