# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# The DAYSOFAR grid EXTENDED PAST ITS 0.9 BOUNDARY to {0.92, 0.95, 0.97}, on the blind chain extended BACKWARD to E3->E4.  All-session denominators, 5 seeds, in-sweep nulls.
mode	era	score_column	policy	usd_per_session_ALL	sd_usd	ci_lo	ci_hi	n_trades_total	n_firing_sessions	n_era_sessions	usd_per_trade	top5_trade_share_of_pnl	shuffled_null	causal_oracle	capture_of_causal_oracle
eval	E3	S_TABPFN	DAYSOFAR_0.5	-98.05	0.0	-208.67	12.56	712.0	390.0	390	-53.71	0.1	-91.41	2348.0	-0.0418
eval	E3	S_TABPFN	DAYSOFAR_0.7	-108.48	0.0	-214.66	-2.31	683.0	390.0	390	-61.95	0.104	-75.05	2348.0	-0.0462
eval	E3	S_TABPFN	DAYSOFAR_0.8	-124.98	0.0	-225.01	-24.94	637.0	390.0	390	-76.52	0.108	-132.94	2348.0	-0.0532
eval	E3	S_TABPFN	DAYSOFAR_0.9	-169.42	0.0	-261.03	-77.81	591.0	389.0	390	-111.8	0.124	-150.27	2348.0	-0.0722
eval	E3	S_TABPFN	DAYSOFAR_0.92	-182.88	0.0	-272.72	-93.05	585.0	389.0	390	-121.92	0.126	-137.6	2348.0	-0.0779
eval	E3	S_TABPFN	DAYSOFAR_0.95	-169.94	0.0	-269.71	-70.17	574.0	389.0	390	-115.46	0.124	54.75	2348.0	-0.0724
eval	E3	S_TABPFN	DAYSOFAR_0.97	-120.57	0.0	-221.26	-19.88	571.0	388.0	390	-82.35	0.117	-109.05	2348.0	-0.0514
eval	E3	S_XGB	DAYSOFAR_0.5	-42.05	32.87	-154.7	70.6	786.6	390.0	390	-21.07	0.078	-95.02	2348.0	-0.0179
eval	E3	S_XGB	DAYSOFAR_0.7	8.94	24.19	-109.65	127.53	779.8	390.0	390	4.46	0.074	-86.37	2348.0	0.0038
eval	E3	S_XGB	DAYSOFAR_0.8	33.33	47.56	-98.58	165.25	764.0	390.0	390	16.94	0.074	-154.01	2348.0	0.0142
eval	E3	S_XGB	DAYSOFAR_0.9	31.33	29.3	-92.92	155.59	721.0	390.0	390	16.95	0.09	-85.68	2348.0	0.0133
eval	E3	S_XGB	DAYSOFAR_0.92	11.79	13.79	-108.55	132.13	707.8	390.0	390	6.56	0.094	-100.18	2348.0	0.005
eval	E3	S_XGB	DAYSOFAR_0.95	12.03	17.25	-104.07	128.12	669.0	389.8	390	6.99	0.102	-40.43	2348.0	0.0051
eval	E3	S_XGB	DAYSOFAR_0.97	24.23	35.65	-87.81	136.27	631.0	389.6	390	14.87	0.113	-70.97	2348.0	0.0103
eval	E4	A_EV_CAL	DAYSOFAR_0.5	-15.36	36.24	-119.63	88.91	787.8	385.0	385	-7.75	0.085	-33.94	2133.0	-0.0072
eval	E4	A_EV_CAL	DAYSOFAR_0.7	-14.37	41.57	-115.46	86.72	789.6	385.0	385	-7.27	0.081	-36.09	2133.0	-0.0067
eval	E4	A_EV_CAL	DAYSOFAR_0.8	-13.92	42.09	-116.51	88.67	790.0	385.0	385	-7.11	0.081	-28.49	2133.0	-0.0065
eval	E4	A_EV_CAL	DAYSOFAR_0.9	-20.7	40.23	-123.79	82.39	784.4	385.0	385	-10.45	0.08	-23.96	2133.0	-0.0097
eval	E4	A_EV_CAL	DAYSOFAR_0.92	-23.36	35.77	-126.84	80.12	784.0	385.0	385	-11.66	0.079	-41.61	2133.0	-0.011
eval	E4	A_EV_CAL	DAYSOFAR_0.95	-16.64	35.79	-119.88	86.61	783.2	385.0	385	-8.38	0.079	-43.63	2133.0	-0.0078
eval	E4	A_EV_CAL	DAYSOFAR_0.97	-17.41	36.1	-120.98	86.16	781.2	385.0	385	-8.78	0.079	-50.25	2133.0	-0.0082
eval	E4	A_EV_RAW	DAYSOFAR_0.5	4.47	27.7	-89.71	98.66	783.0	385.0	385	2.13	0.074	-46.69	2133.0	0.0021
eval	E4	A_EV_RAW	DAYSOFAR_0.7	-46.17	34.69	-140.79	48.45	767.6	385.0	385	-23.33	0.073	-35.39	2133.0	-0.0216
eval	E4	A_EV_RAW	DAYSOFAR_0.8	-43.09	36.94	-138.9	52.72	754.0	384.8	385	-22.24	0.073	-51.88	2133.0	-0.0202
eval	E4	A_EV_RAW	DAYSOFAR_0.9	-67.3	38.65	-159.27	24.67	734.2	384.2	385	-35.67	0.07	-49.98	2133.0	-0.0316
eval	E4	A_EV_RAW	DAYSOFAR_0.92	-59.61	39.9	-151.23	32.0	726.2	384.0	385	-31.86	0.074	-65.9	2133.0	-0.0279
eval	E4	A_EV_RAW	DAYSOFAR_0.95	-64.07	52.3	-154.25	26.1	706.0	383.4	385	-35.56	0.078	-18.57	2133.0	-0.03
eval	E4	A_EV_RAW	DAYSOFAR_0.97	-55.8	45.98	-145.3	33.69	694.2	382.8	385	-31.46	0.079	-52.6	2133.0	-0.0262
eval	E4	A_PBAR_CAL	DAYSOFAR_0.5	-12.39	8.42	-113.35	88.56	785.4	385.0	385	-6.08	0.093	-70.09	2133.0	-0.0058
eval	E4	A_PBAR_CAL	DAYSOFAR_0.7	-8.72	20.19	-108.46	91.01	768.2	385.0	385	-4.41	0.093	-44.04	2133.0	-0.0041
eval	E4	A_PBAR_CAL	DAYSOFAR_0.8	-14.43	30.84	-114.91	86.05	728.0	385.0	385	-7.72	0.094	-45.23	2133.0	-0.0068
eval	E4	A_PBAR_CAL	DAYSOFAR_0.9	4.93	16.17	-100.76	110.62	660.4	384.8	385	2.94	0.101	-62.28	2133.0	0.0023
eval	E4	A_PBAR_CAL	DAYSOFAR_0.92	15.13	17.83	-94.66	124.93	637.2	384.8	385	9.15	0.104	-26.61	2133.0	0.0071
eval	E4	A_PBAR_CAL	DAYSOFAR_0.95	-6.21	23.89	-114.41	102.0	601.0	384.4	385	-3.89	0.111	-59.62	2133.0	-0.0029
eval	E4	A_PBAR_CAL	DAYSOFAR_0.97	-32.75	27.85	-137.57	72.07	571.4	382.2	385	-21.91	0.118	-14.37	2133.0	-0.0154
eval	E4	A_PBAR_RAW	DAYSOFAR_0.5	-19.05	6.71	-119.41	81.31	787.4	385.0	385	-9.32	0.093	-65.03	2133.0	-0.0089
eval	E4	A_PBAR_RAW	DAYSOFAR_0.7	4.01	15.43	-97.32	105.34	765.2	385.0	385	2.02	0.091	-49.76	2133.0	0.0019
eval	E4	A_PBAR_RAW	DAYSOFAR_0.8	-14.79	21.44	-116.35	86.77	716.6	385.0	385	-7.98	0.095	-31.87	2133.0	-0.0069
eval	E4	A_PBAR_RAW	DAYSOFAR_0.9	6.9	18.52	-99.99	113.8	643.6	384.8	385	4.11	0.1	-65.53	2133.0	0.0032
eval	E4	A_PBAR_RAW	DAYSOFAR_0.92	2.97	5.04	-106.15	112.1	621.2	384.8	385	1.86	0.105	-19.43	2133.0	0.0014
eval	E4	A_PBAR_RAW	DAYSOFAR_0.95	-21.92	16.9	-128.58	84.74	583.2	383.4	385	-14.55	0.114	-58.89	2133.0	-0.0103
