# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# stated-vs-realised by score tier, on the judge's OWN ordering; usd_per_session = the one-position replay of that tier over the judge's own sessions
judge	tier_frac	n	score_min	usd_per_trade	win_rate	frac_ge_600	frac_ge_1000	n_seated	usd_per_session
m3_model_arm	0.005000	6319	0.748754	-25.860000	0.468700	0.134400	0.063300	656	-5.420000
m3_model_arm	0.010000	12638	0.734858	-39.460000	0.453500	0.118100	0.055800	1305	-16.830000
m3_model_arm	0.020000	25276	0.720032	-40.840000	0.452900	0.107200	0.050400	2503	-43.460000
m3_model_arm	0.050000	63191	0.697460	-40.580000	0.450800	0.108500	0.049000	5677	-88.840000
m3_model_arm	0.100000	126382	0.673539	-40.900000	0.448200	0.119900	0.055300	8971	-120.370000
m3_model_arm	0.200000	252765	0.630941	-41.870000	0.443200	0.140000	0.070700	11881	-135.720000
m3_model_arm	0.500000	631912	0.519674	-34.240000	0.436200	0.168400	0.092500	13578	-129.270000
m3_model_arm	1.000000	1263824	0.047675	-31.130000	0.435700	0.167800	0.093100	13873	-178.670000
goalpath_gate	0.005000	1403	314.927063	183.760000	0.504600	0.325000	0.268000	258	34.650000
goalpath_gate	0.010000	2806	178.951172	184.910000	0.496400	0.309300	0.234900	486	49.040000
goalpath_gate	0.020000	5613	90.029892	146.780000	0.468900	0.267400	0.188500	950	31.040000
goalpath_gate	0.050000	14032	27.997881	61.970000	0.425500	0.198300	0.124700	2610	4.200000
goalpath_gate	0.100000	28065	5.563316	25.310000	0.402000	0.157400	0.090000	4780	-37.250000
goalpath_gate	0.200000	56130	-9.442559	2.870000	0.386400	0.120600	0.063700	8369	-89.440000
goalpath_gate	0.500000	140325	-24.463667	-11.830000	0.374700	0.081700	0.037600	16538	-220.560000
goalpath_gate	1.000000	280650	-1427.094360	-17.560000	0.370500	0.078100	0.034800	22622	-335.510000
FIXTURE_random	0.005000	6319	0.995055	-26.210000	0.433000	0.170800	0.096900	4523	-45.800000
FIXTURE_random	0.010000	12638	0.990094	-19.770000	0.435900	0.170800	0.096600	7024	-55.290000
FIXTURE_random	0.020000	25276	0.980159	-31.680000	0.432200	0.168300	0.095500	9550	-117.720000
FIXTURE_random	0.050000	63191	0.950326	-31.910000	0.434600	0.166700	0.092600	11927	-125.840000
FIXTURE_random	0.100000	126382	0.899907	-29.300000	0.435100	0.167700	0.093800	12895	-141.820000
FIXTURE_random	0.200000	252765	0.799799	-30.830000	0.435500	0.167700	0.093800	13442	-154.420000
FIXTURE_random	0.500000	631912	0.499601	-31.370000	0.435700	0.167800	0.093300	13653	-130.950000
FIXTURE_random	1.000000	1263824	0.000003	-31.130000	0.435700	0.167800	0.093100	13873	-178.670000
