# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK B — the contract-change deficits, priced on the judge's own seats from the roster path skeleton
# exit_rule / risk_rule = the best SINGLE FIXED rule for the whole (era, asset) cell — implementable, chosen in-sample, so an upper bound on fixed-rule recovery
# *_oracle_bound = the per-seat hindsight best, which no contract can collect; it is the outer bound only
# NOT summed into the ladder: changing the stop is a user-reserved class (D-029) and the exit contract is the one variant class never measured
judge	era	asset	n_seats	n_winners	n_walled	mean_peak_capture	giveback_usd_per_seat	exit_rule	exit_gain_usd_per_session	exit_oracle_bound_usd_per_session	risk_rule	risk_gain_usd_per_session	risk_oracle_bound_usd_per_session
m3_model_arm	E1	HG	396	235	31	0.371500	857.640000	SESS_CLOSE	500.830000	1561.150000	W1800	78.200000	207.560000
m3_model_arm	E1	NKD	394	207	23	0.409000	601.900000	CLOSE	0.000000	1447.650000	W900	0.000000	148.570000
m3_model_arm	E1	SI	396	205	37	0.362900	867.490000	CLOSE	0.000000	1735.840000	NO_WALL	141.870000	270.310000
m3_model_arm	E2	HG	384	233	25	0.385600	876.790000	SESS_CLOSE	459.120000	1454.170000	W1500	42.350000	149.090000
m3_model_arm	E2	NKD	384	209	37	0.413700	842.970000	CLOSE	0.000000	1523.830000	W1500	41.700000	218.650000
m3_model_arm	E2	SI	384	231	26	0.406900	1004.100000	SESS_CLOSE	489.470000	1477.580000	W300	150.020000	190.250000
m3_model_arm	E3	HG	391	262	8	0.418300	745.640000	SESS_CLOSE	483.140000	1376.770000	NO_WALL	15.880000	66.500000
m3_model_arm	E3	NKD	390	250	4	0.393600	581.890000	CLOSE	0.000000	1323.920000	W600	8.560000	31.630000
m3_model_arm	E3	SI	394	260	12	0.387200	970.880000	SESS_CLOSE	561.290000	1375.750000	W2400	34.040000	105.480000
m3_model_arm	E4	HG	384	231	17	0.392600	656.870000	CLOSE	0.000000	1414.700000	W600	43.160000	127.880000
m3_model_arm	E4	NKD	387	227	6	0.418300	492.990000	CLOSE	0.000000	1208.510000	W1800	19.280000	42.930000
m3_model_arm	E4	SI	384	237	8	0.374300	917.900000	CLOSE	0.000000	1438.710000	W900	0.000000	62.400000
m3_model_arm	E5	HG	387	250	0	0.407500	464.660000	SESS_CLOSE	366.600000	1224.890000	W900	0.000000	18.750000
m3_model_arm	E5	NKD	387	226	5	0.400400	611.470000	SESS_CLOSE	443.140000	1391.300000	W2400	5.430000	46.800000
m3_model_arm	E5	SI	387	247	6	0.377500	851.680000	SESS_CLOSE	410.620000	1372.790000	W1200	20.540000	52.620000
m3_model_arm	E6	HG	384	218	11	0.375300	623.470000	SESS_CLOSE	370.340000	1407.890000	NO_WALL	30.290000	86.100000
m3_model_arm	E6	NKD	384	234	9	0.399600	740.560000	SESS_CLOSE	446.430000	1261.910000	W900	0.000000	63.570000
m3_model_arm	E6	SI	384	207	30	0.369600	1003.740000	SESS_CLOSE	468.870000	1590.080000	W300	165.630000	214.570000
m3_model_arm	E7	HG	393	259	14	0.412500	618.080000	SESS_CLOSE	390.200000	1402.910000	W300	84.470000	93.960000
m3_model_arm	E7	NKD	393	232	38	0.403100	936.160000	CLOSE	0.000000	1454.270000	NO_WALL	83.230000	240.320000
m3_model_arm	E7	SI	393	234	39	0.376500	1125.130000	CLOSE	0.000000	1544.920000	W2400	138.380000	297.920000
m3_model_arm	E8	HG	381	229	18	0.367400	919.320000	SESS_CLOSE	507.100000	1522.090000	W600	41.490000	115.160000
m3_model_arm	E8	NKD	381	207	26	0.397800	902.260000	CLOSE	0.000000	1504.630000	W2400	110.240000	212.700000
m3_model_arm	E8	SI	381	229	31	0.397500	1053.050000	CLOSE	0.000000	1469.410000	W1200	78.940000	215.650000
teacher_pooled_15	E6	HG	7	4	3	0.605800	724.110000	H30	175.000000	460.800000	W600	54.550000	165.340000
teacher_pooled_15	E6	SI	8	4	4	0.808600	912.500000	CLOSE	0.000000	567.500000	W300	218.180000	218.180000
FIXTURE_oracle	E1	HG	406	406	0	0.572400	815.840000	CLOSE	0.000000	38.030000	W900	0.000000	0.000000
FIXTURE_oracle	E1	NKD	392	392	0	0.600600	586.730000	CLOSE	0.000000	187.580000	W900	0.000000	0.000000
FIXTURE_oracle	E1	SI	401	401	0	0.531300	984.880000	SESS_CLOSE	13.340000	73.870000	W900	0.000000	0.000000
FIXTURE_oracle	E2	HG	384	384	0	0.586900	887.740000	CLOSE	0.000000	22.000000	W900	0.000000	0.000000
FIXTURE_oracle	E2	NKD	383	383	0	0.605200	781.560000	SESS_CLOSE	5.060000	41.310000	W900	0.000000	0.000000
FIXTURE_oracle	E2	SI	404	404	0	0.566500	1010.740000	CLOSE	0.000000	18.670000	W900	0.000000	0.000000
FIXTURE_oracle	E3	HG	390	390	0	0.594100	755.030000	CLOSE	0.000000	53.080000	W900	0.000000	0.000000
FIXTURE_oracle	E3	NKD	390	390	0	0.567500	637.440000	SESS_CLOSE	64.120000	179.830000	W900	0.000000	0.000000
FIXTURE_oracle	E3	SI	395	395	0	0.564900	1056.270000	SESS_CLOSE	10.940000	22.650000	W900	0.000000	0.000000
FIXTURE_oracle	E4	HG	384	384	0	0.575400	676.600000	CLOSE	0.000000	93.890000	W900	0.000000	0.000000
FIXTURE_oracle	E4	NKD	386	386	0	0.592400	583.390000	SESS_CLOSE	58.990000	225.450000	W900	0.000000	0.000000
