# PORT_M2_SHEETS_SPEC.md port m2 deficit ledger — orthogonal dollar decomposition of any scored judge's gap to the D-048/D-021 bars (spec_sha16=f6ef73a41dbf8588)
# params_hash=9fae0a685b6c9ab64f7a2a80f80e1707f19c2c4aca06d972368322da45ee13da
# BLOCK A = the fixed-contract ladder (nested, increments sum to the session's recoverable pool)
# usd_raw = dollars to the DAY CEILING; usd_to_bar = the same dollars scaled into the bar-recoverable pool min($2000, ceiling) - realised
# rcell = regime_tercile x phase_dec (the matrix's own regime cell); ALL = a session-level component
judge	era	asset	rcell	component	block	improvement_type	usd_raw	usd_to_bar	n_sessions	usd_to_bar_per_session
m3_model_arm	E1	HG	ALL	OPPORTUNITY	A	generation/coverage	4982.500000	4982.500000	131	38.030000
m3_model_arm	E1	HG	rg0|ph0	PARTICIPATION	A	throughput/abstention	1155.000000	1276.720000	131	9.750000
m3_model_arm	E1	HG	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	6480.530000	3823.660000	131	29.190000
m3_model_arm	E1	HG	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	921.250000	1606.430000	131	12.260000
m3_model_arm	E1	HG	rg0|ph0	SEL_WRONG_MOMENT	A	moment	18.750000	17.980000	131	0.140000
m3_model_arm	E1	HG	rg0|ph0	SEL_WRONG_SIDE	A	validity	4425.000000	2736.750000	131	20.890000
m3_model_arm	E1	HG	rg0|ph1	PARTICIPATION	A	throughput/abstention	3251.250000	2543.000000	131	19.410000
m3_model_arm	E1	HG	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	14239.880000	9440.900000	131	72.070000
m3_model_arm	E1	HG	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	13903.750000	11207.500000	131	85.550000
m3_model_arm	E1	HG	rg0|ph1	SEL_WRONG_MOMENT	A	moment	350.000000	292.810000	131	2.240000
m3_model_arm	E1	HG	rg0|ph1	SEL_WRONG_SIDE	A	validity	793.750000	484.000000	131	3.690000
m3_model_arm	E1	HG	rg0|ph2	PARTICIPATION	A	throughput/abstention	760.000000	943.230000	131	7.200000
m3_model_arm	E1	HG	rg0|ph2	RANKING_RESIDUAL	A	scoring/foresight	19566.340000	12903.620000	131	98.500000
m3_model_arm	E1	HG	rg0|ph2	SEL_WRONG_MEMBER	A	ranking	38058.750000	27008.050000	131	206.170000
m3_model_arm	E1	HG	rg0|ph2	SEL_WRONG_MOMENT	A	moment	1293.750000	719.940000	131	5.500000
m3_model_arm	E1	HG	rg0|ph2	SEL_WRONG_SIDE	A	validity	8500.000000	5157.280000	131	39.370000
m3_model_arm	E1	HG	rg1|ph0	PARTICIPATION	A	throughput/abstention	-3305.000000	-1504.020000	131	-11.480000
m3_model_arm	E1	HG	rg1|ph0	RANKING_RESIDUAL	A	scoring/foresight	12236.120000	8946.330000	131	68.290000
m3_model_arm	E1	HG	rg1|ph0	SEL_WRONG_MEMBER	A	ranking	2525.000000	2383.300000	131	18.190000
m3_model_arm	E1	HG	rg1|ph0	SEL_WRONG_MOMENT	A	moment	356.250000	256.730000	131	1.960000
m3_model_arm	E1	HG	rg1|ph0	SEL_WRONG_SIDE	A	validity	5137.500000	3817.140000	131	29.140000
m3_model_arm	E1	HG	rg1|ph1	PARTICIPATION	A	throughput/abstention	-2985.000000	-2370.420000	131	-18.090000
m3_model_arm	E1	HG	rg1|ph1	RANKING_RESIDUAL	A	scoring/foresight	14798.850000	9497.620000	131	72.500000
m3_model_arm	E1	HG	rg1|ph1	SEL_WRONG_MEMBER	A	ranking	20547.500000	13455.550000	131	102.710000
m3_model_arm	E1	HG	rg1|ph1	SEL_WRONG_MOMENT	A	moment	625.000000	385.620000	131	2.940000
m3_model_arm	E1	HG	rg1|ph1	SEL_WRONG_SIDE	A	validity	2200.000000	1546.480000	131	11.810000
m3_model_arm	E1	HG	rg1|ph2	PARTICIPATION	A	throughput/abstention	-607.500000	-626.000000	131	-4.780000
m3_model_arm	E1	HG	rg1|ph2	RANKING_RESIDUAL	A	scoring/foresight	22171.570000	15224.270000	131	116.220000
m3_model_arm	E1	HG	rg1|ph2	SEL_WRONG_MEMBER	A	ranking	26006.250000	18652.670000	131	142.390000
m3_model_arm	E1	HG	rg1|ph2	SEL_WRONG_MOMENT	A	moment	487.500000	342.640000	131	2.620000
m3_model_arm	E1	HG	rg1|ph2	SEL_WRONG_SIDE	A	validity	3562.500000	1854.040000	131	14.150000
m3_model_arm	E1	HG	rg2|ph0	PARTICIPATION	A	throughput/abstention	-5241.250000	-3340.390000	131	-25.500000
m3_model_arm	E1	HG	rg2|ph0	RANKING_RESIDUAL	A	scoring/foresight	19542.000000	12198.470000	131	93.120000
m3_model_arm	E1	HG	rg2|ph0	SEL_WRONG_MEMBER	A	ranking	6683.750000	4414.230000	131	33.700000
m3_model_arm	E1	HG	rg2|ph0	SEL_WRONG_MOMENT	A	moment	1031.250000	480.820000	131	3.670000
m3_model_arm	E1	HG	rg2|ph0	SEL_WRONG_SIDE	A	validity	5261.250000	2999.520000	131	22.900000
m3_model_arm	E1	HG	rg2|ph1	PARTICIPATION	A	throughput/abstention	-1447.500000	-1313.790000	131	-10.030000
m3_model_arm	E1	HG	rg2|ph1	RANKING_RESIDUAL	A	scoring/foresight	19784.720000	12604.570000	131	96.220000
m3_model_arm	E1	HG	rg2|ph1	SEL_WRONG_MEMBER	A	ranking	16557.500000	10732.710000	131	81.930000
m3_model_arm	E1	HG	rg2|ph1	SEL_WRONG_MOMENT	A	moment	1631.250000	1069.520000	131	8.160000
m3_model_arm	E1	HG	rg2|ph1	SEL_WRONG_SIDE	A	validity	3812.500000	1411.470000	131	10.770000
m3_model_arm	E1	HG	rg2|ph2	PARTICIPATION	A	throughput/abstention	-3830.000000	-2855.340000	131	-21.800000
m3_model_arm	E1	HG	rg2|ph2	RANKING_RESIDUAL	A	scoring/foresight	26064.990000	16212.470000	131	123.760000
m3_model_arm	E1	HG	rg2|ph2	SEL_WRONG_MEMBER	A	ranking	27712.500000	16853.280000	131	128.650000
m3_model_arm	E1	HG	rg2|ph2	SEL_WRONG_MOMENT	A	moment	1537.500000	987.760000	131	7.540000
m3_model_arm	E1	HG	rg2|ph2	SEL_WRONG_SIDE	A	validity	13081.250000	8415.860000	131	64.240000
m3_model_arm	E1	NKD	ALL	OPPORTUNITY	A	generation/coverage	28477.500000	28477.500000	131	217.390000
m3_model_arm	E1	NKD	rg0|ph0	PARTICIPATION	A	throughput/abstention	-7645.000000	-6290.330000	131	-48.020000
m3_model_arm	E1	NKD	rg0|ph0	RANKING_RESIDUAL	A	scoring/foresight	20744.910000	15615.450000	131	119.200000
m3_model_arm	E1	NKD	rg0|ph0	SEL_WRONG_MEMBER	A	ranking	27247.500000	19176.180000	131	146.380000
m3_model_arm	E1	NKD	rg0|ph0	SEL_WRONG_MOMENT	A	moment	612.500000	388.660000	131	2.970000
m3_model_arm	E1	NKD	rg0|ph0	SEL_WRONG_SIDE	A	validity	4425.000000	1879.830000	131	14.350000
m3_model_arm	E1	NKD	rg0|ph1	PARTICIPATION	A	throughput/abstention	37.500000	-1242.070000	131	-9.480000
m3_model_arm	E1	NKD	rg0|ph1	RANKING_RESIDUAL	A	scoring/foresight	5692.010000	4363.760000	131	33.310000
m3_model_arm	E1	NKD	rg0|ph1	SEL_WRONG_MEMBER	A	ranking	-497.500000	126.220000	131	0.960000
m3_model_arm	E1	NKD	rg0|ph1	SEL_WRONG_MOMENT	A	moment	337.500000	310.010000	131	2.370000
m3_model_arm	E1	NKD	rg0|ph1	SEL_WRONG_SIDE	A	validity	800.000000	800.000000	131	6.110000
