# PORT M2 D-090.6 information ceiling (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN) (PORT-M2-INFO-CEILING-V1)
# NON-CAUSAL-BY-DESIGN: hindsight-fit upper bound over ALL E6 sessions (study + sealed blind). NOT a deployable result.
# port m2 entry-delay decidability + post-entry divergence (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN)
# per-leg separability of winner vs loser using pre-t fields + the [t, t+D] block, out-of-fold by DAY
population	delay_sec	n	n_features	auc	acc_at_50
WALLPAIR_LEGS	0	5737	225	0.47	0.479693
WALLPAIR_LEGS	30	5737	263	0.471	0.47429
WALLPAIR_LEGS	60	5737	263	0.4754	0.484574
WALLPAIR_LEGS	120	5737	263	0.5004	0.508628
WALLPAIR_LEGS	180	5737	263	0.5369	0.53582
WALLPAIR_LEGS	300	5737	263	0.5718	0.548893
WALLPAIR_LEGS	600	5737	263	0.6474	0.60136
WALLPAIR_LEGS	1200	5737	243	0.7635	0.685899
WALLPAIR_LEGS	1800	5737	243	0.8325	0.738365
E6_ALL_EPISODES	0	74817	225	0.6762	0.951027
E6_ALL_EPISODES	30	74817	263	0.6835	0.951041
E6_ALL_EPISODES	60	74817	263	0.6965	0.950947
E6_ALL_EPISODES	120	74817	263	0.7077	0.950974
E6_ALL_EPISODES	180	74817	263	0.7208	0.950947
E6_ALL_EPISODES	300	74817	263	0.7445	0.950653
E6_ALL_EPISODES	600	74817	263	0.7799	0.950439
E6_ALL_EPISODES	1200	74817	243	0.834	0.95072
E6_ALL_EPISODES	1800	74817	243	0.867	0.950145
