# ROUND-2 SEALED BLIND LEDGER 20240424 (E6R2-BLIND-D1) — hand channel ONLY (R2-9: the rubric never seats)
# every TAKE carries a decision_journal entry written BEFORE the call and a RIBBON_ACCESS row for the window it read
ep	asset	sec	side	call	p	src	compl	why
NKD-20240424-L-E01	NKD	00:00	L	SKIP	0.000	-	-	-
NKD-20240424-S-E01	NKD	00:00	S	SKIP	0.000	-	-	-
HG-20240424-S-E01	HG	00:02	S	SKIP	0.000	-	-	-
HG-20240424-S-E02	HG	00:07	S	SKIP	0.000	-	-	-
SI-20240424-S-E01	SI	00:11	S	SKIP	0.000	-	-	-
HG-20240424-S-E03	HG	00:23	S	SKIP	0.000	-	-	-
NKD-20240424-L-E02	NKD	00:43	L	SKIP	0.000	-	-	-
NKD-20240424-L-E03	NKD	00:50	L	SKIP	0.000	-	-	-
NKD-20240424-L-E04	NKD	01:02	L	SKIP	0.000	-	-	-
HG-20240424-S-E04	HG	01:06	S	SKIP	0.000	-	-	-
HG-20240424-L-E01	HG	01:13	L	SKIP	0.000	-	-	-
SI-20240424-L-E01	SI	01:28	L	SKIP	0.000	-	-	-
HG-20240424-L-E02	HG	01:30	L	SKIP	0.000	-	-	-
NKD-20240424-L-E05	NKD	01:30	L	SKIP	0.000	-	-	-
HG-20240424-L-E03	HG	01:32	L	SKIP	0.000	-	-	-
NKD-20240424-S-E02	NKD	01:34	S	SKIP	0.000	-	-	-
NKD-20240424-L-E06	NKD	01:38	L	SKIP	0.000	-	-	-
NKD-20240424-S-E03	NKD	01:48	S	SKIP	0.000	-	-	-
NKD-20240424-L-E07	NKD	01:51	L	SKIP	0.000	-	-	-
NKD-20240424-S-E04	NKD	01:59	S	SKIP	0.000	-	-	-
NKD-20240424-S-E05	NKD	02:02	S	SKIP	0.000	-	-	-
NKD-20240424-L-E08	NKD	02:02	L	SKIP	0.000	-	-	-
HG-20240424-S-E05	HG	02:02	S	SKIP	0.000	-	-	-
SI-20240424-S-E02	SI	02:02	S	TAKE	0.140	HAND	-	TOKYO short. Sellers aggress at every level while the bid stack is REMOVED BY CANCEL not absorbed (27.285/27.28/27.275 each cancelled down without a trade), and two resting bids are MODIFIED to 26.41 = a maker refusing to restock. hit_bid 76 vs hit_ask 26 over 120s. unspent $1425, runway 25035s, cov 21.4%.
NKD-20240424-S-E06	NKD	02:05	S	SKIP	0.000	-	-	-
SI-20240424-L-E02	SI	02:06	L	SKIP	0.000	-	-	-
HG-20240424-L-E04	HG	02:06	L	SKIP	0.000	-	-	-
NKD-20240424-S-E07	NKD	02:15	S	SKIP	0.000	-	-	-
NKD-20240424-L-E09	NKD	02:19	L	SKIP	0.000	-	-	-
NKD-20240424-S-E08	NKD	02:32	S	SKIP	0.000	-	-	-
SI-20240424-S-E03	SI	02:36	S	SKIP	0.000	-	-	-
NKD-20240424-S-E09	NKD	02:37	S	SKIP	0.000	-	-	-
HG-20240424-L-E05	HG	02:38	L	SKIP	0.000	-	-	-
NKD-20240424-L-E10	NKD	02:40	L	SKIP	0.000	-	-	-
NKD-20240424-S-E10	NKD	02:44	S	SKIP	0.000	-	-	-
NKD-20240424-L-E11	NKD	02:46	L	SKIP	0.000	-	-	-
NKD-20240424-S-E11	NKD	02:47	S	SKIP	0.000	-	-	-
NKD-20240424-L-E12	NKD	02:50	L	SKIP	0.000	-	-	-
NKD-20240424-S-E12	NKD	02:57	S	SKIP	0.000	-	-	-
NKD-20240424-L-E13	NKD	03:02	L	SKIP	0.000	-	-	-
HG-20240424-S-E06	HG	03:03	S	SKIP	0.000	-	-	-
SI-20240424-S-E04	SI	03:03	S	SKIP	0.000	-	-	-
NKD-20240424-S-E13	NKD	03:03	S	SKIP	0.000	-	-	-
SI-20240424-L-E03	SI	03:04	L	SKIP	0.000	-	-	-
HG-20240424-L-E06	HG	03:04	L	SKIP	0.000	-	-	-
NKD-20240424-L-E14	NKD	03:05	L	SKIP	0.000	-	-	-
HG-20240424-L-E07	HG	03:08	L	SKIP	0.000	-	-	-
HG-20240424-S-E07	HG	03:09	S	SKIP	0.000	-	-	-
NKD-20240424-S-E14	NKD	03:10	S	SKIP	0.000	-	-	-
SI-20240424-S-E05	SI	03:10	S	SKIP	0.000	-	-	-
HG-20240424-S-E08	HG	03:13	S	SKIP	0.000	-	-	-
HG-20240424-S-E09	HG	03:15	S	SKIP	0.000	-	-	-
SI-20240424-S-E06	SI	03:16	S	SKIP	0.000	-	-	-
NKD-20240424-S-E15	NKD	03:16	S	SKIP	0.000	-	-	-
HG-20240424-L-E08	HG	03:17	L	SKIP	0.000	-	-	-
NKD-20240424-L-E15	NKD	03:19	L	SKIP	0.000	-	-	-
NKD-20240424-S-E16	NKD	03:19	S	SKIP	0.000	-	-	-
HG-20240424-L-E09	HG	03:20	L	SKIP	0.000	-	-	-
SI-20240424-L-E04	SI	03:22	L	SKIP	0.000	-	-	-
HG-20240424-S-E10	HG	03:23	S	SKIP	0.000	-	-	-
SI-20240424-S-E07	SI	03:24	S	SKIP	0.000	-	-	-
HG-20240424-L-E10	HG	03:26	L	SKIP	0.000	-	-	-
NKD-20240424-S-E17	NKD	03:26	S	SKIP	0.000	-	-	-
NKD-20240424-L-E16	NKD	03:28	L	SKIP	0.000	-	-	-
SI-20240424-S-E08	SI	03:30	S	SKIP	0.000	-	-	-
HG-20240424-S-E11	HG	03:32	S	SKIP	0.000	-	-	-
NKD-20240424-S-E18	NKD	03:32	S	SKIP	0.000	-	-	-
SI-20240424-S-E09	SI	03:33	S	SKIP	0.000	-	-	-
HG-20240424-L-E11	HG	03:34	L	SKIP	0.000	-	-	-
HG-20240424-S-E12	HG	03:38	S	SKIP	0.000	-	-	-
HG-20240424-L-E12	HG	03:40	L	SKIP	0.000	-	-	-
NKD-20240424-L-E17	NKD	03:41	L	SKIP	0.000	-	-	-
NKD-20240424-S-E19	NKD	03:42	S	SKIP	0.000	-	-	-
HG-20240424-S-E13	HG	03:43	S	SKIP	0.000	-	-	-
NKD-20240424-L-E18	NKD	03:44	L	SKIP	0.000	-	-	-
HG-20240424-L-E13	HG	03:45	L	SKIP	0.000	-	-	-
SI-20240424-L-E05	SI	03:46	L	SKIP	0.000	-	-	-
HG-20240424-S-E14	HG	03:49	S	SKIP	0.000	-	-	-
SI-20240424-S-E10	SI	03:49	S	SKIP	0.000	-	-	-
SI-20240424-S-E11	SI	03:53	S	SKIP	0.000	-	-	-
HG-20240424-L-E14	HG	03:56	L	SKIP	0.000	-	-	-
NKD-20240424-S-E20	NKD	04:00	S	SKIP	0.000	-	-	-
HG-20240424-S-E15	HG	04:03	S	SKIP	0.000	-	-	-
NKD-20240424-S-E21	NKD	04:03	S	SKIP	0.000	-	-	-
NKD-20240424-L-E19	NKD	04:04	L	SKIP	0.000	-	-	-
