# ROUND-2 SEALED BLIND LEDGER 20240501 (E6R2X-BLIND-D3) — hand channel ONLY (R2-9: the rubric never seats)
# every TAKE carries a decision_journal entry written BEFORE the call and a RIBBON_ACCESS row for the window it read
ep	asset	sec	side	call	p	src	compl	why
HG-20240501-S-E01	HG	00:00	S	SKIP	0.000	-	-	-
NKD-20240501-S-E01	NKD	00:00	S	SKIP	0.000	-	-	-
HG-20240501-L-E01	HG	00:03	L	SKIP	0.000	-	-	-
NKD-20240501-S-E02	NKD	00:08	S	SKIP	0.000	-	-	-
HG-20240501-S-E02	HG	00:08	S	SKIP	0.000	-	-	-
HG-20240501-L-E02	HG	00:14	L	SKIP	0.000	-	-	-
NKD-20240501-L-E01	NKD	00:15	L	SKIP	0.000	-	-	-
HG-20240501-L-E03	HG	00:18	L	SKIP	0.000	-	-	-
SI-20240501-L-E01	SI	00:26	L	SKIP	0.000	-	-	-
NKD-20240501-L-E02	NKD	00:27	L	SKIP	0.000	-	-	-
HG-20240501-S-E03	HG	00:31	S	SKIP	0.000	-	-	-
NKD-20240501-S-E03	NKD	00:39	S	SKIP	0.000	-	-	-
HG-20240501-L-E04	HG	00:44	L	SKIP	0.000	-	-	-
NKD-20240501-S-E04	NKD	00:49	S	SKIP	0.000	-	-	-
HG-20240501-S-E04	HG	01:07	S	SKIP	0.000	-	-	-
HG-20240501-S-E05	HG	01:14	S	SKIP	0.000	-	-	-
HG-20240501-S-E06	HG	01:19	S	SKIP	0.000	-	-	-
HG-20240501-L-E05	HG	01:20	L	SKIP	0.000	-	-	-
SI-20240501-L-E02	SI	01:26	L	SKIP	0.000	-	-	-
NKD-20240501-S-E05	NKD	01:29	S	SKIP	0.000	-	-	-
NKD-20240501-L-E03	NKD	01:32	L	SKIP	0.000	-	-	-
NKD-20240501-S-E06	NKD	01:36	S	SKIP	0.000	-	-	-
HG-20240501-L-E06	HG	01:39	L	SKIP	0.000	-	-	-
NKD-20240501-L-E04	NKD	01:42	L	SKIP	0.000	-	-	-
HG-20240501-L-E07	HG	01:46	L	SKIP	0.000	-	-	-
NKD-20240501-L-E05	NKD	01:46	L	SKIP	0.000	-	-	-
NKD-20240501-S-E07	NKD	01:47	S	SKIP	0.000	-	-	-
NKD-20240501-L-E06	NKD	01:51	L	SKIP	0.000	-	-	-
SI-20240501-S-E01	SI	01:51	S	SKIP	0.000	-	-	-
NKD-20240501-S-E08	NKD	01:53	S	SKIP	0.000	-	-	-
NKD-20240501-L-E07	NKD	01:59	L	SKIP	0.000	-	-	-
NKD-20240501-S-E09	NKD	02:01	S	SKIP	0.000	-	-	-
SI-20240501-S-E02	SI	02:01	S	SKIP	0.000	-	-	-
NKD-20240501-L-E08	NKD	02:02	L	SKIP	0.000	-	-	-
NKD-20240501-L-E09	NKD	02:06	L	SKIP	0.000	-	-	-
NKD-20240501-S-E10	NKD	02:08	S	SKIP	0.000	-	-	-
NKD-20240501-L-E10	NKD	02:09	L	SKIP	0.000	-	-	-
NKD-20240501-S-E11	NKD	02:12	S	SKIP	0.000	-	-	-
NKD-20240501-L-E11	NKD	02:12	L	SKIP	0.000	-	-	-
HG-20240501-S-E07	HG	02:13	S	SKIP	0.000	-	-	-
SI-20240501-L-E03	SI	02:13	L	SKIP	0.000	-	-	-
NKD-20240501-S-E12	NKD	02:17	S	SKIP	0.000	-	-	-
HG-20240501-S-E08	HG	02:17	S	SKIP	0.000	-	-	-
SI-20240501-S-E03	SI	02:19	S	SKIP	0.000	-	-	-
NKD-20240501-S-E13	NKD	02:20	S	SKIP	0.000	-	-	-
HG-20240501-S-E09	HG	02:22	S	SKIP	0.000	-	-	-
NKD-20240501-L-E12	NKD	02:22	L	SKIP	0.000	-	-	-
NKD-20240501-S-E14	NKD	02:24	S	SKIP	0.000	-	-	-
HG-20240501-S-E10	HG	02:25	S	SKIP	0.000	-	-	-
SI-20240501-S-E04	SI	02:25	S	SKIP	0.000	-	-	-
NKD-20240501-L-E13	NKD	02:28	L	SKIP	0.000	-	-	-
HG-20240501-L-E08	HG	02:29	L	SKIP	0.000	-	-	-
NKD-20240501-S-E15	NKD	02:30	S	SKIP	0.000	-	-	-
NKD-20240501-L-E14	NKD	02:34	L	SKIP	0.000	-	-	-
SI-20240501-L-E04	SI	02:36	L	SKIP	0.000	-	-	-
NKD-20240501-L-E15	NKD	02:37	L	SKIP	0.000	-	-	-
NKD-20240501-S-E16	NKD	02:37	S	SKIP	0.000	-	-	-
HG-20240501-S-E11	HG	02:38	S	SKIP	0.000	-	-	-
NKD-20240501-L-E16	NKD	02:41	L	SKIP	0.000	-	-	-
NKD-20240501-S-E17	NKD	02:42	S	SKIP	0.000	-	-	-
SI-20240501-S-E05	SI	02:49	S	SKIP	0.000	-	-	-
NKD-20240501-L-E17	NKD	02:49	L	SKIP	0.000	-	-	-
HG-20240501-L-E09	HG	02:55	L	SKIP	0.000	-	-	-
SI-20240501-L-E05	SI	02:56	L	SKIP	0.000	-	-	-
NKD-20240501-S-E18	NKD	02:56	S	SKIP	0.000	-	-	-
SI-20240501-S-E06	SI	02:59	S	SKIP	0.000	-	-	-
HG-20240501-S-E12	HG	03:02	S	SKIP	0.000	-	-	-
SI-20240501-L-E06	SI	03:06	L	SKIP	0.000	-	-	-
NKD-20240501-S-E19	NKD	03:07	S	SKIP	0.000	-	-	-
NKD-20240501-L-E18	NKD	03:09	L	SKIP	0.000	-	-	-
NKD-20240501-S-E20	NKD	03:13	S	SKIP	0.000	-	-	-
NKD-20240501-S-E21	NKD	03:16	S	SKIP	0.000	-	-	-
NKD-20240501-L-E19	NKD	03:24	L	SKIP	0.000	-	-	-
SI-20240501-L-E07	SI	03:28	L	SKIP	0.000	-	-	-
NKD-20240501-L-E20	NKD	03:29	L	SKIP	0.000	-	-	-
NKD-20240501-S-E22	NKD	03:37	S	SKIP	0.000	-	-	-
SI-20240501-S-E07	SI	03:38	S	SKIP	0.000	-	-	-
NKD-20240501-L-E21	NKD	03:40	L	SKIP	0.000	-	-	-
HG-20240501-L-E10	HG	03:40	L	SKIP	0.000	-	-	-
SI-20240501-L-E08	SI	03:43	L	SKIP	0.000	-	-	-
SI-20240501-L-E09	SI	03:46	L	SKIP	0.000	-	-	-
HG-20240501-L-E11	HG	03:46	L	SKIP	0.000	-	-	-
NKD-20240501-S-E23	NKD	03:50	S	SKIP	0.000	-	-	-
SI-20240501-L-E10	SI	03:50	L	SKIP	0.000	-	-	-
NKD-20240501-L-E22	NKD	03:52	L	SKIP	0.000	-	-	-
HG-20240501-L-E12	HG	03:52	L	SKIP	0.000	-	-	-
HG-20240501-S-E13	HG	03:58	S	SKIP	0.000	-	-	-
SI-20240501-S-E08	SI	03:58	S	SKIP	0.000	-	-	-
NKD-20240501-S-E24	NKD	03:58	S	SKIP	0.000	-	-	-
HG-20240501-S-E14	HG	04:02	S	SKIP	0.000	-	-	-
HG-20240501-L-E13	HG	04:05	L	SKIP	0.000	-	-	-
NKD-20240501-S-E25	NKD	04:06	S	SKIP	0.000	-	-	-
NKD-20240501-S-E26	NKD	04:10	S	SKIP	0.000	-	-	-
HG-20240501-S-E15	HG	04:12	S	SKIP	0.000	-	-	-
NKD-20240501-L-E23	NKD	04:13	L	SKIP	0.000	-	-	-
NKD-20240501-S-E27	NKD	04:17	S	SKIP	0.000	-	-	-
SI-20240501-L-E11	SI	04:18	L	SKIP	0.000	-	-	-
NKD-20240501-L-E24	NKD	04:25	L	SKIP	0.000	-	-	-
HG-20240501-L-E14	HG	04:26	L	SKIP	0.000	-	-	-
HG-20240501-S-E16	HG	04:33	S	SKIP	0.000	-	-	-
HG-20240501-L-E15	HG	04:46	L	SKIP	0.000	-	-	-
SI-20240501-S-E09	SI	05:09	S	SKIP	0.000	-	-	-
SI-20240501-L-E12	SI	05:17	L	SKIP	0.000	-	-	-
HG-20240501-L-E16	HG	05:18	L	SKIP	0.000	-	-	-
SI-20240501-S-E10	SI	05:33	S	SKIP	0.000	-	-	-
NKD-20240501-S-E28	NKD	05:34	S	SKIP	0.000	-	-	-
NKD-20240501-L-E25	NKD	05:38	L	SKIP	0.000	-	-	-
SI-20240501-S-E11	SI	05:44	S	SKIP	0.000	-	-	-
NKD-20240501-S-E29	NKD	05:45	S	SKIP	0.000	-	-	-
NKD-20240501-S-E30	NKD	05:50	S	SKIP	0.000	-	-	-
NKD-20240501-L-E26	NKD	05:51	L	SKIP	0.000	-	-	-
HG-20240501-S-E17	HG	05:57	S	SKIP	0.000	-	-	-
NKD-20240501-S-E31	NKD	06:04	S	SKIP	0.000	-	-	-
SI-20240501-S-E12	SI	06:06	S	SKIP	0.000	-	-	-
NKD-20240501-S-E32	NKD	06:07	S	SKIP	0.000	-	-	-
NKD-20240501-S-E33	NKD	06:11	S	SKIP	0.000	-	-	-
NKD-20240501-L-E27	NKD	06:21	L	SKIP	0.000	-	-	-
NKD-20240501-S-E34	NKD	06:24	S	SKIP	0.000	-	-	-
SI-20240501-L-E13	SI	06:31	L	SKIP	0.000	-	-	-
HG-20240501-L-E17	HG	06:32	L	SKIP	0.000	-	-	-
NKD-20240501-L-E28	NKD	06:36	L	SKIP	0.000	-	-	-
SI-20240501-L-E14	SI	06:41	L	SKIP	0.000	-	-	-
NKD-20240501-L-E29	NKD	06:41	L	SKIP	0.000	-	-	-
HG-20240501-S-E18	HG	06:46	S	SKIP	0.000	-	-	-
NKD-20240501-S-E35	NKD	06:47	S	SKIP	0.000	-	-	-
NKD-20240501-L-E30	NKD	06:52	L	SKIP	0.000	-	-	-
SI-20240501-S-E13	SI	06:52	S	SKIP	0.000	-	-	-
NKD-20240501-S-E36	NKD	06:56	S	SKIP	0.000	-	-	-
HG-20240501-L-E18	HG	06:57	L	SKIP	0.000	-	-	-
SI-20240501-S-E14	SI	06:58	S	SKIP	0.000	-	-	-
SI-20240501-L-E15	SI	07:04	L	SKIP	0.000	-	-	-
HG-20240501-L-E19	HG	07:04	L	SKIP	0.000	-	-	-
HG-20240501-S-E19	HG	07:29	S	SKIP	0.000	-	-	-
SI-20240501-S-E15	SI	07:30	S	SKIP	0.000	-	-	-
HG-20240501-L-E20	HG	07:33	L	SKIP	0.000	-	-	-
SI-20240501-L-E16	SI	07:33	L	SKIP	0.000	-	-	-
SI-20240501-L-E17	SI	07:36	L	SKIP	0.000	-	-	-
HG-20240501-S-E20	HG	07:47	S	SKIP	0.000	-	-	-
NKD-20240501-L-E31	NKD	07:50	L	SKIP	0.000	-	-	-
NKD-20240501-S-E37	NKD	07:53	S	SKIP	0.000	-	-	-
HG-20240501-S-E21	HG	07:54	S	SKIP	0.000	-	-	-
NKD-20240501-L-E32	NKD	07:55	L	SKIP	0.000	-	-	-
HG-20240501-S-E22	HG	07:56	S	SKIP	0.000	-	-	-
NKD-20240501-S-E38	NKD	07:58	S	SKIP	0.000	-	-	-
SI-20240501-S-E16	SI	08:02	S	SKIP	0.000	-	-	-
NKD-20240501-L-E33	NKD	08:02	L	SKIP	0.000	-	-	-
HG-20240501-S-E23	HG	08:02	S	SKIP	0.000	-	-	-
HG-20240501-L-E21	HG	08:04	L	SKIP	0.000	-	-	-
SI-20240501-S-E17	SI	08:06	S	SKIP	0.000	-	-	-
HG-20240501-L-E22	HG	08:09	L	SKIP	0.000	-	-	-
SI-20240501-L-E18	SI	08:10	L	SKIP	0.000	-	-	-
NKD-20240501-L-E34	NKD	08:12	L	SKIP	0.000	-	-	-
SI-20240501-L-E19	SI	08:14	L	SKIP	0.000	-	-	-
HG-20240501-S-E24	HG	08:17	S	SKIP	0.000	-	-	-
HG-20240501-S-E25	HG	08:21	S	SKIP	0.000	-	-	-
NKD-20240501-S-E39	NKD	08:22	S	SKIP	0.000	-	-	-
HG-20240501-L-E23	HG	08:28	L	SKIP	0.000	-	-	-
HG-20240501-S-E26	HG	08:32	S	SKIP	0.000	-	-	-
HG-20240501-S-E27	HG	08:38	S	SKIP	0.000	-	-	-
SI-20240501-S-E18	SI	08:38	S	SKIP	0.000	-	-	-
HG-20240501-S-E28	HG	08:41	S	SKIP	0.000	-	-	-
SI-20240501-L-E20	SI	08:46	L	SKIP	0.000	-	-	-
HG-20240501-L-E24	HG	08:47	L	SKIP	0.000	-	-	-
SI-20240501-S-E19	SI	08:52	S	SKIP	0.000	-	-	-
HG-20240501-S-E29	HG	08:52	S	SKIP	0.000	-	-	-
SI-20240501-L-E21	SI	08:56	L	SKIP	0.000	-	-	-
HG-20240501-L-E25	HG	09:00	L	SKIP	0.000	-	-	-
NKD-20240501-L-E35	NKD	09:00	L	SKIP	0.000	-	-	-
HG-20240501-L-E26	HG	09:04	L	SKIP	0.000	-	-	-
SI-20240501-S-E20	SI	09:11	S	SKIP	0.000	-	-	-
HG-20240501-L-E27	HG	09:11	L	SKIP	0.000	-	-	-
HG-20240501-S-E30	HG	09:16	S	SKIP	0.000	-	-	-
SI-20240501-S-E21	SI	09:16	S	SKIP	0.000	-	-	-
SI-20240501-L-E22	SI	09:18	L	SKIP	0.000	-	-	-
HG-20240501-L-E28	HG	09:18	L	SKIP	0.000	-	-	-
SI-20240501-L-E23	SI	09:21	L	SKIP	0.000	-	-	-
NKD-20240501-L-E36	NKD	09:23	L	SKIP	0.000	-	-	-
SI-20240501-S-E22	SI	09:26	S	SKIP	0.000	-	-	-
HG-20240501-S-E31	HG	09:27	S	SKIP	0.000	-	-	-
HG-20240501-S-E32	HG	09:31	S	SKIP	0.000	-	-	-
