# E6 EXTRACTION companion — see provenance/port_m2/E6_EXTRACTION.md and design/TEACHER_FEATURES_V1.md
# target = panel_score.outcome(rep_cid)['winner_close'] (D-021)
scope	cue	n	winners	win_rate	base_rate	lift	p_binom	n_take	take_wins	take_prec	take_usd	take_mean_usd	n_take_loss	n_take_walled	n_skipped_winners	lift_20240118	lift_20240320	lift_20240416	lift_20240419	lift_20240422	lift_20240423
BLIND	phase_open	299	34	0.11371	0.07146	1.591	6.910e-03	9	2	0.2222	2923.75	324.86	7	4	32	0.901	0.877	1.689	1.579	0.970	2.766
BLIND	capacity_room	921	112	0.12161	0.07146	1.702	5.970e-08	19	4	0.2105	8023.75	422.30	15	7	108	1.148	1.634	0.836	2.447	1.106	1.987
BLIND	capacity_big	401	64	0.15960	0.07146	2.233	2.302e-09	7	2	0.2857	5296.25	756.61	5	2	62	0.535	1.579	2.038	2.462	1.104	3.692
BLIND	capacity_spent	1304	47	0.03604	0.07146	0.504	8.638e-08	3	0	0.0000	-1740.00	-580.00	3	3	47	0.608	0.273	1.385	0.366	0.908	0.000
BLIND	phase_open_reset	288	34	0.11806	0.07146	1.652	3.987e-03	9	2	0.2222	2923.75	324.86	7	4	32	0.901	0.958	1.689	1.777	0.970	2.766
BLIND	runway_ok	2085	159	0.07626	0.07146	1.067	3.950e-01	22	4	0.1818	6283.75	285.62	18	10	155	1.064	1.061	1.023	1.070	1.071	1.059
BLIND	level_at_price	636	38	0.05975	0.07146	0.836	2.810e-01	9	2	0.2222	2717.50	301.94	7	3	36	0.638	1.008	0.730	0.724	0.789	1.142
BLIND	level_near	1843	128	0.06945	0.07146	0.972	7.861e-01	21	3	0.1429	3738.75	178.04	18	10	125	1.096	1.075	0.946	0.918	0.991	1.038
BLIND	level_tested_held	1589	100	0.06293	0.07146	0.881	2.052e-01	18	2	0.1111	1372.50	76.25	16	10	98	1.214	1.054	0.661	0.792	1.013	0.787
BLIND	fresh_extreme	536	46	0.08582	0.07146	1.201	2.076e-01	21	3	0.1429	4413.75	210.18	18	10	43	0.389	0.695	1.145	1.053	1.208	1.441
BLIND	stale_extreme	914	51	0.05580	0.07146	0.781	7.177e-02	0	0	.	0.00	.	0	0	51	1.560	1.191	0.999	0.507	1.196	0.240
BLIND	flow_agree_5m	1209	88	0.07279	0.07146	1.019	8.234e-01	19	3	0.1579	6298.75	331.51	16	8	85	1.239	1.077	0.836	1.054	1.039	0.961
BLIND	flow_against_5m	457	30	0.06565	0.07146	0.919	7.162e-01	0	0	.	0.00	.	0	0	30	0.573	0.718	1.295	0.859	1.032	0.743
BLIND	one_sided_flow	674	48	0.07122	0.07146	0.997	1.000e+00	8	1	0.1250	641.25	80.16	7	4	47	1.947	1.163	1.288	0.515	1.296	1.143
BLIND	flow_strong	169	11	0.06509	0.07146	0.911	8.814e-01	5	1	0.2000	1625.00	325.00	4	2	10	1.159	1.267	0.362	0.000	1.425	1.043
BLIND	flow_flip	322	22	0.06832	0.07146	0.956	9.140e-01	3	1	0.3333	-15.00	-5.00	2	2	21	0.676	1.271	0.896	1.071	0.828	0.980
BLIND	fuel_trapped	805	49	0.06087	0.07146	0.852	2.733e-01	16	2	0.1250	1520.00	95.00	14	9	47	1.028	0.545	0.769	0.588	1.123	0.728
BLIND	event_burst	16	2	0.12500	0.07146	1.749	3.186e-01	0	0	.	0.00	.	0	0	2	4.056	0.000	2.290	0.000	1.976	0.000
BLIND	tmz_burst	467	30	0.06424	0.07146	0.899	6.527e-01	8	1	0.1250	703.75	87.97	7	5	29	1.545	0.839	1.604	0.851	1.139	0.669
BLIND	wide_spread	764	73	0.09555	0.07146	1.337	1.369e-02	2	1	0.5000	940.00	470.00	1	1	72	1.296	0.729	1.300	1.421	1.287	1.323
BLIND	expanding	839	39	0.04648	0.07146	0.650	3.860e-03	3	0	0.0000	-1740.00	-580.00	3	3	39	0.000	0.193	3.064	0.521	1.010	0.000
BLIND	poc_magnet	788	49	0.06218	0.07146	0.870	3.335e-01	3	1	0.3333	1622.50	540.83	2	2	48	2.602	1.170	0.978	0.704	1.108	0.705
BLIND	refill_book	913	72	0.07886	0.07146	1.104	3.687e-01	12	2	0.1667	733.75	61.15	10	7	70	1.243	1.384	0.827	1.449	0.801	1.133
BLIND	cov_low	357	43	0.12045	0.07146	1.686	9.040e-04	9	2	0.2222	6430.00	714.44	7	2	41	0.299	1.424	2.018	1.525	0.354	3.429
BLIND	NAMED_TRIAD	98	10	0.10204	0.07146	1.428	2.363e-01	5	0	0.0000	-581.25	-116.25	5	2	10	1.622	2.279	2.228	1.203	1.175	1.987
BLIND	NAMED_TRIAD_soft	256	30	0.11719	0.07146	1.640	7.289e-03	7	0	0.0000	-1903.75	-271.96	7	4	30	2.343	1.953	0.962	1.421	1.314	2.283
BLIND	SEAT_LIVE	524	98	0.18702	0.07146	2.617	2.922e-18	11	4	0.3636	6538.75	594.43	7	4	94	2.159	1.953	1.896	3.019	1.562	3.864
BLIND	SEAT_DEAD_TIME	313	1	0.00319	0.07146	0.045	3.910e-09	0	0	.	0.00	.	0	0	1	0.000	0.000	0.618	0.000	0.104	0.000
BLIND	PHASE_SPENT	1207	47	0.03894	0.07146	0.545	2.471e-06	3	0	0.0000	-1740.00	-580.00	3	3	47	0.721	0.129	1.478	0.406	0.955	0.000
BLIND	COV_SWEET_20_60	512	73	0.14258	0.07146	1.995	2.357e-08	10	3	0.3000	5656.25	565.62	7	4	70	0.885	1.818	1.293	2.128	1.333	2.898
BLIND	LEVEL_VIRGIN	234	28	0.11966	0.07146	1.674	7.246e-03	4	2	0.5000	4911.25	1227.81	2	0	26	0.000	1.158	3.471	2.070	1.028	2.268
STUDY	phase_open	298	21	0.07047	0.05994	1.176	4.623e-01	4	0	0.0000	1536.25	384.06	4	0	21	0.901	0.877	1.689	1.579	0.970	2.766
STUDY	capacity_room	1322	92	0.06959	0.05994	1.161	1.471e-01	16	1	0.0625	526.25	32.89	15	6	91	1.148	1.634	0.836	2.447	1.106	1.987
STUDY	capacity_big	339	30	0.08850	0.05994	1.476	3.815e-02	3	0	0.0000	328.75	109.58	3	1	30	0.535	1.579	2.038	2.462	1.104	3.692
STUDY	capacity_spent	680	28	0.04118	0.05994	0.687	4.278e-02	4	0	0.0000	-2488.75	-622.19	4	2	28	0.608	0.273	1.385	0.366	0.908	0.000
STUDY	phase_open_reset	290	21	0.07241	0.05994	1.208	3.845e-01	4	0	0.0000	1536.25	384.06	4	0	21	0.901	0.958	1.689	1.777	0.970	2.766
STUDY	runway_ok	1895	119	0.06280	0.05994	1.048	5.944e-01	20	1	0.0500	-1962.50	-98.12	19	8	118	1.064	1.061	1.023	1.070	1.071	1.059
STUDY	level_at_price	731	39	0.05335	0.05994	0.890	5.325e-01	11	1	0.0909	145.00	13.18	10	4	38	0.638	1.008	0.730	0.724	0.789	1.142
STUDY	level_near	1807	113	0.06253	0.05994	1.043	6.203e-01	19	1	0.0526	-2857.50	-150.39	18	8	112	1.096	1.075	0.946	0.918	0.991	1.038
STUDY	level_tested_held	1530	88	0.05752	0.05994	0.960	7.465e-01	17	1	0.0588	-3522.50	-207.21	16	7	87	1.214	1.054	0.661	0.792	1.013	0.787
STUDY	fresh_extreme	422	20	0.04739	0.05994	0.791	3.061e-01	17	0	0.0000	-2778.75	-163.46	17	7	20	0.389	0.695	1.145	1.053	1.208	1.441
STUDY	stale_extreme	871	62	0.07118	0.05994	1.188	1.743e-01	0	0	.	0.00	.	0	0	62	1.560	1.191	0.999	0.507	1.196	0.240
STUDY	flow_agree_5m	1107	69	0.06233	0.05994	1.040	7.042e-01	16	1	0.0625	-2873.75	-179.61	15	8	68	1.239	1.077	0.836	1.054	1.039	0.961
STUDY	flow_against_5m	376	21	0.05585	0.05994	0.932	8.282e-01	1	0	0.0000	632.50	632.50	1	0	21	0.573	0.718	1.295	0.859	1.032	0.743
STUDY	one_sided_flow	637	53	0.08320	0.05994	1.388	1.896e-02	5	1	0.2000	1125.00	225.00	4	2	52	1.947	1.163	1.288	0.515	1.296	1.143
STUDY	flow_strong	173	12	0.06936	0.05994	1.157	5.240e-01	3	1	0.3333	2410.00	803.33	2	1	11	1.159	1.267	0.362	0.000	1.425	1.043
STUDY	flow_flip	292	18	0.06164	0.05994	1.028	9.016e-01	3	0	0.0000	278.75	92.92	3	0	18	0.676	1.271	0.896	1.071	0.828	0.980
STUDY	fuel_trapped	653	28	0.04288	0.05994	0.715	6.930e-02	17	1	0.0588	-2272.50	-133.68	16	7	27	1.028	0.545	0.769	0.588	1.123	0.728
STUDY	event_burst	20	2	0.10000	0.05994	1.668	3.391e-01	0	0	.	0.00	.	0	0	2	4.056	0.000	2.290	0.000	1.976	0.000
STUDY	tmz_burst	379	29	0.07652	0.05994	1.277	1.924e-01	7	0	0.0000	-272.50	-38.93	7	2	29	1.545	0.839	1.604	0.851	1.139	0.669
STUDY	wide_spread	602	37	0.06146	0.05994	1.025	8.635e-01	2	0	0.0000	-835.00	-417.50	2	1	37	1.296	0.729	1.300	1.421	1.287	1.323
STUDY	expanding	227	13	0.05727	0.05994	0.955	1.000e+00	4	0	0.0000	-2488.75	-622.19	4	2	13	0.000	0.193	3.064	0.521	1.010	0.000
STUDY	poc_magnet	641	52	0.08112	0.05994	1.353	2.999e-02	1	0	0.0000	363.75	363.75	1	0	52	2.602	1.170	0.978	0.704	1.108	0.705
STUDY	refill_book	840	60	0.07143	0.05994	1.192	1.667e-01	14	1	0.0714	-2363.75	-168.84	13	5	59	1.243	1.384	0.827	1.449	0.801	1.133
STUDY	cov_low	445	35	0.07865	0.05994	1.312	1.088e-01	7	0	0.0000	427.50	61.07	7	2	35	0.299	1.424	2.018	1.525	0.354	3.429
STUDY	NAMED_TRIAD	99	13	0.13131	0.05994	2.191	8.474e-03	1	0	0.0000	-355.00	-355.00	1	0	13	1.622	2.279	2.228	1.203	1.175	1.987
STUDY	NAMED_TRIAD_soft	381	38	0.09974	0.05994	1.664	2.317e-03	5	1	0.2000	1125.00	225.00	4	2	37	2.343	1.953	0.962	1.421	1.314	2.283
STUDY	SEAT_LIVE	502	58	0.11554	0.05994	1.928	2.911e-06	3	1	0.3333	1460.00	486.67	2	1	57	2.159	1.953	1.896	3.019	1.562	3.864
STUDY	SEAT_DEAD_TIME	270	3	0.01111	0.05994	0.185	9.652e-05	0	0	.	0.00	.	0	0	3	0.000	0.000	0.618	0.000	0.104	0.000
STUDY	PHASE_SPENT	534	23	0.04307	0.05994	0.719	1.201e-01	4	0	0.0000	-2488.75	-622.19	4	2	23	0.721	0.129	1.478	0.406	0.955	0.000
STUDY	COV_SWEET_20_60	695	53	0.07626	0.05994	1.272	7.807e-02	9	1	0.1111	261.25	29.03	8	5	52	0.885	1.818	1.293	2.128	1.333	2.898
STUDY	LEVEL_VIRGIN	258	26	0.10078	0.05994	1.681	1.173e-02	2	0	0.0000	665.00	332.50	2	1	26	0.000	1.158	3.471	2.070	1.028	2.268
ALL	phase_open	597	55	0.09213	0.06600	1.396	1.319e-02	13	2	0.1538	4460.00	343.08	11	4	53	0.901	0.877	1.689	1.579	0.970	2.766
ALL	capacity_room	2243	204	0.09095	0.06600	1.378	6.198e-06	35	5	0.1429	8550.00	244.29	30	13	199	1.148	1.634	0.836	2.447	1.106	1.987
ALL	capacity_big	740	94	0.12703	0.06600	1.925	1.900e-09	10	2	0.2000	5625.00	562.50	8	3	92	0.535	1.579	2.038	2.462	1.104	3.692
ALL	capacity_spent	1984	75	0.03780	0.06600	0.573	6.593e-08	7	0	0.0000	-4228.75	-604.11	7	5	75	0.608	0.273	1.385	0.366	0.908	0.000
ALL	phase_open_reset	578	55	0.09516	0.06600	1.442	7.129e-03	13	2	0.1538	4460.00	343.08	11	4	53	0.901	0.958	1.689	1.777	0.970	2.766
ALL	runway_ok	3980	278	0.06985	0.06600	1.058	3.224e-01	42	5	0.1190	4321.25	102.89	37	18	273	1.064	1.061	1.023	1.070	1.071	1.059
ALL	level_at_price	1367	77	0.05633	0.06600	0.853	1.567e-01	20	3	0.1500	2862.50	143.12	17	7	74	0.638	1.008	0.730	0.724	0.789	1.142
ALL	level_near	3650	241	0.06603	0.06600	1.000	9.734e-01	40	4	0.1000	881.25	22.03	36	18	237	1.096	1.075	0.946	0.918	0.991	1.038
ALL	level_tested_held	3119	188	0.06028	0.06600	0.913	2.069e-01	35	3	0.0857	-2150.00	-61.43	32	17	185	1.214	1.054	0.661	0.792	1.013	0.787
ALL	fresh_extreme	958	66	0.06889	0.06600	1.044	6.962e-01	38	3	0.0789	1635.00	43.03	35	17	63	0.389	0.695	1.145	1.053	1.208	1.441
ALL	stale_extreme	1785	113	0.06331	0.06600	0.959	7.028e-01	0	0	.	0.00	.	0	0	113	1.560	1.191	0.999	0.507	1.196	0.240
ALL	flow_agree_5m	2316	157	0.06779	0.06600	1.027	7.066e-01	35	4	0.1143	3425.00	97.86	31	16	153	1.239	1.077	0.836	1.054	1.039	0.961
ALL	flow_against_5m	833	51	0.06122	0.06600	0.928	6.254e-01	1	0	0.0000	632.50	632.50	1	0	51	0.573	0.718	1.295	0.859	1.032	0.743
ALL	one_sided_flow	1311	101	0.07704	0.06600	1.167	1.068e-01	13	2	0.1538	1766.25	135.87	11	6	99	1.947	1.163	1.288	0.515	1.296	1.143
ALL	flow_strong	342	23	0.06725	0.06600	1.019	9.131e-01	8	2	0.2500	4035.00	504.38	6	3	21	1.159	1.267	0.362	0.000	1.425	1.043
ALL	flow_flip	614	40	0.06515	0.06600	0.987	1.000e+00	6	1	0.1667	263.75	43.96	5	2	39	0.676	1.271	0.896	1.071	0.828	0.980
ALL	fuel_trapped	1458	77	0.05281	0.06600	0.800	4.479e-02	33	3	0.0909	-752.50	-22.80	30	16	74	1.028	0.545	0.769	0.588	1.123	0.728
ALL	event_burst	36	4	0.11111	0.06600	1.683	2.973e-01	0	0	.	0.00	.	0	0	4	4.056	0.000	2.290	0.000	1.976	0.000
ALL	tmz_burst	846	59	0.06974	0.06600	1.057	6.282e-01	15	1	0.0667	431.25	28.75	14	7	58	1.545	0.839	1.604	0.851	1.139	0.669
ALL	wide_spread	1366	110	0.08053	0.06600	1.220	3.347e-02	4	1	0.2500	105.00	26.25	3	2	109	1.296	0.729	1.300	1.421	1.287	1.323
ALL	expanding	1066	52	0.04878	0.06600	0.739	2.230e-02	7	0	0.0000	-4228.75	-604.11	7	5	52	0.000	0.193	3.064	0.521	1.010	0.000
ALL	poc_magnet	1429	101	0.07068	0.06600	1.071	4.560e-01	4	1	0.2500	1986.25	496.56	3	2	100	2.602	1.170	0.978	0.704	1.108	0.705
ALL	refill_book	1753	132	0.07530	0.06600	1.141	1.235e-01	26	3	0.1154	-1630.00	-62.69	23	12	129	1.243	1.384	0.827	1.449	0.801	1.133
ALL	cov_low	802	78	0.09726	0.06600	1.473	7.861e-04	16	2	0.1250	6857.50	428.59	14	4	76	0.299	1.424	2.018	1.525	0.354	3.429
ALL	NAMED_TRIAD	197	23	0.11675	0.06600	1.769	8.797e-03	6	0	0.0000	-936.25	-156.04	6	2	23	1.622	2.279	2.228	1.203	1.175	1.987
ALL	NAMED_TRIAD_soft	637	68	0.10675	0.06600	1.617	1.156e-04	12	1	0.0833	-778.75	-64.90	11	6	67	2.343	1.953	0.962	1.421	1.314	2.283
ALL	SEAT_LIVE	1026	156	0.15205	0.06600	2.304	6.253e-22	14	5	0.3571	7998.75	571.34	9	5	151	2.159	1.953	1.896	3.019	1.562	3.864
ALL	SEAT_DEAD_TIME	583	4	0.00686	0.06600	0.104	1.253e-12	0	0	.	0.00	.	0	0	4	0.000	0.000	0.618	0.000	0.104	0.000
ALL	PHASE_SPENT	1741	70	0.04021	0.06600	0.609	4.276e-06	7	0	0.0000	-4228.75	-604.11	7	5	70	0.721	0.129	1.478	0.406	0.955	0.000
ALL	COV_SWEET_20_60	1207	126	0.10439	0.06600	1.582	5.426e-07	19	4	0.2105	5917.50	311.45	15	9	122	0.885	1.818	1.293	2.128	1.333	2.898
ALL	LEVEL_VIRGIN	492	54	0.10976	0.06600	1.663	2.625e-04	6	2	0.3333	5576.25	929.38	4	1	52	0.000	1.158	3.471	2.070	1.028	2.268
