# E6 EXTRACTION companion — see provenance/port_m2/E6_EXTRACTION.md and design/TEACHER_FEATURES_V1.md
# target = panel_score.outcome(rep_cid)['winner_close'] (D-021)
stratum	date8	block	episode_id	asset	side	sec	phase	cls	call	src	p	reader_stated_reason	cert_close_usd	mae	walled	winner	oracle_seat	cues_present	unspent_phase_usd	cov_phase	runway_phase	near_d	min_tc_near	extreme_age	f5m_sflow	fph_sflow	n_ev_60	rv60	rv1800	trap_ab	trap_bl	spread_dec	ladder_pos
BLIND_TAKE	20240419	BLIND	HG-20240419-L-E05	HG	L	02:25	TOKYO	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	538.75	668.75	0	0	0	capacity_big,level_at_price,level_tested_held,fresh_extreme,fuel_trapped	1007	31.5	23658	6.3	1	366	13	-395	178	33.1	159.1	1551	339	12.5	below_q10
BLIND_TAKE	20240419	BLIND	SI-20240419-L-E02	SI	L	02:31	TOKYO	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	1495.00	25.00	0	1	0	level_at_price,level_tested_held,fresh_extreme,fuel_trapped	778.8	47.8	23281	6.3	1	669	33	-6	374	66.1	344.6	1147	493	25	below_q10
BLIND_TAKE	20240419	BLIND	HG-20240419-L-E65	HG	L	09:00	LONDON	OPEN-DYNAMICS	TAKE	OVERRIDE	0.200	London/NY phase-open reset at 09:00 — the capacity resets to $970 unspent with 4h of phase, price is 6c off the session VWAP, trades/min z +5.2, and both the 5-minute and phase signed flow (+47/+47) run with the long. This is the one structure that paid on all three study days	351.25	475.00	0	0	0	phase_open_reset,level_at_price,one_sided_flow,fresh_extreme,tmz_burst,NAMED_TRIAD	969.9	11.9	14361	-6.6	0	35	47	47	1028	93.5	342.8	8	101	37.5	below_q10
BLIND_TAKE	20240419	BLIND	NKD-20240419-S-E79	NKD	S	10:04	LONDON	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	-605.00	1350.00	1	0	0	level_at_price,level_tested_held,fresh_extreme,fuel_trapped,expanding,capacity_spent	-112.7	111.9	10521	-3.5	1	162	-13	17	280	59.9	453.6	37	791	25	at_or_above_q50
BLIND_TAKE	20240419	BLIND	HG-20240419-S-E87	HG	S	13:09	NY	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	-930.00	12.50	1	0	0	phase_open_reset,capacity_big,level_at_price,level_tested_held,one_sided_flow,fresh_extreme,fuel_trapped,tmz_burst,NAMED_TRIAD	1582	7.3	35442	-9	8	411	-16	-36	588	69.9	271.7	34	277	25	below_q10
BLIND_TAKE	20240419	BLIND	SI-20240419-S-E79	SI	S	13:12	NY	REVERSAL-CONFIRMATION	TAKE	OVERRIDE	0.180	NY-open capacity: $2,487 unspent and ~9h of runway, price 6c from a level, 5-min flow -85 and phase -102 both with the short, and the trapped map is 1,063 above vs 0 below	-930.00	662.50	1	0	0	phase_open_reset,capacity_big,level_at_price,level_tested_held,one_sided_flow,flow_strong,fresh_extreme,poc_magnet,tmz_burst,wide_spread,NAMED_TRIAD	2487	19.4	35230	-6.2	1	760	-85	-102	2092	84.8	455	1063	0	50	below_q10
BLIND_TAKE	20240419	BLIND	NKD-20240419-S-E106	NKD	S	15:14	NY	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	2057.50	325.00	0	0	0	capacity_big,level_tested_held,fresh_extreme,fuel_trapped	1464	37.1	27914	48	4	588	-3	127	280	55.9	363.6	253	555	25	below_q10
BLIND_TAKE	20240422	BLIND	HG-20240422-S-E16	HG	S	03:13	TOKYO	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	1163.75	362.50	0	0	0	level_tested_held,fresh_extreme,fuel_trapped	546.3	69.2	20767	-54.8	1	20	-21	58	1386	82.7	457	30	6876	25	at_or_above_q10
BLIND_TAKE	20240422	BLIND	SI-20240422-L-E14	SI	L	03:50	TOKYO	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	-930.00	25.00	1	0	0	level_tested_held,flow_flip,fresh_extreme,fuel_trapped,expanding,capacity_spent	-54.3	102.6	18556	37.5	1	886	-1	-575	748	86.6	503.4	6230	1405	25	at_or_above_q50
BLIND_TAKE	20240422	BLIND	HG-20240422-L-E59	HG	L	09:00	LONDON	OPEN-DYNAMICS	TAKE	OVERRIDE	0.200	09:00 phase-open reset: capacity resets to $836 unspent, price sits ON the level (6c), and the 5-minute flow +149 with the phase +81 both run with the long — the same three-part structure that paid on study days 1 and 2	782.50	350.00	0	0	0	phase_open_reset,level_at_price,level_tested_held,one_sided_flow,flow_strong,fresh_extreme,tmz_burst,NAMED_TRIAD	836.3	15.7	14360	-6.3	6	39	149	81	1124	83.6	434.9	63	187	12.5	below_q10
