# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# SUB-SECOND REALISM from the cached MBP-1 event stream.  slip_Lms = (far touch at decision_second + L milliseconds - the MID the certificate assumes) x side x multiplier: the dollars a marketable 1-lot actually gives up, INCLUDING any quote movement while the order is in flight.
# drift_0_to_300ms = how much of that is the quote moving away during the flight, as opposed to the half-spread that was there at the decision second.
# BURST/QUIET split at the median event count in the 2 seconds before the decision second.
# 0 sessions had no cached tape and are excluded (counted, not silently dropped).
asset	bucket	n	spread_ticks_at_dec_mean	n_events_2s_mean	slip_0ms_mean_usd	slip_100ms_mean_usd	slip_200ms_mean_usd	slip_300ms_mean_usd	slip_0ms_p90_usd	slip_100ms_p90_usd	slip_200ms_p90_usd	slip_300ms_p90_usd	drift_0_to_300ms_usd	touch_thin_300ms_rate
HG	ALL	1943	1.577	18.9	9.86	9.74	9.64	9.53	12.5	12.5	12.5	12.5	-0.32	0.0
HG	BURST	963	1.556	36.4	9.72	9.68	9.36	9.22	12.5	12.5	12.5	12.5	-0.51	0.0
HG	QUIET	980	1.598	1.7	9.99	9.8	9.91	9.85	12.5	12.5	12.5	12.5	-0.14	0.0
NKD	ALL	1942	1.89	8.9	23.62	23.47	23.17	23.02	37.5	37.5	37.5	37.5	-0.61	0.0
NKD	BURST	941	1.701	18.3	21.27	20.87	20.52	20.47	25.0	25.0	37.5	37.5	-0.8	0.0
NKD	QUIET	1001	2.067	0.1	25.84	25.91	25.66	25.41	37.5	37.5	37.5	37.5	-0.42	0.0
SI	ALL	1946	1.319	27.4	16.49	16.49	16.44	16.12	25.0	25.0	25.0	25.0	-0.37	0.0
SI	BURST	960	1.321	53.4	16.51	16.64	16.46	15.89	25.0	25.0	25.0	25.0	-0.63	0.0
SI	QUIET	986	1.317	2.0	16.47	16.34	16.42	16.34	25.0	25.0	25.0	25.0	-0.13	0.0
ALL	ALL	5831	1.595	18.4	16.65	16.56	16.41	16.22	25.0	25.0	25.0	25.0	-0.43	0.0
ALL	BURST	2888	1.5	36.1	15.18	15.07	14.81	14.56	25.0	25.0	25.0	25.0	-0.62	0.0
ALL	QUIET	2943	1.688	1.0	18.1	18.03	17.99	17.85	25.0	25.0	25.0	25.0	-0.25	0.0
