# census 1 — the ambiguity veto: two-sidedness of D-021 winners (PORT-M2-GOALPATH-V1)
era	asset	n_winners	winner_usd	one_sided_frac_n_K	one_sided_frac_usd_K	one_sided_frac_n_2K	one_sided_frac_usd_2K	wallpair_adjacent_frac_n	wallpair_adjacent_frac_usd	mean_winner_usd	mean_winner_usd_one_sided_K	mean_winner_usd_two_sided_K
E2	SI	4343	8.05257e+06	0.2346	0.2073	0.1103	0.0945	0.8897	0.9055	1854.15	1638.39	1920.29
E2	HG	3185	5.1019e+06	0.4606	0.4401	0.2559	0.2418	0.7441	0.7582	1601.85	1530.6	1662.69
E2	NKD	3722	6.02454e+06	0.3396	0.3324	0.1762	0.1801	0.8238	0.8199	1618.63	1584.07	1636.4
E2	ALL	11250	1.9179e+07	0.3333	0.3085	0.1733	0.1606	0.8267	0.8394	1704.8	1577.91	1768.24
E3	SI	4260	8.06422e+06	0.2505	0.2395	0.1127	0.1057	0.8869	0.894	1893.01	1810.01	1920.75
E3	HG	2785	4.353e+06	0.4359	0.4163	0.205	0.1923	0.795	0.8077	1563.02	1492.8	1617.27
E3	NKD	1884	2.9868e+06	0.2771	0.2605	0.1619	0.1606	0.8381	0.8394	1585.35	1490.59	1621.67
E3	ALL	8929	1.5404e+07	0.3139	0.2935	0.1519	0.1408	0.8479	0.8591	1725.17	1613.14	1776.43
E4	SI	3966	8.00203e+06	0.1868	0.1751	0.0883	0.081	0.9117	0.919	2017.66	1891.31	2046.69
E4	HG	2241	3.29655e+06	0.4105	0.4024	0.2249	0.2195	0.7751	0.7805	1471.02	1442	1491.22
E4	NKD	1808	2.76372e+06	0.3308	0.3138	0.1632	0.149	0.8368	0.851	1528.61	1450.04	1567.44
E4	ALL	8015	1.40623e+07	0.2818	0.2557	0.1434	0.1268	0.8566	0.8732	1754.5	1591.51	1818.46
E5	SI	3676	7.20596e+06	0.176	0.1702	0.0786	0.0716	0.9214	0.9284	1960.27	1895.81	1974.04
E5	HG	1135	1.45511e+06	0.4573	0.4554	0.2485	0.2471	0.7515	0.7529	1282.04	1276.74	1286.5
E5	NKD	2747	4.12373e+06	0.3356	0.3287	0.1769	0.1735	0.8231	0.8265	1501.17	1470.03	1516.91
E5	ALL	7558	1.27848e+07	0.2763	0.2538	0.1399	0.1244	0.8601	0.8756	1691.56	1553.92	1744.1
E6	SI	4647	1.02158e+07	0.2072	0.1747	0.0943	0.0767	0.9057	0.9233	2198.36	1853	2288.63
E6	HG	2202	3.30627e+06	0.3933	0.3874	0.1957	0.1955	0.8038	0.8042	1501.49	1479	1516.06
E6	NKD	3352	5.7022e+06	0.3768	0.3592	0.2058	0.1899	0.7942	0.8101	1701.13	1621.54	1749.25
E6	ALL	10201	1.92242e+07	0.3031	0.266	0.1528	0.1307	0.8471	0.8692	1884.54	1653.71	1984.95
ALL	SI	20892	4.15406e+07	0.2124	0.1929	0.0975	0.0857	0.9025	0.9142	1988.35	1806.01	2037.51
ALL	HG	11548	1.75128e+07	0.4318	0.4184	0.2254	0.217	0.7745	0.7829	1516.53	1469.66	1552.13
ALL	NKD	13513	2.1601e+07	0.3381	0.3264	0.18	0.1747	0.82	0.8253	1598.53	1543.19	1626.8
ALL	ALL	45953	8.06544e+07	0.3045	0.2776	0.1539	0.1381	0.8461	0.8619	1755.15	1600.33	1822.93
