# census 3 — class-mix seat economics (walk-forward selection score, top-3/asset/session) (PORT-M2-GOALPATH-V1)
era	asset	klass	n_candidates	fires_per_session	winner_rate	winner_mean_cert_usd	mean_cert_usd	wall_rate	n_selected	sel_per_session	precision_at_selection	usd_per_take_at_selection	usd_per_session_at_selection
E2	SI	SHOCK-RESOLUTION	52	0.406	0.07692	3176.25	-134.81	0.6923	1	0.008	1	3457.5	27.01
E2	SI	US-CLOCK	2565	20.039	0.12398	1945.71	23.2	0.4838	2	0.016	0.5	188.75	2.95
E2	SI	OPEN-DYNAMICS	1365	10.664	0.11502	1993.57	4.8	0.5399	6	0.047	0.5	601.25	28.18
E2	SI	REVERSAL-CONFIRMATION	52978	413.891	0.06971	1835.05	-20.57	0.48	357	2.789	0.07	151.13	421.5
E2	SI	RECLAIM	2378	18.578	0.07191	1937.4	-72.57	0.5029	18	0.141	0	6.11	0.86
E2	SI	ALL	59338	463.578	0.07319	1854.15	-20.28	0.4826	384	3	0.0781	160.17	480.51
E2	HG	SHOCK-RESOLUTION	24	0.188	0.04167	1107.5	-570.36	0.875	0	0	nan	nan	0
E2	HG	US-CLOCK	1471	11.492	0.08022	1743.57	-112.66	0.4222	0	0	nan	nan	0
E2	HG	OPEN-DYNAMICS	1224	9.562	0.07271	1458.76	-23	0.5074	4	0.031	0	120	3.75
E2	HG	REVERSAL-CONFIRMATION	50927	397.867	0.05502	1606.6	-44.39	0.4084	352	2.75	0.0653	137.17	377.22
E2	HG	RECLAIM	2653	20.727	0.06596	1505.93	-60.92	0.4109	28	0.219	0.0357	48.12	10.53
E2	HG	ALL	56299	439.836	0.05657	1601.85	-46.72	0.4112	384	3	0.0625	130.5	391.49
E2	NKD	SHOCK-RESOLUTION	74	0.578	0.10811	1618.44	34.36	0.5541	0	0	nan	nan	0
E2	NKD	LEVEL-FIRST-TEST	725	5.664	0.06621	1623.13	-89.74	0.5531	9	0.07	0.1111	331.11	23.28
E2	NKD	US-CLOCK	1133	8.852	0.11739	1593.97	-40.11	0.4245	1	0.008	0	657.5	5.14
