# census 4 — the complete economics table: every entry x stop x exit cell, per era (all G1/G2 confirmed extremes, winners AND losers) (PORT-M2-GOALPATH-V1)
era	asset	cell	n_trades	win_rate	usd_per_trade	median_usd	risk_usd_mean	risk_usd_median	risk_usd_p90	r_mult_mean	r_mult_median	r_mult_p90	mae_usd_mean	mae_usd_p90	frac_ge_600	frac_ge_1000	trades_per_session
E2	ALL	HOLD_60|EXT|PHASE	98940	0.2589	-32.15	-223.75	254.68	237.5	387.5	-0.1276	-1.1222	2.412	213.16	362.5	0.1024	0.056	257.656
E2	ALL	HOLD_60|EXT|TRAIL_1.0R	98940	0.3206	-36.38	-105	254.68	237.5	387.5	-0.1566	-0.4625	1.209	132.5	262.5	0.0337	0.0091	257.656
E2	ALL	HOLD_60|EXT|TRAIL_1.5R	98940	0.3295	-30.97	-142.5	254.68	237.5	387.5	-0.1335	-0.6625	1.724	170.51	325	0.0621	0.0228	257.656
E2	ALL	HOLD_60|RECLAIM|PHASE	73477	0.1096	-37.69	-111.25	94.16	75	162.5	-0.4833	-1.44	0.835	92.93	162.5	0.0501	0.028	191.346
E2	ALL	HOLD_60|RECLAIM|TRAIL_1.0R	73477	0.2447	-36.49	-55	94.16	75	162.5	-0.4931	-0.8364	1.075	52.07	112.5	0.0042	0.0008	191.346
E2	ALL	HOLD_60|RECLAIM|TRAIL_1.5R	73477	0.2549	-36.78	-80	94.16	75	162.5	-0.4899	-1.1167	1.575	66.35	137.5	0.0101	0.0026	191.346
E2	ALL	HOLD_60|SWING|PHASE	98566	0.0785	-34.39	-92.5	56.01	50	75	-0.6612	-1.7333	-1.3	59.68	87.5	0.033	0.0186	256.682
E2	ALL	HOLD_60|SWING|TRAIL_1.0R	98566	0.2095	-35.96	-55	56.01	50	75	-0.6914	-1.08	0.933	32.43	68.75	0.0003	0	256.682
E2	ALL	HOLD_60|SWING|TRAIL_1.5R	98566	0.2306	-35.22	-61.25	56.01	50	75	-0.6779	-1.35	1.525	40.82	75	0.0016	0.0002	256.682
E2	ALL	HOLD_180|EXT|PHASE	65065	0.2931	-27.78	-230	299.06	275	462.5	-0.1035	-1.0941	2.272	238.6	425	0.1125	0.0617	169.44
E2	ALL	HOLD_180|EXT|TRAIL_1.0R	65065	0.3341	-32.51	-105	299.06	275	462.5	-0.1292	-0.4222	1.221	152.33	312.5	0.046	0.0148	169.44
E2	ALL	HOLD_180|EXT|TRAIL_1.5R	65065	0.3459	-25.47	-142.5	299.06	275	462.5	-0.1044	-0.5889	1.7	195.59	375	0.0768	0.0328	169.44
E2	ALL	HOLD_180|RECLAIM|PHASE	55212	0.1563	-35.14	-130	137.5	112.5	256.25	-0.3448	-1.3	2.257	126.97	243.75	0.0673	0.0375	143.781
E2	ALL	HOLD_180|RECLAIM|TRAIL_1.0R	55212	0.2643	-36.68	-67.5	137.5	112.5	256.25	-0.3767	-0.6941	1.133	73.17	162.5	0.0116	0.0034	143.781
E2	ALL	HOLD_180|RECLAIM|TRAIL_1.5R	55212	0.277	-33.76	-86.25	137.5	112.5	256.25	-0.3583	-0.9889	1.66	94.52	200	0.0246	0.0089	143.781
E2	ALL	HOLD_180|SWING|PHASE	64889	0.0924	-35.07	-105	65.43	62.5	100	-0.6052	-1.6	-0.88	67.54	112.5	0.0364	0.0203	168.982
E2	ALL	HOLD_180|SWING|TRAIL_1.0R	64889	0.2213	-35.75	-55	65.43	62.5	100	-0.6174	-1.0333	1.039	36.73	75	0.0009	0.0001	168.982
E2	ALL	HOLD_180|SWING|TRAIL_1.5R	64889	0.2393	-35.06	-67.5	65.43	62.5	100	-0.6069	-1.24	1.55	46.74	87.5	0.0034	0.0005	168.982
E2	ALL	HOLD_300|EXT|PHASE	52130	0.3118	-27.67	-230	331.88	300	525	-0.0923	-1.0774	2.15	256.48	462.5	0.1176	0.0647	135.755
