# census 2 — the day-side call at day grain (walk-forward E2..E6, day-clustered CIs, shuffled control); label = which side's D-021 winners carry more $ that day (PORT-M2-GOALPATH-V1)
arm	era	asset	n_days	accuracy	ci_lo	ci_hi	majority_base	shuffled_accuracy	long_base	n_undecided_days	mean_p
AT_TOKYO_CLOSE	E2	SI	118	0.4661	0.3814	0.5593	0.5254	0.4746	0.5254	10	0.4182
AT_TOKYO_CLOSE	E2	HG	97	0.5876	0.4948	0.6907	0.5258	0.4742	0.5258	31	0.4657
AT_TOKYO_CLOSE	E2	NKD	82	0.4756	0.3659	0.5854	0.5366	0.378	0.5366	46	0.4766
AT_TOKYO_CLOSE	E2	ALL	297	0.5084	0.4456	0.57	0.5286	0.4478	0.5286	87	0.4499
AT_TOKYO_CLOSE	E3	SI	104	0.4808	0.3846	0.5769	0.5192	0.4231	0.5192	26	0.4983
AT_TOKYO_CLOSE	E3	HG	90	0.6111	0.5111	0.7111	0.5556	0.4444	0.4444	40	0.5287
AT_TOKYO_CLOSE	E3	NKD	55	0.5091	0.3818	0.6364	0.5091	0.5455	0.4909	75	0.5414
AT_TOKYO_CLOSE	E3	ALL	249	0.5341	0.4722	0.5976	0.5141	0.4578	0.4859	141	0.5188
AT_TOKYO_CLOSE	E4	SI	106	0.5755	0.4811	0.6698	0.5377	0.5472	0.5377	22	0.5377
AT_TOKYO_CLOSE	E4	HG	70	0.4857	0.3714	0.6	0.5571	0.5143	0.5571	58	0.5327
AT_TOKYO_CLOSE	E4	NKD	49	0.6122	0.4694	0.7551	0.6327	0.6122	0.6327	80	0.5485
AT_TOKYO_CLOSE	E4	ALL	225	0.5556	0.4868	0.6255	0.5644	0.5511	0.5644	160	0.5385
AT_TOKYO_CLOSE	E5	SI	100	0.44	0.34	0.54	0.58	0.5	0.42	29	0.5025
AT_TOKYO_CLOSE	E5	HG	35	0.5429	0.3714	0.7143	0.6	0.6286	0.6	94	0.5035
AT_TOKYO_CLOSE	E5	NKD	61	0.4262	0.3115	0.5574	0.541	0.5082	0.459	68	0.5777
AT_TOKYO_CLOSE	E5	ALL	196	0.4541	0.3834	0.5311	0.5357	0.5255	0.4643	191	0.5261
AT_TOKYO_CLOSE	E6	SI	108	0.4722	0.3796	0.5648	0.5185	0.463	0.4815	20	0.5036
AT_TOKYO_CLOSE	E6	HG	56	0.5893	0.4643	0.7143	0.5357	0.4107	0.5357	72	0.4944
AT_TOKYO_CLOSE	E6	NKD	81	0.5309	0.4198	0.642	0.6173	0.5185	0.6173	47	0.5312
AT_TOKYO_CLOSE	E6	ALL	245	0.5184	0.4515	0.583	0.5388	0.4694	0.5388	139	0.5106
AT_SESSION_OPEN	E2	SI	121	0.4628	0.3719	0.5455	0.5207	0.6033	0.5207	7	0.4301
AT_SESSION_OPEN	E2	HG	108	0.5	0.4074	0.5926	0.5	0.5	0.5	20	0.4172
AT_SESSION_OPEN	E2	NKD	108	0.5093	0.4167	0.6111	0.5556	0.4907	0.5556	20	0.4419
AT_SESSION_OPEN	E2	ALL	337	0.4896	0.4298	0.5522	0.5252	0.5341	0.5252	47	0.4297
AT_SESSION_OPEN	E3	SI	111	0.5856	0.4955	0.6757	0.5135	0.5495	0.5135	19	0.4815
AT_SESSION_OPEN	E3	HG	102	0.549	0.451	0.6471	0.5294	0.4412	0.4706	28	0.5292
AT_SESSION_OPEN	E3	NKD	75	0.5333	0.4133	0.6533	0.5067	0.5333	0.5067	55	0.5108
AT_SESSION_OPEN	E3	ALL	288	0.559	0.5	0.6115	0.5035	0.5069	0.4965	102	0.506
AT_SESSION_OPEN	E4	SI	109	0.422	0.3303	0.5138	0.5321	0.5138	0.5321	19	0.4616
AT_SESSION_OPEN	E4	HG	86	0.5233	0.4186	0.6279	0.5233	0.4302	0.5233	42	0.5935
AT_SESSION_OPEN	E4	NKD	73	0.589	0.4791	0.6986	0.6164	0.4795	0.6164	56	0.5472
AT_SESSION_OPEN	E4	ALL	268	0.5	0.4436	0.5583	0.5522	0.4776	0.5522	117	0.5272
AT_SESSION_OPEN	E5	SI	101	0.495	0.3861	0.5941	0.5545	0.4752	0.4455	28	0.4457
AT_SESSION_OPEN	E5	HG	48	0.625	0.4792	0.7708	0.5417	0.4167	0.5417	81	0.5003
AT_SESSION_OPEN	E5	NKD	100	0.46	0.36	0.56	0.54	0.53	0.46	29	0.5106
AT_SESSION_OPEN	E5	ALL	249	0.506	0.4427	0.5658	0.5301	0.4859	0.4699	138	0.4823
AT_SESSION_OPEN	E6	SI	113	0.3805	0.292	0.469	0.5398	0.5133	0.4602	15	0.5352
AT_SESSION_OPEN	E6	HG	70	0.4571	0.3429	0.5714	0.5	0.5857	0.5	58	0.5427
AT_SESSION_OPEN	E6	NKD	111	0.5045	0.4144	0.5946	0.5856	0.4144	0.5856	17	0.5218
AT_SESSION_OPEN	E6	ALL	294	0.4456	0.3925	0.4983	0.517	0.4932	0.517	90	0.5319
