# census 3 — the seat-allocation table: 3 seats/day allocated by TRAIN-block class economics vs the status quo, same selection skill (PORT-M2-GOALPATH-V1)
era	policy	classes	n_sessions	n_seats	seats_per_session	usd_per_session	ci_lo	ci_hi	usd_per_trade	status_quo_usd_per_session	delta_vs_status_quo
E2	TOP2_CLASSES	UNCLASSED,RECLAIM	379	624	1.646	-49.85	-155.33	61.61	-30.28	150.42	-200.27
E2	TOP3_CLASSES	UNCLASSED,RECLAIM,REVERSAL-CONFIRMATION	384	531	1.383	160.78	82.35	237.02	116.27	150.42	10.36
E2	TOP4_CLASSES	UNCLASSED,RECLAIM,REVERSAL-CONFIRMATION,OPEN-DYNAMICS	384	531	1.383	153.42	72.78	230.99	110.95	150.42	3
E2	TOP5_CLASSES	UNCLASSED,RECLAIM,REVERSAL-CONFIRMATION,OPEN-DYNAMICS,US-CLOCK	384	531	1.383	153.16	72.65	230.73	110.76	150.42	2.74
E2	TOP6_CLASSES	UNCLASSED,RECLAIM,REVERSAL-CONFIRMATION,OPEN-DYNAMICS,US-CLOCK,LEVEL-FIRST-TEST	384	529	1.378	150.42	71.26	228.16	109.19	150.42	0
E2	TOP7_CLASSES	UNCLASSED,RECLAIM,REVERSAL-CONFIRMATION,OPEN-DYNAMICS,US-CLOCK,LEVEL-FIRST-TEST,SHOCK-RESOLUTION	384	529	1.378	150.42	71.26	228.16	109.19	150.42	0
E3	TOP1_CLASSES	REVERSAL-CONFIRMATION	390	512	1.313	37.47	-39.98	117.88	28.54	35.15	2.32
E3	TOP2_CLASSES	REVERSAL-CONFIRMATION,RECLAIM	390	513	1.315	28.95	-50.43	111.54	22.01	35.15	-6.2
E3	TOP3_CLASSES	REVERSAL-CONFIRMATION,RECLAIM,UNCLASSED	390	513	1.315	28.95	-50.43	111.54	22.01	35.15	-6.2
E3	TOP4_CLASSES	REVERSAL-CONFIRMATION,RECLAIM,UNCLASSED,OPEN-DYNAMICS	390	512	1.313	26.75	-54.08	108.71	20.38	35.15	-8.4
E3	TOP5_CLASSES	REVERSAL-CONFIRMATION,RECLAIM,UNCLASSED,OPEN-DYNAMICS,US-CLOCK	390	513	1.315	36.48	-44.47	115.93	27.74	35.15	1.33
E3	TOP6_CLASSES	REVERSAL-CONFIRMATION,RECLAIM,UNCLASSED,OPEN-DYNAMICS,US-CLOCK,LEVEL-FIRST-TEST	390	512	1.313	35.15	-45.68	114.26	26.77	35.15	0
E3	TOP7_CLASSES	REVERSAL-CONFIRMATION,RECLAIM,UNCLASSED,OPEN-DYNAMICS,US-CLOCK,LEVEL-FIRST-TEST,SHOCK-RESOLUTION	390	512	1.313	35.15	-45.68	114.26	26.77	35.15	0
E4	TOP1_CLASSES	REVERSAL-CONFIRMATION	385	523	1.358	61.45	5.71	116.2	45.24	63.61	-2.15
E4	TOP2_CLASSES	REVERSAL-CONFIRMATION,RECLAIM	385	519	1.348	65.39	9.03	119.41	48.5	63.61	1.78
E4	TOP3_CLASSES	REVERSAL-CONFIRMATION,RECLAIM,UNCLASSED	385	519	1.348	65.39	9.03	119.41	48.5	63.61	1.78
E4	TOP4_CLASSES	REVERSAL-CONFIRMATION,RECLAIM,UNCLASSED,OPEN-DYNAMICS	385	520	1.351	65.93	9.59	120.22	48.81	63.61	2.32
E4	TOP5_CLASSES	REVERSAL-CONFIRMATION,RECLAIM,UNCLASSED,OPEN-DYNAMICS,US-CLOCK	385	520	1.351	63.13	7.01	117.62	46.74	63.61	-0.47
E4	TOP6_CLASSES	REVERSAL-CONFIRMATION,RECLAIM,UNCLASSED,OPEN-DYNAMICS,US-CLOCK,LEVEL-FIRST-TEST	385	521	1.353	63.61	7.4	118.11	47	63.61	0
E4	TOP7_CLASSES	REVERSAL-CONFIRMATION,RECLAIM,UNCLASSED,OPEN-DYNAMICS,US-CLOCK,LEVEL-FIRST-TEST,SHOCK-RESOLUTION	385	521	1.353	63.61	7.4	118.11	47	63.61	0
E5	TOP1_CLASSES	REVERSAL-CONFIRMATION	387	511	1.32	41.28	-13.95	95.55	31.26	37.66	3.62
E5	TOP2_CLASSES	REVERSAL-CONFIRMATION,RECLAIM	387	507	1.31	40.91	-14.64	95.52	31.23	37.66	3.25
E5	TOP3_CLASSES	REVERSAL-CONFIRMATION,RECLAIM,UNCLASSED	387	507	1.31	40.91	-14.64	95.52	31.23	37.66	3.25
E5	TOP4_CLASSES	REVERSAL-CONFIRMATION,RECLAIM,UNCLASSED,OPEN-DYNAMICS	387	507	1.31	38.1	-17.34	93.23	29.09	37.66	0.44
E5	TOP5_CLASSES	REVERSAL-CONFIRMATION,RECLAIM,UNCLASSED,OPEN-DYNAMICS,US-CLOCK	387	505	1.305	37.82	-19.82	93.16	28.99	37.66	0.16
E5	TOP6_CLASSES	REVERSAL-CONFIRMATION,RECLAIM,UNCLASSED,OPEN-DYNAMICS,US-CLOCK,LEVEL-FIRST-TEST	387	505	1.305	37.66	-19.96	92.84	28.86	37.66	0
E5	TOP7_CLASSES	REVERSAL-CONFIRMATION,RECLAIM,UNCLASSED,OPEN-DYNAMICS,US-CLOCK,LEVEL-FIRST-TEST,SHOCK-RESOLUTION	387	505	1.305	37.66	-19.96	92.84	28.86	37.66	0
E6	TOP1_CLASSES	OPEN-DYNAMICS	383	647	1.689	-11.24	-133.06	115.71	-6.65	53.39	-64.62
E6	TOP2_CLASSES	OPEN-DYNAMICS,REVERSAL-CONFIRMATION	384	515	1.341	60.4	-22.16	143.75	45.04	53.39	7.01
E6	TOP3_CLASSES	OPEN-DYNAMICS,REVERSAL-CONFIRMATION,US-CLOCK	384	516	1.344	49.04	-33.83	131.99	36.5	53.39	-4.34
E6	TOP4_CLASSES	OPEN-DYNAMICS,REVERSAL-CONFIRMATION,US-CLOCK,RECLAIM	384	511	1.331	53.44	-27.3	138.08	40.16	53.39	0.05
E6	TOP5_CLASSES	OPEN-DYNAMICS,REVERSAL-CONFIRMATION,US-CLOCK,RECLAIM,UNCLASSED	384	511	1.331	53.44	-27.3	138.08	40.16	53.39	0.05
E6	TOP6_CLASSES	OPEN-DYNAMICS,REVERSAL-CONFIRMATION,US-CLOCK,RECLAIM,UNCLASSED,LEVEL-FIRST-TEST	384	510	1.328	53.39	-27.41	138.03	40.2	53.39	0
E6	TOP7_CLASSES	OPEN-DYNAMICS,REVERSAL-CONFIRMATION,US-CLOCK,RECLAIM,UNCLASSED,LEVEL-FIRST-TEST,SHOCK-RESOLUTION	384	510	1.328	53.39	-27.41	138.03	40.2	53.39	0
