# census 4 verdict — the stacked configurations (cell x filter x selection), one-position-per-asset replay, day-clustered CIs (PORT-M2-GOALPATH-V1)
era	cell	filter	selection	n_sessions	n_seats	seats_per_session	usd_per_session	ci_lo	ci_hi	usd_per_trade	risk_usd_median	win_rate	mdd_mean	vs_D048_bar
E2	LEG_0.75|RECLAIM|TRAIL_1.0R	NONE	ALL	258	397	1.539	-70.53	-221.57	69.29	-45.84	1675	0.4685	528.66	-0.035
E2	LEG_0.75|RECLAIM|TRAIL_1.0R	NONE	MODEL_TOP3	258	312	1.209	-3.07	-126.22	118.01	-2.54	1675	0.5032	383.02	-0.002
E2	LEG_0.75|RECLAIM|TRAIL_1.0R	VETO_K	ALL	213	286	1.343	-86.76	-221.52	45.51	-64.62	1637.5	0.458	460.01	-0.043
E2	LEG_0.75|RECLAIM|TRAIL_1.0R	VETO_K	MODEL_TOP3	213	253	1.188	-86.31	-214.55	37.18	-72.66	1637.5	0.4585	394.65	-0.043
E2	LEG_0.75|RECLAIM|TRAIL_1.0R	VETO_2K	ALL	167	191	1.144	-68.59	-187.83	47.43	-59.97	1625	0.4555	360.82	-0.034
E2	LEG_0.75|RECLAIM|TRAIL_1.0R	VETO_2K	MODEL_TOP3	167	181	1.084	-35.88	-155.27	88.02	-33.11	1625	0.4751	323.5	-0.018
E2	LEG_0.75|RECLAIM|TRAIL_1.0R	DAYSIDE	ALL	168	207	1.232	-105.45	-254.83	38.42	-85.59	1668.75	0.4348	470.48	-0.053
E2	LEG_0.75|RECLAIM|TRAIL_1.0R	DAYSIDE	MODEL_TOP3	168	188	1.119	-87.74	-229.2	42.87	-78.4	1662.5	0.4415	418.97	-0.044
E2	LEG_0.75|RECLAIM|TRAIL_1.0R	VETO_K+DAYSIDE	ALL	137	159	1.161	-102.93	-243.97	36.51	-88.69	1637.5	0.4403	411.82	-0.051
E2	LEG_0.75|RECLAIM|TRAIL_1.0R	VETO_K+DAYSIDE	MODEL_TOP3	137	152	1.109	-121.06	-257.56	10.55	-109.11	1637.5	0.4474	383.59	-0.061
E2	LEG_0.75|RECLAIM|TRAIL_1.0R	SHUFFLED_VETO	ALL	219	315	1.438	-71.09	-216.61	70.77	-49.42	1668.75	0.4571	485.39	-0.036
E2	LEG_0.75|RECLAIM|TRAIL_1.0R	SHUFFLED_VETO	MODEL_TOP3	219	276	1.26	-67	-205.1	61.38	-53.17	1662.5	0.4601	433.71	-0.034
E2	LEG_0.75|RECLAIM|TRAIL_1.0R	SHUFFLED_DAYSIDE	ALL	169	209	1.237	-12.51	-137.2	121.89	-10.11	1712.5	0.4833	398.98	-0.006
E2	LEG_0.75|RECLAIM|TRAIL_1.0R	SHUFFLED_DAYSIDE	MODEL_TOP3	169	192	1.136	-11.01	-137.92	120.55	-9.69	1706.25	0.4792	365.57	-0.006
E2	LEG_0.75|EXT|TRAIL_1.0R	NONE	ALL	258	386	1.496	-87.81	-251.87	62.58	-58.69	1815.62	0.4663	537.27	-0.044
E2	LEG_0.75|EXT|TRAIL_1.0R	NONE	MODEL_TOP3	258	304	1.178	9.39	-119.69	127.56	7.97	1812.5	0.5033	373.91	0.005
E2	LEG_0.75|EXT|TRAIL_1.0R	VETO_K	ALL	213	281	1.319	-92.6	-221.96	37.16	-70.19	1800	0.4555	463.77	-0.046
E2	LEG_0.75|EXT|TRAIL_1.0R	VETO_K	MODEL_TOP3	213	248	1.164	-77.24	-204.02	43.82	-66.34	1800	0.4556	390.99	-0.039
E2	LEG_0.75|EXT|TRAIL_1.0R	VETO_2K	ALL	167	189	1.132	-90.99	-213.62	27.19	-80.4	1793.75	0.4444	372.04	-0.045
E2	LEG_0.75|EXT|TRAIL_1.0R	VETO_2K	MODEL_TOP3	167	180	1.078	-43.68	-164.82	79.45	-40.52	1790.62	0.4667	329.48	-0.022
E2	LEG_0.75|EXT|TRAIL_1.0R	DAYSIDE	ALL	168	206	1.226	-111.41	-264.55	35.5	-90.86	1812.5	0.432	477.29	-0.056
