# census 4 — the trend entries gated by the [conf, entry] post-window decidability block (m2_delay._post_path features, walk-forward GBT), $/trade by gate keep-fraction (PORT-M2-GOALPATH-V1)
cell	era	gate_keep_frac	n	usd_per_trade	win_rate	ungated_usd_per_trade
TREND_900|EXT|TRAIL_1.0R	E3	0.05	3486	-7.57	0.385	-20.08
TREND_900|EXT|TRAIL_1.0R	E3	0.1	6973	-5.12	0.3787	-20.08
TREND_900|EXT|TRAIL_1.0R	E3	0.2	13946	-8.73	0.3728	-20.08
TREND_900|EXT|TRAIL_1.0R	E3	0.3	20920	-13.35	0.3648	-20.08
TREND_900|EXT|TRAIL_1.0R	E3	0.5	34867	-14.64	0.3617	-20.08
TREND_900|EXT|TRAIL_1.0R	E3	1	69734	-20.08	0.3506	-20.08
TREND_900|EXT|TRAIL_1.0R	E4	0.05	3417	21.5	0.3951	-20.8
TREND_900|EXT|TRAIL_1.0R	E4	0.1	6835	1.7	0.3862	-20.8
TREND_900|EXT|TRAIL_1.0R	E4	0.2	13670	-8.78	0.3751	-20.8
TREND_900|EXT|TRAIL_1.0R	E4	0.3	20505	-12.77	0.3697	-20.8
TREND_900|EXT|TRAIL_1.0R	E4	0.5	34175	-19.45	0.3621	-20.8
TREND_900|EXT|TRAIL_1.0R	E4	1	68350	-20.8	0.362	-20.8
TREND_900|EXT|TRAIL_1.0R	E5	0.05	3514	28.36	0.3921	-26.48
TREND_900|EXT|TRAIL_1.0R	E5	0.1	7029	6.63	0.3789	-26.48
TREND_900|EXT|TRAIL_1.0R	E5	0.2	14058	-13.05	0.3666	-26.48
TREND_900|EXT|TRAIL_1.0R	E5	0.3	21087	-15.62	0.3675	-26.48
TREND_900|EXT|TRAIL_1.0R	E5	0.5	35145	-17.64	0.362	-26.48
TREND_900|EXT|TRAIL_1.0R	E5	1	70290	-26.48	0.3499	-26.48
TREND_900|EXT|TRAIL_1.0R	E6	0.05	3759	109.72	0.4174	-14.97
TREND_900|EXT|TRAIL_1.0R	E6	0.1	7519	41.54	0.384	-14.97
TREND_900|EXT|TRAIL_1.0R	E6	0.2	15039	8.95	0.3721	-14.97
TREND_900|EXT|TRAIL_1.0R	E6	0.3	22558	0.81	0.3693	-14.97
TREND_900|EXT|TRAIL_1.0R	E6	0.5	37597	-4.45	0.3677	-14.97
TREND_900|EXT|TRAIL_1.0R	E6	1	75195	-14.97	0.3609	-14.97
TREND_900|RECLAIM|TRAIL_1.0R	E3	0.05	3486	-1.38	0.3764	-23.51
TREND_900|RECLAIM|TRAIL_1.0R	E3	0.1	6973	-11.37	0.3648	-23.51
TREND_900|RECLAIM|TRAIL_1.0R	E3	0.2	13946	-13.5	0.3444	-23.51
TREND_900|RECLAIM|TRAIL_1.0R	E3	0.3	20920	-16.77	0.3287	-23.51
TREND_900|RECLAIM|TRAIL_1.0R	E3	0.5	34867	-18.62	0.3187	-23.51
TREND_900|RECLAIM|TRAIL_1.0R	E3	1	69734	-23.51	0.3075	-23.51
TREND_900|RECLAIM|TRAIL_1.0R	E4	0.05	3417	-8.48	0.379	-24.82
TREND_900|RECLAIM|TRAIL_1.0R	E4	0.1	6835	-16.86	0.3716	-24.82
TREND_900|RECLAIM|TRAIL_1.0R	E4	0.2	13670	-19.45	0.3609	-24.82
TREND_900|RECLAIM|TRAIL_1.0R	E4	0.3	20505	-22.92	0.3479	-24.82
TREND_900|RECLAIM|TRAIL_1.0R	E4	0.5	34175	-23.19	0.3295	-24.82
TREND_900|RECLAIM|TRAIL_1.0R	E4	1	68350	-24.82	0.3159	-24.82
TREND_900|RECLAIM|TRAIL_1.0R	E5	0.05	3514	26.11	0.3865	-24.86
TREND_900|RECLAIM|TRAIL_1.0R	E5	0.1	7029	3.41	0.3659	-24.86
TREND_900|RECLAIM|TRAIL_1.0R	E5	0.2	14058	-7.49	0.3453	-24.86
TREND_900|RECLAIM|TRAIL_1.0R	E5	0.3	21087	-10.82	0.3367	-24.86
TREND_900|RECLAIM|TRAIL_1.0R	E5	0.5	35145	-15.46	0.3239	-24.86
TREND_900|RECLAIM|TRAIL_1.0R	E5	1	70290	-24.86	0.3091	-24.86
