# PORT M2 D-090.6 information ceiling (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN) (PORT-M2-INFO-CEILING-V1)
# NON-CAUSAL-BY-DESIGN: hindsight-fit upper bound over ALL E6 sessions (study + sealed blind). NOT a deployable result.
# WHERE THE CEILING COMES FROM: the marginal capture of each view layer
# rho_champion = Spearman of the out-of-fold champion-label hat vs the label; auc_winner = ROC AUC of the winner head — both are schedule-free readings of the same information
regime	layer_step	feature_set	n_features	capture	ci_lo	ci_hi	delta_vs_digest	delta_vs_all_views	rho_champion	auc_winner	expectancy_usd	frac_ge_1000
HONEST_KFOLD_DAY	L1 digest (the delta row)	L1_digest	86	-0.0295795	-0.0650491	0.00589008	0	-0.0823232	0.4119	0.6416	-59.4519	0.0953206
HONEST_KFOLD_DAY	+L2 sheets (escalation)	L1L2_digest_sheets	179	0.0325857	-0.000262244	0.0654336	0.0621652	-0.020158	0.457	0.6922	78.4025	0.128631
HONEST_KFOLD_DAY	+L3 seq (raw event stream)	L1L2L3_all_views	219	0.0527437	0.015947	0.0895403	0.0823232	0	0.4532	0.6944	127.698	0.139875
HONEST_KFOLD_DAY	L2 sheets ALONE	L2_sheets_only	93	0.0230725	-0.012235	0.0583801	0.0526521	-0.0296711	0.4575	0.7012	58.0423	0.136659
HONEST_KFOLD_DAY	L3 seq ALONE	L3_seq_only	40	-0.0298393	-0.0696227	0.00994407	-0.000259763	-0.082583	0.0118	0.5781	-50.0796	0.0926194
HONEST_KFOLD_DAY	L1+L3 (digest + seq, no sheets)	L1L3_digest_seq	126	-0.00612544	-0.0430759	0.030825	0.0234541	-0.0588691	0.4213	0.6741	-12.6401	0.103203
HONEST_KFOLD_DAY	ALL + episode meta (nm/span)	ALL_plus_epmeta	221	0.0342703	-0.0028635	0.0714042	0.0638499	-0.0184733	0.4555	0.6684	79.4875	0.116
HONEST_KFOLD_RANDOM	L1 digest (the delta row)	L1_digest	86	0.0810179	0.0368186	0.125217	0	-0.0755672	0.5139	0.8011	160.337	0.1843
HONEST_KFOLD_RANDOM	+L2 sheets (escalation)	L1L2_digest_sheets	179	0.185717	0.133591	0.237844	0.104699	0.0291322	0.7004	0.7944	393.027	0.255474
HONEST_KFOLD_RANDOM	+L3 seq (raw event stream)	L1L2L3_all_views	219	0.156585	0.106804	0.206367	0.0755672	0	0.6423	0.8131	321.405	0.233628
HONEST_KFOLD_RANDOM	L2 sheets ALONE	L2_sheets_only	93	0.0980523	0.0525749	0.14353	0.0170344	-0.0585328	0.6136	0.7938	196.056	0.189655
HONEST_KFOLD_RANDOM	L3 seq ALONE	L3_seq_only	40	-0.0614506	-0.0970914	-0.0258098	-0.142468	-0.218036	0.0489	0.5739	-93.401	0.0760157
HONEST_KFOLD_RANDOM	L1+L3 (digest + seq, no sheets)	L1L3_digest_seq	126	0.0489356	0.0101509	0.0877203	-0.0320823	-0.10765	0.4735	0.758	95.2202	0.151007
HONEST_KFOLD_RANDOM	ALL + episode meta (nm/span)	ALL_plus_epmeta	221	0.131056	0.0833806	0.178732	0.0500383	-0.025529	0.5407	0.8426	269.004	0.20531
SOFT_IN_SAMPLE	L1 digest (the delta row)	L1_digest	86	0.634711	0.595701	0.673722	0	-0.0121215	1	1	1245.49	0.595601
SOFT_IN_SAMPLE	+L2 sheets (escalation)	L1L2_digest_sheets	179	0.634555	0.597206	0.671904	-0.000156289	-0.0122778	1	1	1255.8	0.595563
SOFT_IN_SAMPLE	+L3 seq (raw event stream)	L1L2L3_all_views	219	0.646833	0.610454	0.683211	0.0121215	0	1	1	1235.82	0.579901
SOFT_IN_SAMPLE	L2 sheets ALONE	L2_sheets_only	93	0.64032	0.603084	0.677557	0.00560915	-0.00651239	1	1	1280.32	0.6
SOFT_IN_SAMPLE	L3 seq ALONE	L3_seq_only	40	0.628327	0.589459	0.667196	-0.00638413	-0.0185057	1	1	1188.71	0.570962
SOFT_IN_SAMPLE	L1+L3 (digest + seq, no sheets)	L1L3_digest_seq	126	0.647306	0.611435	0.683177	0.0125947	0.000473178	1	1	1249.07	0.582363
SOFT_IN_SAMPLE	ALL + episode meta (nm/span)	ALL_plus_epmeta	221	0.637008	0.599454	0.674562	0.00229691	-0.00982463	1	1	1227.15	0.578073
